Annie Mac's Power Down Playlist (BBC Radio 1),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Hypnotize U,3ao7QR1KkyhDEN7OzpDK5v,N.E.R.D,5wPoxI5si3eJsYYwyXV4Wi,Nothing (Deluxe),7tVTmfFjDD7TTaUWOcyEeX,1,not available
13,Due West,42EtdFbaqfBokco4oSBWsH,Kelsey Lu,0fEfMW5bypHZ0A8eLnhwj5,Due West,7a1Ln4poZLeVfGSjdMhfZA,43,https://p.scdn.co/mp3-preview/3c95cc47937c9651d5c32ce0c2cce001fff41eb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Hide and Seek,121so7t3AeX6nLMvxy9ZP9,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,Speak For Yourself,5bxeKufn9YmJ3WNBQpBXlx,52,https://p.scdn.co/mp3-preview/a7393571487c7f423636d6e5fec6548639e05f49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Beat 54 (All Good Now),6qX4gWRXTRPIrEfNuNaYye,Jungle,59oA5WbbQvomJz2BuRG071,For Ever,1VZxGX1lzF1QjY5QofhC5r,63,https://p.scdn.co/mp3-preview/084f689329fbd94c62a35e46d4f6b871c3e18d55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Raze : Plan B,1Ek9TuXUEiRvp7PuVYRYOk,Biig Piig,4GoD5FJCgC0lbzde7ly44M,Raze : Plan B,6KbZ8m4b2uI4OYtKnUWtTg,44,https://p.scdn.co/mp3-preview/3e75fc66a5d9c8925035325ccc5b939808fd4009?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,King of the Hill,3aLN90hPetcE1YjQQ0cbBg,Thundercat,4frXpPxQQZwbCu3eTGnZEw,King of the Hill,2RMJyJJlmJubpqFotHHQAy,48,https://p.scdn.co/mp3-preview/da81d48e62689d0b46ad92c9eb1a33e7d68c2421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Everybody's Free (To Wear Sunscreen),1TQ6a2NEA8LmKfgf0yeBvT,Quindon Tarver,0dfkF1i9s8ZyOAKbV572T7,Everybody's Free (To Wear Sunscreen),30NOuZiJRlawF26dmWVaJo,52,not available
19,Topanga,5aXgz1oKK8Q9z9xvTmSnrO,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,A Love Letter To You 3,6qRbGZqJ3aQY8N8bcHc1ug,78,not available
20,Ottolenghi,0KTvHwi5cDdZh86cpZztfu,Loyle Carner,4oDjh8wNW5vDHyFRrDYC4k,Ottolenghi,161CXfemQHbWFMu0YAByUB,56,not available
21,Gratitude,6Xc2c02iEHbPMcPS9djS91,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Gratitude,7lw3uz3hewTcux0x8lQ9vP,30,https://p.scdn.co/mp3-preview/69fcfeb3c2d4d88a66950a60f4f1d76999dd52cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,"Blue Sea, Red Sea",1TNIPwsB6knLXdlfjjnPTX,Billie Marten,02YLJJnWC7YQVixkjEBRn7,"Blue Sea, Red Sea",2U7xjAw0NfmFOUNV3zCV7F,48,https://p.scdn.co/mp3-preview/717a1341aec89185c91032a61358e6d707fac87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Trippy (feat. J. Cole),2lRe5wBRm4xaSKTbDn2vLD,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Oxnard,3rqqwtJE89WoWvMyPTvbZc,66,https://p.scdn.co/mp3-preview/b4fe1c7bd768319f78780c8513af538e59f3fbf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Lately,7mFdBHaLI853iD5LsF64O3,Celeste,49HlOY4gkHqsYG9GCuhkcc,Lately,1b6vrz4UR6TsrPS3hkpJqd,12,not available
25,'Cause I'm A Man,32ZeITs3JUlf0zGB8zS3cO,Tame Impala,5INjqkS1o8h1imAzPqGZBb,'Cause I'm A Man,5NZ2y3PzNcWmgUR8KX8mhW,1,not available
26,Lux Prima,734rk1kHSPkEFZrn6KTrEn,Karen O,6emHCSoB4tJxTVXakbrpPz,Lux Prima,6AKfUyHp6FPjl1GeKYwCfi,38,https://p.scdn.co/mp3-preview/7d7685a3d2f6ee5561d01649f146fba837417c64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,when the party's over,14JzyD6FlBD5z0wV5P07YI,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,when the party's over,2DfPdWWXknoGKrfa2Eicyw,32,not available
28,Suspirium,5Vdrq1akDDxNMEybDvmBDa,Thom Yorke,4CvTDPKA6W06DRfBnZKrau,Suspirium,43HodOeeZiXKRzetGbQ7HC,7,not available
29,We're Going To Be Friends,50rC54ke9Nj4cpayBNQq0x,The White Stripes,4F84IBURUo98rz4r61KF70,White Blood Cells,7rIhZOxiuEieQylkZt50TN,4,not available
30,The Cure,50F69bMtzUSD8aYh8qVHXd,Jadu Heart,7vjRpVXoecwKTEsrb9iscj,The Gloom That Looms,5AcqoD2K0dqVAec8dSsluz,42,https://p.scdn.co/mp3-preview/590d2d704d20cd3f4039032425c3506d31e26f26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don't Leave,6hIqD6NN5RfoTDE9Ze3FQW,Maya Jane Coles,6TshTCYwh9ySzOO6Jy4Ux2,Don't Leave,2UJNTVIbjTdmnpHtRdi1Xv,35,https://p.scdn.co/mp3-preview/8d04247774b2ec465805cb03d42aed68633edd84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,All The Stars (with SZA),66kQ7wr4d2LwwSjr7HXcyr,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,All The Stars (with SZA),3mau89iBea8nCPw3I8kKAk,67,not available
33,Wind Up Space,3ZCgBMGvecbG58lRYfwZVf,1010 Benja SL,7xBrMNV9UKo2THKIk9xpBK,Wind Up Space,3YQeWnxdqMqNtjehgfq0Q3,41,https://p.scdn.co/mp3-preview/73cbb9a7b58efa3a9c1679ce432b4fea78290590?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Sweet Saviour,2eDH8J52FuZnVGQaYjmGOw,Villagers,2m1l9MLSslzup4vvokKgvQ,The Art Of Pretending To Swim,5qhqqenkgCAp3mCKczvvNU,41,https://p.scdn.co/mp3-preview/0e0114d9f14111cff072212ca0d45e1807e7fcd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,I Won't Run From It,7aW3SM5qFJu0IYVOWrAvRQ,Big Red Machine,7gXy60xRcwYujBFoYHnR2O,Big Red Machine,3LBRCisCaxgQjb5nwSMPgU,56,https://p.scdn.co/mp3-preview/fca1cf531d74002905f6f90a95ff383141733a58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Heaven Up There,3Yp9EQ8G9S2AlSew3R7p6I,Palace,48vDIufGC8ujPuBiTxY8dm,Heaven Up There,0IyHFPEXDJe9HWuz6TuxfW,48,not available
37,The One,1Ahp4PZ1vzdbzBCedUrsqI,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Lost & Found,3AlSuZnX4ZCab8eoWnnfbm,65,https://p.scdn.co/mp3-preview/8ca5e28cf71e2518ed579964acafc7c10f4dd35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Out Of Me,2ZvOZgWShpj2i9TkPblqCw,Luttrell,4EOyJnoiiOJ4vuNhSBArB2,Out Of Me,6CieJGyAHhda8GZkKUlmE4,24,https://p.scdn.co/mp3-preview/b97cf9e40ca80f061b59801e022c25af75b9d6cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Demon,1kaxyXcAi5ZHF3Q94QXsHK,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter V,50yFYgKdwJANZ5O9MIbMkg,57,not available
40,If You Ever (feat. 6LACK),5PkZ0mhNgfuz7SqiuruKlh,Nao,7aFTOGFDEqDtJUCziLVsVC,If You Ever (feat. 6LACK),11x0TSumiq19cSha9WoHz1,65,https://p.scdn.co/mp3-preview/59949696929a84f9910d563e5aa12f07dfd70759?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Again (feat. Totally Enormous Extinct Dinosaurs),46w1jmEV4WKhoIOz1stX91,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,Again (feat. Totally Enormous Extinct Dinosaurs),1ieJT6PYkrlmzt38bV1VK2,25,not available
42,Fast Cars,6FdDnXubZg4KU0UJvsjd3q,Connie Constance,4RB2kk5dmocmMiHFBlmOEt,Fast Cars,0Nkjb0xKs7m80C9INbMkae,33,not available
43,LOVE. FEAT. ZACARI.,5WkPWduQVV8fh7pppm1fqg,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,10,not available
44,Avatar Beach,0urRiazfTllhGXa6oGIJb5,Jacques Greene,0ygIgsjUzKivFgxgjQ9iV9,Avatar Beach,2aLo9NQw9hhGvgFWIGYBeN,37,https://p.scdn.co/mp3-preview/8b677e2db60ab6a12b28b89b48e600c5c1939c95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Both Sides Of The Moon,3uycvDrCFMnYWDHkAdC0UK,Celeste,49HlOY4gkHqsYG9GCuhkcc,Both Sides Of The Moon,452nNQcFKZTormW0iEkTip,48,not available
46,Moon River,41cpvQ2GyGb2BRdIRSsTqK,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Moon River,0iqqnLXoocsMeCYlTw3Q2q,71,https://p.scdn.co/mp3-preview/3fc9d1a58bfd42a221175591e91734f85fde8b5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
