Lauren Laverne: People's Playlist (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,Together,3IV6SqMhZFQP2SF0b0BUzF,Ejeca,0tSC9Vot7WlR1MsLBqQ9HX,Together EP,79zcpSjgihAE8ZdGOLyJay,19,https://p.scdn.co/mp3-preview/89ed59f767b22465ab133bbcfebde4d82a20405f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,(Exchange),2A5Cl0fxSJDGs7SC3fryhR,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,Mezzanine,49MNmJhZQewjt06rpwp6QR,42,not available
42,Words,7hohAnOPopeo4JB70c3wst,Doves,0LVrQUinPUBFvVD5pLqmWY,The Last Broadcast,4HihJAJjF6hSVoh318zLu9,30,not available
43,Get Free (feat. Amber Coffman),4p4hyqRFdoiw4EMbEsqBdA,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Free the Universe,1MGMwkEuzCHda8lE3GA4RR,61,https://p.scdn.co/mp3-preview/d6f534e0e5e6eb58814ce226eeb1ac1a4e99f866?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,GMF,1EMFo3jk0gCrTYkudUmYk5,John Grant,3TScZ6zJkavDy0tqoGqiCf,Pale Green Ghosts,0p20tvquTndRdGqL3gewBB,19,https://p.scdn.co/mp3-preview/8e5b00702af7770137d064a34c55a0c8bb1559dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,My Friend,5LRxSyiIRHQD26h1mdM0Ir,Groove Armada,67tgMwUfnmqzYsNAtnP6YJ,Goodbye Country (Hello Nightclub),1bS1J4OVGrpu6e2U2pHge6,60,https://p.scdn.co/mp3-preview/a461b1a9660ed301d2809e25499b18b0af998ab3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Our Love (Will See Us Through),1dySOxMo1WYOsTrTqfjko5,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Little Girl Blue - The Greatest Hits,5JNkzBcS8bnXeqTisumTCr,0,not available
47,Knit One Purl Two,71NkrjAmItCpmtpMzljlDv,Glenn Miller,2aAHdB5HweT3mFcRzm0swc,"Glenn Miller from A to Z, Vol. 6",2L0A1zyFbl4HIYbyi0XGyM,37,https://p.scdn.co/mp3-preview/f12df41aaa185049d5f2944d9e9b9510fb26399c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,If I Were A Carpenter,78WYhHUIJEZjOhIWm2P89e,Four Tops,7fIvjotigTGWqjIz6EP1i4,Motown Gold,1euz2VK3QEItULCCyhoDo6,0,not available
49,When I Paint My Masterpiece - Demo,7wyB4CjAAFI6TWqLsSN8K9,Bob Dylan,74ASZWbe4lXaubB36ztrGX,Another Self Portrait (1969-1971): The Bootleg Series Vol. 10 Sampler,3ZjvMngMKqMOhXoqUFyVoF,0,not available
50,The Craft,7MJbFCxfdtzgPuXaNbzh2p,Blackalicious,42Np3r8zXnaKcjLQsQSjyG,The Craft,2Yj68gAz1cESYUeznaWJfg,19,https://p.scdn.co/mp3-preview/c1af66d801927784fa8539438a324181517b0736?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Babydoll,0ovh3qPgiolFoES0lHU7MW,Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,Strange Angels,6Sy383KpqoNe5b6MmvgfCQ,19,https://p.scdn.co/mp3-preview/159d93efd198e04737875c971e91876659aa0e1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Handlebars,4IdIs1ugvlGHzQ8JCq1UBl,Flobots,0rHiOzaAbw3cCp8D7yjyig,Fight With Tools,6iP0av9V5pJ9AwiPtMzXby,2,not available
53,Lost In Meditation,4BJrICCE8mLHncGMm42TN6,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Columbia Original Masters,5fbLqwnBp6h14aOyJPebtT,5,https://p.scdn.co/mp3-preview/91f58bf1c39681f7a64b1c892089405a48adaab4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Everybody's Got Something To Hide Except Me And My Monkey - Remastered,0fDmdWRuV1mWwfn1NaoE67,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles (Remastered),03Qh833fEdVT30Pfs93ea6,1,not available
55,To Travel the Path Unknown,276gi7khUU0V7bV2N2swXA,Goat,6jP9Z7o6WlbYvKUOeO5SbP,Commune,4eqEZQ7gGH2HrqRks6TEEH,20,https://p.scdn.co/mp3-preview/422eec9026af1f1e457e4f6a10c6df3ab40d1527?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Raghupati,08BmUXVz8z1lr5qDGqckPf,Ananda Shankar,5eNWwEF0woj5E5Fnu9qXaQ,Ananda Shankar (US Internet Release),24R9CyPLFa0CJrSZ9whlT3,23,https://p.scdn.co/mp3-preview/bfa464a239d3ae5ee1d5120b169f59c73c30758d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Making Progress,11gZYfOcrjhwzTub891Oe4,Blackalicious,42Np3r8zXnaKcjLQsQSjyG,Nia,3p6jhqOzFLzlC50KKv629I,18,https://p.scdn.co/mp3-preview/401f4fe0d896d0b62374c5ede7d9a6dd552700a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Higher Than the Sun,5tK31pGyjFBTsnzKzcNaza,Primal Scream,3wury2nd8idV4GecUg5xze,Screamadelica,3Kkocxhs4Ek537j67DFNd7,0,not available
59,Higher State Of Consciousness - Original Mix,54TvBql2jZTCacxEkOXhvf,Wink,7L3cctnz9MFugFaH6JNj3D,"A State Of Trance Classics, Vol.2",4MZ7o3YmVjt9QaTHJiSf80,23,https://p.scdn.co/mp3-preview/d1cd7485463c626cc8d130fefd3d5c8dc47b5f5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Kooks - 1999 Remastered Version,2NOsNak3mXN0Y3678sVn6V,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Hunky Dory,0vypdDHTQsoVmVu8OgXEly,0,not available
61,Baby,62wdQ5CInFr7cjISqrr46f,Donnie & Joe Emerson,7KGqvFukcZRbQ7YFsYrgPa,Dreamin' Wild,4v9R5sk4HQ0X1krbEis34P,56,https://p.scdn.co/mp3-preview/b1172f0174b20b0ccbc39bc296ccd240d4a4b963?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Pitch the Baby,3BJqEsMJ6gxMRNBr6DJAq8,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,Heaven Or Las Vegas (Remastered),37hHXJ7xas2Nb7Jbi8ip4E,49,https://p.scdn.co/mp3-preview/06814ec0359e091205fb4d7261850122664b3d4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Small Talk,138lQtXzQcTPdQxnNLAdjX,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,Small Talk,1KJAI0W9nvK2insqlsKacw,25,https://p.scdn.co/mp3-preview/58bdabf0c1d84aae9cd17bcfa8b31bd289ca9001?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Birth In Reverse,3rQebN8HL9ZxZsFkmNCpA4,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,St. Vincent,2PbvQ5ALJj6uXgz5X3ghro,30,not available
65,Babies,1pUNeXXcmAJOyK6TiVL49n,Pulp,36E7oYfz3LLRto6l2WmDcD,His 'N' Hers,4YhFzXoRDlowowzzNnNnP5,9,not available
66,Three MC's And One DJ,2OGU42LlR21UEASu2cooEa,Beastie Boys,03r4iKL2g2442PT9n2UKsx,Hello Nasty,1HhBu55aklCwIus7KffIji,0,not available
67,Spinderella's Not A Fella (But A Girl DJ),6lros2dOOsjYg8JDmoz1ok,Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,A Salt With A Deadly Pepa,7cLwaWCO9A6zhEF5Gbwocu,0,not available
68,Too Many Dj's - Dave Bascombe Radio Mix,5wJ3XyACMffSuuE12VHQv2,Soulwax,43mWhBXSflupNLuNjM5vff,Too Many Djs,4B6xB5T0naCqZmiagPcgA1,19,https://p.scdn.co/mp3-preview/34eaa2723c24a5add0d74ea903a5d9f9a443bc4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,The Adventures of Grandmaster Flash On the Wheels of Steel - Extended Mix,7xMzNQkDzu3JZkhURGvH7p,Grandmaster Flash & The Furious Five,5hQCwevTf03u1rECrRMeop,The Greatest Mixes,6wTZPwUSXTOGVXnByPqx9v,38,https://p.scdn.co/mp3-preview/ab272da7fd8b4cb23d22a0d0fa7c3556a35b291a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Last Night a D.J. Saved My Life,6NSqiyQWIyZLouviktad9X,Indeep,50xejJlMNloQ4PUB7lGP9h,The Collection,3kBttrxwsNFoNTtRGyhge1,48,https://p.scdn.co/mp3-preview/1bf3095070e2072355e213ab2a2ee270c374692a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Autobahn - 2009 Remaster,31uidLEHAcF8Cw1cX1VCS8,Kraftwerk,0dmPX6ovclgOy8WWJaFEUU,Autobahn (2009 Remastered Version),0DzC0tyowMi2O9QfkDRvfJ,48,https://p.scdn.co/mp3-preview/add1a939f1be6d551acbc927d92feabe58631066?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"I Feel Love - 12"" Version",5hEPuoUVOqgGPFOYYqnyKf,Donna Summer,2eogQKWWoohI3BSnoG7E2U,The Journey: The Very Best Of Donna Summer,6Y1CJVtu74mCdinEepsUwC,5,not available
73,O Superman,3BIpOCGYyYnsonqMaTU5Ta,Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,"O Superman (UK 12"" sgl)",2VJkgB8dticYJHDj5ggZWQ,23,https://p.scdn.co/mp3-preview/909c4c61695f08bbf532feff714f79c06b4bc59f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Army of Me,3FEHdbqGaZ1VjX2pSCHNOH,Björk,7w29UYBi0qsHi5RTcv3lmA,Post,6k9dsZpHS3DUsv8FFBQkib,3,not available
