Glastonbury 2017 (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Hype,6QkiPUXtsyXWcHiAaFXam5,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Hype,3ecFfRvVhC7bf63MVB8Fz7,3,not available
36,Whiteout,41D0xpS9ClHkBirerj8Dqs,Warpaint,3AmgGrYHXqgbmZ2yKoIVzO,Heads Up,5uGGOeDoB2jHetZJTbkwcC,54,https://p.scdn.co/mp3-preview/ce8b520136283521186b106342774c4804aa7d50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Lavender (feat. Kaytranada),750CIEmPKIO8SGMSuLAHlT,BADBADNOTGOOD,65dGLGjkw3UbddUg2GKQoZ,Lavender (feat. Kaytranada & Snoop Dogg) [Nightfall Remix],0qDF4rzigCGkibYdr71qJr,13,https://p.scdn.co/mp3-preview/a69fd4bcb2eaab3fbb39c6680e47cf8b57a14623?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Night Owl,3Xrknnh7esG6iEXCkUFOl8,Metronomy,54QMjE4toDfiCryzYWCpXX,Night Owl,5MK6jRkcVfbnjiuoDRssJ0,0,not available
39,T-shirt Weather In The Manor,0vtF9mPebRPcijosHQedZP,Kano,50nN8IFD4xA67fI4jYbLV4,Made In The Manor,5AF0uxDdW2IKi3r8jqVgmq,50,https://p.scdn.co/mp3-preview/d4c6588054e6d7ac7fc64e881b6a8b5630a7c44a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Systemagic,5MJPjpCUEaeFEcEi1RViRi,Goldfrapp,5BKsn7SCN2XmbF7apdCpRS,Silver Eye,68qdWFsPKFIjMHb3VTDIrd,37,https://p.scdn.co/mp3-preview/236fcf03531c6dd07bd969549f195fbf9f8f856f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,B.H.S.,5LAqtqLBvKec7X79GUCxCP,Sleaford Mods,0otAqZw8htTsGHfqR491Yh,B.H.S.,2ZoYTwsKaKgqhcT4Trm9oV,0,not available
42,Europe Is Lost,2hVIFBK16r5iPZBG6n0hCO,Kate Tempest,1O3wYcUD08X9yb6J3xaw5M,Europe Is Lost,7CODjxlVUJ6MRMBHHCTC9v,0,not available
43,Can't Go Wrong,3oKzl7JMPzEBoOIv2D2HUH,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Can't Go Wrong,0ysSoOtle0I7mBKRWqfwID,0,not available
44,Them Changes,4u8031pTkTODbRaDCbx8Yv,Thundercat,4frXpPxQQZwbCu3eTGnZEw,The Beyond / Where the Giants Roam,1atZ1TiIPZZec0oiyY1mBl,42,https://p.scdn.co/mp3-preview/4f2ed0038a1aa64aab96ff0d70c80c27ffee15d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
