50 of the greatest ever indie breakup songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Suspicious Minds - Elvis Live version,21uqk0VElbm5bxCNTR3E6M,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis Live,5rgN2cJRo5Y0WZUVDDnZWU,0,not available
14,Without You,0oP3nUUVDovK0MKGj7Hwzj,Harry Nilsson,3RTzAwFprBqiskp550eSJX,Personal Best: The Harry Nilsson Anthology,20Nyx43Ta7wgLKE45C3twu,7,not available
15,Yes - Full Version,6joAGL5IuD66Qgcz049ObW,McAlmont & Butler,0BV7lpkyFTbzzML7DuUnpZ,The Sound Of McAlmont And Butler,0gquqV1L3QZjZJ0ExzxtMo,49,not available
16,Back To Black,2s4BsyV3KhhrtsdtNfzoqb,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,6GJCGWfI95aeRsdtVB52vc,22,not available
17,Breaking Up,5oiIvGBvoIdq0WQ8anu793,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Breaking Up,3Argu7FN6ocYkS4F3n3nfc,16,https://p.scdn.co/mp3-preview/8d82d289de8b06fd24962532caf02754615baeec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,I Heard It Through The Grapevine,27m1soUndRthrAA1ediOXn,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,I Heard It Through The Grapevine / In The Groove (Stereo),1jcnZvZWvAGzNyQ7GNVy8X,26,not available
19,Is She Really Going Out With Him?,3P97XnD4osOqR4lRPalNPV,Joe Jackson,6KOqPxwfNAmZPkiCnDE9yT,Tonight & Forever : The Joe Jackson Collection (2CD Set),2NOVRgygqXn5oVRA2CnQiq,1,not available
20,I'd Rather Go Blind,2OlDaPUuYqdCLQncM0LtBu,Etta James,0iOVhN3tnSvgDbcg25JoJb,The Genuine Article: The Best Of Etta James,3p9TMfX9EXKkRgTliXqBZV,40,not available
21,No Distance Left to Run,0SaRvx9eYudSCQYNjuCQKX,Blur,7MhMgCo0Bl0Kukl93PZbYS,13,5YuZ4DjvtZBywtIbHIqtGJ,44,https://p.scdn.co/mp3-preview/b32a6cb5ed3a5af55d0b324398de644b6d1fbede?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Far From Me - Live from KCRW,5MmnxjdtxxQym16UTV86hm,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Live from KCRW,2jNv3vtT3Ils6d34AZhUBG,37,https://p.scdn.co/mp3-preview/51dd1f7ea3083c7cc2a267bff2f95fbe43152d56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,What Becomes Of The Broken Hearted?,1xQkXIlOFyDbaMNHAY1ZRQ,Jimmy Ruffin,0hF0PwB04hnXfYMiZWfJzy,The Essential Jimmy Ruffin,3laOxapajctoE0iDuCsQoM,0,not available
24,Recovery,0DyhPTzYDD7WmhyWNT9y1I,Frank Turner,27M9shmwhIjRo7WntpT9Rp,Recovery,4mwoeirjR9xsKITtmkPoyW,0,not available
25,Maggie May - Remastered Version,2Cz4vdVXzX9tg2lq9cl8At,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Some Guys Have All the Luck,7Iz89r0GanEDFeAxByW9wI,37,https://p.scdn.co/mp3-preview/466d836ce8aa268bf00dbd43c72b170ec39b6f32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,"So Long, Marianne",63eDWEPplirGz51yew1vFt,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,The Best Of Leonard Cohen,06TH14tYg5Xy6bauQtgxnt,41,https://p.scdn.co/mp3-preview/667516ca8366c0117eb8a5d79c529a9dbdd1c459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Cry Me A River,7rcfs2bBj5mNyiJbBIQ7cc,Julie London,3qUMmh5biaB5hqpF4LqS3m,The Very Best Of Julie London,2KpxHciuO5Zwd31c4cpKqk,14,not available
28,I Will Survive - Remastered,2DX0WG5OGLQLaXb41Cq1IA,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,Gloria Gaynor (Remastered),0KwI95bTOayhB4kTnCZNiH,53,https://p.scdn.co/mp3-preview/136f43b54553a7ead7cb3c40762a5da0c5b6908e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nothing Compares 2 U,07iHAswcApphvyllRDQrEa,Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,Pure Driving Rock,7HCpCOgvZQMt2YwPtp1y8p,13,not available
30,Blue Monday,4sy45X8Jo15DxjDDpDkInF,New Order,0yNLKJebCb8Aueb54LYya3,Singles (US format),4Qu71OEIDGhmeobVTD3Lxz,16,not available
31,Come Pick Me Up,0lngUitwRDbvZ5yVO76dVN,Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,Heartbreaker,7hmZCaBzp6mVrelxW6Ckrn,59,https://p.scdn.co/mp3-preview/81bb71572a63fa1092555bdc50b3fccc27e14398?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Three Cigarettes In an Ashtray,2V9TrugRoqgyCoLDWKhWcx,Caitlin Rose,41LGTx1fpA69G2ZAJKZntM,Dead Flowers,6il9kK2oJDz3AEf80tk9gu,0,not available
33,Flume,6WlS5FP9XcB410zta3C67v,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"For Emma, Forever Ago",2wBGb1zLSWrmiOdinWE831,4,not available
34,Marvins Room,047fCsbO4NdmwCBn8pcUXl,Drake,3TVXtAsR1Inumwj472S9r4,Take Care (Deluxe),6X1x82kppWZmDzlXXK3y3q,75,not available
35,Your Love is Killing Me,2S1IUGeYOV3JPSoaheqIo9,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Are We There,0F1pMhF8Vy74nKkQeLBfrd,42,https://p.scdn.co/mp3-preview/eaa6c05ded966f36e51f76f2540dc81780ef48f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,We're Breaking Up,4Rjs5bLoIyqXSSy5VC898F,Against Me!,29lz7gs8edwnnfuXW4FhMl,White Crosses/Black Crosses,7jSQ5u9v6mbfD0PHgRnRPV,0,not available
37,Gunshot,5mSjJvTv9l5X2CblEa2ehN,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,I Never Learn,4fGqfyineAZmulNxgitERh,48,https://p.scdn.co/mp3-preview/9a8c125eb1ed5ff467eb6e3f935e33bc6912b566?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Blue Jeans,4RyK6N4IQ85xxLgguQAFH5,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Born To Die - The Paradise Edition,5VoeRuTrGhTbKelUfwymwu,68,not available
39,Head,6ESEudts4djKdeq8uuTBXa,Lydia Loveless,4aZmKktp90vPbhbdgf2fpn,Somewhere Else,15UfMA8VC7IxY6z6CbRsMN,0,not available
40,Feel Real,6KlX8VFX00McAJyRYSoYEc,Deptford Goth,3f8b2H7fazJlShrwj38XiS,Life After Defo,1RRFLJ2HY7CqlP0dMJuyzX,48,https://p.scdn.co/mp3-preview/bc46d7cccf1726c5666a38aaeca22b1cf618452d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,When You Were Mine,4NnzuBRIuzSPeENn4DhRpV,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,The Essential Cyndi Lauper,5BXCm3N0Uv0IU2uIUAshr2,20,https://p.scdn.co/mp3-preview/c101858b6a26b981ae481d6dc6b4dd462d1a4499?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Land Locked Blues,558BHSecDFS85E2L2aKzP8,Bright Eyes,5o206eFLx38glA2bb4zqIU,"I'm Wide Awake, It's Morning",5msfCyqu8fJYqDDV6OrXTg,48,https://p.scdn.co/mp3-preview/6d9181f96ded03a8fae11aa70b7bcfb49f8a43df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Good Woman,4hFRIwvYg46dhI6Fsn87VA,Cat Power,6G7OerKc3eBO9sVkRNopFC,You Are Free,4soK2CM18Gn0l0OqR1NZPo,0,not available
44,The French Inhaler,1jRQM9vBtEvWqjGcET1Gaw,Warren Zevon,3mY9Ii0cL5SQxpOTAm8SHx,Warren Zevon,5wY8fZoi9eFh3WMjLcHFps,31,https://p.scdn.co/mp3-preview/5eb1e0aa65236ef25935ceed3569d920c0a9ea94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,Adele,4dpARuHxo51G3z768sgnrY,21,7n3QJc7TBOxXtlYh4Ssll8,79,https://p.scdn.co/mp3-preview/ba52dd35393f5936ed277cf375128feecd111d26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Heart Of Glass - Special Mix,0a4agFmqHXxcZl1nho1BxM,Blondie,4tpUmLEVLCGFr93o8hFFIB,Best Of Blondie,7mEjsBlRmfP63cH1gdPT6A,71,not available
47,I Just Don't Know What To Do With Myself,5jviavQYnm2f4rcq1F3yp2,Dusty Springfield,5zaXYwewAXedKNCff45U5l,The Magic of Dusty Springfield,7JYg1zawhhgCxwGkB7DkgK,20,not available
48,Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justified,6QPkyl04rXwTGlGlcYaRoW,76,https://p.scdn.co/mp3-preview/0e2f07ca487e1f5020547ee64f95662fca2a75ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,In The Aeroplane Over The Sea,6idBMe9Ih8c6OZj1nJWyGo,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In The Aeroplane Over The Sea,7i6AHMD700GlwhHdFx1CIG,1,not available
