Tune of the Week (BBC Radio 1),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Bubblin,6BvtitRX5lQC87YlA6rq0n,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Bubblin,6N1y1a5qnqN8pBkizOdMvk,67,https://p.scdn.co/mp3-preview/234dca27adacb78b2a1fcd42683083a26176edad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Nevermind,63SevszngYpZOwf63o61K4,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Nevermind,6c5gDwB7Xo58thk2vap4Ch,81,https://p.scdn.co/mp3-preview/3ed2e2ed433fdc05df0a4f30607bd4b0760658df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Panic Room,3MkuFR7t25mu7Iscp6GGiV,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Panic Room,0I1FZLxw8XWEwQMLMAlTkp,68,https://p.scdn.co/mp3-preview/68272fa451fb74521f254955bc0e61288a327e22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Audio,7boPPE857KEqCIHNwFkDop,Sia,5WUlDfRSoLAfcVSX1WnrxN,Audio,3wX49A4zAxAhQJ0uN5FLsl,18,not available
19,1950,0CZ8lquoTX2Dkg7Ak2inwA,King Princess,6beUvFUlKliUYJdLOXNj9C,1950,5p0UaZsYWMn4L1dSpc6AhN,80,https://p.scdn.co/mp3-preview/d283f120c773725e74fc2582099dd6833b237a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,This Is America,0b9oOr2ZgvyQu88wzixux9,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,7arx9qPJexCsDz67El4qvk,77,https://p.scdn.co/mp3-preview/01afc9c7c44d7b4b01d2340a00e586031827b243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,If You're Over Me,01k24g94i1JvkFLQmVEdCd,Years & Years,5vBSrE1xujD2FXYRarbAXc,If You're Over Me,0l3xFNgfm1mT3fLIRsgRtW,72,not available
22,Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,82,https://p.scdn.co/mp3-preview/9b9fb07cc053e76f66dcd1c5f1ae5cc0b89ab459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Familiar,0Y4hwUppbGc8aIBmiTz30A,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Familiar,1L5GP3Zuu7BvI81OJ0VkpT,74,not available
24,Bum Bum Tam Tam,4zWO4gvuFtw6EJZC5FFGlr,MC Fioti,2W6kbe0nm96COrHzNmfLLd,Bum Bum Tam Tam,5Elw9ACrwV2uz7IJzsUicK,11,not available
25,Nica Libres At Dusk,4w7sZkcNTSSHMIVQZdIJHu,Ben Howard,5schNIzWdI9gJ1QRK8SBnc,Nica Libres At Dusk,7zgaaOemI87T6MgC3b2ub0,9,not available
26,Broken Clocks,2fXwCWkh6YG5zU1IyvQrbs,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,73,https://p.scdn.co/mp3-preview/321a1445edbb8f68365ebcbc98d60c00bb7d234d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,High Five,5vqHLzf7taArjOT4yzlSJG,Sigrid,4TrraAsitQKl821DQY42cZ,Raw,1VyusuPKHWr2fC5l77hi1L,14,not available
28,no tears left to cry,5SxkdsY1ufZzoq9iXceLw9,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,2AkKk7DFnT2IV1gPcq7RCQ,25,not available
29,Nostalgia - Single Version,4pSRM0u2o3FsflPe8Mh2vg,MØ,0bdfiayQAKewqEvaU6rXCv,Nostalgia,3YzNYzDNvzFgMHE32CAlip,50,https://p.scdn.co/mp3-preview/6517f32c0539acd37a41b0f72edafafd9e9dee4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Be Careful,6J3YPOejivwLSjM2dru5Ad,Cardi B,4kYSro6naA4h99UJvo89HB,Be Careful,29PjmuuEZ2YCqkCoIjAoEt,54,https://p.scdn.co/mp3-preview/7f899f08b2db2e6834c8f8e618a15273c6489db7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Love Like Waves,2HSg1bU4ZmlVbhyYZ8YdyE,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Love Like Waves,2V98q9rmDt1GMoPkPxsCUt,50,not available
32,2002,4Pbg79cTBu4vgSphoyNq3j,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,6oSxSPOg7Kuitjt2zwP7sU,78,https://p.scdn.co/mp3-preview/393689f63c149cefb1f1293494058b93a0e19891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Turn,4GxWee692irccH1QOmRRLl,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Turn,0FaTTMkGSHyPYZ6QVxRmph,55,https://p.scdn.co/mp3-preview/e85b7db61e6c5ecbccebf62a0df129a39c97d8ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,There's A Reason Why (I Never Returned Your Calls),6fpwnFX30ZjUBiaOdx1yRB,Blossoms,22RISwgVJyZu9lpqAcv1F5,There's A Reason Why (I Never Returned Your Calls),2kK32dYBbqYE74gHTIhc5L,35,not available
35,Let Me,7Fg342AJtNsIDdwCfX0paC,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,Let Me,3f6U9vS5x9EjSITxR9spuf,16,not available
36,Alone (Feat. Big Sean & Stefflon Don),3tbNT2X5tfMIVeUflYbZUZ,Halsey,26VFTg2z8YR0cCuwLzESi2,Alone (Feat. Big Sean & Stefflon Don),190COxDpvoXiXx7a9WofgJ,65,not available
37,All Night,0eSu1GJ3RybVgWLI5nRZ33,mishlawi,27zRRhF2K0ai7JQxgAOZMF,All Night,6yDVadE82BW0ax0sYuARBc,2,not available
38,LOVE. FEAT. ZACARI.,5WkPWduQVV8fh7pppm1fqg,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,DAMN.,7wbJhbCvhPfbK1CLAkpq25,11,not available
39,High Five,5vqHLzf7taArjOT4yzlSJG,Sigrid,4TrraAsitQKl821DQY42cZ,Raw,1VyusuPKHWr2fC5l77hi1L,14,not available
40,Love Like Waves,2HSg1bU4ZmlVbhyYZ8YdyE,Friendly Fires,3mZqziCJj4pq3P2VBpmK6p,Love Like Waves,2V98q9rmDt1GMoPkPxsCUt,50,not available
41,I See You Shining,4fRFGGrfPAwIczB47434AL,Nines,0tPKcpC8yXpfdWXFcN7Vwr,I See You Shining,5rWVLiCjiM8XavVQgJHfQV,46,https://p.scdn.co/mp3-preview/a7f1baba5d9b50ff9bc609120c3259a6c81e7e29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,In My Blood,79jX8RM5CgPqDKdGEKNW9K,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,In My Blood,0OrcP3iH5AnzeEmvlpunlN,20,not available
43,I Can't Stand It,1UmAxoKgLsmpCSKGZLcRNE,Blossoms,22RISwgVJyZu9lpqAcv1F5,I Can't Stand It,5RCzSNqjbNGtlAOfVGqlvV,6,not available
44,Answerphone (feat. Yxng Bane),1HagMz5nWk1HmevNCBOxF3,Banx & Ranx,2uFC1dAj5b0YU7vulKNZ0p,Answerphone (feat. Yxng Bane),5zg7gO8BMZpwEt8Cb8PNC0,65,https://p.scdn.co/mp3-preview/765f451f87b98f0edf8b92481160824405f98c8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Fire In Me,1hJyCJF9Jy3GgtYlM6jKXD,John Newman,34v5MVKeQnIo0CWYMbbrPf,Fire In Me,4CyyMXnLqqP0zaccPeeM3F,1,not available
46,Last Words,0dAuXM6TsZM30gO1DrXBbE,isaac gracie,5Smb3KB29epOb92Btsxulb,Last Words,6rxK2o3lyW4oTQauhdj7ef,30,https://p.scdn.co/mp3-preview/a8a3e6c4288d4f16cd1822b094c8e4f293e63b46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Higher,6y0tDMrNysXshULtc6a5tS,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Higher,2DdlcGDQQ5iI3ZdvJ7zGVU,32,https://p.scdn.co/mp3-preview/fa18cf648264ce110f20f767639db866656023c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Can't Sleep,5rrxDuctPS94e6LE56PhvU,Black Peaks,76Se0uC5hM5u1R410UHAFp,Can't Sleep,0UvMBj2DpssA3u4H7iTPAn,20,https://p.scdn.co/mp3-preview/af45b35347c3aac853965bf5fae0b99ebe873ea8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Ghost Voices,7ipGvvE90ROUNFw7ZBXBTO,Virtual Self,0F52YLV7uWqaJfMMDgG737,Virtual Self,7I3PH61aLVNVj4EVvU16WG,58,https://p.scdn.co/mp3-preview/da7d39962c3b56dd96479edd541f6c3710b92b12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Make Me Feel,79GsUxLyzxgnN4I1E11dtO,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,59BJKBIqMxOYMTzV3sAmQY,55,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Tongue,1O8OdR959htAbFmYrj0vOa,MNEK,7uMh23xWiuR7zsNkuNcm2G,Tongue,5KcQYRoUCaCYZ5oOtYAL87,1,not available
53,Want You Back,2Pvr8rYuh5J8V7QglJhH6W,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Want You Back,3K2xMUXaUoOB5mBlXkKOTx,8,not available
54,Swingin In Da Whip,3SFmfU7leS018m42be7r6h,Da Beatfreakz,3Q8Ow3li2nXzZhRPHMwR7h,Swingin In Da Whip,4CFOvSLTKTC3HfkXlvrok8,0,not available
55,Beat the Birds,254SBUVfM7Es3bznufRjcI,Annabel Allum,5vkZbKJdzVGMguwXljppOz,Beat the Birds,6ci1YMyneI7Cll0DQ0Wd1K,3,not available
56,Want You Back,2Pvr8rYuh5J8V7QglJhH6W,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Want You Back,3K2xMUXaUoOB5mBlXkKOTx,8,not available
57,Sober,487Rujof1K5Y0Oa2jwwOo5,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Sober,0C6iDIZ7IM2ensL8Y7v1lD,1,not available
58,Roll Back - Single Mix,7ko64FZgc63TnZuYhusU21,George FitzGerald,3KOHpygRuo1ruQAbEneR3t,Roll Back,5b6TuPfFvUpIllFHZgCUy2,59,https://p.scdn.co/mp3-preview/810cb0aa151280adaa4410a805a877eaff8eb850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Make Me Feel,79GsUxLyzxgnN4I1E11dtO,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,59BJKBIqMxOYMTzV3sAmQY,55,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,The Middle,2ARqIya5NAuvFVHSN3bL0m,Zedd,2qxJFvFYMEDqd7ui6kSAcq,The Middle,1D8u1ccrRXyFMOGTEXTgTX,27,not available
61,On You - Radio Edit,3XyrVgRNgHzCjvr4lPUlza,Michael Calfan,4CuipEvwcoQggmCV8jpKF9,On You,0SregtuDjXDnCdsQ8xj1Bt,43,https://p.scdn.co/mp3-preview/0853cf4f6fa31a44b59d4923d2f0515f009a1617?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Make Me Feel,79GsUxLyzxgnN4I1E11dtO,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Make Me Feel,59BJKBIqMxOYMTzV3sAmQY,55,https://p.scdn.co/mp3-preview/214ede6c18faaba9935774edfba69e50d7fbf6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Novocain,0XIAZIR0POawfn7LbBteKc,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Novocain,7gbkJD35tpFFpSUK2Jk1sE,1,not available
64,Mine,6tHWl8ows5JOZq9Yfaqn3M,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Mine,5TR37lsXlmSmzFuIcXn5Dp,17,not available
65,Times Tickin',0ALIa3fNsBvodOAmekGrZ8,Giggs,3S0tlB4fE7ChxI2pWz8Xip,Wamp 2 Dem,27mNQZONIXj8cIDmDNMwqt,0,not available
66,Check (with RAYE),4i8ObH2xPP4DSNniUJlgar,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,Check (with RAYE),0CoVa5cPLOwxR8Z3XeflhR,61,https://p.scdn.co/mp3-preview/3e0cd6e95fc5d44a49ef50f68ed8392ff722c46e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,All Your Fault: Pt. 2,6t5D6LEgHxqUVOxJItkzfb,83,https://p.scdn.co/mp3-preview/8965aca26c5af239f57cb6ec1570db1fd8be00f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Water Baby,1T9z3F2gPTTpi3r8gmy6il,Tom Misch,1uiEZYehlNivdK3iQyAbye,Water Baby,1eG8nI5TfqmhLPur9OxpVS,47,https://p.scdn.co/mp3-preview/93477ced0751336293cc40ec697664cf0fe244b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Roll Back - Single Mix,7ko64FZgc63TnZuYhusU21,George FitzGerald,3KOHpygRuo1ruQAbEneR3t,Roll Back,5b6TuPfFvUpIllFHZgCUy2,59,https://p.scdn.co/mp3-preview/810cb0aa151280adaa4410a805a877eaff8eb850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,4TEJudQY2pXxVHPE3gD2EU,Look Alive (feat. Drake),7GGoJfKFOwDNuiLjjfzyCS,81,https://p.scdn.co/mp3-preview/4c9c1f93e4b6032679d772a0a8c3c28cef5a42ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,The Man,0BINUtH3sS6FedTJFTdzDN,Goat Girl,1ukEEwzjucRtFTxiw2DrDZ,The Man,41d5DU72kRbKa6z9ywgAwK,22,https://p.scdn.co/mp3-preview/97ce74c6486b3f55216cdec323777494dce473b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Get Out,3dhl7hXKfEeGYshNWUqaiy,CHVRCHES,3CjlHNtplJyTf9npxaPl5w,Get Out,6EQ87rXIF6oMSPjSOXD0Xi,35,not available
73,Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,76,https://p.scdn.co/mp3-preview/8528a83aabba1174b138f919363776a6fa32a993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Pray For Me (with Kendrick Lamar),4FKqLfrZNloY0vp8Pxjz6c,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Black Panther The Album Music From And Inspired By,5f8pMn2A5d5lKMDapYbCmp,4,not available
75,Water Baby,1T9z3F2gPTTpi3r8gmy6il,Tom Misch,1uiEZYehlNivdK3iQyAbye,Water Baby,1eG8nI5TfqmhLPur9OxpVS,47,https://p.scdn.co/mp3-preview/93477ced0751336293cc40ec697664cf0fe244b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Swim,3EhCdKh1BEphWhc7PQKO0X,Fickle Friends,1nhSLEYdoBHG6cJ8NDwoF1,Swim,5wALrbgvqWFZusNZgX0Fad,0,not available
77,Cheetah Tongue,2bcO1AHNC66Gm9D7vwaj59,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,Cheetah Tongue,2XS2QHXzDVRCXu4z5riF6z,44,https://p.scdn.co/mp3-preview/89715b5221a8eaee3a621544a323fa6cf174dbf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Come Thru,33XT9brUhUvGLUhlICUI86,Ms Banks,4imxqng3RrOBmykL2DhIJC,Come Thru,01ldWRXYlP6Es0u26WOWMp,0,not available
79,Hot Pink,6HdC0nzNAXtQknoaRcn2kT,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF,Hot Pink,2ZFBFyY5SwMWVrRsVfXDoc,29,https://p.scdn.co/mp3-preview/f135ff7423e12ed994499d3e0ddbd51efa30f723?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,The Answer,5b8EsNKlGRtMjValfGgCGp,Example,6Vh6UDWfu9PUSXSzAaB3CW,The Answer,3pzh8pet4986nM3sojvuWP,34,https://p.scdn.co/mp3-preview/a6e9d6b974c39ca74ccf34f097b4516e29a1ec60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,MIC Drop (feat. Desiigner) [Steve Aoki Remix],7Ed6BkggCS2KaKY5YlINaF,BTS,3Nrfpe0tUJi4K4DXYWgMUX,MIC Drop (feat. Desiigner) [Steve Aoki Remix],2TpvJhw6RYTTn4eDrAb3eJ,67,https://p.scdn.co/mp3-preview/af5e216f90b95f0c232bc475d2286da9b3ad51f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,God's Plan,6T8cJz5lAqGer9GUHGyelE,Drake,3TVXtAsR1Inumwj472S9r4,Scary Hours,2YDNDwQvsU0njt7Kq0xNRY,18,not available
83,Fine Line,4W8Ll3TxUGHF6djyFJjC6e,Mabel,1MIVXf74SZHmTIp4V4paH4,Fine Line,4gPw904zIMC1WL9oqSCla1,37,not available
84,Personal,1UVuZnfWsGvS9TzZTVIkdv,HRVY,28y6CyJNkGNjJQKrlx4AmN,Talk To Ya - EP,5itlfpzlsRcAoVNeJ1A6kq,6,not available
85,Paradise,38zwkK6TtTjIW9tpYBfZ3D,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,76,https://p.scdn.co/mp3-preview/8528a83aabba1174b138f919363776a6fa32a993?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Fine Line,4W8Ll3TxUGHF6djyFJjC6e,Mabel,1MIVXf74SZHmTIp4V4paH4,Fine Line,4gPw904zIMC1WL9oqSCla1,37,not available
87,Chasing Shadows,7aknkfCnDiFNkCLc7zFlGK,The Sherlocks,4SrofCfzlhtiKRAsMfBxV4,Chasing Shadows,7glHtIxQSx7K6f38hn4tJG,0,not available
88,Techno Disco Tool,4dGWqeULKD767yx9NIMcEv,Mella Dee,2iT8KIetokMHRjhj8dJuNn,Techno Disco Tool,2lp65IrqbdOdbygnaXzMqv,45,https://p.scdn.co/mp3-preview/7da26edea6e078e23d638c494b3770cba0e4bcaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Wavey (feat. Alika),5KvRFKrsapVHYNzoM7rDUw,CLiQ,2IQIEHvL14Tj7vOKHbIMMj,Wavey (feat. Alika),7du62jeGMG382NtV9j71jZ,61,https://p.scdn.co/mp3-preview/3ef709e1266edd03ccfe88c90aea56ab052bc117?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Sober,487Rujof1K5Y0Oa2jwwOo5,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Sober,0C6iDIZ7IM2ensL8Y7v1lD,1,not available
91,My My My!,2Tq2R8sRftNEqdgJK5HadO,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,My My My!,7wQrwQy96jtQETGmyGzxr8,10,not available
92,All The Stars (with SZA),12SJpYZEdj4kzWZ8FPFg4Y,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,All The Stars (with SZA),00sYOGTSrxhh2OSiWigGbC,11,not available
93,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Finesse (Remix) [feat. Cardi B],3mumK2ar9b4JPhVOZR0V2p,78,https://p.scdn.co/mp3-preview/10fbdd7986417e30e3bbf06d3fa22efe1663b2ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Bum Bum Tam Tam (Remix),7cj9SiZSCVld4r6hWEu2gy,MC Fioti,2W6kbe0nm96COrHzNmfLLd,LIBERTY STRANGE,5JkcsKQ8e7bJQbU5R5jLOH,0,not available
96,I Can't Quit,0XiZ2H6hFwXGm5CjoJza0a,The Vaccines,0Ak6DLKHtpR6TEEnmcorKA,I Can't Quit,76mk9klew7ciaAdXYXM72A,54,https://p.scdn.co/mp3-preview/cb053b75b0535cbb3ed5e17e2556633783376291?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,For You (Fifty Shades Freed) (& Rita Ora),5hM6sP0Gh1jD57drszNueC,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,"For You (Fifty Shades Freed) [From ""Fifty Shades Freed (Original Motion Picture Soundtrack)""]",05qNixNs1TgA2oZ3cvNsVB,15,not available
98,Filthy,1L3NV7VrCiuE8C5QlhdeQL,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Filthy,730MjVEfvrWeEloF42B5U1,53,https://p.scdn.co/mp3-preview/b021ef347d0a623f5721007415d058a8fef51628?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,The Weekend,6gU9OKjOE7ghfEd55oRO57,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,76,https://p.scdn.co/mp3-preview/4c112b50719f0d39deb0b9f1fa2601eb0555cc73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Finesse (Remix) [feat. Cardi B],3mumK2ar9b4JPhVOZR0V2p,78,https://p.scdn.co/mp3-preview/10fbdd7986417e30e3bbf06d3fa22efe1663b2ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
