American Anthem,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
29,No Scrubs,0x71Ua6hHfdKWgk4XPmNn6,TLC,0TImkz4nPqjegtVSMZnMRq,Now & Forever - The Hits,5qyn4jD90I0A7mLGAxJ2Fz,50,https://p.scdn.co/mp3-preview/2b534d88ae457c286c6af9da18712396defe5ac6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Adagio For Strings,6a7mLvgueio7SuHgcacywb,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Just Be,3YhbbbrDETVSpF6zJFh5TA,51,https://p.scdn.co/mp3-preview/f0fe2a42faa304bda4490a3d5b5a55540bed5147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,For What It's Worth,1qRA5BS78u3gME0loMl9AA,Buffalo Springfield,3eskO5m0H4yiF64vRySBjr,Buffalo Springfield,3PkdGRruLnJ9zCtANiDrpB,75,https://p.scdn.co/mp3-preview/a0cc83ddc1b9c032f5e97546651aff9ca8b7e84a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Part IV - aka Come Sunday,2riGm2tQu96YMrMsXLTfiN,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,"Black, Brown, & Beige",3AP5uV5JgBu5haJfQjct44,18,https://p.scdn.co/mp3-preview/92d2b93d2e742f0115bf942e014c8a0629b9ff18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,This Land is Your Land,3ZjrfGcb3A2PMGA1vRNgSk,Woody Guthrie,4rAgFKtlTr66ic18YZZyF1,"This Land is Your Land: The Asch Recordings, Vol. 1",6Q75uix22iebN7q6WwNLDt,43,https://p.scdn.co/mp3-preview/6c3389ce0beeb04684cca62aa64f336c85cadec8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Born in the U.S.A.,0dOg1ySSI7NkpAe89Zo0b9,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,75,https://p.scdn.co/mp3-preview/3b6a5b917056de1d50b31687f48098b264c0f12b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Indian Red,5lAA2A2nEUCYYWfKCJhvGP,The Wild Tchoupitoulas,1WE9X6cq7c067LtIvikUKx,The Wild Tchoupitoulas,5ZIIy56yYdZDkjI5tYma5L,17,not available
36,America The Beautiful,04f3ea1BQlVrhhmxS0qMDH,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,Ray Charles Forever,2gerXwF9TDVof7oJizF7NJ,47,not available
37,Get Together,7CQXyFX44CXmnuq8Bi9Dyc,The Youngbloods,5I6MzhNEMk27cZsCqGAIYo,The Youngbloods,5s0VNKqar5MPHpL5atfTFG,55,https://p.scdn.co/mp3-preview/321c735fe8a704cff9f101c00b617f1e7785e275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,6olE6TJLqED3rqDCT0FyPh,Nevermind (Remastered),2guirTSEqLizK7j9i1MTTZ,75,not available
39,I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,Tom Petty,2UZMlIwnkgAEDBsw1Rejkn,Full Moon Fever,5d71Imt5CIb7LpQwDMQ093,73,not available
40,Mind Playing Tricks on Me,63BokRfXSQhEU6Qi2dSJpZ,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,We Can't Be Stopped,2MJEvcUvsLPjsvVgqn8xa4,66,https://p.scdn.co/mp3-preview/fb7404b0ddd6999ac742ef369e72c0f3d4b478a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Dancing On My Own - Radio Edit,7g13jf3zqlP5S68Voo5v9m,Robyn,6UE7nl9mha6s8z0wFQFIZ2,Body Talk,0Rzg7fqyWE39G6wKipxrns,63,not available
42,En Mi Viejo San Juan,3UmtazUvoIofNh5crycLM5,Trio Vegabajeño,5TphiK6LsT4X5NOZxq3NJB,El Auténtico e Inolvidable Trio Vegabajeño,5c3avGD8NMnsKq8KjR50Nq,4,https://p.scdn.co/mp3-preview/b944843345fc5de78a932d2db53a800fa63b2ef9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,You Don't Own Me,7ngRS53kqxLcEt9Pythc5d,Lesley Gore,08b2PA6eFyugsWAk41eQKZ,Lesley Gore Sings Of Mixed-Up Hearts,5eluBwSJ7uwDBizWCiazSJ,60,not available
44,9 to 5,4w3tQBXhn5345eUXDGBWZG,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,9 To 5 And Odd Jobs,64Ky1tqKPfwxhJs6msphWd,77,https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,I Still Haven't Found What I'm Looking For - Remastered 2007,3MRQ3CSjoiV1HFil8ykM9M,U2,51Blml2LZPmy7TTiAg47vQ,The Joshua Tree,5vBZRYu2GLA65nfxBvG1a7,58,not available
46,We're A Winner,5JrQKxv9LZevWZ0Fi4KQUC,The Impressions,1b1N51wmSK0ckxFAMPSSHO,We're A Winner,2FTYJvYCCgIaFlqsm2Iyh1,38,not available
47,Rebel Girl,3n0zZ1V9PXLsxtyTiqDhuQ,Bikini Kill,0gvHPdYxlU94W7V5MSIlFe,The Singles,6kwyhuzuCrz4N4vMhZ9Deb,40,https://p.scdn.co/mp3-preview/95d4796d9d804c8f79597700c21eb2a3b92d27a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Alright,3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,71,not available
49,Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,Journey,0rvjqX7ttXeg3mTy8Xscbt,Escape,43wpzak9OmQfrjyksuGwp0,81,https://p.scdn.co/mp3-preview/21b9abd3cd2eea634e17a917196fdd5ba2e82670?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,I Will Survive,7rIovIsXE6kMn629b7kDig,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,Love Tracks,1F0umQ1PItuGiP8uJDdFoX,14,not available
