All Songs Considered,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,38kpkGLuPr1nNfD3iEyOlJ,73,not available
32,Morning Comes,64S9AfnIm4m0SW3aUfIboQ,SASAMI,4pdoRs7yHNXakMobf8M9Oz,SASAMI,5dJhE07Jbhdg8wj3ysnT7H,42,https://p.scdn.co/mp3-preview/1de3bc020cf8e3a172bf9657ad31c2e49fc2594b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Too Real,1kDWfPzOJIzlxIZ75XhK1O,FONTAINES D.C.,3SXwqSqAoBz9WCI9PDQzY6,Dogrel,7wMhg0YqDuqylEVnLQQ02R,39,https://p.scdn.co/mp3-preview/4e6c0ea40608e4b385bb5b32e072fa786d952685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tricks,46jCRQeHmNXk64pbye12h0,Stella Donnelly,2mHjhKyKCLh6MZELuCe1Es,Beware of the Dogs,1pKIMs0GEePXjDC2EiYEb7,48,https://p.scdn.co/mp3-preview/9f8993f3a04c87c93a5b379e2bdbceaa6f457d08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,American Dream,5ZsSY5Ej79aAdvnXhsYBMa,J.S. Ondara,33saQZHi434TBuDAXbyU2W,Tales Of America,22R1HI790HTi7EypEQcTZB,45,not available
36,Vile Bodies,0m9PSeJ8L1OU53I2ScmgDL,Patio,2mln4aJfJQaYzFUUQ3Ji9N,Essentials,6Ji9zIuio7Nv9iidKOuUiM,11,not available
37,Flirting With Her,3MkCd2sE682YLsUaEBPtTl,Sir Babygirl,3Z9b1MnVKbJw8LpgQclsls,Crush on Me,5zR1UmNJjxW8YE0nwf0jcb,22,not available
38,Let Out,5wNOC6hgP0aKZ8db2yQWTz,Ari Roar,1RlvINnAEtvadGCcgBkN0k,Best Behavior,3f0oToEnGlvvKMH5aKjBCn,18,https://p.scdn.co/mp3-preview/b89f7089904e069eee621129f167ccd258c8e4db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Erase Me,4dejSJSFvA8ttjcQnpNLPx,Quinn Christopherson,0tzC81XDBWtTPfJyUg6O2j,Erase Me,6VsHSpnmV7dz3iOyvgsap3,31,https://p.scdn.co/mp3-preview/42221ae2d517c8794e069d6618c62e54fc80c93a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Malibu Nights,59LQkFxbgLiSJs6R6rZZ9e,Rhye,2AcUPzkVWo81vumdzeLLRN,Spirit,4emDc6rcjqJGqCj8NqEIzG,46,not available
