Best Songs Of 2019 (So Far),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Rainbow Shiner,3FQJho4JTLjaL2bfsvD9ti,Ex Hex,2LdMozrLZExZ27oOAnUgkb,It's Real,2Dpp8c1HZwOcPvirEjHFQf,33,https://p.scdn.co/mp3-preview/17397649f9c76cdb25b33f0764bae713156def46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Reason in Disguise,6F1D4x7Ifrwt5t5MleYFp3,Ezra Collective,5BRAUN0yN8557PLRZIr02W,Reason in Disguise,3qz4OoYi5iSnpCVcvHwJ75,53,https://p.scdn.co/mp3-preview/89a6dd708476490e162758c161e188e77a779e28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,This Land - Single Version,3lCfyDeaEYxEvJSnhv1ek3,Gary Clark Jr.,01aC2ikO4Xgb2LUpf9JfKp,This Land,5ddGu25wPSngfwhehpaFpR,55,https://p.scdn.co/mp3-preview/5f1714951b7bf1c60c4e2c6535e169a1e136fca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Shoulderblades,38BIm9DOaOXlg8cVt9tqCz,Girl Band,7IdPmzvB3PugXieZE9vS4S,Shoulderblades,5Xs1uEJ0AtFUc0yyZwLgv2,35,https://p.scdn.co/mp3-preview/efa250c91964c04dcfe1e4385ad98c5758159ccd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Carolina Lorelei,4pskz9PzBdr2aC2Hq8ypTg,Illiterate Light,1vEqG4Bxz3YIMuDkIcvg6J,Carolina Lorelei,6kAShYMuDoiFazcYLr9DMh,31,https://p.scdn.co/mp3-preview/a965bcab843fe6384480b0e42f295bf37cf77ac8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Saying Goodbye,4PqgB442TI25iz4G6d6BBD,J.S. Ondara,33saQZHi434TBuDAXbyU2W,Tales Of America,22R1HI790HTi7EypEQcTZB,47,not available
20,Red Bull & Hennessy,3rrzbjHWFyKcCpagbbFjrE,Jenny Lewis,5cMVRrisBpDkXCVG48epED,On The Line,2AHG3vkC3H7zqHbYdgCCcy,53,https://p.scdn.co/mp3-preview/985cc9f094a7d7a9771cfbc20ea10538f0f9921a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Old Black Magic,5lbgaOjchF4QZLdh2gw2Wl,Josh Ritter,6igfLpd8s6DBBAuwebRUuo,Fever Breaks,3qL2gdQLgulBvIo7bng2zS,52,https://p.scdn.co/mp3-preview/a85802c1b516218db1077ab050ccf7c43ba271cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Turn The Light,6vw4YLRXNvtFxA2yxVrR6H,Karen O,6emHCSoB4tJxTVXakbrpPz,Lux Prima,1kgurOfUl0Qu20MDK46xur,57,https://p.scdn.co/mp3-preview/68939cef55ffe15584921e5314f6fd148997d863?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Juice,0k664IuFwVP557Gnx7RhIl,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,6dFFcYQ8VhifgdKgYY5LYL,84,https://p.scdn.co/mp3-preview/7ca1598cec36c49118562b02491b9a030e233d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,No Te Calles,6m7bxepxPxNIIoXj7dy1cd,Rubén Blades,5BwMgvRwlq61SmknvsVIQj,No Te Calles,1e3RYgHcobBrsRTaAObhyC,30,https://p.scdn.co/mp3-preview/59d0f65bc8047831fea2427963c9ad2e8c998f1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Wolves,06WxkgbX4KNPEbUvVbZu9S,Mandolin Orange,675tsBPpaZtqyiBwEf3ZEP,The Wolves,7IAODoRuv3EzGRQRZlrmoO,26,not available
26,Cavalry,1FF52U7tumwA7Lagj4pHlu,Mashrou' Leila,2RIrl9cApI8HwM6aF4Jt5m,The Beirut School,6iTLcboWcFKHHu5nguqBLk,44,https://p.scdn.co/mp3-preview/dae7463489a13a6cb368d70ae2f57d7e7b5d661f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Go Tell a Bird,2soMAWI1jlM8O1YUF4e1LB,Maya De Vitry,183NiypM74rwjSbeava1pq,Adaptations,75KCEmU9IxlwClwPnM4KEC,48,https://p.scdn.co/mp3-preview/8bc83e01efd0aafa095c62451a1ec8facf88f5b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Kamane Tarhanin,3pNiID8HDdeoUGQxGTY5Lg,Mdou Moctar,48dgx7iGqLQ3E5KO3pzd94,Ilana (The Creator),1bbKMkgzgyZ0K3rmMezZ68,36,https://p.scdn.co/mp3-preview/63e080b4590abb8f8725fbff1eca76ddaf15ee39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Harar 1883,2qiJ6lONrZswkvYXWBeX53,Mekons,1Ag6UM6dow2OH9V06mxzV5,Deserted,0Lp3bRycjSLsmqb5oyKIfj,12,https://p.scdn.co/mp3-preview/e1855f3bcf82bd05ae4dd003f7b9b27afa46f66a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Free Soul,4xuRMmXFOy2RYXOFUmuF5o,Mykele Deville,3lKDRsdxHtcswy91r2pZBO,Maintain,00uXzsh1l9g5Y4MP6chHxV,19,https://p.scdn.co/mp3-preview/219dede551574359fa9e90a3fa4b0b8bbc5713a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,I Was in New York,4aEXr24ryY4iweom5FpqXP,Payfone,5kTeQ588I2gMuODQFHRQUu,I Was in New York / A Prayer for Maya Angelou,4cjTxzE4Hc7FXBV9CZhAnt,23,https://p.scdn.co/mp3-preview/0986120df5da5fa8aa3c673256dccd9fd69a40a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Quietest Friend,004Uj4inV5kOVGKxocLPWd,Pedro The Lion,4ApdWjZjftqD77Vh6qDbCr,Phoenix,5u76A4Ereo3ABD3E7yXAge,34,https://p.scdn.co/mp3-preview/5e288d3d91ca3b208192c50f2193018f8beec4f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Big Mouth,4R2pPYzOsxxQ3B1QapzUHx,Petrol Girls,7dEx5Gii91YpvTOzrrvx5L,Cut & Stitch,3mR4pqFm2wC3J6bgzizVgp,27,https://p.scdn.co/mp3-preview/865a1bc2632657e3f729bcce155dd6d3877422e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Divine Wine,6TbrYOUSZTz0rpOxXwmohk,Petrov,3vu8MuNdJwf1TmUO4q0TxI,Divine Wine,4ZSTvuK09pXgaW7Dt14xu7,23,https://p.scdn.co/mp3-preview/44d04d602100aee1912d17f8762b54b1f48a491e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Treat Me Like I'm All Yours,0HJfs7Dn5LJX3jq25CB2UC,Sasha Keable,7MxGWmiAbqjNOGmj23wbWf,Treat Me Like I'm All Yours,3whOB6ZS88cVSELL3YzyJ7,38,https://p.scdn.co/mp3-preview/4e98a74100cf83e6b67ba4fec5f498598ede33fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cycles,5otMQFEmbjKcOx7rfBRZXM,Shafiq Husayn,0XzVyZOZF7FIsQ7VbBZ9Yy,The Loop,2RwRyZtlOXOcg4dzx1VkhE,36,https://p.scdn.co/mp3-preview/c36b724cbaba53b7bed94554c2ea4c82a2b4ec36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,No One's Easy to Love,6GNlMOzwHdd0meQ3TSIBHs,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Remind Me Tomorrow,2dvXk4nacVRmDSnbKniwrS,51,https://p.scdn.co/mp3-preview/9863ff47d7b0958b3d755cb74486c36fd94a905c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Seventeen,7yMYqHqzye8vtyiHqdVlZw,Sharon Van Etten,2wJ4vsxWd7df7dRU4KcoDe,Remind Me Tomorrow,2dvXk4nacVRmDSnbKniwrS,63,https://p.scdn.co/mp3-preview/7e82d2c5fd8f5d66b9072417305d5f1770b0dca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Bilingue,4eFXaYD2is6c6Y645Qyyy1,Snow Tha Product,3p3jPcp8b7WL9XYj4xlsWj,Bilingue,3gpDzwcbJyZ9FwW0DrUWZf,57,https://p.scdn.co/mp3-preview/de961d5a9f6689c27ead4afd115d8977d6e2873d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,School of Design,46jjN0Ua8lzFLYs4lvQMSe,Tiny Ruins,4G4W57CTe85hPEGZ6hJ0Du,Olympic Girls,2fXjFuPIS8mmNjzrm20t4k,23,https://p.scdn.co/mp3-preview/8b3fe0abee2b591c5d7af400eebd9c34dbc4c210?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,No Reason,2KwVezWU3cXugEBqmR23Xh,Tōth,02nqs3YdfX7Th3gYTYFrqc,Practice Magic and Seek Professional Help When Necessary,1nEh5HMhNePitqWKGKKpLO,6,not available
42,Everyday,5bDXDHFVw0dscRDv0Qu1bu,Weyes Blood,3Uqu1mEdkUJxPe7s31n1M9,Titanic Rising,53VKICyqCf91sVkTdFrzKX,54,https://p.scdn.co/mp3-preview/b8c3cd537bebcf855da26af3c1bfdcd3b08f686f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,You Don't Know,4YlCbMRNnELzzAj333hvEz,Zacardi Cortez,1e5OohAPdgqCeMq3eegvqp,You Don't Know,6qRdVs6kUETGZ7GxlnydG7,42,https://p.scdn.co/mp3-preview/d3d642c42b11276bf15e6fa0480ad6a2d0ac30bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Jesus Is The One (I Got Depression),1YR9iNGXtsbrd8deR9ULDD,Zack Fox,1UH80jhsYsFztK0anu2FNS,Jesus Is The One (I Got Depression),4M8vfAVCrE4H0Qg25TyYyz,72,https://p.scdn.co/mp3-preview/6908fc4fe56baf79a59847aa923758096e620796?cid=fa83a2fec7c440b7a2795d600d6b2c7e
