Roséwave: Endless Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Tiny Cities (feat. Beck),0tfuWlmEWjQWBPYT7Cf4bX,Flume,6nxWCVXbOlEVRexSbLsTer,Skin,4NZWRpoMuXaHU7csTjWdB5,50,https://p.scdn.co/mp3-preview/a433f5915e549de66f510ad7f4c825c929086ee1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Pata Pata,6rFHmnI9Vd2zUasDXuw59j,Miriam Makeba,18RkLKfeoUgZflWv9os25W,Reflections,23nI37GDlJScXONSCGJo4r,5,not available
13,Loud,556LJMJMhRJUNb4IggLTMM,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Loud,4esQRJHaiTQycN77tdw8fZ,51,https://p.scdn.co/mp3-preview/b16bda43a961fc83e2d5a55e8d8887abd67c132e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Keep The devil Off,05YwRG6IqB1WmrINEAmbXr,Big K.R.I.T.,0CKa42Jqrc9fSFbDjePaXP,4eva Is A Mighty Long Time,6vGEX2ejVVsHTIsqI1teZg,41,https://p.scdn.co/mp3-preview/adca157f72517b189a28b494c8a4cba4937d2e55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Int'l Players Anthem (I Choose You),2bQdgtO42TfS37YWupeMrr,UGK,6ZhjJOJXXwnPS8PrXdmjLw,The Essential UGK,4lWWlBbKuWBk7xgKEkevSg,62,https://p.scdn.co/mp3-preview/283e5d6415c410d1ac0900835ada0bed1434cd86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Daft Punk Is Playing at My House,73mlvsfJM2qwlDUJxeaatI,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,6aSk2vxoY3xtz7cXKuY9EL,60,https://p.scdn.co/mp3-preview/8634644cae2fdfe9574c4859ac978cc7bbbf0cc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Strandbar,6reLfBSO38qmFgHgz6kAs0,Todd Terje,49gaZqfow2v8EEQmjGyEIw,It's Album Time,4pefQ21iSk8hdnxw3WSB5Y,45,https://p.scdn.co/mp3-preview/c511a484b0b7f9211e176cdd882336df0665293e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Zombie,11GDQVqIEKAB4QKOcIVOvG,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,Zombie,4CGGf13zt9Jva2ia4CKQi6,41,https://p.scdn.co/mp3-preview/8663d26e09de3abd94d0b3224489e9e71c297608?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Lloraras,23Fw0qh3Onqn2276LiL2pT,Oscar D'León,1c84wItoiAe1pEbpJMqUmQ,15 Exitos De- Oscar D Leon,412ARc7ByOTB5iwnc6fZ6i,66,https://p.scdn.co/mp3-preview/3262b4e97fe8f91a49238dfdf7d21e22597d28fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,All Night (feat. Knox Fortune),60xaS8mYBKUW4VQQ666N0T,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,Coloring Book,71QyofYesSsRMwFOTafnhB,69,https://p.scdn.co/mp3-preview/f2551c0da9b71a71cfdcf5c59b09d92a7a971893?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Dangerous,3hA1SpBM4kiw5Qn0QVT6Nb,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Rhino Hi-Five: Busta Rhymes,2EPeBMynIyc2TXI3xi9R8x,10,https://p.scdn.co/mp3-preview/dd07d38cc67a41d9fd43a6ce4765296ab9c1377f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Return of the Mack,3jDdpx9PMlfMBS5tOBHFm9,Mark Morrison,6V3F8MZrOKdT9fU686ybE9,Return Of The Mack,6plavTFCGXv5vpy0jZVtOV,73,https://p.scdn.co/mp3-preview/77bbf1e3bc27bfe6339579f71fc0b612391aa5e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Como La Flor,5ubqSAc9LxUS2CsMHcA4kF,Selena,6IE6z7DcZIT4Ml3Fh5Ivch,Dreaming Of You,2IevUWpkZ9KUcr6ZhtklE0,65,not available
24,Roll (Burbank Funk),01bfHCsUTwydXCHP1VoLlI,The Internet,7GN9PivdemQRKjDt4z5Zv8,Hive Mind,27ThgFMUAx3MXLQ297DzWF,57,https://p.scdn.co/mp3-preview/6c034dfef56164d29094091854ec976eb146989f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Everybody Mad,5R443dM3IGHeWtVuro7DQA,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,Everybody Mad,2GY0ayvMutwRCmDwuISUw6,64,https://p.scdn.co/mp3-preview/1ab74d31b596f2391f7d05924f934a491cd4d542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Party,5rJsYzKWZpdZwrS4Yj7U9A,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,7cvVgT5RXbcUo9Qw4nq31D,30,https://p.scdn.co/mp3-preview/a80b8733923fc02a13e6ff102518582299771e82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Bad Girls - N.A.R.S. Remix,7kuS9KLDqaHaQ1YYqUCI2z,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,Bad Girls (The Remixes),1JV2adHIREQSZWTCrn6CbW,28,not available
28,Good Life,1fLdeDTrJWNkwOeFyAVLvF,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation,3SZr5Pco2oqKFORCP3WNj9,12,not available
