The New Alt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
77,Into Happiness,5lIwTyrz9zw2f9yr1ckgex,Phantogram,1l9d7B8W0IHy3LqWsxP2SH,Into Happiness,391JhRN2yd7Yqf20uOpFvi,58,not available
78,Cool,5VxMwN8U9QgWfkjr5yPkEF,Knox Hamilton,1XyjBsbZBunXsYDTkaYtk9,Cool,5WnkqIMgFF52TxVnWLtpi9,44,https://p.scdn.co/mp3-preview/b2e244adca7d2660a36fe890df02d2b4eed5ada7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Style,7akT9byQsktEwWGHyLeSPs,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Style,6jvxwl7xgHR1YMoE8sAFmO,48,not available
80,Pilgrims,4z2DaDhK5mVmWb8eHTlIZr,New Dialogue,1LrZbHRZ3WMonnXy9NU3Vj,Teach Me How To Feel,2xtJxu2jv4uozI62pUFo6G,45,https://p.scdn.co/mp3-preview/2d5dbf4585cd131671e5f9788e84c48e8b8e8eda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Running Up That Hill,7zLeOgBrdrCfMf47MCyLMC,Meg Myers,0W8xe7IqAPlnBRMUpWOUuJ,Running Up That Hill,7a0mQ4UEg2hTop49LkmNuq,57,https://p.scdn.co/mp3-preview/92cfc0e2460a5dfe65e9f5bbf54419428dd71c01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Hallucinations,7zpMz3am0n83WmDxVqp9GQ,PVRIS,6oFs3qk4VepIVFdoD4jmsy,Hallucinations,7sT2KnQBRad6Wd9yeEYyuL,64,https://p.scdn.co/mp3-preview/a52b916d4e3bdc2756a4deb91dfbff9a2d3db72f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Saturday Night,6DHsjuGtZzv9jgHtJNOL7j,HUNNY,5rebfYbZVIhbRVcRKWVOAh,Saturday Night,3S32NnNVxMbJ1nuHi5gRPB,46,https://p.scdn.co/mp3-preview/53ffe33c07b6939b5665047af6ead07039456dc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,My Honest Face,0UB9FchcGKnQ7GCDl9dJjF,Inhaler,6lyMYewq2SuTFIXgiv7OxH,My Honest Face,07ZR3JqB2j0tAMc8bPRLan,61,https://p.scdn.co/mp3-preview/2ac90909c2090885a60a26e6de58b9115acac61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,slow motion,68f2VCzxSXNdHXMpZKLacF,flor,0szWPxzzE8DVEfXFRCLBUb,slow motion,2YJ3k22rcr6gWVtzfyl1BA,29,not available
86,When Am I Gonna Lose You,7ze7X8r4fopBs9ZRtwYFOX,Local Natives,75dQReiBOHN37fQgWQrIAJ,When Am I Gonna Lose You / Café Amarillo,5H8ISmLN3YojIx9mM9CslN,17,not available
87,Scatterbrain,3pBgN9IjEwb5gQy6u3VfFF,Kulick,1rwaNYO0jV0TYiZm4SQTOe,Scatterbrain,0ZttEyvTs4HcTkwRzW2hli,42,https://p.scdn.co/mp3-preview/71987441c5783d203203ed5716349346dab55bd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
