Rock Hard,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Brand New Numb,4KTgD62vgozCfk2Inbo9fm,Motionless In White,6MwPCCR936cYfM1dLsGVnl,Brand New Numb/Disguise,4v1UzWSBBr1RICtdwTIn7E,23,not available
42,HAUNT ME,0iGq43WpzuMfwUUEjY4wHK,While She Sleeps,38LdIuxB548zgHoEY2AN7a,HAUNT ME,5XgcceOVdqIRC6CMUyqun0,54,not available
43,Tear You Down,4OLNZ3wmdoMpAjlIXsEEBV,Clawfinger,1xE3snzm12GBK259IqEFlY,Tear You Down,1UiqSdb6MYn4kI5Q6AXfCN,41,https://p.scdn.co/mp3-preview/1a2e32984f167c0d25da3f8a4d341af50fba7387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,From The Ashes,7MUApcEEkcIQ2iufufk2Xw,Red,01crEa9G3pNpXZ5m7wuHOk,From The Ashes,050sjrVRAeM2sm1uOEYYbV,51,https://p.scdn.co/mp3-preview/15a50b68f177fa3bef545072dd35b7bc8de0158a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,You Never Know,2KJwci3DPtYbfg7pxczvWf,Beartooth,6vwjIs0tbIiseJMR3pqwiL,Disease,1EFr8cW4waL1ASHS1RdmhF,61,https://p.scdn.co/mp3-preview/410b9f863bad66a678df90d269d3d5a928fb5323?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,SAVAGES,6ZfTIN0gmZft7Ewe9gjOyR,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,The Silver Scream,3DVjLNjzyZBVc8eZcJoulz,58,not available
47,Chemical,2XAjNdO20yRaXSGARd6fCw,The Devil Wears Prada,0NbQe5CNgh4YApOCDuHSjb,Chemical,4pEnCDCsZ8iWC3HaF98g2P,55,https://p.scdn.co/mp3-preview/7a11328851225f87f87e173ed7a54074487548f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Last Day Under The Sun,739K06ZTvtdbVJc9RUmoFx,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,Last Day Under The Sun,1tNmAs7Bx2PXO42zfNgeqn,60,not available
49,I Don't Wanna Be Me,2tNx0sauNCGfpniMNu9hEh,Trivium,278ZYwGhdK6QTzE3MFePnP,I Don't Wanna Be Me,6vupYQiT3uyxz2a25HUNX9,56,https://p.scdn.co/mp3-preview/e5c6752401c3a070352fd38918a5c7572998947f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Out For Blood,4x241uAmPrxKZdCZKt2r5t,Sum 41,0qT79UgT5tY4yudH9VfsdT,Out For Blood,1HpntKICUDQq2auvGXclE4,62,https://p.scdn.co/mp3-preview/29e718305d81bd19c4c0429b1f593f21c8f02b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,ANIMAL,5J7E7oivyvyxGfHYfb6Cdd,FEVER 333,1B0155rdv175D1tQ8VH7Oy,STRENGTH IN NUMB333RS,5PvosHtqCuqLK8A131lGZf,51,https://p.scdn.co/mp3-preview/7b48c93e4346020f411af4db0803380d5ab69f7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Legendary,2gYCaUsqrnBOt7DymQCY6d,Skillet,49bzE5vRBRIota4qeHtQM8,Legendary,3YBM8Bk5cfjLLTwJx8uWXb,49,not available
53,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",4Nr465nCPqLBUi6xmms5uL,Bush,78SHxLdtysAXgywQ4vE0Oa,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",1DkZpUrL7wsMYbnVA9wlwb,61,https://p.scdn.co/mp3-preview/b07a0aa6dff14fb69ec49171b7393ed41b08e6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Light in Life,3k1vdqn4iv8hRhIZeVRNpJ,Silvera,0uE76EfCRAHXuM0n5hesvK,Light in Life,4OgmP4PxhvqBNMtnaoBBnj,42,https://p.scdn.co/mp3-preview/8bebf1ef86d88f8e89d75c336ada31df73dcc908?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Come Around,6Mf8ozEDo35UcgKgKajrBY,Papa Roach,4RddZ3iHvSpGV4dvATac9X,Who Do You Trust?,4o6vvGb6VGYz725fP45kAx,62,https://p.scdn.co/mp3-preview/cb98bed80e36e6ebfec46a3605213585b16e5850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
