Signed XOXO,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
35,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Single Again,7IP0lO9tHfNwBWZ9X6TJ84,Big Sean,0c173mlxpT3dSFRgMO8XPh,Single Again,0AIFISfeloajgVP5fB9ulV,77,not available
37,Understand Me,7sMGW6lb6zKVvLA9IHUCgG,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,Understand Me,7oKFm1hLdLjPv9fMmmiY6h,54,https://p.scdn.co/mp3-preview/7098efffd847555cdca4828e53d394b3d38b634c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,not available,not available,not available,not available,not available,not available,0,not available
39,RNP (feat. Anderson .Paak),4vRaGGiQN6l2LiQxSFg6ZP,YBN Cordae,0huGjMyP507tBCARyzSkrv,RNP (feat. Anderson .Paak),0qP1uAp9EbzchSzCjjRZQ7,63,not available
40,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,78,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Brand New,1QxwcqdPXQKcHsDthDeE9i,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Brand New,6PSc7caJrncUQe5aewfW6z,60,https://p.scdn.co/mp3-preview/4d369d1d29026d195742b95c3ced05732693f6b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When I Get It (feat. Young Thug),72WzsgGndv0deRudSD2ycw,O.T. Genasis,1Zatb2YN4erBOoSivOXc0o,When I Get It (feat. Young Thug),6VaRNWngIWa2Yef3cl3z6y,66,https://p.scdn.co/mp3-preview/aa323ed8b1e5864917fff897d72776e40e47a544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,"Verify (feat. Young Thug, Gunna)",6tq6PWrJ8y8icAv1x45YXT,Jacquees,4tMm1dU6Gn04VAZ9ClHcIZ,Verify,1rXw0jdKjIl49Ng2mlgO86,67,not available
44,Forever,0oVxGuRMnawFgA8aduocfc,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Forever,2kznyvJ3wZGFCA1eYrjUC9,76,not available
45,Cold Heart,7hKnJYr6Pi237IknfXRn5K,Luh Kel,24CgJHK6T7C5OmUbiLLMjJ,Cold Heart,7GqNIGlSGCAzM1bhFKYwqW,63,https://p.scdn.co/mp3-preview/b86e869431ba6dc619727cf067d79be8b17783ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Can't Say No,7rJNUZEm3rDIgkkW3OKYY0,Akon,0z4gvV4rjIZ9wHck67ucSV,Can't Say No,4Yo428Xu0HUyU5aIglReJN,60,https://p.scdn.co/mp3-preview/8cb7a7c29dab084e484d0b7b41bafcbbfdd65d7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,not available,not available,not available,not available,not available,not available,0,not available
48,NNAN,7asoA129HgQkm3MOVEUF0K,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,54,https://p.scdn.co/mp3-preview/79008c9b7d41aa05b8230266d506e82a69563151?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Ball,0wxaf5SavDJNwAlSp5GNbK,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,Ball,4ekKjBJJ9JClQQOSIjiQyi,56,https://p.scdn.co/mp3-preview/03f8d1270becd7bdff3db4d4b5ded659175f1401?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Saint-Tropez,7C39RtGhnEw7cyf0Pyw7PV,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,85,not available
51,Top Down,6o2YQhGPwCdYBPpisPFInv,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,66,not available
52,Miami,4aalPyjg8pC5v7AQm5HJd0,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Miami,1vZqOUrU5K0cbwZbY7cJ0R,67,https://p.scdn.co/mp3-preview/475c22b49ae0d0f907518fdb484bad7334f26592?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Champagne,7km98lj8cKN41xlEmaUEAJ,Eric Bellinger,7ibAWtDtmEfaVhc1FJ3Vl9,Champagne (feat. Wale & Guapdad 4000),6z4SlflJJKpxg47A5UQ9kK,41,https://p.scdn.co/mp3-preview/5d5614d54fafc4bdccd21551541cef6ae2f1c9b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Change (with Kehlani),2beHQY7DvKp9q4vwilKKRS,Arin Ray,6TvjXbopXg71XRM9OZWqUc,Change (with Kehlani),580D5yVakExsIvkwZqbXqK,72,not available
55,Sextasy,5jlLBqK31dOqXECKn3jlMX,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Sextasy,5AHaOSqgHl1KLpfujwLpRR,72,not available
56,Drive Way (feat. Azul Wynter),0nkwj667p0oMEURBST8Nyx,GASHI,0JOxt5QOwq0czoJxvSc5hS,GASHI,1fd9ERd2XLppseTB8bTbBW,56,https://p.scdn.co/mp3-preview/c101c4987b0f1fe0e5eb97110c67a9b241a56d77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Cult4Ever,1KTvD0VZkvtO5YWQPJ41GK,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Ghetto Lenny's Love Songs,06vukn88R2dOCd6sfMaogd,63,https://p.scdn.co/mp3-preview/dda44f4af1042a92eb1efafc7bb5c645cf456179?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,One Night (feat. Wiz Khalifa),4QPOSLxGWGUPgEKcBUxp0T,Ayanis,0ce3UlXwNzZPkj78XYLE7V,One Night (feat. Wiz Khalifa),0cQ8RzYhWDzEqm9TeSqjDV,60,https://p.scdn.co/mp3-preview/736657d21a52941d4529008eb2b0c967a20c2bd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,F You I Love You (feat. Teyana Taylor),27aGlicHJKf5QY20looYlR,KYLE,4qBgvVog0wzW75IQ48mU7v,Light of Mine (Deluxe),4UYc2CKvpyr2e1moEY6TL0,70,https://p.scdn.co/mp3-preview/9c21eaee73697d32b9a5273eef2ab09d43903504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Trippin (feat. Kehlani),1C6cfPAF4i2V8pWUPdHevc,EARTHGANG,5MbNzCW3qokGyoo9giHA3V,Mirrorland,2JtlTPzThXs3Pvz8V2iBIB,62,not available
61,All Facts (feat. Ty Dolla $ign),0L6w0YHzEYfmO8Pp0ibcin,G-Eazy,02kJSzxNuaWGqwubyUba0Z,B-Sides,39cMCTDvlPDNsPSdKap9am,66,not available
62,Found You,1JBRIayGRcrxLJ9b2XH5jP,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Found You,6WCnhmNmV5yXe0wQsvFFAF,57,https://p.scdn.co/mp3-preview/b5b04435c82bfd7331c2fee27982ee025d9cccf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",63iZvr19gFAToQJdY7Sysn,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,Floor Seats,0Q3h1Bm5T7QPo8lI1S9mT6,51,not available
64,What's the Move (feat. Lil Uzi Vert),3pTScODwk9tggZzmuH6xDY,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,78,https://p.scdn.co/mp3-preview/f6a29aa98348ae5d594d9cce43079a9b9f09723e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sneeze,5ON3vOmbAsjByiJObo2CHi,P-Lo,2QLM9IFaHBtB16b8ZDaA3A,SHINE,5LECWxPVK3XQs2YssYLeJW,60,https://p.scdn.co/mp3-preview/b9aae4ca4e3fcff1c67e112d00de5939cacf257b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Hands Off (feat. Jeremih),2D8qajDbXBSl9SvaLkLZKW,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Delusions of Grandeur,2FDYcU1NTibzvrv4XDJofN,59,https://p.scdn.co/mp3-preview/a120c3bafac69953554fb57320b00f089b5f1aa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Money Ball,69a3MMNcoDtV3mmMUcB7Ou,Dame D.O.L.L.A,6H6svVOQLsIH1uK7KedZoQ,Big D.O.L.L.A.,7osfIkEHgt1CBBx2grcYyy,60,https://p.scdn.co/mp3-preview/ffa9ea7d77a60eaabe502abf9a67f1518d2526b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Turned Off (feat. Sage The Gemini),4FYdOYq9F1wLFngY5wIXLW,Marteen,6kEshovvQbjyh6RlJxxMQV,Turned Off (feat. Sage The Gemini),76AFepdYwWYxhMRO0HTrXf,47,https://p.scdn.co/mp3-preview/3743fca0f65359a6ed360416194b2ea0215b118c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,By Your Side,5kGFBGelA8yjKJNqs4Zc0i,Erick Lottary,0l5XMJjnKKhUE31xqZ6PdO,Summer On Central,1xX2eN3eq4THN2a2EUHKDT,46,https://p.scdn.co/mp3-preview/819681185b087293427d9d9a8502f36fc1c5ff49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,"Do It When I'm In It (feat. Jermaine Dupri, Ozuna & Slim Jxmmi)",7KnZjHM4BJDfZPFadIP6W0,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,I Wanna Thank Me,0a8d4BfLP3XEiuZZTWxxEQ,67,https://p.scdn.co/mp3-preview/51dddf9cb64732aa95921785ee02c14bc17a1936?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Throw It Away,0y5gx9hco8okaSecaH22k1,Trippie Redd,6Xgp2XMz1fhVYe7i6yNAax,!,4YEhTvqsptB5D1n095QL5r,53,not available
