New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
32,Wash,3JUpfFQsiYXDX2x0tGuTd0,Liily,2asx6eXv9qzj5rA0ESrdO3,Wash,6X3JINwQyEF4EUO13OBTPb,50,https://p.scdn.co/mp3-preview/8093c48ac6e650fa910692d7da1f792b59c30316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,The Return of...,2rPHjjQvdTLTWAxVLU4MnR,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Ferdinand,3XDTNBvigKCQO2U1qiBX8W,33,https://p.scdn.co/mp3-preview/3bbc0915e3b967d3c4fec725c1b51e949077b73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Swim Naked,4SM0NAUmbllfuu7YeajE4h,Betcha,3pT3KTodKJRyqpxoXINfQh,Falling,6tw7TyC4sZMrEomXECGqrd,43,https://p.scdn.co/mp3-preview/c390d9caf1b84c4bb5eff83e46964b6c2dda29bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,[Reboot],0ok2vDeauh7sJT1IxPzQTK,Waterparks,3QaxveoTiMetZCMp1sftiu,[Reboot],3soOQPd1MEVqXwxCFrneun,55,https://p.scdn.co/mp3-preview/b6c8e09d11178b77da2d2fbc25174801f2b07001?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Call Me The West,6pK6ILa3Z247Qi6FlJydv5,IRONTOM,4KY9rCrokaoFzvMfX98u1q,Call Me The West,2fF3NfnlXxX5DVxcB9j1OI,40,https://p.scdn.co/mp3-preview/ea9ba9740fb743ba4e716d1141edd2f9b085ea51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Psychosexual,2tEhNKsYDdk3kvDNOuCvzK,WRENN,1mUvCFjlnNilmIebNqKYo8,Psychosexual,2DAFZcn0CapjBv271rpPGr,37,https://p.scdn.co/mp3-preview/574b812b385b842f85c6eb1e4df2bc7c4dc3969d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Down,0Vxr81c3pS8GYwQSexzsQp,The Man Who,1wLFDPkWkMl7bNZvhmhxsG,Bet on You,5P6R9PccUcwgIL9Pgyn84Y,41,not available
39,Tongue Tied,0YhYYZa0xYMScfXy7CSZsA,The Faim,6VsU92soWFLtVsSP65rkrN,State of Mind,0C8bAFI1POhzztBVShuzll,44,https://p.scdn.co/mp3-preview/efb163e94e4aac8ff964fc6f91908b2c90702943?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Holy Mother,2u1hn1je3YMHFFNuY5qw7z,Starbenders,61jrgPBUklDAQV9DptCc8u,Holy Mother,3dLSd15RX9wblIuxYcTROp,41,https://p.scdn.co/mp3-preview/ee151291a535f568aa1fe141eb852e8cf4dd90c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Give,5jsAM3A6wgVZByfVTvwom5,Sleep Token,2n2RSaZqBuUUukhbLlpnE6,Give,3oIiCqOoegbMpu934jzxV1,42,not available
42,Heroes,2fiUnqDPvn4cIGJpvnGCqy,Sunset Sons,6yY9g2nwqyduN2RpxRHWdy,Heroes,7z4uhqUq9tdC7vE1Vrqca9,45,https://p.scdn.co/mp3-preview/2ef329015b94dd5e701ef056d6ea3b74dfd00d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Two Moons,1RUVMQIk3edRFSvBphu8rQ,The Weeks,3zE5jV6Uw9hhdWCXM8hS3j,Two Moons,0aZcpEdWi7Qkp75zea0GKX,44,https://p.scdn.co/mp3-preview/db2f6826c9f2c261d6b62b30d0e506b7c64f1fb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,My Little Lady,7faqExiToWq2YjgZ7oHNPV,Oddnote,4hta9ZhozvyoMvISi2b5gS,My Little Lady,7iR6Z1rgYkvLFSYVoQEDRL,42,https://p.scdn.co/mp3-preview/dd8d2b78620ae491973f4ca6a09cdbd30e70782f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Joy,7xoe5LnNlqmEHjNzhSqR31,MOSES,1y3itK0FVcrhTZoCIhXmum,Joy,25KgRcYODZKxSxIR7RcNP3,34,https://p.scdn.co/mp3-preview/7669a0ffdb790476a8a473629abacceb79f65071?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,It Gets Better,0OEhw85dQjvwl5WkYklDb5,COUNTERFEIT.,6HxNJuxe4WHa1XQMLryIjG,It Gets Better,7od21Y7iwjZw6sRhTelt3e,47,not available
47,Crawling,5IuCu52RpPsqtUmoDpkWd5,Glass Tides,3ss8CCHIds5hKnQ9un3dU0,Crawling,13MdF824Y2T56lMi4mzaUd,41,https://p.scdn.co/mp3-preview/0b7568f515efc3cb2459955e5c53189d675554dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Golden Soul,6hDkl6nqMRd4AWeetErowV,Breather,7Ba8z053TYSlNmaUwvWNyN,Golden Soul,7xSOwbMrMfYXqscb0zZwOX,34,https://p.scdn.co/mp3-preview/d338d4bd22416f028f367509264ee4f40d150bb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Living Proof,1Pf45EbaIsoGsXixOSYx88,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,Living Proof,4cxcRLCtG8aEyKHMdvma9B,59,https://p.scdn.co/mp3-preview/52615906988c90990e4f595f84e6d01f59048871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,1F,0WZmW9PqYynAgnzUcoajT1,White Reaper,75klPfIVnyYcyEGaicRUSF,1F/Might Be Right/Real Long Time,6BQQMEgE8RZPnvdoFoDp5I,47,https://p.scdn.co/mp3-preview/7dd834e329937f4958fdf253ccba633eb1895ac6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Still No Change,4SqZwvKIALAZcG0fY9zCM5,DZ Deathrays,0qGPycvPHafmEPTOm4M7Tu,Still No Change,3WgcpoMttnnlEO6TVUxRJJ,34,not available
52,better.,2iqpZ6Dl6we6zajEfn82JK,Super Whatevr,2kbAovdYb7krLSGdOrBMRu,better.,4DCkf4iVpRUIC21vmr0eEG,50,https://p.scdn.co/mp3-preview/9ddc2a4cefa919bee00ef6b81ecfebb2046b0cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Youthman,6eHx7x5GmteDbbCDvcdIBC,Black Futures,5tSGiNtq3vtp0dkqEefuDC,Never Not Nothing,5dsqmvwkuZNzJEhvCYpBHC,35,https://p.scdn.co/mp3-preview/32fc1630809fdb576be1e5f6ce5f6695a05320c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Running in Circles,2PBPBTrucPwv7Qn6I9a6Lp,Tempting Fate,117VxWISk8HamCQarDbIGU,Running in Circles,38kU9iW8zHzL2yLXsvX0Mr,38,https://p.scdn.co/mp3-preview/395400054813d316789bde31190babf2d456fc6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Feel Real Pretty,58L9BLQuOAwAzHhCvTpp3l,Paper Idol,6dewigIOIcG6m1XGsG4Mc3,Feel Real Pretty,0m2MtmlY7kOaQq5cVAg4DN,50,https://p.scdn.co/mp3-preview/481d860794e6b573706a949beeda6efd69cf491b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Autoportrait,4w33YnMQwcgc12g5i8ZWIm,Demob Happy,6FKokxvL5PCWIxrVhMyDgI,Autoportrait,7cgT100o8XjjkFdVHjn4Kj,51,https://p.scdn.co/mp3-preview/65afc47dcecab3ac7bfe135db0f15b058e8c33c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Sex Party,0kP4jYOuH9le6avYm2JnvZ,Left Boy,2gIGkRqCo4NK2PUCI8u4aQ,Sex Party,4NgAfTr86rkILEFBkhHZky,63,https://p.scdn.co/mp3-preview/a4deff5e6236a9f7ab8446f841c5f524a32fcc52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Misery,6Zz846CtUmQGP5z4F7sccA,Michigander,0oL26Dn9y761yfJgNb3vfu,Misery,7nqQxq17r4eUTqsDAdrL6v,51,https://p.scdn.co/mp3-preview/9b8279a3ab791302e7ab16fbe04259328500aeee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
