Very Nearly Nashville,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Social Babies,0A8YtSv4O8Y6i3RVRDBIz6,Twinnie,73zbrZKfIqOfVWaSM4k71b,Social Babies,333QOXr4z6hWxX5IIsGIZB,41,https://p.scdn.co/mp3-preview/abd0217691a31731bcf6c86eb9bbe35365224c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Lightning,2qV0kK2qSBmJpvKmM3NFVr,Holloway Road,1Kxrrv2sb3CnCBX1wACHSq,Lightning,5tHp9LfAByKiSzE10ciV5J,36,https://p.scdn.co/mp3-preview/999d1766e0fd976ee4705dc2c88b6035f3f5601f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Love That,6R5orfPIOuk9YoV7GnOz2h,Seaforth,1ryJB2bhfYjjIt8kqy4BoG,Love That,3uOBdfK51I9H0mko4OMoH5,58,https://p.scdn.co/mp3-preview/ac3ccd44f083006f6f34ce4762389fe29926d24f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I Am Too,2Yg7CpZF6qplQLz4N0BW3z,Runaway June,7yPbJOX7olhT3ynAyuj3Zl,Blue Roses,0BUbVHeDmGXl3lzOENF9Wc,44,https://p.scdn.co/mp3-preview/d99e3a5aaf4f878aafe31cc25e1c50e790e51726?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The Blue,0POIPW2WjXSyLhFA7rhDjQ,Alice Wallace,3bjvwCwQw1L6zbmG1y29Qi,The Blue,0gCiqF3DvzwvgXeYc9CDCt,35,https://p.scdn.co/mp3-preview/bc582a17bd1deb818060b9f5b3a45b1e46edc93e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Flying Visit,1UKLsQ48vSVbYkPZZ19V9m,Ferris & Sylvester,1LnhhjMNydIGawXsnfNhCf,Flying Visit,2HihnyOIa42nLcadqHaNCX,29,not available
16,City Beats,4ZidtVuf30mS8RXN6kiVgN,Hannah White,4jBAAVKZyTtkEbIaHYyR9l,City Beats,5rLw96GhMAVPNJZjZq70gm,34,https://p.scdn.co/mp3-preview/b470c88aab6e78c2dc80ed1b58f0a909188e0098?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Center Point Road,1ZBH3RN8bxxBJE9rFoZwDT,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,Center Point Road,1FGFqkB35zDg0TtrJJWNqW,61,not available
18,Freewheeling - Summer Mix,3pC1H84UDxBspK0kYoNbTR,Jake Morrell,6AMQifmWNqLxpJZhxVTJYN,Freewheeling (Summer Mix),3cncXLwy1EB7tHnoVvDoYf,35,https://p.scdn.co/mp3-preview/3fb71b3f673d14f04e550beabb6d1f8fb8726a14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Wildfire,3JReNn62aM6MfNtPCkwDpX,Emily Mae Winters,32DWWN4wxy82xoUR4gLdsA,Wildfire,4u3ax2v7CNAOG7gyDzePfR,34,https://p.scdn.co/mp3-preview/cac50396b6ac45812d7b2b7d7c50c708ac450e69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Movie Scene,6CUmJ994dhY8ZN3SPpRk9X,Bailey Tomkinson,3SIJnnckGx5KwXlmFGfKSI,Movie Scene,49O5DoZUtzH1DeTfZAGH8Z,38,https://p.scdn.co/mp3-preview/100ced8d72fb0d1da6e5ece32a366711d8865e19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Never Alone,7mEjc3ahPCmNuh0Pg8MRgE,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Never Alone,3Uy4qD8TGOKPodgYfpjUhh,36,https://p.scdn.co/mp3-preview/d75d1208fb53818f8d743562dab1490d19deb015?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Old Me,4Sue4IgfhJ15XbSJ6JOC1P,Jess Thristan,2rtfPkaYolh8brr0j5MVuM,The Old Me,2zIzIJuy0Q7bnyaOv1Nloe,34,https://p.scdn.co/mp3-preview/7dbe310ad387deccba114711538d65f58bb6da8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Signals,7758OMHtUD1iTHsJaNiUHF,Letters to Daisy,3S1K93gdL0Qlwv0KlF0hzO,Signals,4PUk4O43bPOJU6E3OxBMjn,34,https://p.scdn.co/mp3-preview/e7439f2873ce6d6d92d33d72eb2abc62327b681c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,On the Road,6XjPS8xF0I3SOlMPW88sg0,Donna Marie Songs,4NnfkppHhdO0gg8U6giW1k,On the Road,61BOrMkLt1u9PtCfv60U9Q,33,https://p.scdn.co/mp3-preview/dbccd8b7803b749dc517eae784c684f29278d217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Selkie-boy,3bEJYXRnOSP71CV6Na0EaY,The Lost Words: Spell Songs,5GL5xJTQ7CG216T9L2C0gz,Selkie-boy,0UZ41s2FpA1FBrW7wFhBBl,35,https://p.scdn.co/mp3-preview/299b0c6fee210f55dfab9acd3fd5c9a77c409bac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,One More Goodbye,2qSHQ7H5zRJGDJVRh5JsPe,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Restless Minds,5wIJ5KSFs23rMjn3JDoTR7,47,https://p.scdn.co/mp3-preview/94956ca536244bdb93b5dfbb97f78a7cfece8d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Here Tonight,38nVuIj9mi5a8oopOJhSJk,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,Ticket To L.A.,3TJSHb2z7Zo2K8ff8bMSik,71,not available
28,Y’all Boys,7BgJrMEAiwiw6lCqWZD6Pi,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,Y'all Boys,654boyGhfvAWg9ZHFqUe92,52,not available
29,Matthew's Daughter (feat. Devin Dawson),5lPYiHC6p5iXRtxOnGffiT,Beoga,659fOqEHzm3jL8AeWuOwXO,Matthew's Daughter (feat. Devin Dawson),6Z9epNjW6s5jLRe12cE0L6,48,https://p.scdn.co/mp3-preview/52ba73c5bc95d0d2ba5358126629a3368e9dc01c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Girl Crush,4DT9CHLoibGSvSjGuiFcdC,Megan O'Neill,1JqJXI7idjd9rrxOox7yiB,Girl Crush,2VYNN13fbJjSxlP3J64Unh,36,https://p.scdn.co/mp3-preview/b25e309a05140161f6ce6490c3871155c99bf266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Running Out Of Road,3IG90MK7wLYGovQ1RQYIbU,Lauren Jenkins,1whTajjCTeh30qVZD4jSov,Running Out Of Road,7LECOw8DLmvbEJ4XcL0lcE,1,not available
32,Better Off Gone,6IqUm14MgoKbwt6jdGBikH,Logan Mize,7tje8UB3cuR1ZfeJx2U38T,Come Back Road,1xCo4ulACLVZ6lbYaQKQEL,68,https://p.scdn.co/mp3-preview/314a65b4eba6b21b7dc45b324b9fddfad65c4096?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Drunk Me,3N2AIfVOq6NiTcWHIP4Oco,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,Mitchell Tenpenny - EP,36Hros61c2dlrO3A5ZapaW,18,not available
34,Closer To You,7xELq8WliIctkuvWXONX6d,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,Closer To You,2MeiGrtUTDghhGTImZuF42,63,not available
35,Miss Me More - Recorded at Sound Stage Studios Nashville,29GlN3IRVbFdOYj1D1VA0U,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,Spotify Singles,7CHARSjgktVkyi4aTatWWi,38,https://p.scdn.co/mp3-preview/fa3929132104c031e22d893273177b7d3087c64c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Why I Need You,1CDAeM6OI7XO9rwJpbu5VD,Megan O'Neill,1JqJXI7idjd9rrxOox7yiB,Ghost of You,0rmnHUhH5sXMBamWNpWbvI,34,https://p.scdn.co/mp3-preview/d3217618868dbbb8678b3442746c21ceafa229c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Angel Eyes,1ZmgEUxUlvj6IM9z1waoao,Holly Rose Webber,5XpJ14yMhurQHZWwxq3yxx,The Nashville Sessions,29bX2kb7EBQ3zKvJSMrewe,32,https://p.scdn.co/mp3-preview/023146717e9ae9dfc017d7f4c437db861a43ad78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Landslide,5XPTKgKIuFzSinSUKfrYZk,Andy Brown,7jDFhYWDrh0qzdG0op40UL,Cedarmont,1su801cFXN57dqGWV8sN1u,34,https://p.scdn.co/mp3-preview/de9abf1492119c8633ee9627497f9b7a2b664285?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,One More Shot,4k6TcdbxcemncjaTqq71lS,Kaylee Bell,4J3TXBvAMckFbTxqxNYpDj,One More Shot,3wYCa8cx0ePUEGngPUBo7H,40,https://p.scdn.co/mp3-preview/5ba714a356d678c8d9f2aa95e868c176d27db77e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,My Love Ain't Gonna Save You,6jYBb4YxMFRBRB1JHolIjw,Morganway,6lAfhJPbvjl55kW7tlqdPS,My Love Ain't Gonna Save You,5p5VrdUrcjeHBWGHBzVxeK,33,https://p.scdn.co/mp3-preview/7340b1404504ca8478b7b21931b0b55b5ef36d83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Fire in the Woods,3NVaygJnQiPC4yGaUZLzQC,Brian Deady,4CMT1do3m86rMAlPUmvGbG,Fire in the Woods,2yVrTXFtrrnR2TdKp1qIA6,34,https://p.scdn.co/mp3-preview/16a877d931dc76480ae903e3a3bab43e1f2dd5cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Drive,5Us4an9APinsWv53RRjewL,Jade Helliwell,2pGohcwFzoVMo86mOIhaCv,Drive,0m7UNOggDzdrMObAjdcMtm,33,https://p.scdn.co/mp3-preview/6db5eea19cb0a61f7c41638a10ceb185d5a377a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Get the Girl - Radio edit,7N341MRYWLY5fz5sQbSRdX,Holloway Road,1Kxrrv2sb3CnCBX1wACHSq,Get the Girl (Radio edit),1JyDhCa270a1Bg1tO5Ozew,32,https://p.scdn.co/mp3-preview/ac1805c15d726b728d528ab62112ce1c69f22641?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,It's Not Just Me,5mwa71iuTah5CMpB19K1GI,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Restless Minds,5wIJ5KSFs23rMjn3JDoTR7,36,https://p.scdn.co/mp3-preview/5d217336bba00bf7a2f92845f83fa2e3e97e3986?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Girl Goin' Nowhere,2lyEpuvVOnNGzV5c89Vnpf,Ashley McBryde,371jpyGdoChzUASOIG2ECV,Girl Going Nowhere,2FeaUU9jFydTIsVO5F8rNU,54,https://p.scdn.co/mp3-preview/649aeefc7e62acb296e38cfa277770a8fef61197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Downtown's Dead,5eFfsbjSouG8qOpg9ZqDl6,Sam Hunt,2kucQ9jQwuD8jWdtR9Ef38,Downtown's Dead,1P18FNogrQRQjmT6t06As8,62,not available
47,High On Love,5zma2kN8wKLb3x3ccnRoh0,Frankie Davies,0IvejMD1XCl3BOhDtPQyKc,High On Love,2RVEahIoo6gWPf9XExXzAa,32,https://p.scdn.co/mp3-preview/cec794a705d7606211bfa6789ced7fb67e9d783b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Lie Like Me,6liuBUOD6mPYwqwy6pxutg,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Restless Minds,5wIJ5KSFs23rMjn3JDoTR7,37,https://p.scdn.co/mp3-preview/fd092c562a73f967f65b4271a61f3e9077fa0cfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Merry Go 'Round,5UDqWOgDdixYMAgAyNbpgh,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Same Trailer Different Park,6IGpQUt0KNi5rBUXZZOFI6,61,not available
50,Guilty,6soeVwLfg0BmMi3mCdtP9X,The Shires,48hCuDf2HUMGTgMhqLfic3,Accidentally On Purpose,5Oa2ntjwl4Ao49v9ArJCti,44,not available
