One Perfect Morning,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Morning,3arVrdpOPMgLZOztBr2jM6,Beck,3vbKDsSS70ZX9D2OcvbZmS,Morning Phase,3BBFUxPg8KFmAv96SmY4ok,7,not available
11,Little Lover,6bfF5lbr59UgdsnIrpRTuv,Foreign Fields,74l5kLfO33c4T39eAROuEL,Little Lover,2DnnIUpWTtWQLMHqIjGs1G,38,https://p.scdn.co/mp3-preview/9cbb9e3bd015a7941884e54dc14b8b2a46713b30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,I Think I'll Call It Morning,59zZQ5uvMEstMiwyHJhh0H,Gil Scott-Heron,0kEfub5RzlZOB2zGomqVSU,The Revolution Begins: The Flying Dutchman Masters,6iTXdGkpPqaNkeaFUGQSCW,26,https://p.scdn.co/mp3-preview/f5224cd2f2bc1ecfd8ff2ac578f083bbee21e16b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,No Money In My Pocket,1d0Z5u83dBGQiFq0Cbmyxt,Martin Carr,3b02YDnufwl9CPIblMomrD,The Breaks,0kSvVC17WDpm7b4ZwJOfE0,0,not available
14,This Year's Love,1dQOMZz9SkT7ig0w65lQWC,David Gray,7J2lZBANizgPNfUzux31PV,White Ladder,0rK8K0z9sYhEhCW51v9jrp,67,https://p.scdn.co/mp3-preview/cacb6c787b1353a1d7133be909a8b5c69f268047?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,As Old As The Grave,43loHueYenDSbj9U12ZWQH,Eaves,2l0WcRtSv7SK2WVemoR4p0,As Old As The Grave,6OwwXRXx6bDJT03gyhqV2R,16,https://p.scdn.co/mp3-preview/7dcc932b133ff860d7561d444c8322a4fd30ecd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Just A Little Lovin',5g0JX65HgJ6iUplwQl3AP2,Dusty Springfield,5zaXYwewAXedKNCff45U5l,Dusty In Memphis,5FRB5oQaHxlDNe6gMGuzu2,37,not available
17,At The Chime Of A City Clock,3SkTI7XC0huSsmOjgBHtAV,Nick Drake,5c3GLXai8YOMid29ZEuR9y,Bryter Layter,7w9Og10Tdkh3nqrVD1D5IW,1,not available
18,Holocene,5bGd0OxvxZSATIf2eEkmTD,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,0ZMzEAuUIylHgetdWqzcHU,12,not available
19,Magic,27jdUE1EYDSXZqhjuNxLem,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Magic,4cCfFozyo6JC8acN8uIP7u,63,https://p.scdn.co/mp3-preview/4bbc6c3a61b175ca895e0f5a2ab79804f290b263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Fearless - 2011 Remastered Version,6SHabvVeSeZW4UOGIo8OpG,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,Meddle (2011 Remastered Version),397UShovgBCMVxbnDXMjUN,1,not available
21,Here Comes the Sun,4oSl4Ga2ecVNnV9vsdNOpZ,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,Just Like A Woman: Nina Simone Sings Classic Songs Of The '60s,5iFgWpYe8TI36apXgwlJlR,47,https://p.scdn.co/mp3-preview/f630ec8e88452a86c6211d5b22ec5b7d56529851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Automatically Sunshine - Single Version,61xqDN90DtWO8DQJDTNQ7V,The Supremes,57bUPid8xztkieZfS7OlEV,Motown Gold - The 1970s,3nCZf70GoDqjrrJSaSz0E5,0,not available
23,Sunny,2JdM4xPoCuHrMzOGQrMUBj,Bobby Hebb,2uNpV18izVIP7DNusoWbT5,Sunny,3X7VD7TmOXlrnWGgjM6Qyd,14,not available
24,Rio (feat. Menahan Street Band),1VT0KllWur1chY8xRvVzpb,Theophilus London,4EMtGVFvfCSrEmWaGV0roE,Rio (feat. Menahan Street Band),1sEMRsnEwpsGo67xPV6oKU,31,https://p.scdn.co/mp3-preview/a7980451cb8fef056996cb09502396e822785fd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sunrise,7zkLpY72g6lKQbiHDqri1S,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Feels Like Home,7GaAXgbFSpcJOiLlFGYyOL,71,not available
26,Blue Ridge Mountains,6T8qnBbc2rxlWLiweD1e5M,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,5,not available
27,Sun in My Morning,4GabmAbUEQ39N1MoRW92xN,Saint Etienne,1N2FgBLehaq77UEdJhCt7f,Tales from Turnpike House,3AMA5SjMsPsV7AjrwXnwpI,6,https://p.scdn.co/mp3-preview/58e0de64285efce3d517e042ced27f82a5ae9eea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Wake up Everybody,763jJ8T1utfvNqz1WRDzx4,Harold Melvin & The Blue Notes,438JBZR1AR0l04AzcYW9gy,Wake Up Everybody,6HEs5qnRcMu03zTSqMIdNM,58,https://p.scdn.co/mp3-preview/a1207245fbb97bd419448dfddd47f05bcc85e44c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hey There Delilah,0xM88xobymkMgg46MStfnV,Plain White T's,1g1yxsNVPhMUl9GrMjEb2o,Every Second Counts,5UdU4dmcRw1TG3oVZf9ZvT,65,not available
30,Tequila Sunrise - Eagles 2013 Remaster,3Ff1bUsAWYtgnDMTjYWtbT,Eagles,0ECwFtbIWEVNwjlrfc6xoL,The Complete Greatest Hits (Remastered),21SQdfthbXUibmA8Jtf30b,41,https://p.scdn.co/mp3-preview/dd0213cff3de901d4141f1a8f5c516c81f90161f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Chelsea Morning,02hJ7AVBXgN30WPNQsSNk7,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Hits,0dFqUCRbAMalnd74c4tw25,27,https://p.scdn.co/mp3-preview/5976dad073c1ca4b3a929f7cc21e6d8ea49e1ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
