All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Just You and I - Paul Woolford Remix,2NBgfdrHa281oTjYQtublb,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Just You and I (Paul Woolford Remix),4Ltp67VkSWbKeUyFUtqel8,59,https://p.scdn.co/mp3-preview/1beb23baaf1effd96dfa36ba89fa1759fa6fdfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pretty Baby,4EJI2XGViSQp6WscLKgYDD,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pretty Baby,3z2v8LSyrSGvCc8vOSLNCi,59,https://p.scdn.co/mp3-preview/5dddf5fb384e2f7a6792292a1facb260b15c224c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Dilemma,03druhrRJ5f3MJYg38NF2c,Sigma,01pKrlgPJhm5dB4lneYAqS,Dilemma,00BfFTfksSFZD9HiWqfTFR,62,not available
15,Repeat After Me (feat. Melissa Steel),3t2Cyq3GntNxnffzRRlCLp,Nathan Dawe,2gduEC76ry33RVurAvT05p,Repeat After Me (feat. Melissa Steel),6xP8h3MXi0cfTo2qx3ut0g,58,https://p.scdn.co/mp3-preview/d96ac94550c45898b7e1d6bd5129db417053918b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Everybody Wants You (feat. Sam Fischer),6bXi3POdPDmcJJ2A43pLIw,Black Saint,7JMPwFdbHhPe46HDJXKhA5,Everybody Wants You (feat. Sam Fischer),4fGbB2oX0mUJWRpYJpf1PU,55,https://p.scdn.co/mp3-preview/b8f264d476a405d35b0c77d1ef69585066ead44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dance on the Table,5OPutqODUjt2Y8fdBYTGH0,CLiQ,2IQIEHvL14Tj7vOKHbIMMj,Dance on the Table,2L0u9nblK3tphsl9HSCdgf,62,https://p.scdn.co/mp3-preview/dad4d27b2b89d5baee389353d1975fded5443897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hotstepper,7DC0O3pMpDFefdk51dr7pU,John Gibbons,72luDUYRlE8N8lPSgyhiwo,Hotstepper,0fCWjsxczZ1k3LBAzuGnVe,70,https://p.scdn.co/mp3-preview/188ae3855f59648a996172679505b9bd0d8b0902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Freak - Joe Stone 2K18 Edit,2xbRwcylUnX881qaqf5ZZJ,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Freak (Joe Stone 2K18 Edit),2gDbE9WrayhjpbI1gEhe0t,71,https://p.scdn.co/mp3-preview/0a425a911679877b6d2a7bb5a4ae764cbb59239e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Amnesia (feat. James Newman),06oqVX9orUy5UwApYNjmMT,Jacob Plant,2PJ1vRlkfKUxNzkNqYlalv,Amnesia (feat. James Newman),04ZCxYDIVM33FlZ3P8JiCR,45,https://p.scdn.co/mp3-preview/f3d2ae9cc008d66d4a01deb6953956422560fde7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,90,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Crazy,40YHYSTnIo0l6Z5Nvti9xl,Pink Panda,4DBNGKCWVHaxuDNBAgTiJH,Crazy,0qnl8lEORPWMyPXJx9YwFW,48,https://p.scdn.co/mp3-preview/3913303d6ab8d130152fa6eb4dbe24ea05a26c22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Post Malone (feat. RANI) - Joe Stone Remix,43XVdVydjpHCCGMrsjc785,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [Joe Stone Remix],45nsubB5EsRVWWqx0ED1ET,59,https://p.scdn.co/mp3-preview/3889c3377451e0a426314f5a73992559f0d9bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,All About You (feat. Mull),3hRCtSyFLhWsuSQsT0a8TL,Joe Stone,4kwEd1P9j15ZqUVP5zK7Pv,All About You (feat. Mull),4QZmAku11179D1wzeWoRn8,45,https://p.scdn.co/mp3-preview/b76580b305dd5059f5d6cec7d0723d61faa62033?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Picture (Kokiri Remix),5EJgbLu17wWI0Ru6slwCpB,Karen Harding,1QOHbhVRpDoNtRkz79si6b,Picture (Kokiri Remix),2wOYerSiM19DqcjL5cmizV,41,https://p.scdn.co/mp3-preview/f3a35f7cc0656c15de19c9c18338990ac7548541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,AJ Tracey,0vrKGjXSGcTsxNGxQdXT5p,83,https://p.scdn.co/mp3-preview/d9f524a216cfdbee1ebfc063a7d3ecf09caf224b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Take Me,1By1ldFnEnvZI47HEeTHk5,Phil Fuldner,1DKPQBaKEzmQzWG1GwJoXT,Take Me,4ZTsEtIrFPFXGo6eXt06Zk,50,https://p.scdn.co/mp3-preview/36dc0460e55338546e5e255ef6d6c273f0916798?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Solid Gold - Illyus & Barrientos Remix,4s4zrXirxpmFK0oanVjWBV,PNAU,6n28c9qs9hNGriNa72b26u,Solid Gold (Illyus & Barrientos Remix),1x5qehYOx8lO1vu51lnjPf,45,https://p.scdn.co/mp3-preview/572f2affb7b90d31606d6e99a3cd3f4a8503434f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Miracle,2lPSvn7iahl7I2L4HVtF0N,HRRTZ,6VpuPMBN4oVa62K1wS9bGS,Miracle,1gMIepNfM5QOJA100tbErJ,57,https://p.scdn.co/mp3-preview/3171360518232c11585aa7e1acfe24481ac181db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Not Giving Up On You (feat. Danny Dearden),2qdE9aIme8r2N6W1tE89UR,David Hopperman,0VAX7m33WhAKE1Q5b8Mq7q,Not Giving Up On You (feat. Danny Dearden),0nzBCUdzsDwoLoqCcWhNOn,37,https://p.scdn.co/mp3-preview/61325e33edbdf1b56d928bb98cffc0226c3e1862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Down By The River,54CEeDq1YRLtPOvVsNbxbF,Alphalove,4G59kHVfufDsMkwVr5pb2R,Down By The River,4XniWmWZjX1LvgnNo5f17a,45,not available
32,Break Up (feat. Kelsey Gill),2c0oLbC058vGMb89pAJ9EZ,MRK,7vX253va0fqx0oGl2KuW22,Break Up (feat. Kelsey Gill),4Id4enKhHcA7Wuz9kWHVxp,55,https://p.scdn.co/mp3-preview/5e6afcd5948cd8b25252cf5d5eba6e4e0f5cd2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Beautiful People (feat. Khalid) - Jack Wins Remix,7fvUMiyapMsRRxr07cU8Ef,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid) [Jack Wins Remix],2yiy9cd2QktrNvWC2EUi0k,69,https://p.scdn.co/mp3-preview/c4944bb413385d86fd1a4c7f1685ea108cb4ca28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,This Is How We Do It,0S45wqGbuBLuSFUAi9nkXw,Fresh Mode,166MwtUacodwKnPxyroDV3,This Is How We Do It,00GBY6a0DTH3utPXArfULt,54,https://p.scdn.co/mp3-preview/69cc70f6330d2189e8610e28b8abe4949c010393?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Pick You Up (feat. Penny F),1ztOeR0UMNFGj6B6b1sAi4,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pick You Up (feat. Penny F),5iEdVMinksTe5aO1ZIWBpm,57,https://p.scdn.co/mp3-preview/4c098a5ceb5f76db6aef459f18dbdde07c377c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,XTC,7CN6ZYIX338ekn7pb2CpQp,Solardo,0oO1IaDOBSeI96HbnCa5pZ,XTC,1WAa8GJB9nzUWjT0H5ZXCl,71,https://p.scdn.co/mp3-preview/3b60e63740e09c40f53e2fe8bf56d7d222b02c28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,In My Arms - Vocal Mix,5gv6VYPKge6OyVkkhhBacn,Ferreck Dawn,3cnAJv9gydgm52KFIsdvO8,In My Arms (Vocal Mix),5XN5RSXFRdeK67yCcqj4vw,61,https://p.scdn.co/mp3-preview/67ef2aa89577f0e30dc5baa893ae13239927364f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Pump It Up,0GiwV6v3AgJfdu59tj719Y,Endor,6F3vLfyutkUhpM50G84eMt,Pump It Up,3D8C4a5lYbpEu5bPQmOpJj,62,https://p.scdn.co/mp3-preview/8644bc59bd6cba7995a2a24590f15913e18e5454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,What Is It,762vNiCFtKfWLdnalxefgI,Kideko,0ZwQMCRqfyh1OGQkBh9Cnj,What Is It,1KgSI2LG3nvJ6MBfGe0pGT,59,https://p.scdn.co/mp3-preview/c0796f43549682c93925f156fb604ed4ceb4ba94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,How Long (feat. Kate Loveridge),6ibXCGpERXRnsupH52BNF1,Hannah Wants,7sK4hnuUOXw6VStDw0q8NI,How Long (feat. Kate Loveridge),6h77oBSlHHirXxxU3b4fW3,50,https://p.scdn.co/mp3-preview/a75365792f82696bc893017a53359ae167d72c82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Love Zone,58Q2eFMQwQeg7rO3vRKvR2,Kruel Intentions,6A7M8CKuuwPIRE7OqkQTl2,Love Zone,5VRHRpJg2GnvJSLkdwcwnt,37,https://p.scdn.co/mp3-preview/e69f7b8063f1c02715b65a1216390d8a6a8d6988?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Fuck Ur 9 To 5,1uvLOiIQ4vGhtMXloQBGPz,White N3rd,6o8NPPbOS8GEOfKzfEIUjq,Fuck Ur 9 To 5,0yzQoWENolRApsLOU7hXUV,45,not available
43,Let Me Take You There (feat. Laura White),5tuOGRYPjh5lV6M5zbNRNH,Max Styler,3NKKngINK1tP6BFy0WOyWk,Let Me Take You There (feat. Laura White),32DjFgVCtLPRz3HNJCEH9S,59,https://p.scdn.co/mp3-preview/83309409cca1f6b89b2874bf5e72aed35a523044?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Tribal Dance,1GbKBAyzyBVSaCHVmZkv0a,Kideko,0ZwQMCRqfyh1OGQkBh9Cnj,Tribal Dance,7pXAW3OJZ9VG3XNJkvJd5w,33,https://p.scdn.co/mp3-preview/95490c0f6badd2674f5d9421c1305e437db9945f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Happy People,7AFvQJ4osDwjyXC9KB2f2E,Wh0,132Hhe61bhvXtkygENHZHA,Happy People,3Gvqx8oQJgzuHvBY89W1ZQ,53,not available
46,Promises (with Sam Smith) - MK Remix,31rOPFFrOs33oQcfBKaUPe,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith) [Remixes],7g15PlMnaKmFMUsSpR8aZt,51,https://p.scdn.co/mp3-preview/57a12d2047543439ed2c569fba9d3bafa457c3e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,So Real (Warriors),5ElvxQOgTTUTjVfa1uhhFv,Too Many Zooz,72rZmJbRFSY6IFJAysfOdr,So Real (Warriors),08wVcFCxBwLdeODnKPcPjp,53,https://p.scdn.co/mp3-preview/41784b6ae5e82bc0a360f05795af75a31d0f8f1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Make It Hot,50defKnySgVeHc74OdBpGQ,Myles,7DhpaKeItW06kYN9EVUY8n,Make It Hot,4FEIg7S4niOq17do89ePbN,44,https://p.scdn.co/mp3-preview/209bc2d2f6a5718ba699a12e18e68bf830eba005?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Would I Lie to You,1DV5T7iCGaC6D39aNDdxTv,T. Matthias,2R7k2SovVWGhTcvPx1JbQv,Would I Lie to You,3gou6fLwfvhxbKWfS6Iy6A,56,https://p.scdn.co/mp3-preview/0939a7ee2700552c675f5315ad1f3ab64d18236c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La),4ehMluxEHC7c7Lp4blCUkW,66,https://p.scdn.co/mp3-preview/5d596bfe62a2fb24b77a32b1013520b261efaf7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
