Deutschrap Royal,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
40,Deine Mutter (feat. Nessi),4y8xXLG9O3Rbl6e1KaNRTG,Kool Savas,1SUu1Bi7ev9HbOzyVC77qD,KKS,04TM4lYgmoNMKpJ7Tgy52K,68,https://p.scdn.co/mp3-preview/ae7c669b22fd50d2b2086f0354bd55da4e501c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Vintage,6xwI9R3ZHT9nWtSYvffYQm,RIN,18ISxWwWjV6rPLoVCXf1dz,Vintage,2Cs5tYXpVlogOCmPRBQ4ku,72,https://p.scdn.co/mp3-preview/2eb8714be2270866f401e73de685be973cb3154a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Perfekt (feat. Sofiane),38KR9aB0bPkjM4gKhKr7tr,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,Perfekt (feat. Sofiane),6r0bCXNhQg24qOwmH6DyTz,69,https://p.scdn.co/mp3-preview/8d8760cf8abec497954e1cfe71f35e0c0ee2c4eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Rolex,38lQ7lYhN3eSWepnZHaiBF,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,CB6,0HSskTof4Pr4FZ5vVMY1Io,72,not available
44,Wie im Traum,3ld409h4DdrdPJzEdeU1WS,Ardian Bujupi,0pOruKWwgyqSLZhn4Xovs9,Wie im Traum,30GCBq8XDEQJu0rorVaR58,68,https://p.scdn.co/mp3-preview/3c14d2529076a6d475ac50f2a170691d14e46bc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,2 Minuten,1u5jYTx2WdptYWYpwqcE9n,Apache 207,1qQLhymHXFPtP5U8KNKsm6,2 Minuten,4xdyGrY8SLDeMdsTxRaxfx,75,https://p.scdn.co/mp3-preview/806efa377f177b798e0b3fab65723c713ed10fbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Harami,5xIODxqlpUnRVA9ewZUCug,Samra,6h1s4i4XKIYv4ErDelLDN0,Harami,1Co5X5Scq3o8pImvrsBp5T,69,not available
47,500 PS,641R77CBy4bOLGRcA9sgHy,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,500 PS,5fqNFmrbjOmQCWPpgZ7oyc,12,not available
48,DNA,4BD9yUEFI07WaDJ381DDMq,KC Rebell,5p7mWeX4RlvqBCxylfiXdE,DNA,0vH3On6OIWronQ04dLbsBz,69,not available
49,Hardcore High,4qX18Am6dJZg0ovgddL7w6,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,66,not available
50,Wolke 10,200cTjC6si5Xz9af2QeHi2,MERO,5wyWp867LWGjFmYZXVSFnZ,YA HERO YA MERO,0gd2qvKdmg1BmtF9ykwrmi,69,https://p.scdn.co/mp3-preview/652dd8a4c207b83ca6a1ab1e8b0badcb60cc3e1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
