Swag!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Wrong,28Etz9ei408rNU7p6lejZZ,Ally Hills,5Ev7qjDIU1wvhqt8nSsPrl,Wrong,3danQVcvkp27OcUXegD79V,46,https://p.scdn.co/mp3-preview/7e14d46ed4c0261af9041c405b919ddf4b7f7453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,In The End - Mellen Gi Remix,5rAUZy2eDdegBxUVYxePK2,Tommee Profitt,73jlPRxT7z5xk29sMqFDjU,In The End,4ogDiddFmcxnT4PC9lVEoV,72,not available
14,BALENCIAGA,17NCOO2YdoHdtziSV9AoJo,FILV,438DEJaM9KJdqbBUPnVYB0,BALENCIAGA,0c2qecYSSiW9ibtBlFyRWI,57,https://p.scdn.co/mp3-preview/3a63820f5301adfe70ae70b5c2749188d6f333de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Ride It,2tnVG71enUj33Ic2nFN6kZ,Regard,4ofCBoyEiGSePFAG500xev,Ride It,4zOhjJfe0dwqsNdDYk622E,90,https://p.scdn.co/mp3-preview/e19c28e007c0ba7471b1f06831fc431caff17ef8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Small Steps,306e44d25ZdX7nIlu6wy4D,Tom Gregory,6Rmg5JiRphFMlhkwGNl9Fu,Small Steps,437Z6zQZRubtLwGxczf3ce,66,https://p.scdn.co/mp3-preview/4ac5a66f1d890177b270d3ebb51883d6eb439494?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Teeth,1JRK7srBWUtAW7dPabKBwJ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Teeth,6JdZip7wqJcGYtYDnzpp8T,87,not available
18,I Won't Let You Down,2nhOcoGRNAhU3bIfCAOPWN,Matt Nash,0hxW1uZPEjt4wuu9wNDF2y,I Won't Let You Down,31goC61Zg3Hy19w3MZdvtW,60,https://p.scdn.co/mp3-preview/0e91c26944e5953863c5594d9ebe4718fa0282fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,81,not available
20,Baggage (with AlunaGeorge),214h7kR7uNssAoU5AbcaIS,Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,Baggage (with AlunaGeorge),6HkVLOM8m07Du0cz7SsnwR,71,not available
21,Shadow (feat. IRO) - From Songland,09Hjv8GEDhzPxqiJCw8dSB,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,Shadow (feat. IRO) [From Songland],2TZgCoAnwX3YJmOfyC2SF3,74,https://p.scdn.co/mp3-preview/8ae7e8df31d6b38bf26d5449e98842e29dacb619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,What Am I Gonna Do With You,1ds9cjjx2WnHiHPVfArP9R,Sophia Messa,4EtJmdsecF1RlU8cOo6BBR,What Am I Gonna Do With You,5alD8bJ5FgPzGQmyZgqTJZ,55,https://p.scdn.co/mp3-preview/795be5961a24a64fddcf4a6c560ae33f0819bdc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,One to Make Her Happy,4p4EJiDJtvf9MFFk6zEQad,Pulsedriver,6U0uBUKWYZKZYFGL00hMsp,One to Make Her Happy,4w9A6E6qCb7E1h2d0hKb27,64,https://p.scdn.co/mp3-preview/50a5a215ee44f59a1d2661660904191ce8cedc9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Dead Alive,0yjRyCmu3Oj8oU5fZ9cIwT,KIDDO,5pXe6yFchq1oyYK3rq2A8i,Dead Alive,559sIaWsRUmd3uaGVhumjv,48,https://p.scdn.co/mp3-preview/adb32babd1aadc7f33577ae052df348f1601bd69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Zeit steht (feat. Alli Neumann),22ET3BvBsXcGiwxy1uXPbU,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,6nNWkAwlHC0yIoKzzl7rnQ,77,https://p.scdn.co/mp3-preview/94dfbe1cd8f61c6ab59b96e165bf37b192e822cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,89,not available
28,Genick,1AGjF8pckOxTGeb5zubyqH,Loredana,2Im8m4STDBosjfmb5hmP80,KING LORI,0m9pMIOYMHxRj6E9IRFacP,81,https://p.scdn.co/mp3-preview/543e8de403cd1af7df2b1131cacdad18db5a97c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Never Seen the Rain,3t400hrRKe49dQYJpdM41k,Tones and I,2NjfBq1NflQcKSeiDooVjY,Never Seen the Rain,6IY4QZClu7lNx2aWMLZwZZ,52,not available
30,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Rockstar,4OgwXdylh75fHfwUzJTUqg,Ilkay Sencan,5deLgmgAEgy8UHOfJ9Dj8w,Rockstar,1US66auJ538TiXGeUf24yL,72,https://p.scdn.co/mp3-preview/2dc841ccbc3b3d399bedd5f582c596927fc33df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,FAST,6dke5spyTefPOcKKn2S1YX,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,FAST,3uws0EIPGOTiLomh1heINp,60,https://p.scdn.co/mp3-preview/c55a4d8a0badd514eef69c413fbac15c79aa9f52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,36,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Time - Edit,1gZFRYcPz3wKevEaNYRwfW,NF,6fOMl44jA4Sp5b9PpYCkzz,The Search,46xdC4Qcvscfs3Ai2RIHcv,77,not available
35,My Type,5KBARWIxeMGkvUax9VtVC9,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY,7mdpibDh6Sec6o6zItcSEH,84,https://p.scdn.co/mp3-preview/7a97ae9661d1c1acefeccf2b356435e722f547ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,There Will Be Blood,3MTk8zTFCHgMei64ycr6GH,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,TURN OFF THE LIGHT,1DHYrQEevTTen4mqPgaxfH,66,https://p.scdn.co/mp3-preview/1d5c358ad9c79a948ca9f4fe79d90cb02fb7f865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,what you need (feat. QNTN),5Wt9gHhqmcnWmIfoGwfPzs,AY AY,3RVjNXUtnYAeFA1zvzPB4B,what you need (feat. QNTN),5KKtY8csav0mKtVTV79AbR,51,https://p.scdn.co/mp3-preview/1d6e065d1c03ae9b4f9ab1ae00433dabc732d33c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Vertigo - Radio Edit,5VAME3mVIuLtW0g2Lqv9hq,Gil Glaze,6pNzdcgIaKQKsYNS5agP4V,Vertigo (Radio Edit),68tpFvfuX12FlNu3cg28dL,40,https://p.scdn.co/mp3-preview/aacc073e211c4b8da0aa856a522fa1586423d094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,The Git Up,5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,The Git Up,00xSEAMEAPTF17t2rdOFYF,87,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Jerry Maguire,7M466QpMcvWMoftWrf0qNE,Derek Luh,2sty2yOxzpMQeju4AqFw52,Jerry Maguire,4BBf84OMmzgdDMc1ioUhpU,37,https://p.scdn.co/mp3-preview/cb98e00e0fbfe1da854f3566a209638ccdcfaf44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,78,not available
42,Pookie (feat. Lil Pump) - Remix,1Tk4KVBLxD8CMAy6vJoDF3,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,Pookie (feat. Lil Pump) [Remix],0jyCBzd1EswEJ3erS61cT3,70,https://p.scdn.co/mp3-preview/30a11d945c82c5edffde39550c8e3173957587b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Fabergé,7lnQCEtaDJeMZN75siSxLc,RIN,18ISxWwWjV6rPLoVCXf1dz,Fabergé,49FJWzYuQkOYACQ1cMyb6v,79,https://p.scdn.co/mp3-preview/929ff42e551bcd18cf41de389396432de2e04c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Problems,5fgHQws1Cj6KDLQmlqM6lF,DeathbyRomy,7aWpPjjgItUnXljFxYYKZI,Problems,5qrMJHElz2d5ig6NDIY6cv,51,not available
45,La Isla Bonita,3oJYe7NI7juu1HIGyyvwec,Hr. Troels,6PUFh0Oa8MkLlpkfovzKnC,La Isla Bonita,2wxqivVtX5tvfwUDfitzg8,55,https://p.scdn.co/mp3-preview/75f2c595462f2fcfee501181302fc76a7d9c8a7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Leben vor dem Tod,1sGorUUJzayxTA5JF2Yt8c,Sido,4Yttlv9ndGjCDCVLqM7ACq,Leben vor dem Tod,1LegB8priXWa5SyfoALHje,71,not available
47,Cheap Talk,6bsz11auvhcc14mROjI5Qe,Qveen Herby,4o4tLTIJ3eWMFerz73atcT,Cheap Talk,2dSv62hP69KcXy5uMV3dxB,52,https://p.scdn.co/mp3-preview/c971838711d2e7d396b1934cefc78c9a6df950a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Hype,7I3skNaQdvZSS7zXY2VHId,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Trench,621cXqrTSSJi1WqDMSLmbL,73,https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,58,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Cringe,12rhvKDK2FfHTZZ1sSAHDG,Matt Maeson,7gHscNMDI8FF8pcgrV8eIn,Bank On The Funeral,3IQhe9N4j1tXTwKlhT2FsL,64,https://p.scdn.co/mp3-preview/dfa8f3662f490ce2c23c9f0ca93e0f9e20abb0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Ohne Dich,7yOUugfp7aVlN1fX1lW66p,Koslow,2dOn7dVLCuJWDIJfn3WbBz,Ohne Dich,2wEZZVgrkD6yfzADXxbsn7,50,https://p.scdn.co/mp3-preview/d886bc29eba8f2c9d94960da065c9f09d34157bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,all the good girls go to hell,6IRdLKIyS4p7XNiP8r6rsx,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
53,Highway,71q7gW5xpP67UNmOD7Brc8,Edo Saiya,0PVPI2jOWDJtWpOxrXnT6F,AKT01,3MZtvppXnzewVyfDsopfuW,64,https://p.scdn.co/mp3-preview/bf581d2ee287e993c15313f5faf4081a05c23b6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Everybody Wants You,4ab0gHfPvYGeF8qNycLNkE,Red Hearse,2922Q2qAcxb0hRD0LtPcFc,Red Hearse,1BrBVH1v92OAzRDijSyhj9,52,https://p.scdn.co/mp3-preview/a5c4272c23ef466af9a0f1287d48416dabe380bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Sie Is Geladen (feat. Nura),4Qt7LInzG4ruqcIrowldhg,Seeed,5ISjkNS17JpCwiFtW80lpV,BAM BAM,4Dz7LOUDNEwFDYFGu7iiIq,62,https://p.scdn.co/mp3-preview/6eac438325e5999ed8ed408fd4fa27175c431b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Marlboro Nights,3jj0kpwNbVZfsg6wWbMmyg,Lonely God,6pF6MN603wSrisJcf7HS5v,Marlboro Nights,1cTRm5LhIWUAj9ohhupTVo,75,https://p.scdn.co/mp3-preview/6719cc55424a35c6e601c76362a1e75cd701c669?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Alles,6K49ChClJkHor8EU5BPahJ,Jellina,6r4jLBpc0K1xycZAa9hwPV,Alles,15TPQyZtksU4aa8g2FEyyC,62,https://p.scdn.co/mp3-preview/3f2068098e4fea529f052232d23a8cfc4eb92685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Be Honest (feat. Burna Boy),5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest (feat. Burna Boy),4d2oTHRFwGifGFgve7zSGC,86,https://p.scdn.co/mp3-preview/55bfb31d5fbbc26818f8585c66911a5093642bc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Break The Silence,5KW6BgrTRXoQSIdIwoBmto,Sophie and the Giants,4FrXHrpbDLNyO3pbVv8RmF,Break The Silence,5sTe9JVS1M9d0DUiTUc4T9,46,not available
61,Tag ein Tag aus,3r0V6TPxdwcXP5CGQM4FbQ,MAJAN,60pVmLS5zlt31OWk340O3U,Tag ein Tag aus,1OnQew9YjthSIp6XrKEMxy,63,https://p.scdn.co/mp3-preview/a46e8f72ead632a1d79518263b9191b9409e7634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Hallucinations,7zpMz3am0n83WmDxVqp9GQ,PVRIS,6oFs3qk4VepIVFdoD4jmsy,Hallucinations,7sT2KnQBRad6Wd9yeEYyuL,64,https://p.scdn.co/mp3-preview/a52b916d4e3bdc2756a4deb91dfbff9a2d3db72f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
