Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
39,I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],1dgbFU08pXJXZhGPlybdMX,77,not available
40,Wenn jetzt Sommer wär,5la3Ns6Kijy768nRHOvpCL,Pohlmann.,1dV2H8r14HI6oAV7lkN8mL,Zwischen Heimweh Und Fernsucht,6Y8BAhxj2qE4FK5scJXM2D,52,not available
41,It's Raining Men,5TgD3Wh5ZUZnUU4tmVvJbx,The Weather Girls,19xz1vcuKNjniGEftTOSSH,80s 100 Hits,0pvhletDH7CphbKErUtPCF,63,https://p.scdn.co/mp3-preview/14f845ed905fdee623bd308df4220a076b6b6ae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,When Love Takes Over (feat. Kelly Rowland),619bJQ9uDi8dnXzLebFI7y,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,When Love Takes Over,27255AeNTU1KuApN9KjmjM,65,https://p.scdn.co/mp3-preview/f9877d70c57311941dca4782fbaa41efce514c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,80,https://p.scdn.co/mp3-preview/8a5e4f8dce6b1a957e235185a4677841fcaafe90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Dished (Male Stripper),09k2AILtAhprlB7VZmw5n3,Purple Disco Machine,2WBJQGf1bT1kxuoqziH5g4,Dished (Male Stripper),71jfjJyYtaOJBfNTIfvF3C,53,https://p.scdn.co/mp3-preview/cb8ca7553289291cd9ccc9157c326e148b3da44d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Way to Your Heart,0DUtmZD5TK6JwChuMql5ac,Soulsister,051LEaPnq5bbqCtEEowPgZ,The Way To Your Heart - The Very Best Of Soulsister,1chn17MZkrLmxv1vvkW7AN,54,https://p.scdn.co/mp3-preview/97e198a98da846949f1fddee74dd930b2b45dee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Bungalow,0xCXcq4y44uHJtJ7zZDF3d,Bilderbuch,2ErWLckuGFl84nGmg5fwyG,Magic Life,4umed49HvB2X8x3Kkjf1HO,58,not available
47,Sandstorm - Radio Edit,2kWB9IV8EHDOU9EjgxWFrF,Darude,0LhHRmSd1EYM5QdNeNnCoQ,Sandstorm,0SHWgw0LPDs37Go6oPdaqp,58,https://p.scdn.co/mp3-preview/bcbb539099c5dfe1af434e2f07ce213f7a0c42cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,When the Rain Begins to Fall,030RDC2ayPOUM32F9IH7eE,Jermaine Jackson,1VDurPMbOKrNU8mcMP4X1P,Greatest Hits,5Qc9yw34BRN9n8pi5YKZ2D,57,https://p.scdn.co/mp3-preview/c7ec7b4c590f6be6d23b0adfe5d47f9e24bcb61f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Tears Don't Lie - Long Version,77DBnoXYTP9HNMunNaUqch,Mark 'Oh,3eLW10XmpXVzwszGQ9gDXX,90s Charthits,070WMuqRUg4LdGqpzQzp1Q,50,https://p.scdn.co/mp3-preview/9a96a3bb76bf8c0aae5efa0460e11f1ce9d287a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Still,2TSoLv5tMkqikfpM5irrqZ,Jupiter Jones,0V9oHfk0CZIiedKP4TSTBL,Jupiter Jones,61xPv4JRySw7lQyvsmU83G,57,https://p.scdn.co/mp3-preview/e1f42b63122976057f3a49ad6dcb2fb9f1a7e0b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,2 Times - Original,4IiKITgHYaHrF1zUlcTyVH,Ann Lee,1EN7GOzx8aDpiIbVVmQaaC,2 Times,0pAY6od68ZZOgxNWwSOHlv,60,https://p.scdn.co/mp3-preview/d3c84481412e012c523e264a924222da4ecc2c88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Easy,0r1kH7SIkkPP9W7mUknObF,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,Raop,2tz9Cz7Op68xAwbYGxrwya,58,https://p.scdn.co/mp3-preview/0df14fd825e12e3fc9412d74d54bca9605ee37d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,My Feelings For You - Radio Edit,6KAtHNic0deGhGNMaq9oMI,Avicii,1vCWHaC5f2uS3yhpwWbIA6,My Feelings For You,14rJNtduujBWANcLzJ36fZ,8,not available
54,Tanz der Moleküle - Single Version,1mp5PVgUpnHflPu9URvsCk,Mia.,0ZSqrPwtvermKlwdjEAmjn,Tanz Der Moleküle,4bicy8AMKXCjoRTxiETIs3,51,https://p.scdn.co/mp3-preview/f1268fa84fdd3fbceafda1132a37e19bbe0af156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Mambo No. 5 (A Little Bit of...),7jQBORjiir0pNSKGaHevq9,Lou Bega,46lnlnlU0dXTDpoAUmH6Qx,A Little Bit Of Mambo,41GaNTO6AagOC6CEoATrPF,15,not available
56,Fast Car,6OZh916QF8XNunWaP97WEZ,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Fast Car,5jfuIbTeaLhBZxsCVv3QyM,23,not available
57,Better Off Alone,0pMUR7Uvp6vxlbG0qBFvgM,Alice DJ,2tbvDi9eXf9XXp06LupkED,Who Needs Guitars Anyway?,5oPKlo7IBFXlh12tqDVoAU,72,https://p.scdn.co/mp3-preview/d4a8e5d6fe6e83aded1afc394b2fe8e792fb6810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Ain't Nobody (Loves Me Better),5afHIkEcVhCF1Z1CTqMUXB,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody (Loves Me Better),3beitV4REkUMQn4BXZlD8F,20,not available
59,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
60,Wake Me Up - Radio Edit,6g1NlCpW7fgqDnWbCCDrHl,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,02h9kO2oLKnLtycgbElKsw,26,not available
61,Children,3boi65u59Ex9jbhLXcXwre,Robert Miles,2YVF0Ou5zIc4mpgtLIlGN0,2gether 90 (Années 90),1FSKJ5qUXuWI8T1FoMSLZ5,55,https://p.scdn.co/mp3-preview/6d4d12a5e6d4d1d41db4b4a3db7854617b2c6904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Rhythm Is A Dancer - 12'' Version,5dle7lDSqNS2AcFtbvgkud,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,Rhythm Is A Dancer Volume 08,5NZ0wQA1HzBSDSyOWEU96k,14,not available
63,Bellissima - Radio Edit,2jBsr5rb8anJ7z4jjbh0bC,DJ Quicksilver,1RSKoT6hnzaLjvL0LCF0ew,Ten Top10 90s Hits,4z1UYdtnWVUB2w4TdlzrBz,51,https://p.scdn.co/mp3-preview/e6b8eccd84af1fed96a4fb96ac42004883d7fc5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Freestyler,2vlgOAH3M8Fmo19wOjeRyw,Bomfunk MC's,0NeC6ploeJUq8oDwYQjNPS,In Stereo,21Z00Rt15tDCUM4mStVNKI,57,https://p.scdn.co/mp3-preview/2a5b5a9977f58ae525b473455e9f2e67a9edf8d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Destiny,6qvqxOBxa5WDxn2iC1hnal,Jennifer Rush,3fsCWTIuWIRvEGS7gerSJX,Best Of 1983-2010,2H0v7yGo9bqU1JlzcrBZif,49,https://p.scdn.co/mp3-preview/a9e8a9548e5822b8ad15ed9bfc95ff6436f627e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Shake It Off,5WfhXulggG0c6WoVeMPA8N,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,6w36pmMA5bxECalu5rxQAw,19,not available
67,Lovin' Each Day,7rNvdRoID7ie2OC51menxz,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Destination,43x0Ar4CvF23VMIL7OLXln,47,not available
68,Don't Stop Me Now - Remastered,7hQJA50XrCWABAu5v6QZ4i,Queen,1dfeR4HaWDbWqFHLkxsg1d,Jazz (Deluxe Remastered Version),21HMAUrbbYSj9NiPPlGumy,77,not available
69,In The Army Now,6TPAhgpBvhMIDUzmDnWJmj,Status Quo,4gIdjgLlvgEOz7MexDZzpM,In The Army Now - The Collection,15v7lAf1Hfp2eqgKsD80cg,60,not available
70,It's My Life,6HdM7gzXVgcpepv276raog,Dr. Alban,6BkcAbUkfIBM4XudxieMq8,One Love (2nd Edition),5YPI9qfm2uuMxlq4CEUOFu,67,https://p.scdn.co/mp3-preview/161554d92cc88e782df9d4b8fa35cf285d8102b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Teenage Dirtbag,3LI4MmibTkXH5cGpCGZgyw,Wheatus,4mYFgEjpQT4IKOrjOUKyXu,"Songs From Dawson's Creek, Vol. II",187HV0h26fG3mkRsySp5Lj,72,https://p.scdn.co/mp3-preview/197748ca9d6edab195e1228030b0a2a9f5c46b05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,No Roots,71UXJmNkfsvf9WQnAChwvD,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,No Roots,3zz6j8HaItLibuBZcMlHIE,51,https://p.scdn.co/mp3-preview/b2fdeb1d219d018f1fb9eeff52bd2e06c1511209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Just Dance,1dzQoRqT5ucxXVaAhTcT0J,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,The Fame,1qwlxZTNLe1jq3b0iidlue,73,not available
75,"What Is Love - 7"" Mix",2IHaGyfxNoFPLJnaEg4GTs,Haddaway,0Suv0tRrNrUlRzAy8aXjma,The Album,1LAx7yCVbGwskdnGDof8SC,65,https://p.scdn.co/mp3-preview/659374a67e87fcdc8ea1d975f65d3321084f4ab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Move On Baby,1PavRrF6Ydo0HSePmMt5tL,Cappella,0NPwkUJRrRiWYdHpLXBkxg,U got 2 know album,5xA73n1xmSkC6S44muzOFJ,49,https://p.scdn.co/mp3-preview/830f37c5bbf40e6be47fb23553f1263d6dfcf1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Dancing in the Moonlight,3Fzlg5r1IjhLk2qRw667od,Toploader,6xeFne1rkxMhKSW3ipvkdV,Onka's Big Moka,2ww2PXKiHk7rNv26rjVJ5z,70,https://p.scdn.co/mp3-preview/d4a0e1cd08839a722f4f2af160aabac07371ecd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,I'm So Excited,2u8MGAiS2hBVE7GZzTZLQI,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,Best Of,4ZcnXch8ZI9zlizDVTea1X,70,https://p.scdn.co/mp3-preview/df03e2377675391fbc2b9c0100bbd30772ef6905?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,How Deep Is Your Love - Chris Lake Remix,7foafyqmJYUdhGBpIusueW,Calvin Harris,7CajNmpbOovFoOoasH2HaY,How Deep Is Your Love (Remixes),4dwsyenCENU1FwKZXh0Ech,62,https://p.scdn.co/mp3-preview/0d321abb3af15e7be277dac7840ca208b55fd699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,In The Shadows - Radio Edit,5SEPHn2kcrgsi1ilpPS9s3,The Rasmus,76ptJV8617638xrpeoUtzl,Dead Letters,2QGTxp9WrNfUryOaDF1toY,8,not available
81,Be Mine,2KklXplRtxMsBYo474Es0w,Ofenbach,4AKwRarlmsUlLjIwt38NLw,Be Mine,3tD94EmwfRLAX1SaZQvDhC,71,https://p.scdn.co/mp3-preview/f99b461583e45414aab51c29b5bed56d9ddb1237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,More And More - Single Version,0JXXm3RqxU8EKzX4P8M0n3,Captain Hollywood Project,3El2sJgqTWkg1kkyHHAEu4,Love Is Not Sex,01ChjoiBlN7bBmsvrzuzlo,61,https://p.scdn.co/mp3-preview/509d0043b07889f3f7e7bc0f918a0ac25cc6e722?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Easy Love,42zLyJxoTWBGAu6481ALWL,Sigala,1IueXOQyABrMOprrzwQJWN,Easy Love,3ksyoE3J4CF1VxcMtuzSFv,8,not available
84,Don't Cha,24kGngQeXHt0uhffKpq0zj,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,PCD (Revised International Version),0ylxpXE00fVxh6d60tevT8,17,not available
85,Believe,2goLsvvODILDzeeiT4dAoR,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,77,https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,The Bad Touch,2ypT0w7jeCwcEQQvNE5o92,Bloodhound Gang,6nDLku5uL3ou60kvCGZorh,Hooray For Boobies,4hirIN3Nve0AgH4pxLo80V,11,not available
87,Jerk It Out,1bx7OUl2UmAnA5oZkm9If7,Caesars,4rGrN4XDYhP6dUAZMvcuHr,Jerk It Out,1D5ebxOCFrG8U6p98zZHCi,66,https://p.scdn.co/mp3-preview/fe5481ef8fbe5b2ba6f4417aa162e9f9d6d4edc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,99 Luftballons,6HA97v4wEGQ5TUClRM0XLc,Nena,6Tz0QRoe083BcOo2YbG9lV,99 Luftballons,0V8ETNFjMiaCoG45ZPWsUs,25,not available
89,Klar,4NoS6rrdfwBBJNrQnosub4,Jan Delay,4KivBMgSnZ7hCDfPm46fKc,Mercedes Dance,7zYtjWZ8CZeIUUUrEWi7cP,7,not available
90,The Look,46WVVHERbHreW3Ap2ztQt8,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,A Collection Of Roxette Hits! Their 20 Greatest Songs!,1nQK4dpultSS3YeHfYrgEW,54,https://p.scdn.co/mp3-preview/d7698dbbf903869aeecc6cd749b1eed113adf71c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,King,6pIZ0u32c2Lku8PmCWtnMy,Years & Years,5vBSrE1xujD2FXYRarbAXc,King,0OPchq4bHgKDaJUBJFITgy,17,not available
92,All Summer Long,368S2jjTfDk9Hk9x9YDzwj,Kid Rock,7dOBabd5O4CvKrg4iriHTM,Rock N Roll Jesus,4BTUT5Nn24jXu0MdImRVct,59,https://p.scdn.co/mp3-preview/3aca8b7f503ef9a6994d00a0275ce5b54dcc15b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,54,not available
94,Places,4QcDkuGQx9824a6X9BZF4e,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,Places,7jTFTS9Tt190soRQDUuLRD,67,not available
95,Big In Japan - Original,1KtMazpCseJ2TjKPas4d7h,Alphaville,0xliTEbFfy5HQHvsTknTkX,Forever Young,2doOYBckmPG4zdRzvBOofA,12,not available
96,Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,72,https://p.scdn.co/mp3-preview/b56a70770267b00ccae13c2e8c8a34ed54627d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Camila,2vD3zSQr8hNlg0obNel4TE,86,https://p.scdn.co/mp3-preview/663b794c2fc8da8f9bbe33698cb1bac567126a23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,It's Like That,0CtkjgZpkgnW7U6WmHsakD,Run–D.M.C.,3CQIn7N5CuRDP8wEI7FiDA,The Greatest Hits,3bRdFxQZdU5g6VjLq8KaU7,61,https://p.scdn.co/mp3-preview/25db25be60982291870a54b826db44029261088b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Sweat (A La La La La Long),7kTvXtMERxvwCGcWv68ssH,Inner Circle,5os0Ltvz8Q8BvXOPOd1frx,Bad To The Bone,5YEv101kdWy8liOvCZWtzy,20,not available
