Feelgood Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
57,Life Is Long - ESCQ Remix,1Ts0ItPHx59El49QqVeWuF,Wallis Bird,0aogyPVqx5tlIkR0BHAehX,Life Is Long,3ZSrOi2JWzJUWg6CZ8QCoy,39,not available
58,On The Luna,5dfJsGTmtGvh2t5lf5Tu1o,Foals,6FQqZYVfTNQ1pCqfkwVFEa,On The Luna,6iaWoOJ3TJZsIUtxBT5v9U,11,https://p.scdn.co/mp3-preview/24cf75fbb628a2ff80aafd357f0e2686974461aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Curls,3NLm801woJocONz1NmPJZR,Bibio,0qzzGu8qpbXYpzgV52wOFT,Curls,1cAlKAmWKhORglznBK7sup,59,https://p.scdn.co/mp3-preview/25d54037ac1dc4a9ef6cc0b78d406eca5b4bac51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,We Could Leave,5vCKbTWQltS85HMa6lhY5J,Mansionair,4qOzMSukiZoiSjPQw8Zs7s,We Could Leave,6n1Wcl7NaQuu05ZKKxKtlI,12,not available
61,Always Like This (Demo),5QnnUPcjIMTUpIrU4qwAf6,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,Demos 2004-2008,78GRcDIvVdv5UgzsWFFrSR,45,not available
62,Déjà vu,5IR3jlX5BWsDabqWPsL50V,SOAK,4PLsMEk2DCRVlVL2a9aZAv,Déjà vu,2N7iWJsGDvDTmtdtFpguIr,10,not available
63,Melrose Place,1yvAJC1O8Wama3p1YWYkyT,Cayucas,7LLcRttKjV6PeJOlCNCYon,Real Life,65VOiORVrFLrmiOl3Y0DWb,41,https://p.scdn.co/mp3-preview/fc4f15abe847ca4dcd84ef83cb8f8c1e804f94ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Mendocino,41e2YYgYPJmzaEWGtwV069,Crane Like the Bird,1i9TpycvQFCCyoOgqjevil,Crane Like the Bird,01VHOmjOQ2W2qDhnecK8lg,37,https://p.scdn.co/mp3-preview/86b07060fdfab9c1967acd744c14462131781caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Please To Devon,4BFNAGBQW208IBfBzGoB9p,Sylvie Kreusch,11T0XSkxSB5KUPTe8P8BOl,Please To Devon,6Bb627tt0KC12b9ju2YY5H,41,https://p.scdn.co/mp3-preview/aea3cf2169c8582953a8b73da7aa68034629d9d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Leaning On Myself,11p45DXn2eSqcBtcAsWT0k,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Leaning On Myself,1BLGs381DAuFmiqaryX8ge,54,https://p.scdn.co/mp3-preview/3e45ba64c62486d4e55039b970b93ff4b8a30ec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Record Collection,1xmMcAcwZdOS7r0Eurw15a,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Record Collection,663jtJUXhWADRwBLDZe3fV,54,not available
