Tropical Vibes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Montreal,5t9FpLt6rnfuhSoqZw737T,Dieter Spitz,5AW0pz3HZSQ9j6lJCjJvsK,Montreal,65MiD9wGh8CNnHUkq3oLmE,46,https://p.scdn.co/mp3-preview/d3bd95e7cab6e15733c3df499a5f03be3655b113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Melody,3pm7dLjzj1TlNwxA80LSGV,Tellow,2w28TUN1pz8BDBH1PW88f1,Melody,24gv56TY2YGQlk0WGYSeRU,8,not available
13,Just Wanna Run (Young Smoke Remix),1SGRHEkArmCqvhXEgSPt6U,Blanches,5G9rJDotuVF6BoVc42I4GW,Just Wanna Run,4IzxB8Azmsbk1Ag04ebFOq,52,https://p.scdn.co/mp3-preview/3596a1d46021751ba6f0e0f9b555686a62f492ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Birthright,4bmZEbZkt0LuV2SCQHAcWo,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,0bPmYIl8AIHS6SZLOdacJ6,50,https://p.scdn.co/mp3-preview/ad582530e4ffeedde4a0dcfe4f73795cb34575b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Vegas,14bmVsdGFImJLshEcxRHGA,Onda Norte,1bQ3iOIv9mCNc5AZrMZe6E,Summer Feelings,2Mk7tSblgPxgovSF8jzLjy,7,not available
16,Falling Down,2vLYp3DLfpHxuWRCuuclVt,Art Van Delay,5eMwkXglsbS6GcqJ3hsl2a,Falling Down,2JZ2hkB79lj1KqwpMt3De3,46,https://p.scdn.co/mp3-preview/d808d3ed132cf555e8eaf83622d5965c4c6a2b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Summer Crush,5g9EIVLc8vm5H47dpEXFfE,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,Summer Crush,0yIpx6waKvmtfbotLbbeO7,10,not available
18,You like It,6KYYP0xGmFX6z8NPzz3sil,Gloria Tells,6DglQ2XH6PeloHbusbZvHA,You Like It,6P4BoNLI7DNHZMZX74N2of,48,https://p.scdn.co/mp3-preview/c3bffe85b1b8099cb4d60ae6f3a59f4e7eebc786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Circular,1AcxJ4t47oSb8GtAlWaxgn,Crisp Nibblets,1DDHk8crK8M6gY3cVcGtJn,Circular,6W2mnksM97w3WgHi5rLGXf,58,https://p.scdn.co/mp3-preview/76f0ced495055d9862afab7586416340b284fa0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Summer Feelings,49rlL3YVFGFr5woYWwKjOk,Onda Norte,1bQ3iOIv9mCNc5AZrMZe6E,Summer Feelings,2Mk7tSblgPxgovSF8jzLjy,8,not available
21,Messed It Up,3eMPHLdnp21gEiN4mrPiqB,Lvly,7yoh9onDM7XQFBepQTI6Qu,Messed It Up,18KMTAgcNb9pTdjl5iURY3,9,not available
22,Lost Lake,0ZFrmkdubhTMeKduvJiLMW,Boomo,7JI9PRTGOQVzLkWnbJtwo6,Lost Lake,5rr18WFY7nHLPCibLnL9O1,55,https://p.scdn.co/mp3-preview/5be74508340d0dcc7278ddaa45ec396813b80534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Feel It Too,7q1HTi8JRpHEr73M6m0Z9h,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,I Feel It Too,0z8ZRKGJ2PVFuki4UhguLT,10,not available
24,Keep You Near,08WmkTJ4aa1yhPBZcgQDPa,Sum Wave,0bfdnPaHczaQt6tYe8J4Ci,Near Dawn,7eBvNNIxRGlTKUs1klQRPo,12,not available
25,Movimiento,6KBNZRqnMt1sSRTws0ufqU,Andréza,6s7c9SquJovHuUvYvb3pI0,Movimiento,6LiaEVnDu7jEI6ThJUrFx2,47,https://p.scdn.co/mp3-preview/cc50613c7a04bb9421bec42ee512984c371ecc8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Blog,2IZlgFPnfBqnSqymiNRaYZ,Michel Gaross,5egTS9H9LznIjRtEOkkiII,Blog,54yBSpfcz63qhwFT0My4xi,44,https://p.scdn.co/mp3-preview/6654751b227048c4757bb9dba8fd3a5e2306d78f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sun Comes Out,4wfJt0r7lGcC8Fd28Wkr4f,Hallman,6lQbKezHkug0aJSkAjYYO5,King of The Sun,6NJIYxgReCiiCxN1AzbE0g,53,https://p.scdn.co/mp3-preview/8da733becd33e18c64989eb5b8adb4fc794d7ba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Summer Vibe,1s7MlV77vmjAHqzVq60Vfd,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Everything Shines,3eXCBTg64X3AuakWQGuQ7Y,19,not available
29,Dear Friend,0wi6K89xCYDLPy35wddqTG,Sugar Blizz,0n3Km7H53a4LT9DZo1N1Jo,Dear Friend,4J4f7Gy0PuHabbLu3QOsf0,10,not available
30,Can You Feel Me,35H95rUd08Fwm0DeDifwZM,Love Beans,252cgVmlHfU9jkUArZ8gDm,Can You Feel Me,1uHej97mZJH7VVqluMqbRn,11,not available
31,The Ghost in Your Smile,63FttXBXFyghH7q9CVIjcW,Gnarly Gibbs,2Zl0BC5X9r7hSxWAF52XfJ,The Ghost in Your Smile,3XanT5R6MH4AeDbSn5hJVa,57,https://p.scdn.co/mp3-preview/5ef6ff37b9d43e330603fc297fbaf28fc429f9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,More Than Friends,2BKdPAVeeqhVcHtvCzUPuU,Peachy Pavement,6dThf3xLmENajwG1e0DqPx,More Than Friends,4fqqi4xeunVYbpOqmzDlom,49,https://p.scdn.co/mp3-preview/5a1fb4099ba72ea26018247216b2478cecc8c3ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,You're Not The One,7e3gyE1cDH1xjfHtorqh23,Ray,3yIN8NnL5egs5nTpiRu9sE,Made To Be Free,3CjrM7lAzd90cbjcVGRjkX,9,not available
34,Franky,7i9RNkOIV30x7UXXfPxmau,Vince Yara,3LSNSEKZAv0RjJMeCJmfHv,Franky,3QFHCcE4MnyvDXc0yJtrWl,47,https://p.scdn.co/mp3-preview/1cee21c56d3f2a2732cfd9caca27497b1ece781e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Anyone,2wrwZ2h3WoVPYnWOYq6JLI,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,Summer Crush,0yIpx6waKvmtfbotLbbeO7,17,not available
36,Stranded,5Guana9cMolXSB28I8NG7w,Art of November,1jLcY4U2jXPcyzUg6FANBq,Stranded,1h2qxdjCHwe1KmiDPOi3CT,58,https://p.scdn.co/mp3-preview/65e5666dbbfd9204a7095ce22f38760e13337f60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,We Will Get It Right,74smyjR4BrrfgUJiT1g9Hq,Brookii,52qnChybMeZVRp2wkEkJEx,Fool Again,4oAXsnuMvQaZsWmEqtcN9L,45,https://p.scdn.co/mp3-preview/87545c0a927098470cdff31c2bdc19fe5fd2f0cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,We Don't Have To Take Our Clothes Off - Mulshine Remix,5tXg9mqG6pLXVevnB9NqNH,Vivid Color,4qXCADLD9pMWPUkOBCLQ9H,We Don't Have To Take Our Clothes Off (Mulshine Remix),4DYis81pNotnboLNdxShN7,55,https://p.scdn.co/mp3-preview/5442fd8b196a4015a8cf5429d36d83168234009e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,All I Want is You,6OkWQaK3jAWmFY8LjtgfLZ,Jay Arrow,3cAD80R4qsZOlYVPi9xN89,All I Want is You,0U5ssfqX7m2hcbRYBdNgR8,52,https://p.scdn.co/mp3-preview/0499603e45e4713462a805603144617c6dac1aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Leftovers,4OyMwhSoV7NywZ4W9tK5hG,Jones Meadow,3MK71khOrqZwGpyfYzwKXR,Ghosts,5RVmmlvTdqdFewK0P9eQzc,47,https://p.scdn.co/mp3-preview/53827653d40597bcdab735f5d22fa8b5544a6ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Ever After,57hO2DGhBI2BbqCjVxpJcr,dvine,3VV2pfR0CoFp9JbX6PsaLs,Confessions,5vvby3mFBAzt10wi3YvFyQ,52,https://p.scdn.co/mp3-preview/aaff2a83643d0f1d7298ae6c842bd29f2d5e6375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Waste Our Time,26IebVGadxpt7CEBNH4eoq,BLAEKER,5fhygBJA9FbMPEl24DZdum,9 To 5,4yZ4mnbJa2tQWfFS9SQjDq,6,not available
43,Sunbeam,0JHJZleYBzcchU09DVEWjt,Hallman,6lQbKezHkug0aJSkAjYYO5,I'm Going Like,0ltxBiyZK4kQ8NoGqRyIlA,46,https://p.scdn.co/mp3-preview/bba1c9938f05cb1c00a40c3a5ce676a6c918de42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Silent (Instrumental Version),0FfLmzYvQ0mz57INerkDru,Aiyo,6CK2nmnsqef5YFU7ckNTqH,Silent,7ABddBXxguDSg3JtsR19g4,52,https://p.scdn.co/mp3-preview/c2f77481dea18b87a9e701deac9867b46b542bdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Rewind,6TAo21yrAU1tZskiRxivRm,Cornpop,55kRR6fnuyt29pJGRqTPXh,Rewind,5jT0IK2DZBrhUC9paSmanT,55,https://p.scdn.co/mp3-preview/735d4a614ceea4a982b08679270319b085516d89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Swerve,2w2UDzxOhiujUtZjTxeODU,Molife,5evuJYN1sgxxSQWs9mw1e3,Swerve,6mjJf2GE64QAdr8LQFEznF,55,https://p.scdn.co/mp3-preview/7b61c941543bc66323893ba52e590a2adb64f46d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Sparkles,4fzQjePo7m0KyiquwnekGx,Daxten,1uwGIdDsv9rhyzuqgYhOuS,Sparkles,39btva8FpsGxJi4dQ7jRIN,6,not available
48,Lupino,4V8fOkKXGpPcUp7lvFWdS0,Magnofield,4wNM69xY7xVOi8WK46t4tT,Lupino,6LNyTa0FtB9YYohiEACjhW,58,https://p.scdn.co/mp3-preview/2d0414803fd365f4e0e0a5ac564e53bd790b48f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Subwalk,4SN5CP1ReUEwDCm2PcrLho,Bamba Lamer,0lHDiEKyk5ooAlsfDeNHgo,Subwalk,2F0tC3SD5NyUaS6Pgx7mKS,59,https://p.scdn.co/mp3-preview/2d862e5ad35044229be2e9a4bb89c315129346af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Salt,0jh1UAMBLYHZrAdbqxkjeY,Dye O,3AihmaPi9Wr3O7z578f6mH,Papaya Island,7y8NL266HSryni6nAYmdHK,6,not available
51,Kiwi,1BhhWCtAfUkBQTID7uLgQ6,Harvio,0VCoyPtLDeOvxwvHeCX7Jx,Purple Summer,6AsKuhZxUSO93QaKdOhwJ4,19,not available
52,Told You Once,5JkKam7azyOKIW8Yy0u9fQ,Frank Brinelle,6kZGpjCFAzoD3nHPqTaL0e,Told You Once,3wcloL3xLM9wKYrHG2K7y4,46,https://p.scdn.co/mp3-preview/b5fa389b3e3e4ab6609dd1d0bb14e2dd4fdbc583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Don't Break Up,39bqrTfp3CrDoWCCQFgImJ,Fresh Faces,054OEgiAhYwnqHQOV2KmSc,Don't Break Up,1TYGmzUDEIJ3XMUK0qWtrh,59,https://p.scdn.co/mp3-preview/f3539e6ec1ae237c5885e64303be90edcae6b6bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,La Isla Bonita,1ueFCTWvIdVTxEVDWUDAEA,Taladego,0UKb2Vanbc1rdrWpAQ0uij,La Isla Bonita,62NsNXlxCjAFomK7pE3jIf,56,https://p.scdn.co/mp3-preview/df330778d4e7cc0b6c72fe288d4ffdf4d25e86a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,We're the Tide,7DzFjsPLcB2CMz7uK0cSKb,Giants' Nest,31WBcBz5f7Od21JVn20Ajn,We're the Tide,6f9nYYjHvCOKSoxDTrOtVD,41,https://p.scdn.co/mp3-preview/0d65fa4cc25bb511307febda14ceef16147f44ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Human Music: Music For People,5HMMJiXSrxvfwN0aOwBog1,BENNIK,1D2jBI0hb1xm1LrXm11FuR,Human Music: Music For People,1dXDcGoRT9EUqi6LLFcyzk,42,https://p.scdn.co/mp3-preview/6f183fe68a2f7422898075f15b12dc548c31e5a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Hold On,7KKfvDIIyl6tqeXADXah6W,Mac Beez,4BlBvAGQrqv3vWmx8GWTds,Hold On,2ZFRC28tWKrAIQtbTIaWAC,57,https://p.scdn.co/mp3-preview/8e6d28916b416126cc05f581c8382a3450395eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Shy,55UmODEAjd0V5bjmFkhvWM,Sum Wave,0bfdnPaHczaQt6tYe8J4Ci,Near Dawn,7eBvNNIxRGlTKUs1klQRPo,6,not available
59,So High,2MQisqk88z47IjFxqqY9CH,Funky Feels,73bsuepJlmtW9xPn5zytKd,So High,2Nyh2JHjWIOlmH1tWqKWES,52,https://p.scdn.co/mp3-preview/6ab9cc088cbd159f8f3a5731dbc2fd1e2d0d9785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Past Adventures,7knYmZG6hwaxPiM2EWolTg,Brendon Moeller,3V3T5haMWZGfFxqVsAB9oB,Fallen Angels,1eYCpCcVsvVoIZgZ2XyBnV,44,https://p.scdn.co/mp3-preview/667ea70cab212104d8e2006ed1ec552911af66a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Tyto,2AXyvJVjAEWVhRFORkZtst,Okwen,4snWBwVHKKPJ4Ha9LrcLaY,Tyto,7jFqnrtkfi006FEw6iWC0P,40,https://p.scdn.co/mp3-preview/52d1109314368f6c4b1cc33c4cbbef94f4e48499?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Before The Dawn (COE Remix),0FRw58svAibXnHWtLCsWuA,Wild Beaches,37pU6qQZ026uySPu0nxUD9,FILTER Vol. 2,7kLRxoo3rOMpop9Al0QViZ,6,not available
63,Tortuga,7q21SKmya5WDykPdXFRr5a,Harvio,0VCoyPtLDeOvxwvHeCX7Jx,Humble Jungle,5rS6LO3qXloez5qwue0xRa,46,https://p.scdn.co/mp3-preview/2c7415aec9d5c0735d712e8fe88ca829bde47990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,8 Money,5WxznT1acobTk0pqVEtaO1,Giants' Nest,31WBcBz5f7Od21JVn20Ajn,We're the Tide,6f9nYYjHvCOKSoxDTrOtVD,56,https://p.scdn.co/mp3-preview/91c7102f2c1a27c5708cdbb1e565df3775366394?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Moving Up,2MF1wmgHOWdnURsuVCN2sg,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Moving Up,7eVL9LbW15tUQYTPK2oOZV,7,not available
66,Feel The Heat,20USnYqI2EWN1fLBD2PF0i,Bon Lui,2NORrxtxRnvCca00Mb2CPg,Feel The Heat,0KND8xyCtHZVfexgG0ZQR6,60,https://p.scdn.co/mp3-preview/8d66c4185f8e79b2e05c25692046b443bbe4f1e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Don't Say You Don't (Instrumental Version),5M7XyAAxB0WFLnN8zsMEn5,Particle House,4R2DybM5OIPMBklyGe0ZKS,Don't Say You Don't,4uiHT6eD05ONgFueeOQUqs,48,https://p.scdn.co/mp3-preview/ec3c4ee663686c966ab4d8e4ae142a910eb378b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Sleep Online,4njORatgD4DQOZsgio3Wiq,Barbatula,7hn07YGWIDqLjXljHGI6t9,Sungaze,1qHZRhAkC4JTXgYVi8LUXT,56,https://p.scdn.co/mp3-preview/908fcdfa43fe2ba1bfe4a1ddda14349658785fd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Feel Me,6nlNdYGf4TnWPKzxdPZW90,Dalac,66b0xoSrR8tM1qjoEwsDlq,Feel Me,0yAeK2SHxC7xKBP1N3jbpB,54,https://p.scdn.co/mp3-preview/c97372ef802f6c0dcadca69f7d5ed696515252f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,I Tell You What I Know,7t7lXYR6lAdQja6l5cmapO,Goose Groovy,5g7RMNd1zbiT8yisqse8dA,I Tell You What I Know,0rZD93OyCAZQIDBXJya4xJ,42,https://p.scdn.co/mp3-preview/981b396370e1edf9dfa8be90482a30913d3113c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
