Die Dusch Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Mad Love,79JBjIq90BrQ8Ws0pUhlzD,Mabel,1MIVXf74SZHmTIp4V4paH4,Mad Love,6fwNMnwzVoclK4zOwl3ou0,84,not available
11,Around the World (La La La La La) - Radio Version,0IbTukfZdB91gclEXUQZkH,A Touch Of Class,5wTdspmxzb8V4ZjvDodpBo,Planet Pop,1n0zZ5UDzW8or2ddjsFalO,64,https://p.scdn.co/mp3-preview/d8217150dd1c932fffd3b1a0abacfce9a681917b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Flugzeuge im Bauch - Radio Mix,5tYNY1VFSIl30D9TQWcUJ1,Oli. P,4SP3LwSvQscEr8Fs3HfesU,Mein Tag,1qYQyI5w2oPe27qgC6rNZv,59,https://p.scdn.co/mp3-preview/4aecf7a742fc61bb249566178afec0c7182d7b79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Senorita,5OHOykHs3Ct2pgbqod8uMD,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,7sC0Co4ka745oGeBfB3Bhk,65,https://p.scdn.co/mp3-preview/fe1e8ac8b0a09d4e14378d79e0a4affd66fbaa89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Was du Liebe nennst,2hIY4sjfMeKwXXh2LvhrMo,Bausa,13bDjug9N0pyv3ZUINjkDV,Powerbausa,5VJCtm8ZQuCiOfiiZqjEJa,65,https://p.scdn.co/mp3-preview/dd8265fca847d4cee49c47744530e9131c7d0989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Unter meiner Haut - Radio Mix,5NZlsLgfdg8HlP8RaXPIeP,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Gestört aber GeiL,48YTCB5qNHU6F2FGAufIxJ,59,https://p.scdn.co/mp3-preview/0ed52d136f15531bd0733377043a874a0e6688a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bailando - Energia Mix Short Version,1ftBkOu4FmMF99JVBIBV0W,Loona,7ugN9bU7x54gVI2295brJF,Lunita,1OE4mXuNtXwpBxdkfsoeAE,9,not available
17,Nothing Breaks Like a Heart (feat. Miley Cyrus),02dRkCEc8Q5ch4TTcnLxOn,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings,6vdLdzihSWxV8FgWU2GSvA,67,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Du trägst keine Liebe in dir,21aT5lIYHjyBIFrXNbNY5U,Echt,6zjMMh0ijUZ0dr6w2Pfe9P,Freischwimmer,0gsQ4zndeWzFIQbASQ9L3w,58,not available
19,Con Calma,5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,Con Calma,1otwHKoQ5KPaiekpYk4tWh,90,not available
20,I'm Still Standing,0lzpfrTARexLFXEACKSXTh,Elton John,3PhoLpVuITZKcymswpck5b,Rocket Man (Deluxe Edition),1vsWzNT3lzLt7RNLUdUVZB,26,not available
21,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,80,not available
22,I Want It That Way,6e40mgJiCid5HRAGrbpGA6,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,The Hits--Chapter One,1NslKOZobWxINFaFkLol3r,78,https://p.scdn.co/mp3-preview/e72a05dc3f69c891e3390c3ceaa77fad02f6b5f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Dein ist mein ganzes Herz,030dULvYNT5n8vYpIak51w,Heinz Rudolf Kunze,77DQHftPzPyCoqSDjdHDxJ,Dein ist mein ganzes Herz,5ehndLBjIEdFTeHBfRXVoy,59,https://p.scdn.co/mp3-preview/c88299fbf426632cc018d1febceaaf0d91e28fad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Summer Of '69,6oWpGuwokWJ4EcWgVQPdUt,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,The Best Of Me,4kbE34G5bxaxwuCqz0NEw4,22,not available
25,The Tide Is High - Radio Mix,1QhSB9L9M5eZQhW4RNOhXK,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Feels So Good,10ZcEPnqq7VPUfGytiVTuw,66,not available
26,Dancing in the Moonlight,3Fzlg5r1IjhLk2qRw667od,Toploader,6xeFne1rkxMhKSW3ipvkdV,Onka's Big Moka,2ww2PXKiHk7rNv26rjVJ5z,70,https://p.scdn.co/mp3-preview/d4a0e1cd08839a722f4f2af160aabac07371ecd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Astronaut,0pQr5WsobmdZHnuObT0sc2,Sido,4Yttlv9ndGjCDCVLqM7ACq,VI (Deluxe),4D6kZ07LaH7CUfgvZUbq9W,62,not available
28,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,Solo Dance,3BcNHuKlAm57APDcwh7LJq,18,not available
29,Oh Jonny,1IivtUqnUfW9jH3pM08D8U,Jan Delay,4KivBMgSnZ7hCDfPm46fKc,Wir Kinder vom Bahnhof Soul (Re-Release),7MrA7kNLED6TooTm9uxH2i,59,not available
30,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
31,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,84,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Dynamite,2CEgGE6aESpnmtfiZwYlbV,Taio Cruz,6MF9fzBmfXghAz953czmBC,The Rokstarr Hits Collection,0eGvq1J5Ke7VlLLOYIlY4k,76,not available
33,You Can't Hurry Love,4YUlGNZfYA6EUE5KDsGqpC,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,"Hello, I Must Be Going",0FqbBSfKYpnhGWa5M1TxkY,30,not available
34,What About Us,0Qh38w01QRXK6KHIv0e3hb,P!nk,1KCSPY1glIKqW2TotWuXOR,Beautiful Trauma,7hwhuEQT4Fp5bzwLlYZtiz,76,https://p.scdn.co/mp3-preview/b97d90c4adf9386281985180edf7c7940e8908cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Louis Louis,5T8zcAE83vyffJ9JUzkZYx,Kay One,6VjbeCqoayiHYnefrisskv,Louis Louis,0lyAiCIiSUf6ru0vSR2m4U,52,https://p.scdn.co/mp3-preview/443168b0cdaca640cb682726c9479d7571ea3e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney,5Vdzprr5cOqXQo44eHeV7t,81,https://p.scdn.co/mp3-preview/3bb02cefe0aca5129bb4be624a3f0dba6f31409f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Teenage Dirtbag,3LI4MmibTkXH5cGpCGZgyw,Wheatus,4mYFgEjpQT4IKOrjOUKyXu,"Songs From Dawson's Creek, Vol. II",187HV0h26fG3mkRsySp5Lj,72,https://p.scdn.co/mp3-preview/197748ca9d6edab195e1228030b0a2a9f5c46b05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Bad Day,0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter (U.S. Release),4zhigAhPwqp43XVHBiVeQI,77,https://p.scdn.co/mp3-preview/0124255ee5fc654a8fdf8573181d516f1eb1f410?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,79,https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Superheroes,37sINbJZcFdHFAsVNsPq1i,The Script,3AQRLZ9PuTAozP28Skbq8V,No Sound Without Silence,6yd9yk8nFcHalXzy7mgaDx,75,https://p.scdn.co/mp3-preview/900dc33cad986d311dfbe7e87d7da0efdb921f98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Don't Stop Me Now - Remastered,5T8EDUDqKcs6OSOwEsfqG7,Queen,1dfeR4HaWDbWqFHLkxsg1d,Jazz (2011 Remaster),2yuTRGIackbcReLUXOYBqU,84,not available
42,Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Glory Days (Deluxe),2GJLzxAajkFeyDPVH7X4Cs,19,not available
43,Lemon Tree - Album Edit,4jH2NgiLe1z17ev6z6i7Fz,Fools Garden,0jRqFvRKCDryHOgrgFqsKG,Dish Of The Day,1L8jOPhcmUBO9Ljr3x3EfP,15,not available
44,I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,The Proclaimers,1A92IAcd7A6npCA33oGM5i,Finest,7hPq9fDWwXPo1tT0oi3XcM,75,https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Hall of Fame,7wMq5n8mYSKlQIGECKUgTX,The Script,3AQRLZ9PuTAozP28Skbq8V,#3 Deluxe Version,7JOCOjZTcLysDMkZGWlcIj,79,https://p.scdn.co/mp3-preview/87ee8d6680a271e44e1130dbdf9901c4ccd47002?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Follow Me,4KoecuyOpZaNFZ0UqVsllc,Uncle Kracker,2DnqqkzzDKm3vAoyHtn8So,Double Wide,0Fc7RtFLwtDz5pD622l7kQ,73,https://p.scdn.co/mp3-preview/482cf9985443c2e4907eff3c81f1107616a42ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Right Round,3GpbwCm3YxiWDvy29Uo3vP,Flo Rida,0jnsk9HBra6NMjO2oANoPY,R.O.O.T.S. (Route of Overcoming the Struggle),2vBLKFrI1rZqB7VtGxcsR5,73,https://p.scdn.co/mp3-preview/03ef1692505cecd8365373d11679d35af3880eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,54,not available
49,Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,An Innocent Man,3R3x4zIabsvpD3yxqLaUpc,79,https://p.scdn.co/mp3-preview/fcc3b727931ee5011d48e54124f7982cebc0433a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,81,not available
51,Wake Me Up,4h8VwCb1MTGoLKueQ1WgbD,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,1s9tU91VJt4sU5owi29GD3,84,not available
52,Breakfast At Tiffany's,3GpdNg7Krt9vjc6tgDoKe1,Deep Blue Something,5N5RfI8FFXk4WQ8kkjE407,Home,0f3MAWN7G0RtC7UT6lj6x9,68,not available
53,Shake It Off,3fthfkkvy9av3q3uAGVf7U,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989 (Deluxe Edition),34OkZVpuzBa9y40DCy0LPR,59,not available
54,Angels,1M2nd8jNUkkwrc1dgBPTJz,Robbie Williams,2HcwFjNelS49kFbfvMxQYw,Life Thru A Lens,31Sx9uz9KqlvmX07Pvp0wN,73,not available
55,Africa,1aTAR21kFePsDBHnc74Hli,TOTO,0PFtn5NtBbbUNbU9EAmIWF,Milestones - Toto,0AtgHV6vLgNoSLLte0Soaj,16,not available
56,"Hey, Soul Sister",5hZ88EF0tdJNs83F0nB2Ew,Train,3FUY2gzHeIiaesXtOAdB7A,"Save Me, San Francisco (Golden Gate Edition)",0f2teAfQd97LzryrjUDXCL,6,not available
