Matador Picks: Yo La Tengo,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Friday I'm in Love,6yH4PtEs8t43GkU7DVORaN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Stuff Like That There,3TlSSVWAeW4TB2FkVZ94dI,53,https://p.scdn.co/mp3-preview/c955682b44ae10cf048a319743c7182a49db5d2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Shaker,57HJVv7RbHkjSSFJdvfpg4,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Shaker,4Rcs2D5U2jSrmf30l8FFeY,5,https://p.scdn.co/mp3-preview/2bc0aad897d54bb2001a136b22ca29fbd7b72e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cherry Chapstick,1qWrjm6OASciRDVLCK4apD,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Today Is The Day,1jZ73X5xSvJXNR3sefQuEm,12,https://p.scdn.co/mp3-preview/ae8ae96aacab9c1ee76397777d109025e484134e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Shades of Blue - Recorded at Spotify Studios NYC,6eqaU4suKIW8M2P6uDnZSd,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Spotify Singles,5dJeEVpkKTZ8s9Xr4inHTT,41,https://p.scdn.co/mp3-preview/54d1c6e104f0ac9db6f00508fb69f1ee97ef94d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mr. Tough,29UIxDmQvCERY4Ps2BvzLa,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,I Am Not Afraid Of You And I Will Beat Your Ass,2F5qpcgQgeG9SEKDfgq6qd,36,https://p.scdn.co/mp3-preview/45ad6e1e8ecebaf5a1c0e92b59c55b4ad3feac21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Stockholm Syndrome,2BtG634C7ETzvKWWaLHWHV,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,I Can Hear The Heart Beating As One,3NFNNMIWnByvVPvCf7LsRU,40,https://p.scdn.co/mp3-preview/1d07c98fb4e464db055da6f7899f74ffcba7cc46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Blue Line Swinger,2WVC8Pw259ApPWtlLMH0Gg,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Prisoners of Love - A Smattering of Scintillating Senescent Songs 1985-2003,6e8xmZl2jKuDrXS5o1QYX0,9,https://p.scdn.co/mp3-preview/93d3dda68d576c9bfe3a6b00c069012322e527ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,I'm So Lonesome I Could Cry,27LUNptBKpPi4Tn7RpTWtF,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Stuff Like That There,3TlSSVWAeW4TB2FkVZ94dI,43,https://p.scdn.co/mp3-preview/43829426026ad0a7506cf30a58723f1e5c003221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Stupid Things,4S4gHZwsIWR5nZtLJxCQPb,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Fade,32kBV5WyVtx8HaI8CbgIGY,24,https://p.scdn.co/mp3-preview/2ff0b3da700ab97a1d196c4853848f9b6b01dca7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,More Stars Than There Are In Heaven,0vly7MG2OCiS3JF7WqFVNN,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Popular Songs,5Vi8AMs747kpnUAJRrGx0p,24,https://p.scdn.co/mp3-preview/2619c0007a3a4fe6cba21cc90ed747d0445d2b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Take Care,5jqy6qJ9bvVxxQEd05WHB8,Yo La Tengo,5hAhrnb0Ch4ODwWu4tsbpi,Summer Sun,6Xq22tu9a4KJjmoXaOGGcw,24,https://p.scdn.co/mp3-preview/6bdd5e7f108e7ebdf2aee80c337d742f836b9e3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
