Reading Festival 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,One Armed Scissor,3T1YjH72qs6L6tDscZFZL5,At The Drive In,5E2rtn57BM2WPjwak4kGd5,Relationship of Command,0BrySJeJIdjsGkJDn2nXbc,47,https://p.scdn.co/mp3-preview/8ff8335bd4d0203aaa0a8e893fd4e7267c8d79fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Bad and Boujee (feat. Lil Uzi Vert) - Radio Version,3s5waV2HFTDvPUafdL13Au,Migos,6oMuImdp5ZcFhWP0ESe6mG,Bad and Boujee (feat. Lil Uzi Vert) [Radio Version],00JrBmyCdGkMLE9MyPKIEq,40,https://p.scdn.co/mp3-preview/dc6abe1f83c2aa660685c67bf7c6010edefae3bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,You and I,4xJWfVNC52PSK5ObyOKQsw,PVRIS,6oFs3qk4VepIVFdoD4jmsy,White Noise (Deluxe Version),7za8qVGR3wUEJ01pLFcnPB,57,https://p.scdn.co/mp3-preview/bd7bb02010015683ef16fdbc03a6e2ee9987de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Babes Never Die,7JPXYKxt9AhuS9IVEIXltd,Honeyblood,2zCxZQIcbO3Ev8AyTxxqmm,Babes Never Die,5t8fEQAEiAUpKzGPT1ygdy,0,not available
14,Wall Of Glass,3eqhMltljpvMkVNUbAHyQI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Wall Of Glass,0uoY7d6TJpVDWWKRA7dLAA,53,https://p.scdn.co/mp3-preview/3b03ca684b290c7dcf0f7128250eefd7429b0781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,At Most A Kiss,6bSh6R1ZI2t47cVw46kIsW,Blossoms,22RISwgVJyZu9lpqAcv1F5,Blossoms,3JYng1xJxNZIqdyqrdQ0Oz,0,not available
16,Falling,1PchfarnjfYIwLhMtzyoa6,HAIM,4Ui2kfOqGujY81UcPrb5KE,Falling,0K6gtslcXoEbmJoDxCMue7,1,not available
17,Strangers,0C7RxcoJUdt0EDtQLuOFc6,Halsey,26VFTg2z8YR0cCuwLzESi2,hopeless fountain kingdom (Deluxe),1fV3TdIojhb9lQXd72HiPq,3,not available
18,Heatwave (feat. Ms. D),63bsPe8aayiERVIgTV9EBS,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,The Ascent,7G0kWbJcGHJYNt9rBfq0Wl,62,https://p.scdn.co/mp3-preview/b0e8bdb48bfcb6e38e31e6dd2b73c99eac7e4ade?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Waiting Around For Grace,09Oad698yNhwtPYsePUCK7,Pond,4skJp5OKvcc9eKokiuhi2s,Man It Feels Like Space Again,3uLU8zDD1hYpu52i6P3Rzl,0,not available
20,Brooklyn,5DfWswkGoWTEUJrflSC9hN,Fickle Friends,1nhSLEYdoBHG6cJ8NDwoF1,Brooklyn,5tciBZ7cJTPiWrUnhWCtkE,1,not available
21,Can't Do,2e1w6HJVgBa9AAn9wE4FtU,Everything Everything,1HOeqtP7tHkKNJNLzQ2tnr,Can't Do,7MTd2WJszyfVzl7PCEZAxw,30,https://p.scdn.co/mp3-preview/e737dcfb19b86519b64ff509bfb2cc2aeb7d73e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,She Said,3KNlsVwlMjjKn1g2tTmiIe,Sundara Karma,4fgXfJCQnK6c44u4KzAtQP,Youth is Only Ever Fun in Retrospect,3V4lfN3JEhYCagdxhijHp8,5,not available
23,Vampires,6IW5yPlWJYmXxRuuc7QkMx,Frank Carter & The Rattlesnakes,3r32a6mMdoPaSP1C7kYhMc,Modern Ruin,50kEeuhjaYhaYPge6pXlG8,41,https://p.scdn.co/mp3-preview/33acd5cd5d5ec4892d5a9ae24f7e453cccc3e9ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Your Love,789dnhOz5FZHDew6kmLdVv,The Magic Gang,52pNByiBWx6SVMMqqcCA74,Your Love,1ArCSo76xkT6kvDOLhD0Hl,27,https://p.scdn.co/mp3-preview/65b3c020c981940744e69bafd8607e6fe5959406?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Blahblahblah,3OZC4pAHNyMnC1QCUxRcFN,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,I'm Not Your Man (Deluxe),58IxxVGqidZ8sLWNKeknlH,25,not available
26,Roll With Me,0D6VCA9ycrkk9kH9F0p0AB,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Number 1 Angel,37rI2gAtakAmSFtbIE9THq,50,https://p.scdn.co/mp3-preview/2b2529d6d7080c9a8c952eedcdf5b0b70ac793a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Boys In The Wood,0qAPxT4KrKWhPeUNhJqtZS,Black Lips,35C0NSLogAwImm8HAMqEmG,Underneath the Rainbow (Bonus Track Version),4kE1w1zgP6Ag6Ojbuxzk7l,34,https://p.scdn.co/mp3-preview/0e5bc25aa35f4f4fd2c826b34feb98175c3f0902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,O B 1,3fwPft5rwZHPhiRIaMZ2fD,Jagwar Ma,6fEO1r9Y9TYL9O4w5kVPmc,Every Now & Then,6f1aaHCR4x6H1CazWZoGix,0,not available
29,4th and Roebling,2RpMHnKzl9tUM8I7DBsjqJ,The Districts,3HZgaiR960RFqx9d4LPraD,A Flourish and a Spoil,07ZwJWFc3I8MmeQ8rsg0x6,46,https://p.scdn.co/mp3-preview/aeb75ad37aa444530dcb2890e19507c9419f3470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Bonfire,19KGqND0CPC1bL8ZlV6VV6,The Big Moon,0KU55rzxAihPhi27MAuz9O,Love In The 4th Dimension,6A3pxUItYNmraeFxuRsCqs,30,not available
31,Somebody Better,18WXsmmjUGlvqAccJUbCLF,Black Honey,2oVmQT6s29pVIKpqJkyxBS,Somebody Better,002qa4Xw8OSv1A6a9L3LB7,29,https://p.scdn.co/mp3-preview/616e6477f393c9938ad59158c6832d528a9e09de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Grown Up,6HyCJzhQOQL8Vll2WS2QLm,Danny Brown,7aA592KWirLsnfb5ulGWvU,Grown Up,0ppIg1GbwtR3C4BD3MjTfR,0,not available
33,Big Fish,4V8mLXIigfp3fxwBGlWeeP,Vince Staples,68kEuyFKyqrdQQLLsmiatm,Big Fish,10u8703cAWlzYjY4yalR2x,1,not available
34,So Special,6DeV0zNRKlcl3SGH4TW75O,MUNA,6xdRb2GypJ7DqnWAI2mHGn,The Loudspeaker EP,05QlkSlB3MxfqtjiurXxe0,41,https://p.scdn.co/mp3-preview/9849df5206b850c35875c2cb7eb011160424a932?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Tulip,4QxeojKvPUKfjrnSuC0qO3,King Nun,0FHPAcPoHtExxmF68aEChO,Tulip,3HuFp2dlx1C8osHSuWJQvU,19,https://p.scdn.co/mp3-preview/874850c64cd1b3075336c243e3b08ab08114fbee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,I Can't See,7leaKsPDWleXbRSPVaGxhM,Superfood,0ZSjRETud0Y3BZ3aLNKzAz,I Can't See,18siO0ARsn84ltuv7Aqicq,20,https://p.scdn.co/mp3-preview/a250fe8bb3b2a3c6e5e41e9820d04ed991272536?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Face Like Thunder,5B1FfbGWfU3Ax3BLTQyU2i,The Japanese House,3IunaFjvNKj98JW89JYv9u,Face Like Thunder,5ukLCpus7g9CcRuxy8EJoL,43,https://p.scdn.co/mp3-preview/ec6a716d0a45aaf4948b8efb36f4a1604753174b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Priestess,1B9GNB1zXF2ZcDeYJsRA2n,Pumarosa,2iWb4skzSlf6dMTu1DS18J,The Witch,1bgYGX12OrMNxUkTADE1lc,0,not available
39,Night People,75TulEelZ2Bru5ixJYGJBv,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,Night People,2SChkyg43hZMnY5EtTv5F2,0,not available
40,Brazil,5ftdTvmQjjsL23t7jxADfI,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,Brazil,38qaYdCiewb6NrRvVxWTe4,63,https://p.scdn.co/mp3-preview/2620d558c561a044652afe64043139d6bb14d6b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Ring Pop,6GlKIuygCYeMHtQSAEDNdT,The Orwells,7ia4FaCVsbXvhVwagCJk7l,Terrible Human Beings,3TqvYnwEo2PvXI9hoUndVq,24,https://p.scdn.co/mp3-preview/d0b436d6f4f14e114f25144671fbf83fd8594a5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Let's Pray,2LL4vnj0rfn8rE6ql50zdX,Blaenavon,79RmzX8i9w6YwqJjg3O1MY,That's Your Lot,7BEV2KIfyxH6ISuihEwjxL,38,https://p.scdn.co/mp3-preview/bedde667fadeb7c95573a6b7b35ac0a50e707379?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Girls Like Me,2SSJPqScObwTcz8XffNRaW,Will Joseph Cook,3YO2a6i2cfdFbgxk2HDfPe,Sweet Dreamer,0ja8b5YdGJVr6A4SQA2v9U,53,https://p.scdn.co/mp3-preview/c65b8c50a1907368412c0e2f76fce796bcaa0e22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Girl From Mars,1JYs5OOgeW1jAOaiiLlJdx,Ash,2evydP72Z45DouM4uMGsIE,The Best Of Ash (Remastered Version),5BFwMp5Uzs15Zasy5YOqib,57,https://p.scdn.co/mp3-preview/b7ee0d04e0bb511f4aef5df9f55f96880cf79d0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Left Alone,3lAWskLVfTRRiNJhDQ8R0t,Flume,6nxWCVXbOlEVRexSbLsTer,Flume (Deluxe Edition),0rIkPxL8Uv4zb78irBAuwS,29,https://p.scdn.co/mp3-preview/a6d749e290e70a89ad5ed38e76940f7fcbfd6874?cid=fa83a2fec7c440b7a2795d600d6b2c7e
