The NME 100 2018 - The Full Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
63,Tyrant (feat. Jorja Smith),6u24cRDn2mTKcXxxtgmIsV,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Tyrant (feat. Jorja Smith),2FM2RlooCFHOMYfChyzQb4,2,not available
64,love somebody like you,0ltO5bci13M68sTnEctBxR,joan,3HXLY1sNXIxHfulrjPiRf5,love somebody like you,13NYDkzyuRQC8aQLCcyl54,59,https://p.scdn.co/mp3-preview/c8e9238ba62cba3afb158757c63fded83334b1cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Say My Name,6iZTQ7OJ0B4Z4Lij5o7Ub0,Tove Styrke,2QSPrJfYeRXaltEEiriXN9,Say My Name,1bNiDHGgQOVMnuk2H0M8BQ,48,https://p.scdn.co/mp3-preview/50fa12af4ba5abc00e57a017070b1b8195a26741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Found What I've Been Looking For,4Hn5Jhz7OAdfTqrKZzN0tf,Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,Found What I've Been Looking For - EP,1do6OySS9EvWJCIRRsU8XZ,58,https://p.scdn.co/mp3-preview/a7100d32a341ada5e789095fc4c21a3bd020342a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Alterlife,5HgLArw5iKY6szC55OWUPK,Rina Sawayama,2KEqzdPS7M5YwGmiuPTdr5,RINA,0Kju1j2r9e6LG3HJ4ldvAW,42,https://p.scdn.co/mp3-preview/3c34a6477928a31870bff213886e59cd698a24d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Alaska,0cReiQLnbTaFfUajukjDBb,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Now That The Light Is Fading,6emUsSQtDzy6NNXI5kxcIw,6,not available
69,Tuesday Afternoon,0yfV3LUBvMR3lcG5nIwVQ6,A House In The Trees,7ybXCaa1Cc7rMNDoMZoWzS,Tuesday Afternoon,5i5iK4QlH6HPabVXzgV3rg,37,https://p.scdn.co/mp3-preview/4d5495b05fc300b956c40509b63bc8e7b189968e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Actor,5ADpjxnRtCE0gtszo5VNOn,whenyoung,6IcfYALmhjyW2kJwRNXHJp,Actor / Silverchair,13lvCpY8HobJeZkcGPma1I,16,https://p.scdn.co/mp3-preview/9a700cb2ff595a3e3fbce8129bb64cf327f8b13b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Chronic Sunshine,2RGe02P8xxSF9syj0ltPjX,Cosmo Pyke,1RKG6WXRzmTJtbLRZTPU0T,Chronic Sunshine,2GVSTqYcLPfhtpkE7mTR99,62,https://p.scdn.co/mp3-preview/6bbcf15c369ea4eba390ac0f072d849d8acfc21d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,66,https://p.scdn.co/mp3-preview/977109b82c57341e274dd9465e144a4794a965d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,To the Bone,4UBJ1Gvv5i1ztwWKWv7z7z,Blushes,2AqDF6Q74Ri1WBf7t5ZPXt,Private Viewing,6J3UUPMTj1CbkJDFmJM7qN,33,https://p.scdn.co/mp3-preview/514cd87fe522f832bca632b5ae16a7de927eca88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Nada,37JtjyuKRckwBkl5XgUKWO,Mellah,2GLV4oAUIsOw1PIHthXqpF,Liminality EP,4aQDAo6wURsJi1Xzz5LwSz,29,https://p.scdn.co/mp3-preview/4ca46fc38bde6a20963315482c868efb22a93fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Jazz Baby,64UT2BKEkAV4LnhTXBkDZN,Pom Poko,4RkC3KmYWnr6PM1FM5Shwz,Jazz Baby,3NwmCBfnwLLnCHU6Xdkbag,0,not available
76,Suzie Wong,5jKS1BscHn0q1LboDlPEE1,Dama Scout,7Dqpx5e1ZUeBjTUMP3Y58v,Suzie Wong,668JA1RoMxPDafCcLbZdNv,16,https://p.scdn.co/mp3-preview/e7c79d6a01edeeb8f6673a32c175b303fdeb5417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Your Dog,1BSTxGkSTTLwEpbuusHRzH,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Your Dog,0damtrWa5KnlBhXNK5IcYK,5,not available
78,Baby Luv,6RAtS5sZlizdGGcawa4sJU,Nilüfer Yanya,09kXLeOXRyfNQMXRaDO4qA,Baby Luv,4SbDhAl9sb4hXT4vBdOtKO,6,not available
79,Pockets,3minGt3vPFVTiobgjlh5on,Easy Life,7uwY65fDg3FVJ8MkJ5QuZK,Pockets,6eeltaNPXL42s8Y9zc3eYy,56,https://p.scdn.co/mp3-preview/95bff6ed1364851196ecf3d9e394abe42df79d9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Voodoo Saloon,2M7SlVh5Jc4lggBQLxpetv,Jerkcurb,2We7vKruiEweV984BdrxGA,Voodoo Saloon / Little Boring Thing,7uF7A0H34mll7F44uKNuyR,28,https://p.scdn.co/mp3-preview/321a51a20bee53ceba8c42a14f687da173da876b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Thinning,7h9Bx7Y0NuP71mMI4FLqlA,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,Habit - EP,5Tr8yao7NrGlIhEGzntE5p,0,not available
82,Wished,4wIBISN9EpHsQI90SbLhad,Sorry,5eUda4BaWhUQWWJiP1ml5v,Wished,5zYgRyocsGENuWaKVopA1s,30,https://p.scdn.co/mp3-preview/ab9ac9c14ae70b85c4b96259b28056ecadfdef1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Rodeo,6RIJE2qsFZ6fvjae8tv3de,QTY,3IXUM7IYpRRJILzPDOKe5g,QTY,3jzg8njSZlbwS85gEGqVbM,15,https://p.scdn.co/mp3-preview/16dc89d16a4790fe4e1cbef8a37852b88a56492f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Hear This,6dbo1dCjqgVS3XHcnJmOHx,Jarami,1iwseab2dozTUHoF5taAdf,Hear This,7A186wgjFKohuXALsrR0m4,41,https://p.scdn.co/mp3-preview/7abb6a36af44de9b91321a2f47cdd8f07ecd26fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,raingurl,4gRAniZdYF2zVrDUsNC9tU,Yaeji,2RqrWplViWHSGLzlhmDcbt,raingurl,3YtDhWqQOTOT6XD2DQHpBr,66,https://p.scdn.co/mp3-preview/5e721504c2e32fe005d0cdc874543a38c23704a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Take Down the House,3x6bUhwhm9o9bR8C7DnYGH,Promiseland,0QomRj9WxENpZQSoEaQW4W,Take Down the House,4kzVIz4o1QIbuJtxNJxLPT,14,not available
87,Going West,6YcptuI1dhjD3vIH5YBiYc,Park Hotel,4TGkEOaB34bRPrhZD2gjMu,Going West,3XzpvVw6SzPs3x0SLipdVH,18,https://p.scdn.co/mp3-preview/379286597c718d575115e328dd4f7e8fd43fc9ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Falling (feat. Okay Kaya),51jp36wU8YNUDKgpKHmrfP,Vera,0Nj6EN5mur7EJHl0aZuGP7,Falling (feat. Okay Kaya),2CAhBWG9KDa47nMcMIha7o,42,https://p.scdn.co/mp3-preview/e9c0cbaddf08cbdf0c5ea44eb94f9c639807e395?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Life Goes On,1wdxCPFz5KfjT8dfPBdIb8,Keep Dancing Inc,426htfG7DE5S3kgoVCCJUB,Life Goes On,7uEp0Fz96bmbadLGww8ssW,0,not available
90,Not A Love Song,0olvO9l53TxK1j0v4wrC5y,bülow,5vBrKGOjN10BMwB0cJADj4,Damaged Vol. 1,5luaqt3dZNSQUDEV4PbZI7,1,not available
91,Patagonia,48BDsmu8QDmFANGc3F6bd0,Patawawa,5D65DHzw4qysvKA2VJzOtC,Patagonia,4M5JVpVYzGmkYyeNjyfks4,40,https://p.scdn.co/mp3-preview/80202ccb657c084ebecf9ae8b9365ccdf811b617?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Virile,5Yy6KD4PMTEqT2LMZEP5f9,The Blaze,1Dt1UKLtrJIW1xxRBejjos,Virile,6Z1umlkz9Kb08B2Itxn3yr,12,not available
93,Crazy Dream,7LNI08YZRk67lg7KaPABfg,Tom Misch,1uiEZYehlNivdK3iQyAbye,Crazy Dream,3QaujyUDkMoPwWLF79ibGC,62,https://p.scdn.co/mp3-preview/e5bf5522539fa5757a4ca13d2c2f7e3bc1ea43ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Better Sit Down Boy,4l3yM2aEkcijkEkZv33lLd,Confidence Man,0RwXnFrEoI8tltFvYpJgP6,Better Sit Down Boy,3dc8uVvkMkwvJVgBeXY0xP,20,https://p.scdn.co/mp3-preview/796a28326c229a8ae808f63fb79bb26b3d47f708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Face Behind Her Cigarette,4VwHNTnSBH6hE8YFfvRNDT,Boy Azooga,4S2f4BosAW2oF9AfGEK8ZL,Face Behind Her Cigarette,6hmvdDJoThB1pzd89pJB5M,24,https://p.scdn.co/mp3-preview/a11537ad9c67890bb5339957d3e71b3e5f4865b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Overnight,1kgws2l8gsvDhtsVyzWbu9,Parcels,3oKRxpszQKUjjaHz388fVA,Overnight,4j3sdOtrUvam9EaehRzi6B,64,https://p.scdn.co/mp3-preview/361673bee02f370c642d42f64ea1516746dc6be0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,"I Love You, Will You Marry Me",6y7HcF6pu7aR5TELJst9lL,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,"I Love You, Will You Marry Me",7qyCBILealAWVxS2J6jFjy,1,not available
98,Are you leaving,0VQLUf1y9Y01gYjJs4cleE,SASSY 009,30gJ2CPCeUvghTg6TkfA4L,Are You Leaving,67ZtXeqzoSchmt4bWOqMgU,37,https://p.scdn.co/mp3-preview/24b3b611ee6e64e2696daa66df6c2a369f0671da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Chasing Highs,6fTsxhIosAU6zXTAhSaemI,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Chasing Highs,1Yx8WUnHX4zrpQVF3nOPUg,11,not available
100,Lifestyle,2O13zkjoWCkpOXlBwH47qq,Belly Squad,1EWnP7piatUeXggTXofm5g,Lifestyle,5cpOAdmb5sL2oNJP7E6xgS,2,not available
