NME's New Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
42,Petty Thieving,3dxAvrqRv4KENeZTpACrnJ,FEET,7HeBQpJ3UmyybgEvqfdRAE,Petty Thieving,0KrIYFiZf4hEzi2BXUFfKp,41,https://p.scdn.co/mp3-preview/af00bb478ab4bfa50dd712b482c6f6b6e073b9fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Destination,4DbAllY1LsR4kADffo3JEY,AMA,5hzFTGZcy6Rqme2qNC2vUm,SCREENLUV,7bcoGxwffsLWo3H8VtgzTI,23,https://p.scdn.co/mp3-preview/9f1994a13dd7019b48185f1b9aade88378f28da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Leading Us Home,7mqcDKCZM6UxJHeQAjxnUH,Sampa the Great,7fw0E8WHdG3r9SuPBcGmWk,The Return,1HxsSJHTqeUxDoKN26h8pB,53,https://p.scdn.co/mp3-preview/6eb5ebb64c4a510ff33fbd7fb82824c40e7b97e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Saving Grace,1QqHrA7n6tjvoIGukZdPrQ,Alexandra Savior,2qqZbV6smvvtohQOUgZqKa,Saving Grace,5xR2SJXSlzkob062klJ25j,43,https://p.scdn.co/mp3-preview/2ff5555991493fef93b9da8b84a9c33dee94f781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,When I Get My Braces Off,2W5BqUeVE42TSFnIQ2naKY,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Driving Music,51zDBsYFzLwVSMVgRqyhkd,47,https://p.scdn.co/mp3-preview/e9ccb256064ead144e498edc9f6dbebb6186f7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Seamless,1n1IeCWKNGZpNMKdWWTQA6,Higher Power,6yv0Vd63iiAaW4665Cs9vT,Seamless,5mtCKoQZgLxEuhMyTXZryi,42,https://p.scdn.co/mp3-preview/0a80dbab29b84fc04f4fbc35a276259c2cc58cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Ain't Together,0EolrgZsjOyjjTuHEhgVuk,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,3nY7uA5jciz3tNyw8DolUl,65,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Night Time,4aTXpOAsO1Tfz82d355Vj3,Master Peace,4GNHtO2iEJ09r4JNTlqnO9,Night Time,7B9gH1nGvoKUIyZ48uWnzF,43,https://p.scdn.co/mp3-preview/52e0f46f425e062c09ff92f7fcdaf56404056349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,bad idea!,12fCqKoz3XXUgB5P8YWwOI,girl in red,3uwAm6vQy7kWPS2bciKWx9,chapter 2,7A8meGDqKo7DqqYgILTnUy,57,https://p.scdn.co/mp3-preview/f99f14ed1250bae0111186e3edd5086efb4c122f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Merch Stand,1i8BczqMCb5ruRoTbKXWaF,Bob Vylan,6XgIk9Y6qy6JCMZVime6DQ,Merch Stand,1JGZoajyarhIYMXbP69I6q,15,https://p.scdn.co/mp3-preview/0c2e9dedd725fc5af3dd353e2d6242fdead9313e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,When I'm with You (I Feel Love),2ULdjiCP3Y9NBx3i5yC4Fx,Nancy,6HN4w8eC0IVDYprG41CKh9,When I'm with You (I Feel Love) / Unforgettable,2xQGfiaBjElOIfNYLYNoCg,16,https://p.scdn.co/mp3-preview/4040e378afa1b8ef92623ba3d529760a6216eb4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,"Spin Girl, Let’s Activate!",7rcBjoYgtu5mQMNfJqepob,Octo Octa,2GH8Mzo3Ur1AdOnGUUpt17,Resonant Body,4tCzrHhdqQ8CiM9e3tZR0F,38,https://p.scdn.co/mp3-preview/5a7614aec7d4e6bb6a89dde0fab661806ecf1aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Bloodhound,3aj6KpLUGmAQRW12hb4SML,Skott,6J3RPKUwZlKMzh3vWa9wPc,Bloodhound,7vzEGS3SnM4LUvN8gzn3TP,52,https://p.scdn.co/mp3-preview/a7a108ed411328bf3ce248e16fabf3b44a6b37d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Water Me Down,79ap7oTftmfgDUBUsUcYqt,Vagabon,17mwzDXKn4ra9cuxXaptwp,Water Me Down,4kcsdigEl9ascAJ6a2b2g9,58,https://p.scdn.co/mp3-preview/f232486d26b43c1bd1d9845f131e922044d3b3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,44,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Topographe,6gilheHPyQ9hcYTxEd8E0U,Corridor,4nn9uUq4K1vStqxe8t1CD4,Topographe,6aZhuac4h0LOzTRVxfoq0M,34,https://p.scdn.co/mp3-preview/d45d517ed158621f0208a44265b1b6ab28cb9865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Out of Time,72DItfgQEMECHeisTdnb72,Deb Never,55EarwWraRQY9diMo9Oeul,House on Wheels EP,4hOL6Pt97eBeLdLBmqpBID,46,https://p.scdn.co/mp3-preview/648d10e9109bd0996331f26ea69269344a41a846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Mono no Aware,4LHjzzhvmLB8ttiqiqHc42,Great Grandpa,1Hs5RG6WIwUSJLxRYWaOW6,Mono no Aware,1lqqZgh6OSmU7eLmmFaIiV,34,https://p.scdn.co/mp3-preview/301623c9d44df83af213022467bf15250ac21a0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Black Tree,1QQhvUvnID8E4AIWNKHUnl,King Nun,0FHPAcPoHtExxmF68aEChO,Black Tree,0oXNr6XsutBsMY776zBg8n,31,https://p.scdn.co/mp3-preview/92e8fb367d4dd09139dda95bb447afd3124c547f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Reflections,5J3DSXD1TNBrC1YFWp0ZMc,Imbibe,17KVMmnqvKAER3z0CD16cJ,Reflections,5Comntg3toODpnigeWNzIy,22,https://p.scdn.co/mp3-preview/fa669416412af2367f61c17409840f70e66151b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Fear My Society,1Pv4bgYejM4IyPhxww2Z5K,The Wants,7L5GrMxr9R6NA5MT6UZzKy,Fear My Society,33Ux1zIfiJ9qqC7faYjm6J,25,https://p.scdn.co/mp3-preview/8ead1b432f6f0d3540ed520030c5dd4e8c97f40e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,She Plays Bass,52zzYSu7RUsSFn8cZlVjWp,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,She Plays Bass,6aSy1zAuCiFQxUFITf3ymw,60,https://p.scdn.co/mp3-preview/d248a101bdc51b9dcad2209c7e167b38c8dbe135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Moon - Edit,0qC6CVPzhHF8SvLzsJAC4c,TSHA,2kLa7JZu4Ijdz1Gle2khZh,Moon,2uwQGLZKdEHJMfEYgPTlZ3,36,not available
66,Ferry Song,6yvkV308FgU626u3R2W093,Twin Peaks,1xD85sp0kecIVuMwUHShxs,Ferry Song,72uWjp58fca9cEwkj5Vvzv,33,not available
67,Connect to Consume,6GAe6Qyx5P3tM5iEpV8wEl,A. Swayze & The Ghosts,6rbA09kzdZICoLg7sWbkGd,Connect to Consume,6MzCOAI8YBSwYV8pE8b1tb,26,https://p.scdn.co/mp3-preview/27da33e3eab7dd57a3844eebe41734074494df61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,If You Want It,4l0bCBBi9WEMNdzMWAOJMu,Jay Som,1wmiQ6ytATiGnJs6uFluKO,Anak Ko,62syoe9xkhQbkNOHgNZEQ4,46,https://p.scdn.co/mp3-preview/99f073031ab5d50955de8b7ccc4cbb7601165e76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,British Bombs,4ZdmTNaBTErD8n9AQE0YaX,Declan McKenna,2D4FOOOtWycb3Aw9nY5n3c,British Bombs,18nvSHmOdaQNgpz7vsJKPr,65,https://p.scdn.co/mp3-preview/204a0791c029faedce01691a68d4788373d377f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Silver Line,1sq29H6gL3xNe5VdvukWuq,Sheer Mag,58ehndX799ZV9Jcv6IefJ1,A Distant Call,0Diq2A7FjraCWgDW1B5u9S,41,https://p.scdn.co/mp3-preview/8d39853bdd54cedf123e7e7211a6223fa3ab3584?cid=fa83a2fec7c440b7a2795d600d6b2c7e
