The NME 100 2019: The entire list,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Losing You,3q6KBsRwxFxXo6RWDUqK4C,boy pablo,7wbkl3zgDZEoZer357mVIw,Losing You,7m1C9ck63v8OYK4nvUfpwH,52,https://p.scdn.co/mp3-preview/4959138dc4fa7bcad31305384d7a600f521baa8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Cold War,3l1QX9fhldeI23AlON5iY3,Cautious Clay,6iWuBN32BqCJAeXW6o3nil,Blood Type,0I55n0pRuelv0nfZHKhA8f,11,not available
17,N.E.O.,6Tft8294HqHbXjc9TidDqY,CHAI,0NZsNnETGPWLKJj2Y0vpBx,PINK,1RwkDfszSlyxKqwoErNOg2,22,https://p.scdn.co/mp3-preview/d72d4290ae6a1ec8045c2c4cd105dd56ec2472c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Controller,34aM4AadnV3foQ1cadQYr9,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,Controller,0nVzRQh8j8RyVhi7qvJzD5,55,https://p.scdn.co/mp3-preview/48a4a72ec119c9b45f05d91906131e5c0fe9ea48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Same Energy,4nQEgA8gYIYpjCG3n3BkR7,Che Lingo,0xNKgWtSixAqcwJLM2c8ez,Charisma,6OxPRYuOqTorI2XXjVbmEk,48,https://p.scdn.co/mp3-preview/6a6a7d50581aa7d3e9f1e2eb862e018663430c3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Penny Girl,5coBHFwQpwOkezv6BJmWkx,Cola Boyy,6CZN3MHeeEXh5PxKZivIa8,Penny Girl,3IKHdg0Q6tPT2Pbd6XDH6o,38,https://p.scdn.co/mp3-preview/8efcf1977cbe5cd2ec796e0f5478900f1cd12369?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Retch,1OOphkWXN2ySywxuWhDhrz,Conjurer,38eUVFRyGFT6VnEbaFRScQ,Retch,3wJJMr97dnTOUeQfptM1bt,8,https://p.scdn.co/mp3-preview/3c0b9df0441fddb0299038d467d5bb22b1640e5c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lo Que Siento,3oyf4dalm17kzTE8LJDbgR,Cuco,2Tglaf8nvDzwSQnpSrjLHP,Lo Que Siento,04rhYQT6GJgWQQuRE6FfEW,77,https://p.scdn.co/mp3-preview/314a859191a74a82cfec5a4aef8f10acdaed6994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Grrrl Like,4EZGpYmEN1m5erWvnVsa8a,Dope Saint Jude,47e6jtFUUl53YpTpvzOOMN,Grrrl Like,5kqRjRGnmafy2tv229uHsp,37,https://p.scdn.co/mp3-preview/0c6c414f2186d51dc66a077ba33d5283166a11a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wishing Well,3svikHmmVbprv8vc3x7Iek,Dylan Cartlidge,0ofvvakxXcRhIy5fgIoB9z,Wishing Well,1vdxSRgc5Kl7OKz6g068oT,0,not available
25,"If I Die, Then I Die",7aS6kRXMTuK7eETDpgVR3Y,Emerson Snowe,6kh1WJ6VPiMl1WlhJPTqwy,"If I Die, Then I Die",1ustYdsUpDyJUBz7LCcQS8,12,not available
26,Petty Thieving,1jZ8blY3BjBQqMwtkYh4kk,FEET,7HeBQpJ3UmyybgEvqfdRAE,Petty Thieving,2UcG8rvThocPizIqdWAyW1,38,https://p.scdn.co/mp3-preview/71a2a9710d5b0345bf76d360e1af1dda06294c2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Wild Yout,6TzrllyWzupfTBUxYm3B0r,FLOHIO,7qffELscxpltKCso3ByH67,Wild Yout,6ZUtoBgpXJ0LDkx1yIlfdN,27,https://p.scdn.co/mp3-preview/462adcc6343d651361e23608849b672d7cb7a26a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Jazz Session for No Future People,1YkPEoHMuKQzddtBS0A1Lq,Folamour,6pJY5At9SiMpAOBrw9YosS,Melophrenia EP,5mn9BkisK67hq14KpLsJBX,42,https://p.scdn.co/mp3-preview/0ac368f613589a1353f537626614788f2f6a757e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Too Real,7xEEOZf7tJSHPyNRjqG2A3,FONTAINES D.C.,3SXwqSqAoBz9WCI9PDQzY6,Too Real,7FFc69aKBLPKqNhsYNLMON,34,https://p.scdn.co/mp3-preview/4e6c0ea40608e4b385bb5b32e072fa786d952685?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dance Moves,1DriOnyA5tFc2bUdM6nglI,Franc Moody,10GT4yz8c6xjjnPGtGPI1l,Dance Moves,5478vb7E5nJWOXs9JcAxRt,59,https://p.scdn.co/mp3-preview/d7641a80a1aae921a4102ec0924c5311d3764b4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,BMT,7q139qAnhvHLXC8pKh2P7y,Fredo,3rbtPd0NcvhO2AzMfzx90z,BMT,1wr7OQIfVbWCLgoEQFPoRV,52,https://p.scdn.co/mp3-preview/09b89019a570ae17afe1ccda3baff4945d655918?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Playing as Punks,4CTR74PdzuYD5OspSTxNNw,Free Love,0bec5c6VO67VhJrdZ5xPOs,Luxury Hits,3KsmbzOapEgTLIhnf646NL,22,https://p.scdn.co/mp3-preview/f057a7eb2aa5c99dbb255f907ad370970ad6896a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Want Love,4MGLQrygNxRb0Grar2sfnF,Fuzzy Sun,40uK7RAJlyEALdLWZ1qNmb,Want Love,1JZugEg35c8u08snujRpiG,38,https://p.scdn.co/mp3-preview/b5beb376540cab8c92b3f11f35569773d052ee1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Body,1oTOzTm4u0AunZSlQpojhy,Glowie,303SwmjLibkh8OJH5xxZOM,Body,63eWaVMpfEjNhUGvwWxaZv,39,https://p.scdn.co/mp3-preview/46f4e3c8ed276f3fc207779f0f3dd44b69805506?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Dis s o c i a t i o n,7wcIbl1FjWExjKlQUrT7S7,Gouge Away,1Gi5tHYi0ptGG0G3tX9PkU,Burnt Sugar,0y2a0KrM8Ess0O7FveH4SL,0,not available
36,Not About You,6hss0gnCns54MMftGzD0Ma,Haiku Hands,3QX8CTn1znpY0HF3hbnNye,Not About You,3jHJmHCSuiqr882q0LctZ4,46,https://p.scdn.co/mp3-preview/dc5b7c0539215916707e75a938fab0b50757e960?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Crying on the Subway,3iUKeXTivCNYMVUUZuPDoE,Hana Vu,3diDUq8QMCCtx8a4Jy42aO,How Many Times Have You Driven By,73NTEwHNdFDSEhiJAuS1K2,45,https://p.scdn.co/mp3-preview/07d473125b1d1bbd2f9f42d003c97f68c73a2c81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,True,4JrueXDgEJGRQGBhkFk459,Hannah Diamond,3sXErEOw7EmO6Sj7EgjHdU,True,3vSr1cW0UA3ixd61pfSbMw,32,https://p.scdn.co/mp3-preview/264382e0b072da26ad7963add4c1ce87948f456f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Try,1zwOlymKJ3fR5FHqTrKJj8,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Try,6NbREWUfS1NmXBqZ6Etg2z,31,https://p.scdn.co/mp3-preview/e46440430883a54f3e4e66ef9075be9a1c7be366?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,18HUNNA (feat. Dave),0G1GIn5gGoe5iLHvVC5FM0,Headie One,6UCQYrcJ6wab6gnQ89OJFh,18HUNNA (feat. Dave),2T73zOiATQUhdzxQMWNIcv,63,https://p.scdn.co/mp3-preview/97596be88b59f2759193dedecfb556ef550266e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Grime N Grind,11WfAxPnzyivi5VdVUPWny,Hermz4k,6ad4JWpmbvJ58zF2ZRnh7I,Memento Mori,08f0UqXCsYaTB026IQxDpD,5,https://p.scdn.co/mp3-preview/7e5b432b4fdd3a7a2fea6a9b56c180695d6e3d2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Bleed, Honey",7yOr94OZcYLLDOPTyu3F9h,Honey Gentry,1rzNAiuTXmnncP3ZVXfgV1,"Bleed, Honey",2QJGHdiuPTA33jX6nHe8Je,21,https://p.scdn.co/mp3-preview/931ecf888b9f535026a453d68c92deae1f0d166a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mirage,2STsFS0lqLnINh64XDkn44,Imbibe,17KVMmnqvKAER3z0CD16cJ,Mirage,6CJdm0ZaNqodL57YI8QtzK,15,https://p.scdn.co/mp3-preview/f8f3cc715d7a302006d5f76e7393855aeac22c2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Uh Huh,6UQkKezR70jMXymMJgRcOz,Jade Bird,7D8LuVnlyu91ndcPe70j7S,Uh Huh,4TPh9MRbmnPMv0KXYypM5D,11,not available
45,Curse of the Serpent,17AMDcBGI7z0x1Ek13epbv,Jesus Piece,5ZPr0RHsR3DrAhtsYMsfHR,Only Self,3S382sny5N3i1OG96Vd4rY,41,https://p.scdn.co/mp3-preview/6d5975474e6e7b7fb9d33951088316ddc62d5fb2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Redemption,77SYCWvukH9LFzL1f2GJhw,Jevon,1cwNKCIuq12wLqAAsC1Zyi,Redemption,0uZOQMxyjpMqvHh4FYdflQ,43,https://p.scdn.co/mp3-preview/a73f06e2c2bbba370a80eba1a3470975ffeefeda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Fashion,0kBLYgCaHwip6hDocE45KK,Jimothy,0sq3OExudqk1vOkbSuc8KW,Fashion,7veNzYXJvmP5LDdYU1jx4U,36,https://p.scdn.co/mp3-preview/5792788a9510f069cd3360b35b9d3be4ecbef701?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Can’t Stay,5IZ5KzHScbkLx2Vhs0VZQf,Just Banco,6WqUIcLpU2x5IaPulIyGpA,Can’t Stay,6uARjT4P9GiBg3QWC9bitg,18,https://p.scdn.co/mp3-preview/e973392bace1028eb5a19936440be13574dcb756?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Deadringer,1HD11vDTcCQB2n1pUKSEdc,Knocked Loose,4qrHkx5cgWIslciLXUMrYw,Laugh Tracks,1WDAhs6x27Am5mXxl2PL4s,50,https://p.scdn.co/mp3-preview/5780d291fe9d79bffb8c48ebd1b9a137b4eae93a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Burning,2ur8F1rb1lsxpZA9UJEDfl,Koffee,1gWjcmBsveEYMxOZ0VRi32,Burning,1gCBAfrnTTAFRthxRqp0Rj,54,https://p.scdn.co/mp3-preview/9fed24407ea3a69f6325a44a5afe43768e0d9d7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,White Noise,78IdPSEV71pgzvJaV5e0r1,Kojaque,3ZHJIsD3uMwwjXlSpDzPtY,Deli Daydreams,46PFhovdF7y9Q3Z7qdCohx,36,https://p.scdn.co/mp3-preview/fe5438e7679cb6967f5f22c8db13aedc0af07b56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Lavender,40ikg4L5j0Rn0rm28Dp2t9,Leyma,2eTwRC3JkfqTGaVs4UCkie,Lavender,4qoWAB94Oes6rtshyPmI6k,24,https://p.scdn.co/mp3-preview/6efc3cff6090e6f815887b94924f65e6aca6463b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Melted Ice Cream,7ApbCoolA2ST45gT19dmCa,Lucia & The Best Boys,6T9XQwG0W5V3WNSwByOGE5,Melted Ice Cream,0XBaHX7LpwsXU0ZSWoJtNG,28,https://p.scdn.co/mp3-preview/1b1e6dbf40926a77b6c21791d33c26c4da54582a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Groceries,706J9prVXY8vZHhp9VGiBE,Mallrat,4OSArit7O2Jaj4mgf3YN7A,In the Sky,7oH5TTCFxugLk2JZIUReR2,64,https://p.scdn.co/mp3-preview/e337dc468113996153bfc17501f9166a0358067b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Buck Me,01jWBQBfwrsEwMeOV0j2j1,Master Peace,4GNHtO2iEJ09r4JNTlqnO9,Buck Me,20CdmTpP93PxiQrzSmydS3,25,https://p.scdn.co/mp3-preview/738a4b9f23b3a1b214d3f96bb46f69bc6a8f3e91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,"Afropunk, Atlanta",714Gd270Qnu7LA1vCHDunx,M.I.C (The Master of Inane Conversation),0lBHYtYr2HFueTHY4CHnTF,Heaven is Black,5mrDC9VhfrP4m9ARG97V6R,6,https://p.scdn.co/mp3-preview/9dcac7d3ec9d4edb658a9d5079a33fffe875cda0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,The Shadow,7tmJYw0aIkOjrRHFWY8xDB,Millie Turner,53GC8IrnkJXGO7znOiv4tD,The Shadow,4MdXFwlDXdYfQYZWPqYKh8,28,https://p.scdn.co/mp3-preview/dacb4d3df9d57ae315e3fa81916ef01cc46a3057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Whatever Comes to Mind,3mSDOXph5bbX3YfFIJLi64,MorMor,63vaeIIBKIe9zT91EORVbr,Heaven's Only Wishful,0c9sWtTqYILWgEddwu4Qiv,49,https://p.scdn.co/mp3-preview/c240ed8cd26dc8357921c6884fd5b6fe51f25f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Felicity - EP Version,2CD3q4ezYtPC5FoEFqF3wE,The Night Café,1ShwUjKIwQRaUJij7jgRhp,Bunkbed,43xPCuGifSAWSoz08hHZtn,43,https://p.scdn.co/mp3-preview/52f2b7ad1731a97025cee3d627185cd9e04e6180?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Narcissist (feat. The 1975),4qjLvvBh5ZeKEPyShKRf06,No Rome,6auWB5YAlcKaHyrbTH66nd,RIP Indo Hisashi,5l156gMmHiFQKaAqCWRkI4,70,https://p.scdn.co/mp3-preview/54afe34649b0007b4b43416f8c2ba1e9b13769e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Suspicion,4Te3VYiO0bnL3KrDSzWkvr,N0V3L,7hB25IiKPmhATGtFwDbylS,Will to Power / Suspicion,4kcoZ6hs4wAlNkpex9Wv74,9,https://p.scdn.co/mp3-preview/d1b32812639685023a4cd0ccabd430c89cbe1366?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Always,1Mtehs8ocqYD2GUDM2BArG,Oracle Sisters,2S11VlKvbvSKyyb7Wk4YP1,Always,1dvMVn3aovBm7S5mQM3LAB,33,https://p.scdn.co/mp3-preview/3a9d64bc57ca6b0e7c1f622bd67b7ea76b6364df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Lightning,16o7CLWIzn2Gk73exzGdjC,Octavian,5zfEatKLDdRkgbw6sdLBAQ,SPACEMAN,21sofiD2YYtvZmeYKVjPf8,55,https://p.scdn.co/mp3-preview/02c7ab2ff1bb60269bc6d0f2dff2b03fcb05d3d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Tired Creature,03rfBv1L1NjQrnJdrORLOt,Osquello,6ScAPpYnDsH3Cu3TKmhUJr,Tired Creature,5kkY7b1VMG6Rd3hgnKGgMk,16,https://p.scdn.co/mp3-preview/fd90b19d6b60d5286a71f06125aae000d1de4f69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,It Makes You Forget (Itgehane) - Edit,1GZJu6ciZ55S8Kp1s8Z5ex,Peggy Gou,2mLA48B366zkELXYx7hcDN,It Makes You Forget (Itgehane),6KQHrwJdcPIUx1mb97b1Nj,61,https://p.scdn.co/mp3-preview/652dee52c0c659e4e7e5f1dc787ea87c8ff91636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Favourite Song,4gR2RXlGqExmTc6pYRsfDt,Pizzagirl,0ef7Q5r0NAMicEugmtYxjA,Favourite Song,7runqmgqOYNV44LUp6YSgu,32,https://p.scdn.co/mp3-preview/e8a80477af5ccbb6f66c0865713031ad9e1aef45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Concrete Lips,7tlOuT7qEWXsxi60D13mHe,Pleasure Heads,0wwzULgGSIjfhB2mwZ0NlA,Concrete Lips,70K3TnYH0xP6ccCowttL2G,31,https://p.scdn.co/mp3-preview/1c012aad5141037e1cb2f2fafcc976c762c87987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Love Falls Down,5X5XhvErlZwcy9Mj0O2aVV,Poppy Ajudha,6oPQiSj92N4mk5jXLtX1bl,Love Falls Down,08WEyVCx9yGsm8as4jbyOZ,44,https://p.scdn.co/mp3-preview/da2f709e50121dfa3086ba032b6b668ad4504593?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Told You So,2GCdf4eslN2a7tVU7beLRV,Rascalton,2WLttwwLTvBLqOA5nOotpi,Told You So,5Vo70I9Pu3QWZrjOYVcgJs,25,https://p.scdn.co/mp3-preview/bc2e0f09eb2dbc0026b8e35d05141fc6fdfa92c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,The Night Song,0xQT5kbfnrU9Dv7x4MtMbi,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,Crush EP,7jxrYnrAa06rekcs1cxp7i,57,https://p.scdn.co/mp3-preview/3c48e0afbebe98e01682fcce355426f23072e79a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,never give up,4qK95v9A95Hn808JagR5RR,ROLE MODEL,1dy5WNgIKQU6ezkpZs4y8z,ARIZONA IN THE SUMMER,6Rt97HfoNR7rslps4JtX2h,0,not available
72,MALAMENTE - Cap.1: Augurio,1B0BQaSRHxhI0AUlItY3LK,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,El Mal Querer,355bjCHzRJztCzaG5Za4gq,75,https://p.scdn.co/mp3-preview/c3eb3a02bd252e22b93f87af33b7e8ce94ac8c9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Dinosaurs,5l2d1C7MIXAnHTdk3p2V9q,Ruby Fields,1nwPEi1UZdJtCxBqATpsq3,Dinosaurs,2Ub0ES49xCxw8ekkMvAq6c,55,https://p.scdn.co/mp3-preview/02cb6cec8d83d86dbeddc2eabf1dbdffd8573ba0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Pussy pics,7wZqNBcCVBbnabWL4zQSwi,Reykjavíkurdætur,0tzZMLekUKzwIQxIPi0DMh,Shrimpcocktail,6CuCkmbCIO93orPBdmKtDo,14,https://p.scdn.co/mp3-preview/d3095393cb8efdbcdb311fc090e31d265095a983?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,"King, Scar.",3IIArPxV2jUXk2zTKbzCVx,Scarlxrd,6rYogEVj60BCIsLukpAnwr,Chaxsthexry,3KqA7GS5ruZN70yBP2jFMJ,59,https://p.scdn.co/mp3-preview/2228b1b34a6c6c22e015e2bb5bf7f9c36fb2019a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,All I Want To Hear You Say,3X5PSHyFEfkkbIncpslasP,Sea Girls,45FqwUG4hTT6d39r2HUsUe,All I Want To Hear You Say,3iJnbOet5ZH5zNxlAXeuG6,60,https://p.scdn.co/mp3-preview/96aaedbe2e17ec20efd3409422f0571956aad0a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Ruler,4UdxLUYtZWJKvzGz0pj3VY,Serine Karthage,1jnDHFZiokuOVYxBxcxhoz,Ruler,4GBJwN3APtIAGkagwREdSp,22,https://p.scdn.co/mp3-preview/cf8a61cd1c12cf410d7ea3d3f423d9853ab48f72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Sin Triangle,2fDdW9LPYBD5KwYXRYpWce,Sidney Gish,2orBKFyc84jo9AZH5jarhI,No Dogs Allowed,3jgktTCGathax8HKW4aGfg,47,https://p.scdn.co/mp3-preview/98adf52d6cadf2028b7c1b0bf0c050c75fb6ecdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Doorman,70tIjdBrjUQkUG9jScQyoo,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,Doorman,4w7LXZqsnYnZsLNHeL7dZs,50,not available
80,"Tick, Tick, Tick",1SejhTZYaQ5wesdY5cOGM6,Snack Villain,1pJ29M4gnoC6aR8Woi10O2,"Tick, Tick, Tick",3AEYYuv8xPhbAnt2uH0QE9,13,https://p.scdn.co/mp3-preview/52e8c30f0c0aa308bff9419d1efe17ebdc0c7d90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,We Are All Going to Die,2UMmpHNvVrJ7NFb1lIgRcF,Spielbergs,1PTXobwsxwhjcIajCjV8u4,Distant Star EP,7cZcUOJ4a0N6O69yTlVvRs,7,https://p.scdn.co/mp3-preview/f54c66b6e3a35742426affc2d36fc4b948edf626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Stanton,097Hn9t5DjGcZra9ujueiX,Sports Team,04JIxSs2P0iteVWtaskfeh,Stanton,4S2PUfjeEHpw7ss0p90rnr,33,https://p.scdn.co/mp3-preview/90d7831bd841aed2ea791dce4ecd3960a32b9e43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,The Dial,55AP1tUevnOiiyffOQYeDB,Squid,685XjGzGztyivfR3fAjoxo,The Dial,1qp9czAYoODXQiiXp4Yjbb,39,https://p.scdn.co/mp3-preview/716e026a0ee472553e906998b5aa889e93275634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Boys Will Be Boys,2OIGt6nkvpYyTCsgqgosut,Stella Donnelly,2mHjhKyKCLh6MZELuCe1Es,Thrush Metal,3cNfpFYkoy94IA1zpNqiMD,35,https://p.scdn.co/mp3-preview/60dc307e3014c35e6763462f3d9be95e01b601ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,White people,2el7wGf8oySeQNZ9q9cw7P,Surfbort,2kRFetyCeU3r24DVyTZVFx,Friendship Music,1AlPVglKY08tbjP5AIYzPM,21,https://p.scdn.co/mp3-preview/9d0514dbb18cb510e1ae544123e54d53e1961a1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Who Saw Who,30Ft8JWX5NA4YI7QRI52j9,Tara Lily,1bt3qLrv0clLAZStcQf4zy,Who Saw Who,32CWCM5EJIjSPeYqlPzq6f,43,https://p.scdn.co/mp3-preview/fb1c8af38431e5c0645b8b52ec7eac86e12d53ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,(I Have A) Little Secret,6Ek711qLCud981O7ogaSqj,Team Picture,4kMKMXDMAk1gJ6n1YCoVCW,Recital,7uXHuqOVEDBMHF4cYXofxd,11,https://p.scdn.co/mp3-preview/c0a490e771e99ba0271df00166411502638e949b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Homerton B,6eVWOyIA4iacH7UaQ1TqzM,Unknown T,3iAhNz3e31lBuXYOsqGsf3,Homerton B,29rqQ9oeIKk98SUxuaz9xg,67,not available
89,Doomtech,3HZUUjUk4xKqkP7u09X8Nb,Vein,5NU7mpGqMvlZpq63RajHOH,Errorzone,5KSIgVF5lx4JURkS50jRS9,41,https://p.scdn.co/mp3-preview/65fe25f5dfe536152575b5956f853104b699e105?cid=fa83a2fec7c440b7a2795d600d6b2c7e
