🎃 BURGER HALLOWEEN 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
55,Helloween (Feat. II Tone & Lord Infamous),0frZ1qtuUNjq0Zb3IUy5B1,Tha Club House Click,4AOaxUdgOEJd69sgVgiwW3,"Welcome to the Darkside, Vol. 1(S.C. Productz & Black Rain Entertainment Presents)",2u2dwYJjE5lwZGvxuMQ57g,0,https://p.scdn.co/mp3-preview/07eab6cebcfca019a50297ef3f9d7881eb9981eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Spooky Scary,6KC56pGUxg3HccL5PQGvRi,Pujol,6wKdEYAYkUuIRuu3RMIYL7,KLUDGE,34HxaZ4vfS76yDUoaV6SWv,2,https://p.scdn.co/mp3-preview/613434fd44d0bdae0621b9de7148f8512316b118?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Halloween,2K1qbAWIVNn5l0fBqFITI9,White Mystery,0rHbNtwi3vf2fIJl5P1oha,White Mystery,6fpQzH4wv9SfZj3gmpUu0R,1,https://p.scdn.co/mp3-preview/669bc8577cfb823bfaa5e924ddd77c6d522df72d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,It's Alive,1SjscEW1QYX5uo8NGMwxiK,La Luz,6QRlkjrHz5A62mqeNZz7t3,It's Alive,6ZswLZvbTVFCyCgeKsVxp4,24,https://p.scdn.co/mp3-preview/ce2e2b647797676b7696e62389cd8e86530865fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Monster,6GDLJaHhNeMAHrcuXJSf4b,The Rebel Set,4mS2xEK3n3cK8YK9HeotKW,How to Make a Monster,0CvKFJvh2Fn3xzGtymKXsf,0,https://p.scdn.co/mp3-preview/4e0ddd27e898b5786a88d3108f525b20a3501521?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Spiritual Cramp,3jSTCf4oCzZ2yhKNbmfl5k,Christian Death,6mEohczxsctzkEIU0WAeWD,Only Theatre of Pain,59uGWiIsDCv9OKEplQEjO2,40,https://p.scdn.co/mp3-preview/ba2f249192a582568db6c64f22e0e261c3c7f677?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Ghost Love - D.M. Version,4oTqxUKvpY3YrL31v352vn,Fawn Spots,4HdOuKLUhh5R5IN0g2fgci,Wedding Dress,6Xai6zS2iZGn8kwQj7bkCr,5,https://p.scdn.co/mp3-preview/fd7ef959f9e5331feabb2c42434f4b0ede0b26a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Ghost,3gXmkb2VlkdkjrTh56iwDg,The Pesos,7HVn3NY3CYmEjGScBPWF8T,Carpet Dope,3h3bETwWdNGaKYt1jnpcke,20,https://p.scdn.co/mp3-preview/d1066f04c70d3c727241fdfe62a64881ad4f5d31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Cemetery,4z1KfF6fkaRMv8LsnQDL85,Lust-Cats Of The Gutters,2l8mdYttPc8q6KtPKKHUNJ,Lust-Cats Of The Gutters,0uqJksLqI556XwqfVqagSQ,1,https://p.scdn.co/mp3-preview/40eb754914c783c24abe06c26592fc63b8b099d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Breakin' Bones,1h0TOlxKhPTDqoq8lHcEHc,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,6,https://p.scdn.co/mp3-preview/660b5217979fb2a265fb8c75f80f3bfdb6c2b9f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,I'm a Mummy,4mIHYhoVY1wHbncqFZK6v5,Haunted Tiger,4aNNLqTZz0gpuDETOkxGsc,Kking Kkong,4SAesjzBouexERnb6eISdm,0,not available
66,Shivers,4s8EEn8Sh4bQ3NWQ4BN3LN,L.A. Law,2bDWzWOc3AOR47JrDRXH4F,Shivers,6A9Pk3wwma0nJ6OtEJVGQF,0,https://p.scdn.co/mp3-preview/4db09478bb3c4b43aa227de34e712a44354c8533?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Night of the Living Dummy,3N7Bld5ZNTztJZlo5Cn1pE,together PANGEA,29q1axQPERERxUzqufXMqB,Living Dummy,3saoeCU4gzjMKCLKczIhn6,26,https://p.scdn.co/mp3-preview/1b500d6b2c6b9933a3c20f2188b3ea5c719d42a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Keep the Dogs Away,3rCRux60eUL0szOchVCzuH,Thor,4DLElWKADc3A99XmSXwCMj,I Am Thor (Original Motion Picture Soundtrack),5aPQNgHvW8emOGwSYoVFCN,12,https://p.scdn.co/mp3-preview/34ffa5a9e6ab6b1eb1e4a60d26f013821c4afa1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,(I'm) Psychotic,22K1U9xEXcncMsxZRiMn5P,Berlin Brats,6ahf14fdrFxGXYmx8dZrnu,Believe It Or Rot: 1973 - 1976,3k0owCUrJ4olw6SDIrSVJ3,5,https://p.scdn.co/mp3-preview/906b71855adf64322d53548c95c847176cee5837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
