🇧🇷 BRAZILIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,"Lá Vem a Morte, Pt. 3",7717bua1UoTgozLzy2T8pc,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Lá Vem a Morte (Deluxe Version),7kTGXrdhkUQrayKlYD0Gix,18,https://p.scdn.co/mp3-preview/3574cf88962f822de8f5c0bc9a7370e34ffcae28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Castigo,1ZoldA41eZOpMhCBD6tQGs,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Lá Vem a Morte (Deluxe Version),7kTGXrdhkUQrayKlYD0Gix,17,https://p.scdn.co/mp3-preview/f537ad41c1d680fef7f7ae4bf7df82fce51f555e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,LVCO 4,40QtvZRhoqprRCuZYp8A6L,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Lá Vem a Morte (Deluxe Version),7kTGXrdhkUQrayKlYD0Gix,22,https://p.scdn.co/mp3-preview/b47f258a385a512db8bddd93ce3bb7d02d990c15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,No Return,10dlnLZG95zBgyIVu8oOYZ,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Lá Vem a Morte (Deluxe Version),7kTGXrdhkUQrayKlYD0Gix,18,https://p.scdn.co/mp3-preview/cc41d3860f1372d29c760c6dd77ffb0262450434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Truques,21JqzNQeyKkux9K9M3YqME,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,28,https://p.scdn.co/mp3-preview/7db642175ebab5912594f7ebc5484c0a99601caf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Avalanche,6YgBglEYdfmeY2EiX22nQO,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,35,https://p.scdn.co/mp3-preview/d791a44d5c611660824f5ad682ba0b93aa0d820d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Tempo,2CiGxjpQzKQFD0rjzTcCc7,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,34,https://p.scdn.co/mp3-preview/6d1d9bde1fab2284153bab19dfa4c0f53b691822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,6000 Dias (Ou Mantra Dos 20 Anos),4GnnYNWWIeNy9g8Ciq8NbV,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,40,https://p.scdn.co/mp3-preview/69400ab15126ec516f9e3507935474e538bde4a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mario De Andrade / Selvagem,7ENRtaIb69DqjadQ0hHHf3,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,31,https://p.scdn.co/mp3-preview/08fe8ba58713493de63fde6fb421b2fc55daee9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Falsa Folha De Rosto,6tkJP8lGXNf6thfRk5j2qZ,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,38,https://p.scdn.co/mp3-preview/db911eaa3b2037be0f59e6aa821890a1b2548785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,San Lorenzo,2JEMPv2cx8aaijwDzM4Exr,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,39,https://p.scdn.co/mp3-preview/283b5f2d2219c5da3c4edbeb37e9f54b90284f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cuerdo,1toJG2DVaK3N40qXLElr8C,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,29,https://p.scdn.co/mp3-preview/f200de51635e8c2cf17b166a4595156de198be1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sei Lá,7ufn41PUMgVawzm9QYrFDG,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,27,https://p.scdn.co/mp3-preview/7f7a420b8f155e95ed96648da1926c5494a8a0bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Auchma,6xtM3GVlY6FXCRT4F7m6Vc,Boogarins,0ohvsn0lgt51qZUbu9ct4s,Manual,3THs8EgoGs9oSKahSlN4yP,31,https://p.scdn.co/mp3-preview/6497abbce99ab0e546e1edf220bc4abfca713956?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Lucifernandis,22xdBJzPJuBGqFDXhKfmc5,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,37,https://p.scdn.co/mp3-preview/32f977e7827ed429ee19ee39746b09113d12a8b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Erre,4QeRpN9RSCJb47CAQSKrOf,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,30,https://p.scdn.co/mp3-preview/4baf5611f2d77a07bfe25301975d5eb6c2bca556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Infinu,4V3TWueueb2pehunHYb9GJ,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,27,https://p.scdn.co/mp3-preview/d4cfacbcd4afb3e7b90d3bca98db5376a46683b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Despreocupar,45UtjGVE8LACZKGZUxVdBs,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,25,https://p.scdn.co/mp3-preview/da965419fe8705787236224e80580d4a2a395312?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Hoje Aprendi De Verdade,6BHz6CytQpiFoXVasdKUH5,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,24,https://p.scdn.co/mp3-preview/f7e5def49c5911341917417296f82905d0f625a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fim,47oaUQzbfbm8BexUPIbihA,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,23,https://p.scdn.co/mp3-preview/3edb8e6a41713a263933d28f214d321517ce9802?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Doce,7BB2ht9dfciuMQ1rFPaooo,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,44,https://p.scdn.co/mp3-preview/53ccc42490d402e871d5c6fa09663e5f64131c11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Eu Vou,252VCWJsCgmP2WQvq4blz0,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,23,https://p.scdn.co/mp3-preview/919340c205cf27270032875aabd50557ed50769b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Canção Perdida,3BvCWhoIwoSnhmciJi2kYK,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,21,https://p.scdn.co/mp3-preview/014d52c5d5c4928cec400bf7d4f6759246d8f18f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Paul,1qK2avSnzIdydwu3EnIhxt,Boogarins,0ohvsn0lgt51qZUbu9ct4s,As Plantas Que Curam,4SPS9YIzqwUJr1j52aNYt6,23,https://p.scdn.co/mp3-preview/b0f2d056be2c30f5ae03804a91442d861bf3b296?cid=fa83a2fec7c440b7a2795d600d6b2c7e
