Surgeons Soundtrack,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Tom Sawyer,3QZ7uX97s82HFYSmQUAN1D,Rush,2Hkut4rAAyrQxRdof7FVJq,Moving Pictures (2011 Remaster),2xg7iIKoSqaDNpDbJnyCjY,72,not available
21,Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,Crystal Visions...The Very Best of Stevie Nicks,7q0dYnAjmqZBJLhMBre8aL,69,https://p.scdn.co/mp3-preview/e849a11dce294f701daa39b3a1e4334005f99b11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,All Right Now,0UIT9YSyg3x0XSrCXeD2An,Free,2e53aHBQdCMKWqHDuyJsjC,All Right Now,4wWGQUbsplP74kvSRAIcO4,23,not available
23,Sympathy For The Devil,1iDcKYNvo6gglrOG6lvnHL,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Beggars Banquet,7oS7E5bFMzE8PXTZQKW0ge,18,not available
24,Stairway to Heaven - Remaster,5CQ30WqJwcep0pYcV4AMNc,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,79,https://p.scdn.co/mp3-preview/8226164717312bc411f8635580562d67e191a754?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ace of Spades,6EPRKhUOdiFSQwGBRBbvsZ,Motörhead,1DFr97A9HnbV3SKTJFu62M,Ace of Spades (Expanded Edition),3rxF05Aux0QTrN533Kjc91,75,https://p.scdn.co/mp3-preview/cf51f8a8f917601f32cd5574b897daa68f53471b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Nothing Else Matters,3ZFwuJwUpIl0GeXsvF1ELf,Metallica,2ye2Wgw4gimLv2eAKyk1NB,Metallica,37lWyRxkf3wQHCOlXM5WfX,26,not available
27,Piece of My Heart,2RWraN4ZkuqjcNQAlBNGEH,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Janis,294SMYuchjGEbo3bko8QVt,12,not available
28,Under the Bridge,3d9DChrdc6BOeFsbrZ3Is0,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik (Deluxe Edition),30Perjew8HyGkdSmqguYyg,82,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,American Woman,2BdSaGVMxZzEeJYjjrlo6n,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,Greatest Hits,1cW0de5T5fdedlS4YqvyCv,53,not available
30,Take It On the Run - Remastered,5gys5nzVQIYhgHIfiOJYva,REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Hi Infidelity (30th Anniversary Edition),0X4ZNTZw7SYgrp5rlBQC3N,67,https://p.scdn.co/mp3-preview/2cf4545f72b0521c7757cf77f3fd7816f3d34cfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Animal,3Dkl2HOfQTXtgzA83IUciz,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,Viva! Hysteria (Original Soundtrack),6CKFGOR75rLuIbXX13kUgu,43,https://p.scdn.co/mp3-preview/b437b69f467f9867c51f75f0bc744b7c3a05fbfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
