Sub Pop Suggests,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
13,Kamane Tarhanin,3pNiID8HDdeoUGQxGTY5Lg,Mdou Moctar,48dgx7iGqLQ3E5KO3pzd94,Ilana (The Creator),1bbKMkgzgyZ0K3rmMezZ68,37,https://p.scdn.co/mp3-preview/63e080b4590abb8f8725fbff1eca76ddaf15ee39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Wish I Was Stephen Malkmus,0MXwuLvZU9cauIEXlMZcdC,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,75TCL3IpDAOclMk0PveSNM,58,https://p.scdn.co/mp3-preview/6503a9db3ce7a76e7309a6b2fdbcf3e536cbc6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Yeah Yeah Yeah,6QoO1YeMohvXHc84qjghqe,The Minders,7HNes0ULo1rDPIOAIc28uT,Hooray for Tuesday,4Fw9mEZyZpE9saNLP3IDig,14,https://p.scdn.co/mp3-preview/67b98f4cc6a58afe3a8d59065b9a785d6efabb4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,So Hot You're Hurting My Feelings,1hjQ3EARnSDznlLaXaWAhf,Caroline Polachek,4Ge8xMJNwt6EEXOzVXju9a,So Hot You're Hurting My Feelings,3P92yEYfeVq6QLR4HE5tno,61,https://p.scdn.co/mp3-preview/3d6cbd1cd1ef26a8865acfc034b836740e46df66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Vanity,65hMGpNV1Ct24mhfejl02U,Lisel,5KjVnwiRNQZjgM1BrHYoO3,Vanity,4LlGpYnsS6P9pTnuXV7qeq,12,https://p.scdn.co/mp3-preview/1a85a790e0bb3e0ee73ee7b57bd4e60d7263e9f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,He,6ysRK6One7O5GiRVvrs0x1,Jai Paul,53wZLCnhshZKDRs3uopFBc,Do You Love Her Now / He,6DnxZc9FT5qSMKKFDdviO2,59,https://p.scdn.co/mp3-preview/53fd0f7dd31cc8e8ed43976360ac64b557fc3acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Gretel,3wo2vH5125yYbkxSRxyI6O,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,Gretel,4AKDBw2VYWLPaaZnxlcYuy,51,https://p.scdn.co/mp3-preview/11801b94574caea33f40d44fcba158a33ca05481?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Orinoco,6hX8nbYVNm61SY5CKqFU2Y,Morabeza Tobacco,0zce27eTR25aKpjQ7CvOA7,Orinoco,0zfHL6A3Zv8urJOW5E8VFB,23,https://p.scdn.co/mp3-preview/205aa14f81b30816470b6f12ee0d82cc28b3195c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Curtain of Rain,37Wx648Qtthqhc78kHFsu0,Yves Jarvis,19h4y2F9duQ776bv1YhQYt,The Same But By Different Means,4StHE1Ec8V0I1QogfTB2fA,18,https://p.scdn.co/mp3-preview/75e61973966a2d1527ca2221410786c637458877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Only One,24WguFKVYoGQIW2GOXbwA2,Beauty Queen,2ddlG5nlorHHTqIt5ag8Ep,The Only One,6cSdUPUEsSb8ZLhQdgNG3u,24,https://p.scdn.co/mp3-preview/49ec390359bd02da038c70cc514a881b18da3c90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
24,"Hey, Ma",6YEyNkfWYAFTib8j1eXg1A,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,"Hey, Ma",3uvIbuVDxN1FmzhQtZHgYL,72,https://p.scdn.co/mp3-preview/7c55076ab2dd2984f487063d9bd203715faea692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Superfruit,38WFsWJZRR9lRbOUk0oZSu,Maude Latour,3MNLhvqJkWsO6tcjY9ps62,Superfruit,6lu3Di1ZfSfMTGVRk3ylwd,50,https://p.scdn.co/mp3-preview/c3b1178b337195938b1a012febd9625f552653ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,If I Were You,40tfagbwTsKUArXMzRPH9f,Claud,5MaQlvNGOaTj39apHsXVq1,If I Were You,0IO9FwH0QyryujvzhLQeYT,58,https://p.scdn.co/mp3-preview/57a1dc53f3050d11aba8210137980bdc89a4f3c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,i love you,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
28,Plains,2AsebM2WnzhRHtPEMWBaux,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,Plains,2z1aCW2hOwhQEOIjEjOT5y,0,not available
29,Rear View,21HNouOwLaIoX05BTifd77,Gabby's World,37px0xIkqWfzGRK5QbTIRu,Beast on Beast,47GGDNnaSLoosN3Lcb9oe5,30,https://p.scdn.co/mp3-preview/b2784cdf90b7912f4e35d10fc907fbfbb0614e88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Zappa Dream,3z5eNZo8ynGOWuSs1fItUG,Stephen Steinbrink,5i74r8NAl9N4v6S3C9mgcc,Zappa Dream,4xbj7x0Z2Adaam6HsduZ3e,27,https://p.scdn.co/mp3-preview/c5a10c9e22935fe404e307846a223ad5e9c164e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Guilt,4bq4qesCy4gNgCv5BUfzTF,Nicholas Krgovich,68QhSfYuqyiT1KPoHlCvSv,"""Ouch""",31Ct4E6ToONwOhBc8hGB9A,13,https://p.scdn.co/mp3-preview/b983e20f0d94d46f9b161dcfedcae74460f8c26b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,In Your Car,2DsB4pwhw8XiszhEkRoPjA,Free Cake For Every Creature,3oqgxdumaZZ5hOt2ykwYTQ,The Bluest Star,3leEvYmJSBuU5fUygeNsdq,20,https://p.scdn.co/mp3-preview/1c6d970d5fbc5f7d57c606d53004e8af701d05ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,When the Sun Goes,5dpGpHpFxFrnulDbnC0EKZ,Emily Yacina,50oMAfElZgbElx2ktukv47,When the Sun Goes,3KorJvZXPavUbJU0zCtYaz,22,https://p.scdn.co/mp3-preview/fa069cd5fd6907055130b97700caf8bd3ea40854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,The One I Love,7ske4tTs7YH6K7IyftOTJw,Night Shop,6RxUAOiYiv2dIpiAsYBPJu,In the Break,0wrbOwj7PZpE3kihkQXot7,30,https://p.scdn.co/mp3-preview/a348ad04883916f96b3914c76127eee3f3102fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Baby,63YIG2HjMgZpaoF0Qc78CB,True Blossom,2hrWcQ3aZEIGlKy2yF24s4,Heater,6qX9tsaw7pT49N5LGwa78P,7,https://p.scdn.co/mp3-preview/74416b12b7710afe1d09492f5cc3775d7fe4ce4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Last Dance,2JFPv5sY0lYZyup672SpLJ,FILTER,5iqcmM1KJhZUVjDmdDlBV5,Cold Mountain PACK,1UZRoJf5oyrA9ugfoF4OPB,5,https://p.scdn.co/mp3-preview/ee9d2e7f53980bb33d7468ea890334bb29cbb520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Trouble Talking,31Czraoa4OsYu0E9ymq1mI,PARACHUTER,7LuDmIBR2RRH0VVFdqJaPd,Trouble Talking,0NQT15m507AsSEtvpnmBX6,17,https://p.scdn.co/mp3-preview/df024a10232587eca26d8c574c8a94d6560fe95e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Outside Looking In,34wVkAwAtVSeiSzk3XTux6,Rose Droll,0cJVnp8uzj8C78IB0mcVx9,Your Dog,7jvlfutGiIOGPXNanmbFqz,16,https://p.scdn.co/mp3-preview/5fc4d7bfcc15c6fedd235e78d8b9eeb2711aca96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Spring,0jTPjP9WuUcNMhgfwdK9np,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,60,https://p.scdn.co/mp3-preview/261dbd47c70eaa60f6355471eca0ea651b3ce35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Biblical Violence,3YmFlUmOV28Sf14lJp1QDF,Hella,1n861RIk6CTAWncgHR9UHg,Hold Your Horse Is,2RHAyIlKGMvJ8cHlK4zpXw,39,https://p.scdn.co/mp3-preview/91933f37733c78dbee5e4ddb85517cdf5e77233a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Girlfriend Degree,6AhBAc4dcvWJ46Lt7QXnH8,The Paranoyds,34ji1NPhqjImjXwOb2kwg4,Carnage Bargain,0uItZfsgObR58H4h2w8cNQ,27,https://p.scdn.co/mp3-preview/b969b75a36b791cfe2f273910f89c45af6b91aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Track 01,1gaomw4ecBJSGbOx3SSZ10,sBACH,2vspIsNQcH5mkHPE5iK9HR,sBACH,1yjq48KTq7BA4dc1XWh3ER,7,https://p.scdn.co/mp3-preview/98c222b0362ef8b82f618f227d7c17c50c2860ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Push On,6wxVeScPD8R02yePKoWy2H,Carla dal Forno,6FVxEgfQsGrJ0BogIOYCd6,Push On,53sDKzO87ggtvNQGyO8wYS,28,https://p.scdn.co/mp3-preview/3ef4c367171b610bd33e730bbbed9a4af0162a5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Nice Boys,5H2WmzaijYOGTHeHdM3w9P,Temporex,3BBCgZVbXFRzcnT1ewVfRt,Care,3w5Zdmzwq8JDgY0DaheigE,67,https://p.scdn.co/mp3-preview/5accecb3ca3d739b39e09901a4714300aaa1d8a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Catch,7DEjRB2BG68Eyy3XZZG1KH,Dana Gavanski,1GSLjV7vq6pSsNAEFwWSbn,Catch,5USzixhQGkeiKPKmLfl1LB,10,https://p.scdn.co/mp3-preview/f9080d37e1c301ddc2fbc92f25e30fd70b2cad62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Love Goo,7ssIEZhecw32dOkNx400Kb,Bull,7DprPha4AJdzPRGeo2t86Q,Love Goo,1DwGHW98QRzprjWIGx0MzL,45,https://p.scdn.co/mp3-preview/5a0b188cea9d8ed81284925c35a5346973b66595?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Spin,7uHeSXhFQqugxYpzYof5Tx,Wicketkeeper,0MhLvcVMLu094GQWl22VPN,Spin,17elD2aMOrvDOlC2WvZsjH,13,https://p.scdn.co/mp3-preview/c65328a2193c2642c6b266060ff54e24efc85da3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Lift Off!,4o5Hn2GzieVIGWYFEz37r0,Parsnip,4ZIKi7TqpUr0YI5uz3c8KY,When The Tree Bears Fruit,2rCrzpxxkJ9MhiDpvgcmVv,20,https://p.scdn.co/mp3-preview/29c43b93f8ad1e21cd45e84b649b6263470b3dde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,In The Mirror,5FyjwO6Ab3dOjhgVjGazcH,The Saints,5f3kWgGaUzbENwE2BLkYFT,Call It Mine,5yODQ58iZ98tIfn3iv8b7N,6,https://p.scdn.co/mp3-preview/d9bff1abe6a4465344b56e85544c9e7711b5720e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Buy Buy Buy,3WKB3nhOsZBdO0Upg6SpOK,Taiwan Housing Project,5YeFJciLHlFg7UFBO1QWR5,Sub-Language Trustees,6eg5ptnXUQF4a9aLkceZm9,9,https://p.scdn.co/mp3-preview/e6d8f5e29f7451866d38f34d4e05ab78082ce803?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Il dialogo d'un pazzo,5QvnsC9meBQE0iyiR9hfMt,I Teoremi,0WuaFfUZS3Onus3FoN5iFc,I Teoremi,0hry2aeqgzVqO28dXoNAe4,5,https://p.scdn.co/mp3-preview/f7632111209977f0f5aab7e4810119c599e5d195?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,SSSD,4B0gq0YMpodX2vIQ8mo9oV,HIDE,7cQEgGUE3lIgSiUrOZbQrx,Hell Is Here,4kkSena2J1PYEI1SpXdUoO,20,https://p.scdn.co/mp3-preview/c5b4dbf668d1e20d5537ce41450b0c3c61952df5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,If Not You,5rHbFbjlXKv4AbqgMjf9Pd,Ings,3wJ2NeHF58Im2tojNX8ESR,If Not You,0A52QCxc2KIuUn84TX4Fuw,24,https://p.scdn.co/mp3-preview/6625c8785b290ff0ed5baec5ae0e70af6b6da5da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Georgia,5bTaLbpRK8aJvqf2xHlwa7,Brittany Howard,4XquDVA8pkg5Lx91No1JxB,Jaime,6fbphjr9j57oxMB2bnhzUf,56,not available
55,It Takes Time,1aOkVaZ0MrMLMCZDM7XrQ4,Chastity Belt,1tho5dJnzdYD57EQkM3SmK,Chastity Belt,2w90HaDXKJ3WT9WHmYrQEE,48,https://p.scdn.co/mp3-preview/c88894e82f6d52a7a7ca73f9d91b7cff1c7c8596?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Do It Without You,6yWniveWfMtOksM7am2rqj,Jacques Greene,0ygIgsjUzKivFgxgjQ9iV9,Do It Without You,5RqHFjxqGJzTSP5UZEvwiH,48,https://p.scdn.co/mp3-preview/95cafa15deb6aa9a756c1252291d59617cc5ca82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Ignore It,2v0t9Num8gGrtaTv863S05,Lisa Prank,6OeiIAiT2ZwACe514ly5Oa,Ignore It,1APrnWdevQtXRJZml5lkQg,18,https://p.scdn.co/mp3-preview/2f27f04ec1007300abf6b52d316c1f49b64a481b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Shelter,7ezeEj1L8oHT5siGAuix7c,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,Shelter,2HCC3bdm5N9D5SowpkuphJ,41,https://p.scdn.co/mp3-preview/cb31d5c8d9e160d7d6dfb546b973e3620395e0a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Face First,5z00GvkGmeLsRT8bQYThGs,The Paranoyds,34ji1NPhqjImjXwOb2kwg4,Carnage Bargain,0uItZfsgObR58H4h2w8cNQ,26,https://p.scdn.co/mp3-preview/319a2338f98bba2a1e625000a5bbb7f869556094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,When I Wasn’t Watching,2wMx8vBGYZp6LvMmMXGFvP,Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,When I Wasn't Watching,7AQLbsUmyrHfRN3rmOtE56,55,not available
61,Want You In My Room,6cDPJqKw8PUBw5SigKszrL,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Dedicated,25it7uSpNFuRoD6uNc0Tfu,60,not available
62,Lions (feat. Vivian Wang),4jIzdfJ3rvzvC6XZAyyUWd,Jenny Hval,5eerVxtb9lY9p6D7m89Bs7,The Practice of Love,6Ia2sw3y79k40GHeNjCfLh,46,https://p.scdn.co/mp3-preview/0dd8de5d453745adffe8a7f2c33a84be658cad12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,(A Bit of a) Birthday,5wLYOmysy82QG09Ma8RLwf,Heavy Lungs,07eIrj0b3z5mgvtkDmWoxo,(A Bit of a) Birthday,7qIpJxQTWUWr2ED7qi9vBr,39,https://p.scdn.co/mp3-preview/f0da4ec29b0200d90e062ff3e28235b445eaabcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Walking The Cow,1jVw9F7qvVaKFw8jY2XMwa,TV On The Radio,3HJIB8sYPyxrFGuwvKXSLR,The Late Great Daniel Johnston: Discovered Covered,0AyNLSCPqEcFvqP1wnculi,31,https://p.scdn.co/mp3-preview/bf6fa91553ac677856301517f090695a13625eeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Click (feat. Kim Petras and Tommy Cash),3B0K8G7WESjdKxQvVMByR9,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,65,https://p.scdn.co/mp3-preview/1d8d45f480f4d9667bff513c95329f35ba8d14d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,ball's gonna keep on rollin',3YKw62OlBW6QiISfPUCgE1,Pizzagirl,0ef7Q5r0NAMicEugmtYxjA,ball's gonna keep on rollin',66DHvNgnTJHWC1feJqMXx6,29,https://p.scdn.co/mp3-preview/2a1795e4a8e474c9555f6209bd5f3fe7a70881e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Wicked Game,4v87PpSie0cuk6nMGVva1S,TWINS,3kd6BmP95lE35NISRONLDg,Wicked Game,73lTU74o3SLXkOKcRyIyI3,30,https://p.scdn.co/mp3-preview/8908200cabbfb2735bb1040ac1dfd4cb1f0d899b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,for real now (not pretend),6XDgqyqS8SAd9xu3p5L6gO,Ada Lea,3sE8O47mEFWR6pL0rwnAHy,what we say in private,2dmWNitbadqGTkcIOziJXz,23,https://p.scdn.co/mp3-preview/6228acdf5cd0829839cea077c0325359253579ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Coming Down,05nc6AX9cWXYQUKeXvTPt8,Gena Rose Bruce,1SrmRPI6a5cIabFYZZiorA,Can’t Make You Love Me,3FwYuSZuAjpzXXUM21rWK6,25,https://p.scdn.co/mp3-preview/9003877776f1b64efd8681069b58f809b33a8987?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,All Mirrors,53NJ0iSkdv4xwuHxgns8TP,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Lark,5SLUS8RN72mb0uak9ys6CU,44,https://p.scdn.co/mp3-preview/37182ba9c99274666ebec6f94964087dbf5d4094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Asylum Seeker,0MeNdXOHl0tEW7XBmmFThE,Gordon Koang,4LsJGFIGPI5c0sOeKFtjQ1,Asylum Seeker,2ubyHSyozpOuuEip6kwR2R,18,https://p.scdn.co/mp3-preview/9d93872822ee2a0981134af69e9860a82cac979d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,True Love Will Find You In The End,0s1K5Y1vdwMcGWbTLcWGW4,Daniel Johnston,1jeYbk5eqo6wgsQPjLeU5w,1990,7h4VPRS9s2IXwcLkeSekEb,61,https://p.scdn.co/mp3-preview/f2da8003005a5d6d83b017e281ce09b2e8ccde74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Saiddone,43CO2AWISez6IoUqHBcPzN,Lina Tullgren,2jQOcUsvmfNdv32JXmcqFE,Free Cell,7BVgtZ1bGLd3WU01EEJynX,20,https://p.scdn.co/mp3-preview/1c4b09077aed9ea654dad813470aa555d92b263c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Punks In The Beerlight,0h9KXMgMLPDipyQLgU5HfW,Silver Jews,4ePunOqQbOYoQwd1298g3Z,Tanglewood Numbers,2MGDMiKt1EVjOaA8FWaaCh,41,https://p.scdn.co/mp3-preview/4b6b52637ce0b8639dce9a3ff3de343c5c9a1da0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Erased,5uDZoKlfnZnH2HVSepWyOz,Radioactivity,0iDc0g8zkKHzKchmbNFv3i,Erased / Fear,1SDTBmIIb65dl3RQJdBvpe,30,https://p.scdn.co/mp3-preview/d9e7a71aaca99ee5393427d270a6fd3f91c9c758?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,It's Real,0urBwO85UkPIyR6bIpwr6b,Ex Hex,2LdMozrLZExZ27oOAnUgkb,It's Real / What Kind of Monster Are You?,4bEWQOjJ4NgkKKWN2fNTUb,32,https://p.scdn.co/mp3-preview/2b2f791f44f2b021d8f0494a6dd8483442ed1387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Class War Now,5y8V4ZJKKdtsQhcTUBv73K,Help,3eEPtgROSVNpGwjSyxjuue,Help,0qT1AW7vcaO69nvkIhVLuQ,13,https://p.scdn.co/mp3-preview/18a79641cb0cd5949b3c31189e2787c3c04ebde2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,The Hunger,267a8zeTauUnCDZ2dUOXby,Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,Jasmine,6RL7eMeilFftWU7X69DvfF,30,https://p.scdn.co/mp3-preview/282db17fb805527474d37edf12fd88f3dd744246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Dimension Dive Part Three : Deep Sea Dance,5IpuywrIzM6PNi6zWRoPfu,Dustin Wong,484ZnYb0Vh2fHtYD0bEQuF,Savage Imagination,2DDghOEqkmrGzN3L015Ppp,12,https://p.scdn.co/mp3-preview/95d0197996b8698412eea9b0b3bedba89ace30b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Drinking Song,5KkoM9rbevlWf8EePOrwfS,Haley Heynderickx,73MDShZzdL4vUGMkmXOG6X,I Need to Start a Garden,4I8BEAiq1kPqRRlvWLTo5B,51,https://p.scdn.co/mp3-preview/f30b3bcc028f93a249663cc07bebf1942ea429c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Topographe,6gilheHPyQ9hcYTxEd8E0U,Corridor,4nn9uUq4K1vStqxe8t1CD4,Topographe,6aZhuac4h0LOzTRVxfoq0M,34,https://p.scdn.co/mp3-preview/d45d517ed158621f0208a44265b1b6ab28cb9865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Feels,3SfPZRyfrw4sCPOM1DfRNH,Black Marble,6Nii4K84ZzBZS8X2MP8c9t,Feels,1kbHrlfmOabtvh7zOVJZ3a,47,https://p.scdn.co/mp3-preview/00224df64c4584c8a81fc065923381a39a7daeba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Songbird,0FXRvOuuQHUiN2pIqhS4FQ,Joel R. L Phelps & The Downer Trio,22PrlOA9ncHDnTsXr10h7N,Inland Empires,1XiYYeVldqoY7Uo0gD6OsT,6,https://p.scdn.co/mp3-preview/76a13758c43f5c3d391a0e64f29a7f2e5b2ca8b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Warm (feat. HAIM),6iW5pbOAevzr1h2JfdJYpn,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Warm (feat. HAIM),508n1on6AP7aJADtdndtpW,66,https://p.scdn.co/mp3-preview/09e6d9d504e151668e42a3b8251677550dab8d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Last Bloom,00om2cgsHAwhdbpACwbAke,Floating Points,2AR42Ur9PcchQDtEdwkv4L,Last Bloom,6UC5SN5ycYhBgNk6Z5SfTT,54,https://p.scdn.co/mp3-preview/03e21a595fc7dcacb60384993e00061aa7622061?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Lift Off!,5CkG3k3yloCfeWCueKc4s1,Parsnip,4ZIKi7TqpUr0YI5uz3c8KY,Lift Off!,4cVdPpo2Bq3A53nfDWAzJ6,11,https://p.scdn.co/mp3-preview/29c43b93f8ad1e21cd45e84b649b6263470b3dde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
