11 Days of Sub Pop (Give Or Take),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Wannago,2GSfA0S1U27MyoKIkzyTxf,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,43,https://p.scdn.co/mp3-preview/63f8aa3212f67eade7446c6bb4fcc5daaddfe9cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I'm It,4xXNxK2gHI2SWHzBeL2mDd,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/8613ff70b0ff1c7793de8446aeb1cf20fe5f2217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Trunk Of A Tree,7M0tznfiyoyWs6rqlY0d3j,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/954dc99034a3a442e5c531c56fa7f6f09453c05d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Last Season's Textures,7nO5b2Zxi4La1La1Wdjdc7,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/36055f5dde7a1ea2022982c87dc7581eff8253f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Even Though I Knew,2e3YNETEzh0orh6sqUH5Lj,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,41,https://p.scdn.co/mp3-preview/c021257d893a95f489b3a5230c2d80e477de36d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,UFO,5NLombNRKVShT0lZjBOv4g,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,41,https://p.scdn.co/mp3-preview/c7e92aba96ce04c07b377afd948ec6f114669940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Marbles,5uOFFUT1fM6Dp6OybcZvOB,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,42,https://p.scdn.co/mp3-preview/9e1db8ed349ef27286b335ec0671c56a48c6b47f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Did You Find,6nlQpRYhLiwrPKv5GFnZPs,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,40,https://p.scdn.co/mp3-preview/3aa4d375553a7ccd71c11622cf1ccf52566e1a09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,A Hit,0VbHXSHMu74W06r68N33IU,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,40,https://p.scdn.co/mp3-preview/2a5c223f66a00273f5878fac1be203f326c283a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,With Great Purpose,7oarYtf3fercM2bmJUbvyf,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,40,https://p.scdn.co/mp3-preview/a7d344bb78d1a9188342aa1d5c415390d36fe153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,This Swirling,2W94ZOVaTBQ9LJehNiC9oO,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Close It Quietly,1ktNpFgxer2jAIGyiTpmvJ,41,https://p.scdn.co/mp3-preview/f5914dd034790d7ca48b0c51a01722dc7c3a5f07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Death Up Close,1zqwNBeMIL16PlLuGOrXPj,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,29,https://p.scdn.co/mp3-preview/2be68227b280d438d4901a6b01d38935d545c86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Nowhere,5mxJlvyMbUThvlEIqxGQVd,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,31,https://p.scdn.co/mp3-preview/96725b38f9bf910b8d74689b4f26b1e5a22d0eee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,November,7FScdhpmfqEDSssbVqPEyk,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,39,https://p.scdn.co/mp3-preview/edfe6537782c2bd38da5e202c0a2653955464126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Shuffling Stoned,5H1AM6NY80TK0K1354S5A0,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,26,https://p.scdn.co/mp3-preview/1c4090356307bc06a1a7409df71bfc83bd8072b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Past Time,1Vp3qsMFcMFNJ76oKBlAPC,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,25,https://p.scdn.co/mp3-preview/b245118f6ee2b3a03b7988a48c059693983b76a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Wild,0ccmN4B3N8MEiGqrvtKR2v,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,25,https://p.scdn.co/mp3-preview/f1d811764183a5fc06a54b0c71e31039011ae4e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,August,5Ci66RTPSeUY22FyqnIegb,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,34,https://p.scdn.co/mp3-preview/4d5f1e22990450b2f8064cc7135e8b0335500efb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sea Came to Shore,0ZCkMIMlt3yl4kP9qXP0Wh,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,36,https://p.scdn.co/mp3-preview/3ade95be09192b420a8415f3b866d43755995351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sunday Sundown,2jIeSntu6tEyLRHhKFj3ey,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,23,https://p.scdn.co/mp3-preview/e3d5095c95a54f5a9fb9b633926fa87120400555?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Something On Your Mind,2PT9Xr27sdtnLN6yIPIirs,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,25,https://p.scdn.co/mp3-preview/2eb383cc8b6d5f83b8d9e09e1b86c99b7db02c66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Unconditional,4mlLeIZbfXske145fnA6Zx,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,23,https://p.scdn.co/mp3-preview/67eb87d2a62737fe0bd81d635c8bb7b6c5b30c44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,The Dream,6zRUak8p5iiV1qZkUOmQDv,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,25,https://p.scdn.co/mp3-preview/0b8c66c4c09a1b6e999df2d54fe871a17eee6a2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Beached,73ydOKt4hwReJIaBBbJryQ,Man Man,0zprAu7NrzRehc0Q0Jc7mL,Beached,2MWBl83sOoVfjiRbqZFBHZ,36,https://p.scdn.co/mp3-preview/69f0effed2df692fd0011f23055421b7c0835a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Witch,7rwRHftZ5qVLzBczRsvImq,Man Man,0zprAu7NrzRehc0Q0Jc7mL,Beached,2MWBl83sOoVfjiRbqZFBHZ,31,https://p.scdn.co/mp3-preview/92344c5a31200aea835e4d29e55415b6caf99e45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,N/O,7DBianqfMJvEmoaPTm3ltK,Dreamdecay,1s2OjLtmJ3iwKLtipEi0yc,N/O,5eR4HGpmk2jRw9hYEHEj3v,18,https://p.scdn.co/mp3-preview/50305d9d7e8072cfe2dbfb3e577d0a7eeae4f2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,H/S,4oBhxgx4WemtPWuz6Byz7j,Dreamdecay,1s2OjLtmJ3iwKLtipEi0yc,N/O,5eR4HGpmk2jRw9hYEHEj3v,14,https://p.scdn.co/mp3-preview/f58cb21547ae51e5ad72230b088935c9aa608c10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,wanderlust,4spjsrtTVUol86Y5eHeuKg,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,34,https://p.scdn.co/mp3-preview/9f3dbd288f8a1dd98018406c6882dc3009d3efd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,the one,6vWsRGm5JjE3mXEfseesNp,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,41,https://p.scdn.co/mp3-preview/ce65cafcf8fe4466e91d7fbdcdfbb3a0f10638d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,all night,4FFUtjFTLUTHhgIcibEICm,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,37,https://p.scdn.co/mp3-preview/e2213845d272954189216d7a037eec2c667b3197?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,blow,4WJql49TNlG5JNJa9yZWml,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,34,https://p.scdn.co/mp3-preview/97c9b5d2890641becef95831e9977f5016e351fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,i'm not where you are,6MelwA4Qs8F3tTSVNOJBsO,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,40,https://p.scdn.co/mp3-preview/630ec43016326b83955746267512e5b31fa68a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,send my love,5cXPxsTEBbekE1TgTVZWTx,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,33,https://p.scdn.co/mp3-preview/f2fdceacce64a43ba33394d42d870d9a61b58ecc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,hand solo,3TwJeCfbNpL2yTMmkpmMSM,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,40,https://p.scdn.co/mp3-preview/fbf8dbd95a6849cf05ae997283903877db08bf0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,conventional ride,6VKRzZsKgOBLR3b6AsU7tV,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,36,https://p.scdn.co/mp3-preview/43c7fe2a98065148159c3589471a97a31c43da4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,come undone,6hjNALIAbf3dAfLkmglqoz,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,33,https://p.scdn.co/mp3-preview/bbf93a623cdd5f692c7ed48beca8483533cd8463?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,hold on,3PSQL7UkTifUDWn8ge5YPr,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,34,https://p.scdn.co/mp3-preview/f854c328d6b16e5c0a97224ace86b9366eba7cf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,any human friend,3tuG0klzbWrBCzQt99iYG2,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,Any Human Friend,3fAQ8miSpElUzh7RGYyXff,32,https://p.scdn.co/mp3-preview/5a17d437f5252fefcdfebd0835e6e7ec675f1dc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,the one - acoustic,6I4zQVSwiMXgapiltt1qpx,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,the one (acoustic),0iGHFHoUQOYzytI4jxVWll,23,https://p.scdn.co/mp3-preview/f56b1de131edc8d66067b3934f2e2d1faef56f22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Fly - King Britt's Fhloston Paradigm Remix,69VbrwGah98lR7iuXkrk7e,Low,0wz0jO9anccPzH04N7FLBH,Fly (King Britt's Fhloston Paradigm Remix),6FIHsYwxyXBCQ3O06i6qcq,33,https://p.scdn.co/mp3-preview/b7999513ebae9f80769265627e836ebd83dc8dd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Broken Mirror Pose,7MK3nBcWaWaHvvoDuX3XvR,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,27,https://p.scdn.co/mp3-preview/53390e222a439d27b29de8ec0ecac82f050dd041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,O! Lucky Hand,0ul4zFBjb8fLaKWAdncFGr,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,23,https://p.scdn.co/mp3-preview/a93266107f59c5a7ca03e93a1d85b00599c20fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,2 Ugly 4 NY,4DPAEjioI1rBL3EN625Nnj,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,23,https://p.scdn.co/mp3-preview/a40df77a50fdd618a137bb16e720940148861a27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Blackhole/Joyride,2BE4jqRtoKlTnOAc51aPiX,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,22,https://p.scdn.co/mp3-preview/b665856c118aade69e00c25f039ca8a02b28e770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Bed of Needles #2,3TTtSp9LpWB1kefA63T8e0,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,20,https://p.scdn.co/mp3-preview/562ad3e801ca12f6ad50276cd6dd0206f26f9091?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Deathwish Blue,4nCw86odUsWwGGrfPze4Re,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,22,https://p.scdn.co/mp3-preview/2f26015d8633ef2b0911734b4c755127e8d1d4a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Blood in the Water,6CeD4YLtWF3E7EJYLxoI14,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,18,https://p.scdn.co/mp3-preview/5fb7828c2ecf41077b10de22806d2cdaf19ebc26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Buzzkill Caterwaul,3FuCgx6MFzdxydAlwDVxFu,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,20,https://p.scdn.co/mp3-preview/a5d244eabde3ce219d6481e14efd32b09b0a6e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Sunday Driver,5NFOj2XmlOH1lFrZFIdRve,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,19,https://p.scdn.co/mp3-preview/8f640fd354a900606fb5a26fc85beca1e78a1b7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Johnny (Free & Easy),2Uw50Wy7eX1wpKcgZOWJFX,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,19,https://p.scdn.co/mp3-preview/861d88ee08c70ad97b50afa062187340e5fbc5d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,She's Lily Riptide,5q10xue6s2wNedtiaKwV08,Kyle Craft,29kOS7p4N9JeqoRgA2PCsr,Showboat Honey,3tILTiQeOphFNccFDxZxlW,21,https://p.scdn.co/mp3-preview/4033f73e304b43016302241c7a9369418898c3e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Soft Whiteout,4duLd1KwPVmUeRnVbOF31l,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,26,https://p.scdn.co/mp3-preview/01c24f45c88374f79d7232163df650230c3a3dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Lump Sums,7lhnMtFZQrcJnbIKbwDDPU,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,24,https://p.scdn.co/mp3-preview/c622222fc3acb81746706c528c521ca82bcaeb65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Dry Up,4wUlH3tqsIV2FRGJjvDkyy,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,27,https://p.scdn.co/mp3-preview/809f48e48284686c2cb9a53fd829faeb6d62f8d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Ripped on the Fence,2r2koqUJJOHqpPEBmgyIS6,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,27,https://p.scdn.co/mp3-preview/14eb7360a0de2470f6b64a5aa8a642c6246830c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Negative Space - 7 inch version,7mGnnvxY77jgh24nfTgDFt,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,22,https://p.scdn.co/mp3-preview/66ac30346e0ae4fce4045238034621a4cdf76136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Automat,007UWZF7vYqegEBikMF5Ve,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,21,https://p.scdn.co/mp3-preview/e3e816c4618e3e0fecda9f4e313d0840c36fd66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Wet Blanket - Demo,3ztkeFEM8kit85N1cfJY3p,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,20,https://p.scdn.co/mp3-preview/4d1105e9279f9f9df691e006e6f94abcd414df4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Dirty Shirt,34SCNKLt7XDHgaTOW80XUm,Metz,18TNVFTJ6WfeicsMRrdJHI,Automat,2lkSyyfAi4ctpSfpZdKkQx,21,https://p.scdn.co/mp3-preview/5f1f42794699e0b984037f159049e20e7745ed67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
