Roséwave: Shade Your Summer Pink,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Short Court Style,15Mxy1YPE1zaEpqgqAG8o8,Natalie Prass,0EmUT6i9rTu9ZHy1Tl1iuX,Short Court Style,2rn71pGILtKo8TBzn58LPk,6,not available
11,Evan Finds the Third Room,1MheNNJZYdcOTKwZyM8alC,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,Con Todo El Mundo,42j41uUwuHZT3bnedq2XtM,57,https://p.scdn.co/mp3-preview/ced18ac8505f83e3ea5e6b82fd558952724c301b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,High Horse,2U2Z1IXnmJIvlknWizFykZ,Kacey Musgraves,70kkdajctXSbqSMJbQO424,Golden Hour,7f6xPqyaolTiziKf5R5Z0c,70,not available
13,All I Wanna Do,3ZpQiJ78LKINrW9SQTgbXd,Sheryl Crow,4TKTii6gnOnUXQHyuo9JaD,Tuesday Night Music Club,7dC6axVAeBDpRMmNtRbpwU,67,not available
14,Mr. Jones,5DiXcVovI0FcY2s0icWWUu,Counting Crows,0vEsuISMWAKNctLlUAhSZC,August And Everything After,4nKfZbCALT9H9LfedtDwnZ,77,not available
15,Never Let You Go - 2008 Version,1sxUaLi0G2vB7dl4ogtCxH,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,Blue,7z6LqzGLGd6tnWvsH9iojB,64,https://p.scdn.co/mp3-preview/1176dc40a5bfbad5d27365754f3a489fbe76707a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Best Days,3umNAEkqWS2KoTU1BaSN9T,Lissie,3j4FHbC5zwmYGJ7r0ZgaMt,Castles,4L3NtF6K5CPCf2UrcnSSML,28,https://p.scdn.co/mp3-preview/185873d22a1694d14fe86312ac683e77b14f5f47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Wide Open Spaces,6cjwec9ii5uLK7CDfPBYt1,Dixie Chicks,25IG9fa7cbdmCIy3OnuH57,Wide Open Spaces,11Rni6y5dnNo6NRVuxltIj,66,https://p.scdn.co/mp3-preview/9e35e179f617c70530b26681b5b9498e18fda8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Doctor My Eyes,3QcuZo6WLcFkqqLmDs0d95,Jackson Browne,5lkiCO9UQ8B23dZ1o0UV4m,Jackson Browne (Saturate Before Using),0n93YRc9GP3ZgREgTHvP5u,67,https://p.scdn.co/mp3-preview/34393a3e0f434d9936ad1bef4a65c1dbbb4c64fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Something To Talk About,6Ceejf3zBXvAhIY9DbP1Pr,Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,Luck Of The Draw,6blrkOZ0VmkhYPjfoD7eqf,60,not available
20,Lie to Me,3nMLaCObsgUPGmtDeqGunx,Rosali,2WpwNw5EKb52c1QlvnGqfs,Lie to Me,1ShODvWaxWMJBwXYtglsv1,5,https://p.scdn.co/mp3-preview/ba7278564676b4491c9f149e8050923726d22be9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Cash Machine,4zYNCGxomcXTGQpXRFJYNo,DRAM,5M0lbkGluOPXLeFjApw8r8,Big Baby DRAM (Deluxe),6UISNuckF9Fgj9PGR4dYcm,26,https://p.scdn.co/mp3-preview/1da2c6a171b45b71c220db85614d55dec5baa145?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Camila,2vD3zSQr8hNlg0obNel4TE,86,https://p.scdn.co/mp3-preview/663b794c2fc8da8f9bbe33698cb1bac567126a23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,What I Need (feat. Kehlani),5nFyaoBWwwMJ9fv33tZ2MB,Hayley Kiyoko,3LjhVl7GzYsza1biQjTpaN,Expectations,2oRkkW6ZudviRBd6mx4CfL,67,https://p.scdn.co/mp3-preview/2b20bda7614d696ed0c9d339fad1b08379ba53fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,It's Not Just Me,5EXYJFie7L9GAXpZuuBar5,Let's Eat Grandma,4qNZw759AdHSMugyDMrIlF,It's Not Just Me,5m7e0ikjpPXwipyxaiu08m,26,https://p.scdn.co/mp3-preview/6479c3c7d8470b874b8edc7a0acdff9577c93018?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,"Head Over Heels - Dave Bascombe 7"" N.Mix",5lwQGZYF4BXOzFtXc5zk8q,Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Songs From The Big Chair (Deluxe),06J93pgtDCUw6bsAQINhCs,66,not available
26,Oh Sheit It's X,2F4p40wU0x3rR3qvWu746n,Thundercat,4frXpPxQQZwbCu3eTGnZEw,Apocalypse,6dDbUFp3HXqMWeywcPUZbb,47,https://p.scdn.co/mp3-preview/70e4a72b21dbf2a1f5b95f279a2150fbf7e78d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Gotta Try,0qnfAVtzFPY0pOGYpTkZeY,Michael McDonald,24hJWbo98sH84tb0nkeaqy,If That's What It Takes,43P5lpZxSh8r0uNz7x6Sx1,47,https://p.scdn.co/mp3-preview/df0fb07b77bd6c58e3279cec339a44a49801c677?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,New Light,3bH4HzoZZFq8UpZmI2AMgV,John Mayer,0hEurMDQu99nJRq8pTxO14,New Light,5fEgDYFPUcvQy21TYoLEZ0,82,https://p.scdn.co/mp3-preview/213ffa7ca413185c59a8811102048c07cd74494d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Finesse - Remix; feat. Cardi B,02iXInevQEAlihE3IPF0eh,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Finesse (Remix) [feat. Cardi B],5AVEtKtguEa8sqYhSj3zFW,50,https://p.scdn.co/mp3-preview/10fbdd7986417e30e3bbf06d3fa22efe1663b2ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Gateway,6B8rJlMrDhN9B7BuSKRDXJ,Shy Layers,46uINlifg8d4d1sNVe3AoE,Gateway,4uyl69B1v0iiBronBz8CBc,0,not available
31,Can't Get Enough of Myself (feat. BC Unidos),5RuKwWwNwA2URfO4btAKwZ,Santigold,6Jrxnp0JgqmeUX1veU591p,99 Cents,0DOzmXcSztIomiurOwMivk,46,https://p.scdn.co/mp3-preview/cb4e30b586861e4ec542feba233502c6ba4f0d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,I Know A Place,0bPSRn4crnh5f1JhELPlyL,MUNA,6xdRb2GypJ7DqnWAI2mHGn,About U,0mfj2MrZptbPw7K5Wo4ikY,57,https://p.scdn.co/mp3-preview/22cd69ef9886bc7ead93898020e43413ca2234b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Boy Problems,2YalDCU0tWxJfNdFPor3Rh,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Emotion,6UjZgFbK6CQptu8aOobzPV,50,not available
34,Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,72,https://p.scdn.co/mp3-preview/af06bccc66a9062aa4655fdd22c151c4ae577a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Stillness Is The Move,0TWQNIB1a4IP939bZF5wj2,Dirty Projectors,5VF0YkVLeVD4ytyiyVSIiF,Bitte Orca (Expanded Edition),58QFChvH0p9ygkP3QEKB34,21,https://p.scdn.co/mp3-preview/207907be712c2725a6c24b4d984883be8c8835af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,As I Lay Me Down,6S8ZXzeXsfCj8qi9179McI,Sophie B. Hawkins,3gdIwZY6Q3RXhDteYr4ZvC,Whaler,2oKbwv9ClTQKWHHTKCqN59,53,https://p.scdn.co/mp3-preview/66074bd6f2a85a2e77da451393bcd6f955ba87cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Til I Hear It From You,59IMJ1XHmOXRFE072RQafl,Gin Blossoms,6kXp61QMZFPcKMcRPqoiVj,Outside Looking In: The Best Of The Gin Blossoms,4lTXWu1mQo8m8BKwU8Rp6f,55,not available
38,Hotel Amarillo,5SDvZaLLRx5vw22lur128q,Caroline Spence,4De2r7QdHl1eZwnEnQ1IzE,Spades and Roses,17G3ABTFVs6dpdmk2gPPxC,5,not available
39,SGL,3speBfGPCck1oe47EBPnhh,"Now, Now",6ZitSwtBSGqj00w11GvMU3,Saved,2omSHllc8JtVw7CqyMvVOr,48,https://p.scdn.co/mp3-preview/e1e3952d0180ba297fe5df0e63a08eaf31dfc9c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Steal My Sunshine,4agp6oHofabdUedr0B1krj,Len,6oMfS8fHX0CyDwRptywVjr,You Can't Stop The Bum Rush,5NndKV7nc18qRQfFvLgZ1k,63,https://p.scdn.co/mp3-preview/b7084abce98a790b833d0bb6691aed056101bf68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Digital Love,2VEZx7NWsZ1D0eJ4uv5Fym,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,64,https://p.scdn.co/mp3-preview/7079f6d7bc465f71971454808d5039b35bd3fd2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Love Yourself 轉 'Tear',2jJfnAZE6IG3oYnUv2eCj4,75,https://p.scdn.co/mp3-preview/bc24526c6a5e4d2a63bdbf364705a6012ff2d649?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",1otG6j1WHNvl9WgXLWkHTo,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Isolation,4EPQtdq6vvwxuYeQTrwDVY,71,not available
45,Ex-Factor,2VjXGuPVVxyhMgER3Uz2Fe,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,68,https://p.scdn.co/mp3-preview/ef5750898e63b9c1dd6d7ac18feee2abaf5fedfb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,"Oral Fixation, Vol. 2 (Expanded Edition)",5ppnlEoj4HdRRdRihnY3jU,81,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ghetto Supastar (That Is What You Are),3ZI94oaQBva1OK6DmpIGG7,Pras Michel,3EiPgpJshyfFf6EaUP2b4W,Bulworth The Soundtrack,6eFDCGGvk9vvcEEQYYX8Ii,2,not available
48,Way Too Fly (feat. DaVido),3imeIWXGvetYSOnrUTio8v,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Way Too Fly (feat. DaVido),4OK6fjZwzhrflTA5DzL6PD,38,https://p.scdn.co/mp3-preview/d68da014d4e4dab74a87d3055ec274a7295a5507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Baby Come Home,3ufLGsgYAiwIKyAJatdCvK,Mark Barrott,4gL09KXlpi9W3wcoyAM15P,Sketches from an Island,49J2HRsegAiWKDZLTKoH1a,32,https://p.scdn.co/mp3-preview/87157d2073d2fd05c6e7256d916d7001e78db0a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Feel Alright,0C0TKQTaYClXWOmDb26Fn1,Poolside,5szdY7KaSi7epwyffrbV8c,Feel Alright,6sZj39vHE3bGHqOFYurkjY,29,https://p.scdn.co/mp3-preview/93d479e3566f5c4178ec142c3f488989fb57f396?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Heart Of Glass - Special Mix,0a4agFmqHXxcZl1nho1BxM,Blondie,4tpUmLEVLCGFr93o8hFFIB,Best Of Blondie,7mEjsBlRmfP63cH1gdPT6A,71,not available
52,Heaven,5TlQNB9GCh6wJi4p8bHi0q,Lydia Loveless,4aZmKktp90vPbhbdgf2fpn,Real,7JyOztv77EGXQ3RUJTSB7J,15,https://p.scdn.co/mp3-preview/66b0f9c36ef7e1c723459ea524d595d7dbe1d76a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Roam,5fqcIHU6DhQtFKVO5XSdQs,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Cosmic Thing,5BAzAODqIwttjj7wxmlNMS,57,https://p.scdn.co/mp3-preview/062d9268999dee2faa58fe366185f069a96e0873?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Silver Velvet,3Nun99gU0dFjsLP2Y0rSsZ,The Courtneys,14jWPTviD30k11Jccwmq8E,The Courtneys II,6wa0FHraq8X7wslGhf3Ki4,26,https://p.scdn.co/mp3-preview/6f7834334f37e5762926f033d81abd4cd62b309f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Angels,1zuKjpp4t7BS8JPKi6mkQr,The xx,3iOvXCl6edW5Um0fXEBRXy,Coexist,2cRMVS71c49Pf5SnIlJX3U,67,https://p.scdn.co/mp3-preview/48eaa41bffe6150edfad3e1460c53c3e1fd7b467?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Alone,54b8qPFqYqIndfdxiLApea,Heart,34jw2BbxjoYalTp8cJFCPv,Bad Animals,56dfEbntfVTMCxjrjggL1e,74,not available
57,That Don't Impress Me Much,0KvLsZYwodakWxOQUYAR5I,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Come On Over,0vOj0JVKv2bobFBBUTjgQF,20,not available
58,Dog Years,5RRNZFyOi17nTh2bPEKPtp,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Now That The Light Is Fading,16wZsyXQ463IYlrXyJnRfY,59,not available
59,My My My!,71T7xF5wLbDRg76jxAwDqA,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,My My My!,6W9vAihnwRgnRJ7griWzLE,8,not available
60,Out of My Head (feat. Tove Lo and ALMA),1So1tVk3gybvc2I0JY8K22,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Out Of My Head (feat. Tove Lo and ALMA),1uNHigZUYIEoucReDb9Ve1,51,https://p.scdn.co/mp3-preview/faea7e349290a084c52f252f7795b523fdfe8da5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,"Baby, Baby",3IDsegNBHC4pjGCOMTQYlU,Amy Grant,72Nhcx7prNk2ZCxhx0Y5es,Heart In Motion,6YbWlg2x8aIHASDTunWF8H,62,not available
62,Man Down,454h9zAIuTe1eJyw9iTnj4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Loud,6UHhmTLl9T1scRYLmpHcDX,60,not available
63,Kim & Jessie,1cTu1MiLR4rOyzIzZd6GYP,M83,63MQldklfxkjYDoUE4Tppz,Saturdays = Youth,4HshNHpHWtmaw8sDrOXNuE,44,https://p.scdn.co/mp3-preview/104e385e90a819a1bf2fb9a579aca4f92a1e54a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Love My Way,2fzRBJ6xbrHGyRCBR2fE9n,The Psychedelic Furs,0O0lrN34wrcuBenkqlEDZe,Call Me by Your Name (Original Motion Picture Soundtrack),531pUFZ1BbEhfXDxitF8TU,0,not available
65,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,Freudian,3xybjP7r2VsWzwvDQipdM0,80,https://p.scdn.co/mp3-preview/9daee70846dca6c7d4a7614bfb8a04faf8793f66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,CR-V,1074Hy7zmWDLb6wXVnIqz8,Cuco,2Tglaf8nvDzwSQnpSrjLHP,Chiquito,6Bq9FHHUxCUZalaQ6YwGjy,47,https://p.scdn.co/mp3-preview/c173e41e554c24fbb1f4d1508b724926ac5167ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Particle,1FX0YFdce54H4GX4i8Lex0,Hundred Waters,108ugtkRFQzP9nGgNiyERO,Communicating,279dACgF1PQRUDyQFFW0Xj,29,https://p.scdn.co/mp3-preview/a7004887c4c874e7eaa478751c61eb401c3339c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN,The Killers,0C0XlULifJtAgn6ZNCW2eu,Hot Fuss,4undIeGmofnAYKhnDclN1w,79,not available
69,I Like It,58q2HKrzhC3ozto2nDdN4z,Cardi B,4kYSro6naA4h99UJvo89HB,Invasion of Privacy,4KdtEKjY3Gi0mKiSdy96ML,85,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Love Yuh Bad,5mIJde5yFOEYtWsvjQTM7l,Popcaan,62DmErcU7dqZbJaDqwsqzR,Where We Come From,3yQALjPqPdFIAnvcJyIV7l,53,https://p.scdn.co/mp3-preview/57b2bec23c0591cf21c6b7860a10fb56cafd45ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Rich,4H0vNUFcHPz5lytcLjwqkr,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,HERO (Deluxe Edition),4sSXylKcBB3p47VfrBJlfK,63,https://p.scdn.co/mp3-preview/a8e201c35908e1a45e8022267f7738e92837c31d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster,66LhCsc06aTa2Ig7iYPDSP,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,Bella Donna (2016 Remastered),0IomjU2bXFng4LQBYn7Het,59,https://p.scdn.co/mp3-preview/130b6fa5095263456fec779fab6d9671fbdd42fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Small Town,2HsjJJL4DhPCzMlnaGv7ap,John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,Scarecrow,1BYEhfr8qQGNhbqPAbfnxk,65,not available
74,Snapback,7I5fYc4qKJddht8Ozhqqdx,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,Meat and Candy,1G4WDlYjm0VqgyEymNJRcf,66,https://p.scdn.co/mp3-preview/90d62842606921009e293ab13f2d52555b5d63f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Wonder,5Hz6aGrZZizNBoJ6kE6Rqi,Natalie Merchant,73JEBdDEFeVaOLg3y0HhBD,Tigerlily,6BThqXIsF0nanWam5MSV8d,52,https://p.scdn.co/mp3-preview/af02e463ddc6e6a4798e55c995919e58b8965975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Hunger,6HJcuxVgYjxcYDnPG0ystc,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,Hunger,2Weyn0N5HAw59OM87LCR7i,59,not available
77,Heartbeats,2YacpExEbX9tF8IbFlFOo4,The Knife,7eQZTqEMozBcuSubfu52i4,Deep Cuts,1iqMDM4Io1tnDDl58NGeVJ,55,https://p.scdn.co/mp3-preview/f3c32a74aa29f96384928604336ab6ea0585bfca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,It Makes You Forget (Itgehane),0V8ExKqRc5LbUw43ozxnis,Peggy Gou,2mLA48B366zkELXYx7hcDN,Once,6iPrb23tXiLrKCCmiAqVTA,34,https://p.scdn.co/mp3-preview/3ef89a3823eac874b7547e46dda7435a41c700a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Get It Up For Love,1pcG5AKS1PTa5sz9cBOCLZ,Ned Doheny,59QKG3eYCCmqC6SqUwXvSw,Hard Candy,6FqKEvbSjVJQXX8rFFdPnA,45,https://p.scdn.co/mp3-preview/baa02d69b5cda5fd94e089ccbc8583ea8abcf8be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,In France They Kiss on Main Street,16e1DJIznzArBOCSomdvSn,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,The Hissing Of Summer Lawns,3gUlFM3azK6ZIkKz1zK7Nj,38,https://p.scdn.co/mp3-preview/1047475fda5defc2bc64033f0ee1bc72e933718f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Boyfriend,0euRZeEKvdbptPpebwDtLc,Tegan and Sara,5e1BZulIiYWPRm8yogwUYH,Love You to Death,0zqoBumDciJGNoOsvfTP5U,52,https://p.scdn.co/mp3-preview/b74d85b311fbc770afb5abcf91123947536155ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Walking on Broken Glass,22M5LjnTiBLsMoz5OLCOEB,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,Diva,1Fn7vmvhP89UVKpGw8gXYU,3,not available
83,Sticky,1Jyp5ZUSZzVllelHa8HREd,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,Crush EP,7jxrYnrAa06rekcs1cxp7i,42,https://p.scdn.co/mp3-preview/24e1316c10cbeab557cc74f1c04cdb77b1a0ea16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,At What Cost,18JrBX1QkpnUSJF3oxX6RX,74,https://p.scdn.co/mp3-preview/d0dde15184d6cd06e09b3a50b033093ce5b2c5b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Pa Dentro,7flNdUykV5LYDRv8wQDbsx,Juanes,0UWZUmn7sybxMCqrw9tGa7,Pa Dentro,5le9FxQ6AKhzxQndZjceog,59,not available
86,Bootylicious,31CsLSgn0HdZEVC8Bnnmvr,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Survivor,480AZOo2VQ1kf3GedAiKV9,65,https://p.scdn.co/mp3-preview/ebd1b6c361b104fbc1f63319193b42c26eb34fca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Waste Your Time,6DS3vQSIu89aNeyGv8SU6c,Ex Hex,2LdMozrLZExZ27oOAnUgkb,Rips,6AiSmBuuVUi2xCIVJsXcQb,23,https://p.scdn.co/mp3-preview/08fc81e3d99c42287421eebad4c13aba8c1ca09b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Happy People,2qHGDQmfxScbqf0BAwakKI,Little Big Town,3CygdxquGHurS7f9LjNLkv,The Breaker,2aQOzEjLzPkffXDwREXdAh,47,not available
89,Somewhere On A Beach,5CG9Ps5ynNjpKJHmwc95pa,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,Black,2GIrLP0PWskhZAJaHQtDux,68,not available
90,No Going Back,7rig9YRhho4jJ2LBMGekfj,Yuno,36BjLtXEXIifbRrfc1Rtqa,No Going Back,4Wi4LqdAihpu1DMkHLaZZF,63,https://p.scdn.co/mp3-preview/1e9b0031c2137538461cab0e5d047b24cebae87a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Medusa,131sUIJTuOwXZkzovJ1AGs,Kailee Morgue,245PKF3hKjtxJKIG153kF0,Medusa,2cNdx2Guop1r7MT8dBucEd,53,not available
92,Blink - Prod. DJ Florentino,1XLtXTEhFnzwvLddcaGH6v,Bad Gyal,4F4pp8NUW08JuXwnoxglpN,Worldwide Angel,4CseW0RVZOocevhdVs3pLV,46,https://p.scdn.co/mp3-preview/83de70e99bc20c6d7c6f9c757382fe6447458cee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Don't Let Me Down (feat. Khalid),2cSiyndkQZRPmYOfrk9WlC,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Don't Let Me Down / All To You,1NkkXbEvt3lhsVdgYYf8tn,63,https://p.scdn.co/mp3-preview/c66be4965c7ee07ad67d1523d33cf2b4bbaef626?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,YOU'RE THE ONE,2b4SSorCTQ2VzmllaeWuuT,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,99.9%,1dZZh7PvVgce1DDsDPzy8Z,66,https://p.scdn.co/mp3-preview/ba855fc4a56715e3110abdc7c01f9c330e57d6a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Moon River,41cpvQ2GyGb2BRdIRSsTqK,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,Moon River,0iqqnLXoocsMeCYlTw3Q2q,72,https://p.scdn.co/mp3-preview/3fc9d1a58bfd42a221175591e91734f85fde8b5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
