Heavy Rotation 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
34,Hollywood Ending,4swwHP8APaMGiBiD2RpLQi,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Hollywood Ending,2AVfB4purBhdmqpoR25zp1,35,https://p.scdn.co/mp3-preview/f5e2e9497a7bc84fd3b3fd924e2c990b41e940a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sunday Driver,7dNDyDsDdN2X2n0cWIon5e,The Raconteurs,4wo1267SJuUfHgasdlfNfc,Sunday Driver / Now That You're Gone,0vOrIwTMeu6vTRRkBkdkoG,55,https://p.scdn.co/mp3-preview/5a216c74c06b2ee23b8648246dbc20cfdf3370cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Is Magic Gone,1sS3gfmiFa0wAXXyF8CgKo,FKJ,2FwDTncULUnmANIh7qKa5z,Is Magic Gone,4IwvbqHeTUmukJlXMCIZIO,49,https://p.scdn.co/mp3-preview/cbc4f0104e1f1d9c71607236f99100c5e18aa589?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Weird Ways,38nNeYynBC9Q42IVn0I0zn,Strand of Oaks,0t4oHObO3FImWvIhMimaSL,Weird Ways,2caB92lAu9ykzKBIjWA1DU,40,https://p.scdn.co/mp3-preview/5b20a1c55354aaa1ff9c728258aa060a4b6747ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,A Few Miles From Memphis,0moZlCjSMwtnEdLQ6a9TT5,Harold Mabern,0CHdvqcELhkUJEsftEZ965,The Iron Man: Live at Smoke,4FoDcwvX9vJnqA1csgg3T2,18,https://p.scdn.co/mp3-preview/52bdbfb523f0f8ddc74ee89c1daa7df210f09808?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,You,5wUBONclIQRIFrsPzW5TiY,Nicole Bus,0IeB4swNmNetlaZUgdHqBX,You,6ByZxyEnEtLSFqJUmXVdTP,54,not available
40,Speak Out (feat. Ani Difranco),56PweNlDakf2ookZBGHO9M,Rising Appalachia,3I6e2ZqqoxQhXc9z7Tp5ci,Leylines,0DhPojwiQq6BREwY5DJjYC,41,https://p.scdn.co/mp3-preview/d556923f48709def18707608f54e4e78d2465a20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,I'm On My Way (with Francesco Turrisi),5VCNDKGxRZdowUugsgCWBR,Rhiannon Giddens,1EI0NtLHoh9KBziYCeN1vM,I'm On My Way (with Francesco Turrisi),2LWahOfFJFnsu3B84Py3LF,27,https://p.scdn.co/mp3-preview/81456cfe4c736e1529eacba361910cb420c1d4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Boogieman Sam,1imA2gM3IjetWVmetLNbCa,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,Fishing For Fishies,1Q5gtIhAPUYszJQveFEhRr,46,not available
43,Fresh Out,6L5nqMCbzcg9Xq8ZE6PC91,"Christone ""Kingfish"" Ingram",5jMGnqJkgPaiJzwy5bOcYX,Fresh Out,0ssT151vDQvOAL1dcf4zZY,37,https://p.scdn.co/mp3-preview/2bb608dfdfc3877714609a1ebe7dbcd6d31cf1c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
