Wade in the Water,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,God's Gonna Cut 'Em Down,67sXZ0kqi11ps6Nx43KvWb,The Golden Gate Quartet,182Tr1WYFcvwbVhCegi1KW,Golden Gate Quartet Vol. 5 (1945-1949),0l1WGW1dFrrKxW6g3zTgDT,10,https://p.scdn.co/mp3-preview/1068a4fbd0a650441ab0c399446c3bb8e53a86ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Noah,4FpRbOJioputnpBGTkebEa,The Golden Gate Quartet,182Tr1WYFcvwbVhCegi1KW,Christmas,34TPysSeVkvIDqK4kAYKpj,5,https://p.scdn.co/mp3-preview/770643fe504172a376b4056fc76a497dabb88d64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Golden Gate Gospel Train,5Wol46HNo2TAzuaPc501iK,The Golden Gate Quartet,182Tr1WYFcvwbVhCegi1KW,Golden Gate Quartet Vol. 1 (1937-1938),6Jm69GpejjWfP49dYqgp1q,17,https://p.scdn.co/mp3-preview/638af9fd5f63a2a2f3161e8e3102889cf74808be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Hit The Road To Dreamland,02RPDuXt7OnPtrLEcCsjFz,Golden Gate Quartet with Dick Powell & Mary Martin,2yRWb2QxO013YEVhNk0tyd,Golden Gate Quartet Vol. 6 (1949-1952),2kJtXHvGSrZywoYysHx9WO,2,https://p.scdn.co/mp3-preview/95e63bf5f5b2656be49beecf56cd9f90d35698d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,God Is Love,5S4AHoxnKwR1FtyweSa8KU,Birmingham Jubilee Singers,2hQaqqtFci3TIktmGxQmTz,Birmingham Jubilee Singers Vol. 1 (1926-1927),3IGckLQfK7b0uTzmmQMi8s,1,https://p.scdn.co/mp3-preview/c040790acdfa0878355d347e7b4a58d47723c10b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Jesus, I'll Never Forget",3DqS5e9DwQNAyN8Y05dkRl,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,The Last Mile Of The Way,6Y5Vc3BnGIm1D5i49KgXsd,13,not available
22,Until Jesus Calls Me Home,3HwgIjaVLPZSGIl0OFRmHF,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke With The Soul Stirrers,5nPS73uMM3URxKSrJzrYe0,24,not available
23,Our Father,08dw1CfCfYcrSvIuZQF0uE,The Five Blind Boys Of Mississippi,0pnIEMwEhFuFLAu3garlQt,20th Century Masters: The Millennium Collection: Best of The Five Blind Boys Of Mississippi,532qAsRpqkutbUxj07ftJM,15,not available
24,Save A Seat For Me,3Q3DgoDwEacmB2RfO5LUdB,The Original Five Blind Boys Of Mississippi,4o7DCrEFU5e5JvL08d5KLB,I Never Heard A Man,0f2bgxwio1j5nIlcwuHV8e,2,https://p.scdn.co/mp3-preview/bd448f3b92b6a4dbbdd014157746a61a33482eff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Wade In The Water,0rMhq929FY6B4gJimVUb9H,The Golden Gate Quartet,182Tr1WYFcvwbVhCegi1KW,Golden Gate Quartet Vol. 5 (1945-1949),0l1WGW1dFrrKxW6g3zTgDT,17,https://p.scdn.co/mp3-preview/beb9bf465044f531144e0f0eafff0e6948f8509e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Pilgrim of Sorrow,1kJJNgEik6IqSdB8HK1lmA,The Dixie Hummingbirds,5hFfL5hDD0Pb4wMIzZCd1R,1950s Southern Gospel,0niKKq8XPADeBD5OxnV1MF,1,https://p.scdn.co/mp3-preview/0a06cb6d3613f9676bb4134dbd0737ad123c04a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Stand by Me,3SdTKo2uVsxFblQjpScoHy,Ben E. King,3plJVWt88EqjvtuB4ZDRV3,Don't Play That Song (Mono),18Fj7coTfyMi7mEPXIweN7,78,https://p.scdn.co/mp3-preview/cdc0401bbc4a03b855d9dd820fdf680917865dba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Just to Behold His Face,1vUS69Cm5VFRwbBBP6z65b,Mahalia Jackson,6QBUIuGCAJSAtefEY1EEdB,Great Gettin' Up Morning,4wQ4b6esk0UmJjko8H1OFc,3,https://p.scdn.co/mp3-preview/315eacdab967be5a7fc919e61500d07cce0194b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,How Far Am I From Canaan?,4IS9bXY5g15fFT9iwZmEEf,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke With The Soul Stirrers,5nPS73uMM3URxKSrJzrYe0,22,not available
30,The Old Landmark,2JEazLVGEFE9FG4OONaIky,Clara Ward,0FNW4zTrB6JjDb5ctjbX28,Gospel Concert,7eO48U8VVWE394WLfUlmBD,4,https://p.scdn.co/mp3-preview/82aa46c720e29ec15464e956983780e2bab63bd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Peace in the Valley,1LCF0GvpyPyx4hr1Xlw9qs,The Henry Davis Singers,7vaUwyezfTOt5J8yGtAWpW,"Wade in the Water, Vol. 4: African-American Community Gospel",5vIKlXHlj5PcNNu1NerRwp,2,https://p.scdn.co/mp3-preview/97bc7c46c751a3db90066b5626faab70916eb739?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,God Is Still On The Throne,6lSx4IdSvO6unnBEox4ksI,The Roberta Martin Singers,0PWSI4rGzwveCAaKmiKG1m,God Is Still On The Throne,4DATbpA2hIzpwRMEXVAAHS,8,https://p.scdn.co/mp3-preview/163ea9b9b963c83c636a1df9204d6f0a89f4fa09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Just A Closer Walk With Thee,2uiBtibZyyjNyDJcq1Oa70,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,New Orleans' Billie and De De and Their Preservation Hall Jazz Band,0CQmgYeECDF0Dmm7Fm6OVF,25,https://p.scdn.co/mp3-preview/2ed8db853237fb266a664763d7b99be348a0ade9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,I'm A Soldier,6OaksvfJoMe89qHXXjqGIv,The Gay Sisters,6fhCpE4j4NKuS5aW2pJnX5,God Will Take Care Of You,7wRgrHzKton38hjkCqwglh,1,https://p.scdn.co/mp3-preview/5f260f3f5ee87403cfd1f3efc3ac9cf505193315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Heaven,1E6hApWpDDGD3v337PDwob,Bebe & Cece Winans,3WNUkxJcJeliFx9KXWXMgs,Heaven,10dbzUrxRpxkot3QENMGFV,33,not available
36,You Send Me,0BFEyqJ9DJXS7gKg0Kj46R,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,30 Greatest Hits: Portrait of a Legend 1951-1964,4jiO2jRz7g50ESvYYKsKwZ,65,not available
37,I Can't Stop Loving You,79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,"Modern Sounds in Country and Western Music, Vols 1 & 2",4j4w5DDWMKD7ePStAl19OF,59,not available
38,Higher Ground,0dMd4rilfd6gPbXaLpNYhu,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Innervisions,5jgI8Eminx9MmLBontDWq8,66,not available
39,Peace In The Valley,2eJgsexdt03ESg86cMONv5,Sister Rosetta Tharpe,2dXf5lu5iilcaTQJZodce7,Precious Memories,1YHahOzmBm2OgsIx0P3fU8,5,https://p.scdn.co/mp3-preview/42750983b6c4fdddb3a38d6685ba17c61c2603cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Black Disciple,0kFtGHKeoQo5HpGhyOMVxB,Donald Byrd,3ZUZYvTkSr7kJQyAXVpqaL,A New Perspective (Remastered / Rudy Van Gelder Edition),3LG1c3DYgaEtCxea2z7ZSa,17,not available
41,In the Beginning God,1ZmrS4xaKe9YlPTPob8BZ8,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,Concert of Sacred Music,59fTkhYKnCFqbl6Su3usId,10,https://p.scdn.co/mp3-preview/419850d584ae52dd786dab768c9abc71b90305c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Come Sunday (From Black, Brown and Beige) - Accapella",61M1xK5iTUfABhAAmyrr38,Duke Ellington,4F7Q5NV6h5TSwCainz8S5A,"Black, Brown, & Beige",3AP5uV5JgBu5haJfQjct44,32,https://p.scdn.co/mp3-preview/71401bebb41fc0f0e1fee92079d8bd5d7ad9e06e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Medi I,6Pp0tD16vLEHc9HkmxGCmD,Mary Lou Williams,6hrEc1XqVcGLK0Di6zVADR,Zoning,7iOHcFy0XcPYjKtrnx61dz,5,https://p.scdn.co/mp3-preview/6e94820da005fb83cbfd3fd898e5a6027d799720?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Saturn,7myKyYmChPXXykwvlVZHSg,Sun Ra,0tIODqvzGUoEaK26rK4pvX,Jazz in Silhouette,3zsFVmSZTQBr1sLEBkRdwl,13,https://p.scdn.co/mp3-preview/e666e32c36d3ca0f1d968088073d22a6e9acc8c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Wednesday Night Prayer Meeting,74EiaLmtaOlfKZYFkhHs6J,Charles Mingus,1W8TbFzNS15VwsempfY12H,Blues & Roots,7EOQggjtK8JCqeRz9IG33e,31,https://p.scdn.co/mp3-preview/eb52d6ca074d24a120300e299a107f2eb1e66f7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Won't Be Back,7tu7dR5rdOLlUwDWkN6uLc,The Caravans,5ovZ9KFI7iYQFMT2O6DJhU,The Best of The Caravans,2T2AYqYT58AfW7w4GYPkwP,7,https://p.scdn.co/mp3-preview/050681b7eddb89c16a6183ea2f2bb60e58c3bcbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,There's A Leak In This Old Building,0J1n7fTjqeGRgpXGgLvzzk,Paramount Singers,0pA91NWu7NazMM2xxwv1k5,Work And Pray On,2MMFXmnLPJgrQObTmG6g2k,1,https://p.scdn.co/mp3-preview/b44e516d67f8fc68694810663556d0bbf752007e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Are You Sure - Remastered,05vYZLUHal7IkBkPtCpWaD,Bessie Griffin & The Gospel Pearls,6QmQ3b4dzUG39jQKFNaymT,Jericho Walls (Remastered),4CbhHgvXs8yP10FoPI8P8j,1,https://p.scdn.co/mp3-preview/9fddb37fa16e14ba6b1d6c9b577da7e360bd5735?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Peace Be Still,4hZCpQ2P8I8wllw53cbZ4S,James Cleveland,5g1lWbZIQ0LCWbKmRJDSSn,Peace Be Still,2S3YUPgn6xm9O1d0eyMjHe,27,https://p.scdn.co/mp3-preview/8201f672a1e2d654453ca617223d6203a878feb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,I L-O-V-E U,3EWiXSkO2Xs0xpMhDXcQ1O,Take 6,31zQEL3ARiYe63jn3jtM18,Take 6,685Elz003MHO7GUT0xXnZa,18,https://p.scdn.co/mp3-preview/4939456191f42ea35489ecf3377d49579837c8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
