Roséwave: Wine & Whine,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Boy Problems,2YalDCU0tWxJfNdFPor3Rh,Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Emotion,6UjZgFbK6CQptu8aOobzPV,50,not available
21,New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Nonmonogamy,13nJ5i1a7RznQClDL93h8C,Mamalarky,2AWfnWrfFVhRPVX4JN9a6g,Nonmonogamy,2g5eq5MWlgUfRHy0XTUF0A,28,https://p.scdn.co/mp3-preview/571514d44fba011accc03334c82f74156cc3a9ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Freaking Out the Neighborhood,25SJaCCPiosugnlY53VhRG,Mac DeMarco,3Sz7ZnJQBIHsXLUSo0OQtM,2,7x6wYKbZUU2BL3N8ZWwM3q,67,https://p.scdn.co/mp3-preview/fc00998ffe12cd24572c72fef225024f26ffa882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,4EVER,26yohWYLPKCCP7X7rwKedJ,Clairo,3l0CmX0FuQjFxr8SK7Vqag,diary 001,3NEDQmYF1roygFssVEwkwv,50,not available
25,You Should Be Here,73C4vh7W8u41Vll5HvBqv7,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,You Should Be Here,34JNly8P6uZRKTGnmmLNAt,58,https://p.scdn.co/mp3-preview/f1866c1f4c9fb04907da75a9123fa376e7909f6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Closer,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Closer,0rSLgV8p5FzfnqlEk4GzxE,85,https://p.scdn.co/mp3-preview/8d3df1c64907cb183bff5a127b1525b530992afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Monster,1ZHYJ2Wwgxes4m8Ba88PeK,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,My Beautiful Dark Twisted Fantasy,20r762YmB5HeofjMCiPMLv,71,not available
28,Attention,5cF0dROlMOK5uNZtivgu50,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Voicenotes,0mZIUXje90JtHxPNzWsJNR,83,https://p.scdn.co/mp3-preview/d7369d506a0647ccd433c7d0ec290d8be52c186f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Some Hearts,0kys2jaKAiDPfNBd4z7LAg,74,https://p.scdn.co/mp3-preview/b61f1fd8811b6c9bd9d5d0b47c35175aba787201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,"good kid, m.A.A.d city (Deluxe)",3DGQ1iZ9XKUQxAUWjfC34w,67,not available
31,Your Dog,1BSTxGkSTTLwEpbuusHRzH,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,Your Dog,0damtrWa5KnlBhXNK5IcYK,5,not available
32,Forever,2319gHincsCeSmc19Efi2j,HAIM,4Ui2kfOqGujY81UcPrb5KE,Days Are Gone,729Vh0HApsm7hGDVjbmtrf,50,https://p.scdn.co/mp3-preview/d27074fb88fa13d0a9270042aebf1df9a0e5cede?cid=fa83a2fec7c440b7a2795d600d6b2c7e
