NPR Music's New Music Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Best Life,068XDWvE8tDnQsKo8J3x1Z,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,58,https://p.scdn.co/mp3-preview/53b5a2029189806e2fbccdf784b9f58ff8e57c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Saints,4NUza5AeKcbBZ49YNz9Axv,San Fermin,7fSnislKgW9Mz0YIqWQmGt,The Cormorant I,2RB2nkvEMXQUrgGeUsE3au,41,https://p.scdn.co/mp3-preview/d6294174944e570f74116de368f984acee1a0ff9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Rock and Roll Deserves to Die,1Rk8XGdWMkktoidlryRtVr,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Easter is Cancelled (Deluxe),2xiXn76z6Rzt58VVWm5tyc,41,https://p.scdn.co/mp3-preview/0a1fe78ea8feecca373affdf500a70c1ab7ec211?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Horsehead,5aBtwH7UreHCHtSv3QEnMp,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,52,https://p.scdn.co/mp3-preview/3d6fa89bfc80269a959a1c8d60473dc88ac3c66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Devoted To,1mADtLhAZxo2I8rFwx9bqX,Lightning Dust,3Uf1PaVWJ3cUp76AIzCcoO,Spectre,77vLuri4Xb5Q4EwBL89C79,27,https://p.scdn.co/mp3-preview/44abd29377029b47d8b77d6c44486d1222cc1870?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Rodeo,0rvnYYA0cOPoG8EpaXCtHh,Lisa Prank,6OeiIAiT2ZwACe514ly5Oa,Perfect Love Song,5v3ihgAOLFEs4aBU8BYtWe,21,https://p.scdn.co/mp3-preview/e35b59b00fc8ca4da6bb9d65f39fba5fd311f504?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Waiting for You,1aaUv9RdPa2zEKvaxbHHpc,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Ghosteen,6UOvMBrdfOWGqSvtQohiso,61,https://p.scdn.co/mp3-preview/7346390b8a0cb96170cda5c94e086e2d1f277ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"This Changes Everything [Feat. Buddy, Denzel Curry, Terrace Martin, James Poyser]",5FcCKNBPFXsrxbhVlSXmRa,Robert Glasper,5cM1PvItlR21WUyBnsdMcn,Fuck Yo Feelings,5SFtk75uqfjUGXEjLsgdMl,45,not available
18,Up and Rolling,1Wg6dLYXgqxs0YtQS6ifco,North Mississippi Allstars,714osTgzZrkyf3SGjggpfY,Up and Rolling,5jEiXH4G09AiHqBkEm2ZMM,32,https://p.scdn.co/mp3-preview/5bc75c897800dcacadbcb63813ca45a66863d57b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Chapter,2b99PT1kZy8wK3ae1SsSLK,Penguin Cafe,1xU7tQkYahN1eWbgEzoure,Handfuls of Night,6YKbZ2ElHolhYuPeNaGN5x,28,https://p.scdn.co/mp3-preview/3d1f7ea1ea0179429abd11b2eacad9b834e8f208?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,LOOK,2aJMPyDz4bRcqTfR0neBIi,Supa Bwe,05kWC05qQmocVoC5Udgl6D,JAGUAR,7JAHZksjqcFHGwyylQuAWP,28,https://p.scdn.co/mp3-preview/02545a9b33df8fce638b286ecc75676335e474d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,If You Just Didn't Do It,4u0bJ48tI36AIVzfBJzRUx,That Dog,0tXdvAMrxsEOVmnMJIHolv,Old LP,4QH1kja8r9JxTpXWmD3HCl,25,not available
