Roséwave: Poolside Yuletide,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
43,Dear Santa (Bring Me a Man This Christmas),7mhjINltSVdDz5xiZLuJ63,The Weather Girls,19xz1vcuKNjniGEftTOSSH,Success,04tDE69ZArhHkFaZzRNOrt,11,https://p.scdn.co/mp3-preview/8c1adf18c491ddbe8738435a4e8dbc4d1abed3b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"Rudy, The Big Booty Reindeer",0E0xYXjlVLOdS3j99hxe9A,Big Freedia,2gyv1akuIB9fQvXoGSPaJr,A Very Big Freedia Christmazz,24pEBIYxbDxRlOEHcpYK0S,17,https://p.scdn.co/mp3-preview/8ec05d9b7d29f935c8a6b40ba38d0a1dbfe196fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Mistletoe,7xapw9Oy21WpfEcib2ErSA,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Under The Mistletoe (Deluxe Edition),63MKT9hwmiMFFdFp5SdB1p,66,not available
46,Mushaboom,66olzBxCgKlpFRB1LKH5pO,Feist,6CWTBjOJK75cTE8Xv8u1kj,Let It Die,1dukVxiix2ckr6CMs1T1zI,52,not available
47,Winter Snow,1goSDyZWumT1ixWNEmZlue,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,Christmas Top 40,36yChM2idUcJFDRMetfEDR,0,https://p.scdn.co/mp3-preview/a4662dca575c09ae33f48427365ec52aa7bd7115?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,'Twas The Night Before Christmas,5dceIQ4VKXqQLmjNz5WZhI,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,This Christmas Aretha,3JEvXjX2yApZaGLuXjBAc5,15,https://p.scdn.co/mp3-preview/365c1619b36de804cd6a75ec92c8cbe93df8bb7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Back Door Santa,0s8XHbX2z7vNIbOyqKk5YB,Clarence Carter,7lffJlv0nRl0sIsHDmo0SB,Soul Christmas,56Fl7uCKwUbcRA1V172BbK,23,https://p.scdn.co/mp3-preview/4fbc986206f5ab7c9d4122e0565799296c8f7aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Santa Baby,1vZKP9XURuqMp1SpXGnoyb,Eartha Kitt,1AwO9pWEBSBoWdEZu28XDC,The Essential Eartha Kitt,3YYxlTrYciDHu3j7E5wGrZ,50,https://p.scdn.co/mp3-preview/ae2669212592e2bd70be8ad89c7169a7a9bacfc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,What Are You Doing New Years Eve,4HVSZknGCFj1rTzVUYaUM2,The Orioles,4Am5deuAhDuKUJgXmoCQzj,The Orioles 1947-1955,65RsqV8nJL5rPzAkzKjjWa,8,https://p.scdn.co/mp3-preview/36dc045da787a15441d08cb588ab695da3731d0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Cold War,6gK1xp7Fp04eaUdYXleokc,Amber Woodhouse,1stAB5sEtU4AD3MQ0cYOtJ,Cold War,6aOosqgKgo1n0piJEEFSoP,7,https://p.scdn.co/mp3-preview/a69a15e6ebfca9b99a527a8ea0ee5be16adcc87e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
