French Indie Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Too much,7EsezxxlX1rNmdFEG4l4AN,Lou Doillon,05TeWWFqSVEUurt1lVhh4q,Soliloquy,4MnvtQrwrK5SbdDWZULFyv,50,not available
15,Molly,7c8M5oaS35B2tKF9764WRw,Malory,4fWYaICAtJA5qKvfqOm1LZ,Molly,0eUbKWJERQ7hfwjhBNEc8F,39,https://p.scdn.co/mp3-preview/1599b51388372807d2dadf15bd179e13f47638fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Clairvoyance,5mE2rLpnsnQrpdd7RUgfBd,Requin Chagrin,7hstPLRSo0ipNnICMpTN5g,Sémaphore,4jCNheu8gN4MXEemNnzqGL,40,https://p.scdn.co/mp3-preview/0ca0229c6084ee8f49d1328bff94137824c72b51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Climax,67vkpyIuPU8sXV68hE0cC7,Hypnolove,1MRkDoyt3FmhmZNgnwkfLf,Climax,2Y4e4YiioEXhJLeaaTRfA6,38,https://p.scdn.co/mp3-preview/8613165ed842c3e7bce6953a31664a2db70f2274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Volcano,291d4dgMiZl2kSt6oihRaQ,Gussstave,3j2DgAeINZHCf9UHkjd4GS,Volcano,7mxS5ffQI8cyGYw2zN3VZH,40,https://p.scdn.co/mp3-preview/ea4d6f5812a94ee95eb6db0a09116626a0dbab2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dis-moi,5uJS96QeaoIaT87SZyf8cs,Chine Laroche,4H8cDKoJ62bqOpWJFSuqPh,Outsider,3NlTwbh5t6a8Hfd32CFeId,37,https://p.scdn.co/mp3-preview/105a8c968db62e07437ad2697ce645a76d4cd714?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Adrenaline,6w938mZxCQfSjZRmwK329X,Temple Kid,5KSFGf3xysehb6b2Ruqckx,Adrenaline,21v7DzVlKZFZhl27PL7C1O,27,https://p.scdn.co/mp3-preview/dacb8b284376f6e0d655427d131ea0417a6b82f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Jef,5P1PIBUy005zvaLbSXEW7P,Rallye,36buOdDVz6p3QbVatFi4iX,Jef,5I5Z0cWJmhTeSyDfoXf6Mm,37,https://p.scdn.co/mp3-preview/a18cfdc89665e2c41fc23ed76397a33c7d057bee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,fancy,6URx5VIwl6BIAWRCRbzFR6,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,fancy,5Q62utAcnrTtZdgtEvIHyk,37,not available
23,Lift Up,6C1fdB76jVoPCccAanw2dj,Dune,1E5INvAWPXecdUozeCpjFm,Lift Up,4uV7p1WzLR6UNFAe0yt692,38,https://p.scdn.co/mp3-preview/aa754d320dd46af8a6e173ce96f40f4756667348?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sauvage,2EyECcIQEsdFQoQRenrDcN,BON AIR,02j2ijmNsgUP0YoXGTdEpH,Sauvage,7eBIjmPEHqh3So22MjWO1Z,33,https://p.scdn.co/mp3-preview/bf2413a3038ba5bd02ce325ee24828aed0fed658?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,You and I,2blV6tohiJoieVNtlL0yU4,Papooz,2gaCpvhi31OZtozJKsr5gm,Night Sketches,09aBh9puG1rCCeFlnGvXnW,48,https://p.scdn.co/mp3-preview/0fd59c978f875d891f597c441ddf177be440be64?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Back To One,0zMTiHXme9k2newg3Ir8Md,Cocoon,15h5B5quwDm2C1rhbtvUPD,Back To One,44wkZDHFX4HmRqYpiQVi5f,30,not available
27,The Past,6QX9w5RIQvh20QrXuwbnFi,Després,0HTfLOfhs2zX7Iv35h3uwK,Bleu sauvage,3asNEP77Hxyha4rMFd0gJu,44,https://p.scdn.co/mp3-preview/ee6074cb9b46e3e69efe00e5681612a702cf6b3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,That's Why We Came,6INomND9mB2gNU8UQgFnhd,Tohu Bohu,6vbNevTU1BfFmrdVbbMehE,That's Why We Came,3vvUfwL5SurDh49brCVkgW,40,https://p.scdn.co/mp3-preview/cef3312fb93cbb0130b99e3dd2016e136fbc3ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Eu Quero (feat. Samantha),7xojR3Z2xGWSa7IuB5zqKd,Kid Francescoli,2G7QgTep5IsJHGHm1hXygD,Eu Quero (feat. Samantha),11NWkpWAFHJNPCVtqZfqEp,44,https://p.scdn.co/mp3-preview/d38c29cf42807076dce929e0e7d3e542b2cd2c7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lie,3WNJcD4xvnHrt5q5RuzaeW,Degree,1WsU8n1hX7sjHqGryYXp1w,Lie,2RlH6ZEUw5s13scbjAPbkV,41,https://p.scdn.co/mp3-preview/b26933ddfb9ca3cff7ae6d73b284f3a1f07a1917?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,In Real Life,5aGDIGKHrGAYJn33DsVdIF,Buvette,0wwRYwypD14fQNzG8srHMl,In Real Life,1D9nZkBaTJCQgtn8TJdMRn,40,https://p.scdn.co/mp3-preview/160e90d4be4687e838ccfbbcfc75635ef0ede2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lavi,1kCfP81Gj9wkbGkOpCkuZA,Johan Papaconstantino,7xuc5o2ysVzV0UDiGordzO,Lavi,3mWBaz2cAqnf3xwaCGxgBH,41,https://p.scdn.co/mp3-preview/a6157ec2c6b4b7ca6da85292b138c89fee14655e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Acceleration,3cn4bKSJShQzuoKMZ6XMis,CANNIBALE,3bNtT538fbcXr07iHIxVRw,Acceleration,0782l2JZHws3xHWPR6frwH,37,https://p.scdn.co/mp3-preview/491f28889a91a1c58d4485e1f33b334e4570706d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Now That You're Gone,5QXW8O2ux5EWKwP1EDte5o,Camp Claude,0TNyEQ0n7diilLgG1ozfrB,Double Dreaming,5PBqGLgvSKClWG2nc8jnQJ,40,https://p.scdn.co/mp3-preview/def5b7bb37391a286b018d8d30cc500c279e551d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Le Laboratoire,0fNpCS7xBfszhJUyBZ4rmx,Biche,1m0M7J2El2DioTfule3L41,La Nuit des Perséides,1SiojzR21cjn2x0XUnfKig,37,https://p.scdn.co/mp3-preview/59a1ffa5335875c017ae98c223514507f107ffd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Cœur poids plume,6lfMvOUpSYC0V2NFIsBLNI,Hervé,3mNXGOPYzxYiGxttEvJ9hx,Mélancolie F.C.,6vPpO7Eqic2Ly8DU5csWfL,41,not available
37,Lalala,7vIERuwVxmw24C1eKqbru7,Nouvelle Vague,4h7NLIlg1oYdEtfQJfyto0,Lalala,0ImmTkIIjC3RaHYnU9JYt6,44,https://p.scdn.co/mp3-preview/cf067f7a2a1b08524c06f148a2b97aa184479470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ventimiglia,7nxPLz8uUvjnnunEak24jG,Canine,3kiyYrFoBWmWoUyxbSOFAR,Dune,5ElplSX2BhJfwBd0OD0HzV,39,not available
39,Only a Dream,3Uejh7R2Xq52oqrh8XOo5J,Outlines,7xgpZefXaE1gldPF0XKbvc,2,2m7PT50d5Yk3W5PzAGpNsw,36,https://p.scdn.co/mp3-preview/7fbfcf51c1f349ddbea3e53e8bb46aa2352ac49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Cowards,2KsF7GIOQhiaCl8vGNwx1A,TAUR,4jfDRsncQ0Z4DFMxLqWsli,Cowards,3Yaltru5ARbQRHt4tYIAx0,45,not available
41,Someday Baby,3X5ttIkuVuJFAwVuaEEBP7,Sage,5dDQASlR9FyeP4VO0jw35F,Mon inconnue (Bande originale du film),2Q1cbD2eDjRtkivrvxx3A8,41,https://p.scdn.co/mp3-preview/2c93aa6fc07928e4f8a0d528645f95799e0be51d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,mirrors,7pEt2PaowAQPR3xIigGq8D,FORM,5vIivtYjEPjPJm6328wI2A,mirrors,5UTU8O68sKLIqjw3tv3YA7,35,https://p.scdn.co/mp3-preview/8aad51129045011c76eb8d555a9fa8d0509f381a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,My Only,2MX3UFRtbMg7rqGxLjlP07,Arche,0HSZWleTsKOcWUQuDXizYk,My Only,2IB3zTMINs2cRBhpBGD8VJ,36,https://p.scdn.co/mp3-preview/867fd2cd345d6dada44e0e57d482185ea57f07b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,New Friends,7cw2yeC9wWZSuWwBjPTfwe,Teeers,1SXcN9FORht3RJwmiH69LK,After The After,3od1byJ9dhFRi7dwteUOuU,38,not available
45,Communication - Radio Edit,71zMOLuN7sfqW10orbxfDb,Mirage Club,1lCoglJluTQoUO2vbKfyjh,Communication (Radio Edit),5allCDK6Z7AaFkd3NxdXd7,2,not available
46,Thanatonautes,0g2jMVUiExYXwQjyzaVeQZ,SÔNGE,3w8VcZ407ZcXn92AAflSe4,Flavourite CÂLÂ,1jmW4v7heuRPhU4mhmSItR,35,https://p.scdn.co/mp3-preview/b812468ddeede5cbe2a75679b4c231da159ecd0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,When We Sync,32QACfMXvoSsiwxgulfIQU,Claude Violante,2J2leHXUtp1V85Wlp44kmn,Armani,6F5ZWfroAnJn6tSSAwjPox,35,https://p.scdn.co/mp3-preview/305983be1fbaeeede8471121a0c4a75cf6c4f056?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Don't Trust the Tide,68DvCgHDcQSr1PureT1cxz,White Velvet,166zDkpbtX6IfYhzr4oaQr,Don't Trust the Tide,5MGfURBCZX5ejrY5ebSUYw,34,https://p.scdn.co/mp3-preview/ad07e6a79ea99ec83bf9c2f0c79ba6925224e052?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Moments,0fzo3cIf7F73xOVBug16UH,Talisco,0ZR3khgseh3xy3s8iBYWrI,Moments,30mMPh7ujjFLIOxDXyARA3,40,https://p.scdn.co/mp3-preview/ce98f9fab7a265a809840b20d21bf905150f01ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Be No One,0r7R5gWltdPZJyfh0nHCEY,Genial Au Japon,6gkyaMmIZty8dwMF7xuTb1,Be No One,4VPDUZMuGpDjPvrWuaj3Iu,32,https://p.scdn.co/mp3-preview/950446627f0fe386b79b2419485e903b859b87cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
