French Touch All-Star,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Intro,3EXPdW0NGGkPlyDMcScfgu,Alan Braxe,24JRvbKfTcF2x7c2kCCJrW,Running - Single,6Ps0YLiG5zpgsqx5kBPIul,50,https://p.scdn.co/mp3-preview/bb0c05cecdddfd3e013537bafd0966cc08e17dac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Toop Toop,7cHhpJV9fC2AqgdiLvq1AO,Cassius,4sf3QZW8a3xZ14IGsOAzoy,15 Again (Deluxe Edition),3XG5dH7LcDZlkOWmtvLzXB,53,https://p.scdn.co/mp3-preview/20a340b4535a5ab16ca3e7700ba8e1bdfe40199e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Around the World,1pKYYY0dkg23sQQXi0Q5zN,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Homework,5uRdvUR7xCnHmUW8n64n9y,70,https://p.scdn.co/mp3-preview/6abb7faeef25296b79498738dbbfc398700944dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,La Mouche (DJ Falcon Metal Mix),43yQiATsXbfGkY7kKj40iM,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999 (Deluxe Edition),2HKgnzlGIJddpRwDlxit43,40,https://p.scdn.co/mp3-preview/5bb53b07365c270ee0d83661ac69cc62575b05d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Mothership Reconnection (feat.Parliament/Funkadelic) - (Daft Punk Remix),5aWVNrjqFHCATLIhS2na3t,Scott Grooves,7hwWjHjLHvhSDngoe2Pkbe,"Musique, Vol. 1",4a0p1M12f7VaZWdoNSdEK4,43,https://p.scdn.co/mp3-preview/013581ae99db34be78756127e747e4d25ccf2120?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,In Love With You,2MciXM60hrG1cz5DE7ZWzK,The Paradise,6hnNrELOMZmYpbHI4AMDba,In Love With You - Single,1tYPQUdo3Sxv21ILqO8gDJ,44,https://p.scdn.co/mp3-preview/b54687ad1b7d2a4aff9866c447d04bb18a260255?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Signatune - Thomas Bangalter Edit,16KsLLVY50usR4urQYmSQP,DJ Mehdi,5ffMSKGQRhetAjBjEgkRun,Lucky Boy At Night,7vKadQtVqp973qUGS9yPvA,2,not available
17,I <3 U SO,1mizZEavK16AN2Jo4mG93O,Cassius,4sf3QZW8a3xZ14IGsOAzoy,The Rawkers (I <3 U SO Edition),3wnLAWP3OtHM8aKRdGcMSc,4,not available
18,Nightcall,0U0ldCRmgCqhVvD6ksG63j,Kavinsky,0UF7XLthtbSF2Eur7559oV,Nightcall,07nBld9enf1PyRysZAVSqJ,69,not available
19,Starlight (Radio Edit),4UfupbARPxljVkBmuZlJnY,The Supermen Lovers,08dJ0NJ9jMf8qdLmdhQ2yA,Starlight - EP,3UO75WLhEfcx45md7M3bBX,62,https://p.scdn.co/mp3-preview/55aa614d8b5de57221e17b8cac03e5879911c5ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Feeling for You,0UHhtA7tNKZaEPh7hYZVGP,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999 (Deluxe Edition),2HKgnzlGIJddpRwDlxit43,52,https://p.scdn.co/mp3-preview/077a8f828493fbf83958d12f1ece40e73ae7dee5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),0vwDxngkhZuwNbcxzebCXI,68,https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,In Your Arms (We Gonna Make It),3rZdigkSi1XFgyNCWJ0sVd,Benjamin Diamond,2XOvFG8pp1XAV1V6ZJABim,Strange Attitude (Special Edition),7nZuvoy22KyZweKBwJpXvY,41,https://p.scdn.co/mp3-preview/cc47af3333f43994b17d5ca98732a9774995ac23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Prix choc,1xhXPwjRA3DaYu5Lck0rUG,Étienne de Crécy,78YRbJhMi5kXKruiQGCJo7,Super Discount,0NURbzqbJUKn1BWykCnrmh,46,https://p.scdn.co/mp3-preview/bf1181df41461aa09ade5ddba1b707cd2d15d8a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Voyager,7cMFjxhbXBpOlais7KMF3j,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,61,https://p.scdn.co/mp3-preview/48d1a1cb5f02271cad36696f1686a95bf9884e21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Night Patrol,3bi9LdoayzjhpriotcubGd,Lifelike,3sa5sqxJqYjDZhGxmo4Ko5,Night Patrol - Single,09JyAk5hfkLDuue2STHPuq,44,https://p.scdn.co/mp3-preview/af2e32d4006926ba64c1d4c312e7e941d9156113?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,DVNO (Radio Edit),1wVBZxnCo8ZkGaFqPJEmz2,Justice,1gR0gsQYfi6joyO1dlp76N,DVNO,10y4ioZQOQoIEkFOMxElJr,36,https://p.scdn.co/mp3-preview/b4feeb6b9fd05cc64e506b981f6a869670a52455?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Musique,5N3FZ8eZ2mWwSWaJRAGHfS,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Da Funk,4iPei0ERbLxTwUd888Hv5G,50,https://p.scdn.co/mp3-preview/d8a75553224d9aa9227aca3a003305b197e25689?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Poison Lips,3zf7uD8ClQ2TXGMZlXISup,Vitalic,4M84umUNRbZy1mJleyyRM9,Flashmob,4yUXPQs1dQpMw6GmHYsx3N,56,https://p.scdn.co/mp3-preview/2e5bf27450e161c5472efb7a996a057a0d5d0937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,One out of Two (feat. Irfane) - Oliver Remix,1dzNN0QJpXSethIAy4y7uh,Breakbot,0iui2Be5CP8EWxvHYsVspL,One Out Of Two (feat. Irfane),24FNeEkvoDQk67YNkp6b2G,2,not available
30,Diamond Veins (feat. Sarah Rebecca),4Ol2e0E0S0WJsxLthIggDX,French 79,6MJKlN8ya42Agsw3iQZs6e,Olympic,0w7LpR6LF4nosbDeQwF3Qx,55,not available
31,Lucky Star,5EMwg8P4A3Qj7BPtau1Mn0,Superfunk,1CbopBMbfM0ned5OAsTkv4,Hold Up (Remastered),6P9Y3V5y09D0577sYb0ZjR,49,https://p.scdn.co/mp3-preview/1ffa73c393cb2d13158dc9d15fe932efb6f2e4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Pocket Piano,6XFzZqAuJKpbPvU2IFBvxK,DJ Mehdi,5ffMSKGQRhetAjBjEgkRun,Pocket Piano,5Eqtp8axXrFe0R4VU8yPWm,1,not available
33,Polocaust,40DtTEuJDtIczw1aubpSYi,Mr Oizo & Gaspard Augé,6il8vGP0Wn5ktElq5lepdk,Rubber,2em2KZzgmPpplA9451uvTn,32,https://p.scdn.co/mp3-preview/ec62cc7025192f1c856e20a4a410307a02dda990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Peace and tranquility to earth,7jKp4Yl1p89ByCMOjh2fHR,Roudoudou,6YTtkGLYyAHNUGD8PVL6SL,listener's digest,6VsiGQn3S3dgape5u4dZhB,51,https://p.scdn.co/mp3-preview/8369b715da3eb7ef9cd4fc851df185a35dc9d52a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Baby I'm Yours - feat. Irfane,0tZkVZ9DeAa0MNK2gY5NtV,Breakbot,0iui2Be5CP8EWxvHYsVspL,By Your Side,6C9yWt9DLFJixQjOZIkaAT,72,https://p.scdn.co/mp3-preview/66e587beced792bdbebb0b49d8998b1e74f74c42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Look,6WieZpY4oFb5oZNZQacgxb,Sébastien Tellier,23ymPLjbtAMzTJS2qRtQ8Z,Sexuality,3TvXsmeUpAC3TVaPFd4jr0,1,not available
37,Breathe,46LwAOzg3UYvxiXyyaFedz,Télépopmusik,3aKCo8gLJfuPYtr88aWKjF,genetic world,401DhjeJg1yVIfBN2A55JY,14,not available
38,Sacré français,4wjj2eNX7iELAhCh4X40Dj,Dimitri From Paris,5Il27M5JXuQLgwDgVrQMgo,Yellow Productions: 20 Years of Music,1VOyqL5y9mvfiWh8Gk1Ty5,42,https://p.scdn.co/mp3-preview/39a20ec9b06fcd20288710c5116ee516d84108dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,La ritournelle,0qG1teoBvooRo7Z5Z8edCk,Sébastien Tellier,23ymPLjbtAMzTJS2qRtQ8Z,Politics,05MRLgXFBdHFMww01vbvWY,58,https://p.scdn.co/mp3-preview/ec5cc4089fa1e3e9fe054287c7bfd18beefb6f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,See Me Now,4FEmIwaDVpSuuwF3sGpHEr,Cassius,4sf3QZW8a3xZ14IGsOAzoy,15 Again (Deluxe Edition),3XG5dH7LcDZlkOWmtvLzXB,34,https://p.scdn.co/mp3-preview/890e829edfb2d408db68716303e8ab2268256516?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Am I Wrong - Original Version,0pVS6ymfHWKupp1wYcsNaZ,Étienne de Crécy,78YRbJhMi5kXKruiQGCJo7,Am I Wrong Remixes 2012 - EP,2Qc9hgKNvfM6QEo0JCHy2d,37,https://p.scdn.co/mp3-preview/5e3cb981bdfd4209f0ec678ff139b08d334a67de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Gym tonic - Original,4DgPcCPpxVN28ZOQBZBhu4,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Paradise,2ZHeCVucwVH7H3qC4abtTd,44,https://p.scdn.co/mp3-preview/b514742ae528a78e5fc4f0b678a87640baca3f57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Sunchild,28mfFFjOtJvnD4hffJSc4s,Cassius,4sf3QZW8a3xZ14IGsOAzoy,"Ed Rec, Vol. X",7ECI6tBPJQb4G3V3n98a7C,33,https://p.scdn.co/mp3-preview/304589290498f0f01049f3297b5490772f325e0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Amour,4ynBONkE7gUFvWJQyvMSyF,Soha,7ChI5o5sQjrQ84tk2x6OxL,Defected Presents House Masters: DJ Gregory & Julien Jabre,2gn3OHZyw0fShGuhs4cYcr,39,https://p.scdn.co/mp3-preview/0b9738fb49a05939c500506e9e45d782c19769c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Man With The Red Face - Video Edit,0y0LNqWSA4Pv2KawzSi4MW,Laurent Garnier,3y1SoTOdrmRNTBVph5T0VZ,Unreasonable Behaviour,2IBm4EZ2AUUCSYzFAgCNBL,48,https://p.scdn.co/mp3-preview/3bce6222c617f6f1eff8a08dc99769fcd59ca82e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Sexy Boy,6INLpBxo9F5QMer04VXEnd,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,5dmYtZVJ1bG9RyrZBRrkOA,60,https://p.scdn.co/mp3-preview/526a095e534761d1856daecc8a7c500858714768?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,The Child,43sGFmqBOGGUmCu51nEU6K,Alex Gopher,0ADS8B9CUYtbFLvjT99Ktw,You My Baby And I,1OljO7oStiLQ8f1etN8S8U,45,https://p.scdn.co/mp3-preview/3f932d4a8d1d113133b6026ac04f95c6072ec192?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Smile (with Alex Gopher & Asher Roth) - Vocal Mix,4SpXkrjuPnyErjE504cnFE,Étienne de Crécy,78YRbJhMi5kXKruiQGCJo7,Smile (Vocal Mix EP) (with Alex Gopher & Asher Roth),2cjuifDt6OjHxPj3NINWje,45,https://p.scdn.co/mp3-preview/66c3a9a353cc7e263047a02a39b8e1a265672723?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Adore,5z44PxNBSF4Bd50jE5K6Mb,I:Cube,2HNNSjjaK20NZ9PDZ2EMwU,Adore,0Hmwqb6SRtliaK6XbhUAZx,35,https://p.scdn.co/mp3-preview/aa621700c72d38285d204e37de0fdbbf0246a2db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Chrystal City,4lnsdLzmeSf57R94syFvJj,Alan Braxe,24JRvbKfTcF2x7c2kCCJrW,Chrystal City - Single,444j6T4DCWs9lzqDKrdjc6,40,https://p.scdn.co/mp3-preview/00c3bf5f28b7c01dc9d885ceb31c0254d12f3126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
