Top of the Rock,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,What's It Like,2IRrpZI9e8u2zZ9G7bd4MC,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,What's It Like,7MtpmCiFrErLflhwHtTZfu,24,https://p.scdn.co/mp3-preview/b1a055cc89ecc5d576b443ab3700fea432f6bd62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,.burymewhole.,3WOkCAnlf3qKYgMQAOb6SN,Dead Poet Society,31M8EXHYtEqOqVb1X7JRVe,.burymewhole.,3f5bcjAetjllpmnRxdBAkS,47,https://p.scdn.co/mp3-preview/badab6c412fd9e3299a4e0c1eb967fbec13dede7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,On Graveyard Hill,5yq4jlnSY5b04PmfRPSTdQ,Pixies,6zvul52xwTWzilBZl6BUbT,On Graveyard Hill,2lfB1Qx3v3IR2znbRWDfGQ,50,https://p.scdn.co/mp3-preview/224bca89d844381c92dc1f9a4c218de9fdd702c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Take What You Want (feat. Ozzy Osbourne & Travis Scott),44pxxRrhiDGuHYP5HjadGF,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3hcYCR2lbgpayA1Tjz7Q0c,71,not available
26,Synthetic Sympathy,5U87poJhGdDVROtitLtEyJ,Trash Boat,0XGJ3GUPwslwFJ66yNbHeh,Synthetic Sympathy,381HXBJcgKxxeRLYX8i9nx,49,https://p.scdn.co/mp3-preview/a93e4c1ecb2c5fa9674f59e8e06ba81c7ff04043?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Send Her To Heaven,3HbablKHLbUEpn04GZiOWU,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,Send Her To Heaven,4kN0SVgy0MShWKWpurdkBi,58,https://p.scdn.co/mp3-preview/2c5ff4a36196fe3e0026c86bbad1f43397644354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Neon Circus,6YovpsyQXADvMwoqR7E9d5,Amber Run,0MmnmsAuQKRFpo6vJElcaU,Neon Circus,1ASfP2XbZHQsRRGEAQaALq,57,https://p.scdn.co/mp3-preview/77875d01c28f1ee777b89dad01ed42e9dab0aafd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Damn Cool,4z32QSSbWAVYqnca6jjIHx,Skip the Use,6UWiE4V9p2HK4C74A0CGKB,Damn Cool,3A4s4lH35IIzvj7IphA8YJ,47,not available
30,Round The Bend,5FFC3dFmdG4FYdtadkJIAh,Dinosaur Pile-Up,4MQsNhP9u10g1xuxaJBF0S,Round The Bend,6SLydCpElwrVUfPbPBSoHQ,37,https://p.scdn.co/mp3-preview/ae814769ef5b423f7472434ff5625e416c9c7fb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Sorry,7CURMjvpE285aV8VGBhznH,SAINT PHNX,1Tdg7NIdyWx9icE2GNZzxk,Sorry,0lptWsj6UNwuRbcMg3WOfe,59,https://p.scdn.co/mp3-preview/5f431c56386b6d422d3ee323efb2ff9a5c9bed8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Turbulent,2ZD4ORPQl85o5QPU3EsSXQ,Waterparks,3QaxveoTiMetZCMp1sftiu,Turbulent,7aF36Rk20Uk2UDbJJ0zY33,60,https://p.scdn.co/mp3-preview/75d8f5efe9cc98635ad0648b331a268457ea4ae4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Unnatural,04YeXYPB8UID6N2Y9dkjbD,The Pale White,3uhfMjcE5HJqMIWh3Iolw0,Unnatural,7kEHEA5uxTq5anBwULduOu,56,https://p.scdn.co/mp3-preview/1addf8cc6c78e5eeeaa8e548b7b8cc79cf6c1969?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Record Collection,1xmMcAcwZdOS7r0Eurw15a,Kaiser Chiefs,0LbLWjaweRbO4FDKYlbfNt,Record Collection,663jtJUXhWADRwBLDZe3fV,54,not available
35,Living Proof,1Pf45EbaIsoGsXixOSYx88,Des Rocs,2kO6mP0olFJGGh6kvUdNC8,Living Proof,4cxcRLCtG8aEyKHMdvma9B,59,https://p.scdn.co/mp3-preview/52615906988c90990e4f595f84e6d01f59048871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Nervous Breakdown,0kyrAtwfjP4KgEdb1WI9Hr,Palaye Royale,0hAd6zwEgt9ILuMDY1prcI,Nervous Breakdown,6reCPkcKPoYp9vqEzkCqhL,51,https://p.scdn.co/mp3-preview/7152045045ba504da2393b0bd3957ac39a39019f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Maux,6TdsO3HndXQCZuhnpSv0Wi,Bandit Bandit,0A1HmlpMHsKQXyXkwoS26h,Maux,0uvOuynr20Z627RNyqvRfg,37,https://p.scdn.co/mp3-preview/7e5f79aefd76cc7a47a4dc074f1e9530c06389c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Dear Future Self (Hands Up) [feat. Wyclef Jean],3Fm4KEBiLmj4e3x4Qqv7W0,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Dear Future Self (Hands Up),7u4VcQQ0tr36gfYmwdtF9K,72,not available
39,Heroin,0leJYiYyZE6jjXCEVYUQAm,Badflower,3T55D3LMiygE9eSKFpiAye,"OK, I'M SICK",08VFvUyNPi6G0tc1d4DPU4,61,not available
40,Mary On A Cross,2HZLXBOnaSRhXStMLrq9fD,Ghost,1Qp56T7n950O3EGMsSl81D,Seven Inches Of Satanic Panic,6eOWfFjfBPRsAW0ZS4sbaF,67,not available
41,Fire,5XkKAhKvY8tnK2peTGXWcZ,Part-Time Friends,76mxGKWJzBzyHd6oX1t2yp,Fire,0PdpnKcNBNfteuNr0chuYt,39,https://p.scdn.co/mp3-preview/3dbc8faac0757a4475797751c797587ba48fae3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,What You Do for Love,0im1MaGNLes5Qo04udeQsD,Skunk Anansie,5HlXA01kcjssYDT7EoqUJF,What You Do for Love,1Kze0IOJ5pCx2wsywkevwr,44,https://p.scdn.co/mp3-preview/661ec836ee2547366eaa4e97c9fe47719e598023?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Turn,1JzVCEes8SDN1OTKJSrqBc,ROAM,0q74f5UdR3j14Lis4AKKxq,Turn,3npoKDLrvGIcTRpAOrbVog,35,https://p.scdn.co/mp3-preview/33f709cfceb20b05396be0f403e37fe70ca855ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,TRUE LOVE,5h9FtE6oYSoOARk4eEshhg,"nothing,nowhere.",7FngGIEGgN3Iwauw1MvO4P,True Love,5xau5DBaWV5WqO7KOopuo3,56,not available
45,better.,2iqpZ6Dl6we6zajEfn82JK,Super Whatevr,2kbAovdYb7krLSGdOrBMRu,better.,4DCkf4iVpRUIC21vmr0eEG,50,https://p.scdn.co/mp3-preview/9ddc2a4cefa919bee00ef6b81ecfebb2046b0cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Kiss & Tell,2YZrjrLRMfGdyue73N6BLY,Angels & Airwaves,7xklw3WodFZiNNmQt3DIgp,Kiss & Tell,1ACakLGeWspQA1SROEtr9X,63,https://p.scdn.co/mp3-preview/2f291dcb81074e3b8b25e9140bdeb7d73fc3d3c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,IGHTF,6nEvnNqDuMSvR3KwoOcp6D,The Hunna,7jZycSvTyx0W9poD4PjEIG,IGHTF,0ogoAjCNtiE1Oa7EBYha0K,53,https://p.scdn.co/mp3-preview/4aa2331c0b80b1c416ed800e791b26dca4018613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Too Late,427PK0Qgt7jtTF709mmN5I,Big Spring,5mGGqrCotZt5NvTxb6nsma,Too Late,2P5f9l6gugE5Brqrwe0ZSl,39,https://p.scdn.co/mp3-preview/881f4be639a159a507eeaaa47735d42eaef75540?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Into The Summer,105XI7vzHuwEmT8sILj9q5,Incubus,3YcBF2ttyueytpXtEzn1Za,Into The Summer,0uxj74YmBtR0cmnHGxIYmh,59,https://p.scdn.co/mp3-preview/314cb046465cb86caef417be78d57d0bef38cd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Tangled; Content,4NyNAaH7ac0dIai4HohK8X,Luca Brasi,7wNxbhLI5CufuLBy50JcZu,Tangled; Content,4yz12Oqb5DqzNvM5VZTYEg,46,https://p.scdn.co/mp3-preview/bef3e034b341e25986fc3ad0b4194e05e196db22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
