Standards de la Chanson Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,"Love Me, Please Love Me",2edyuIOPsZrZLBwnsC1u80,Michel Polnareff,7aKldvGENbL4bj8TCWHuhT,Love Me Please Love Me,68clUJF0fZaWSdmcBYKxGH,51,not available
38,Qui saura,3A3LBrCEXGcyUPPBjuaNKl,Mike Brant,1u9tovPnCMYuZiV3EMZqDV,20 Chansons D'or,6noK3tB0B6nRxFc4tFcF8h,44,https://p.scdn.co/mp3-preview/0680ce4513b806a86d4c60e8a7e7283c4bd2e61e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Les Mots Bleus,0iKhilpfx902LV9jUU5x30,Christophe,6MmRTVIPIe35OsFqWgRKQJ,Les mots bleus,46kTt80CYge3BA2IWx4WRh,5,not available
40,Il venait d'avoir 18 ans - French Version,1S39BVV8IFikZtlmPjchBd,Dalida,04aQfpx1U1WQEJkrvGs4ig,Forever Dalida,5x57Ce1LSOrBpOeOSecDqa,43,not available
41,Fais comme l'oiseau,5INFljqNxkfUkUajeXtBFh,Michel Fugain & Le Big Bazar,5KnLt0VENhwsfmQL3y2nsY,Fais Comme L'Oiseau,6u9tEKSghovMOBy9rwTMLn,45,https://p.scdn.co/mp3-preview/1262cfb2de5fb0268638af3f62fbab3da5fb5b5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tu verras,1YVd6hMLgMWk5wAfjFaH53,Claude Nougaro,115Iq0OjPxUUyWOIiF2pIR,L'Essentiel Studio 1962 - 1985,4Dp614rQojtU5SlmllzRCW,39,not available
43,Le tourbillon,0SfpHtKHFHryAbKwU6viHm,Jeanne Moreau,3rbOOc4VJ3BFxQXKppOuQP,Succès Et Confidences,0sGNevmIelEj081PXYL1Xt,5,not available
44,Salade de fruits,028I09aqplLUYRJXGLAPNq,Bourvil,14kYvF52x0QjAkBjPAQBlm,Salade de fruits + 29 succès de Bourvil (Chanson française),25mVw0jBpfwJWrvnGYpwo7,41,https://p.scdn.co/mp3-preview/1d30d1b410f68a1889506c78c5cb23bd45ff90a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,La madrague,6S4VGbTsHYtqchpkCx0kxW,Brigitte Bardot,1q24xIsAD7JZuVkTLR9TJy,Bonnie And Clyde,4bUHEvMDSA8Y0uIDco133a,4,not available
46,"Vous permettez, monsieur ?",0BZkhtJceF2dcvazRrfguv,Adamo,26ycUCO6mpGAZPw9yHzhon,Le disque d'or (Remastered),79M1hsJkTEt1mOfiIi97Qh,37,https://p.scdn.co/mp3-preview/0c938b81f614a0ebc1bb480c9f3572b15bb790d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
