Lyricistes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
12,Sur ton corps,08uNL8vAEMwZ9rOJ2t5GR8,Tsew The Kid,0SXZ0s0MoLOjw4Af6i3OGC,Sur ton corps - Single,09N8vJtr6qalO9yYpif5wq,61,https://p.scdn.co/mp3-preview/8cd76c590f771cc53f49ba3f3f54bfa01e7585b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Olympia,6wCIbbxnvA6VdULueSBryh,Scylla,7fRBY7RRf4iMn2Z4bhZcYA,Olympia,0r35aqGhYQwzerU0w77oEP,47,https://p.scdn.co/mp3-preview/70a332795e9a7f710229e6e5c20c266bef609331?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Noir et blanc (Prisme 4),2T9Cqry6lkzKsdq6SDI9Na,YZLA,7G4YNmyV2c3AdWJrAkJ79E,Noir et blanc (Prisme 4),6hpG3zSl3UDZUxOpzz8zXv,39,https://p.scdn.co/mp3-preview/dd28f14c95191114512456006b3e70eae585083d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Cœur noir,606Z2amn27gt0TpQS5It4V,Falcko,0U4UrgHYuU5CiuJoMZf4fl,Cœur noir,2Ifz7gdivrQC0wNj6p1Fvi,48,https://p.scdn.co/mp3-preview/cc52f0c4dfbff31a138799e279c4c7c1ec4d60ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Épisode I,04lQs9bQ4THTjp9GmBa7jM,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,Épisode I,6G2VgRUKgQKFAENKVmFLMP,50,https://p.scdn.co/mp3-preview/65e452564380ad53a850e53c2117e066f8f28b83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,24H chrono,4V4Q9MrfgxA4JuMIldLCTV,An'Om,3rF2ZcZCcwYluO3h9wRP22,24H chrono,0F0RABl9x7zXMrbdhiRmVK,48,https://p.scdn.co/mp3-preview/55f5df46625ca1dac8bbe7f9682df5865d2ccdca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Tuer un homme,2YdTI9aMeNOGe2WymfLAvN,Kery James,5ydAcIK2KdpBIbL0yGFJle,Tu vois j'rap encore,0gbPRDSW3nay22odq8WJG3,50,not available
19,Spécial,6nEwgwGFAhuA2CPWrwfWq1,Simia,57dGH4c5aKHr46UJqCDEev,Spécial,6xSssdnoALamn0LOZIMhNr,38,not available
20,Omotesando,6U8x10fQSPHijvXEy6K5wU,Iam,56Q6weEROZ1RsVrTak8Bm7,Omotesando,2KumJGEPMgHqZZkBPBR5XK,50,not available
21,Placebo,17jlkHSNHFu1zUuu8QZyOW,Dinos,1QPdp5duV6lV4XINCzjwQ2,Imany Deluxe,2kxLG2zY19L7YWG5iWLewv,64,https://p.scdn.co/mp3-preview/c507b4faf93846293a86f1a1e1d5fba833b59de6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Elle pleut,4kqsT3yDyJr1KZ2AkM9qfD,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,71,not available
23,La mort a du goût,38qjw0er6mPkYoMOwizWAY,Bekar,6wjkiUBMMYSIx5UBTp7eKC,Boréal,2yIk8AnQH6AUpirQ2UE7yk,51,https://p.scdn.co/mp3-preview/907ce3c7849c45fc8d9e9efb4943a66916f98bf3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Blue Lights (French Remix),2is3sT9juWji2uUZk63g5E,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights (French Remix),58rT0Elts2H7sNqJuaie0B,49,https://p.scdn.co/mp3-preview/a645ea17118faa582b72c0ad71b88486be06db3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Là-haut,6v44tCrWqlc9sKJnyLXOeb,Hugo TSR,4wuKH89QtnyauwNpBMp5RP,Là-haut,3MxheZgH0tPFa8Tu19HZva,0,not available
26,Minimum,2fcbhEAbZaqf6YV271Y3Nb,Lasco,3dJuPTbC8aP88uCs6qB3Ra,Minimum,3PuuIQGmRg3We1TQ0OaFrZ,51,https://p.scdn.co/mp3-preview/5a6693d2d698b109dc15b845a27c00b0f0ad518f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Enfants forts,0Hws9kdjOQUPag2q3Pj57Z,Medine,1afjj7vSBkpIjkiJdSV6bV,Enfants forts,6mjpa2T4a5or12tauqGpwb,53,https://p.scdn.co/mp3-preview/9c192d0ae2ab47344f9546d9c4ed84b0c74c51e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Épisode II,6HZRxU1Qe2SCDKysFrtOnj,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,Épisode II,4gQjsuHRjMP4TTWuiFzv5z,36,https://p.scdn.co/mp3-preview/6cbe533974d6def6ce8378bfceddb9bdbc45a20e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Takotsubo,6La7yrDZgV4kYOk1HrQZvs,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,66,not available
30,Le bruit du silence,4by9RkVOiNRaRtCMQi9Jnu,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Vidalo$$a 4.5,4qhqM3mPCKbg3jufD4J4Jm,53,not available
31,Toujours vrai,6mjF8cSsWb7eGIEYc7nEqj,Guizmo,6sYR8JTRUUUzSD9IydLhfG,Toujours vrai,3UdkOhKx7dTbr69m2yZeo1,38,https://p.scdn.co/mp3-preview/80ca224c51dbf9f40a98c8d733ebf7fd9ba1eeba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Mama,3XbxOKMhF5DnOYue7JMsYm,Maes,6L34dW6SKMSDaGIfYDU19j,Pure,0NWRomvFbud94rVL89IpSr,64,not available
33,Personne,1Yl2lUJ4c7HmoqnbP1LSE3,Kemmler,7hChnO6TKesBmtbTFFjYbP,Personne,1fKYIplKFx4s6TqGlAIhEi,40,not available
34,L'enfoiré,7Jt9gt9N8KC4s7gZVyLdyY,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,L'enfoiré,6wO3lYes5ZC15FFXu0CQ3h,1,not available
35,Amour,2jpXijQ69KzzyxOhPxTH7w,Syal,6znfTcuzfWx7if152v6f75,Post-Vitae,27DQURRkYobavVxr7mvExo,39,https://p.scdn.co/mp3-preview/57fef746c8e1484d9728ea30c3afd012464806fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,L'âge de bronze,0WfOyAzYtVFEgovUrELKPF,ATK,4nOixYyTN15ZSzPSna2Oah,L'âge de bronze,6gnhWWt0axKd9eFRQxySjL,37,https://p.scdn.co/mp3-preview/2e737ac2cd574dccd3275e4bdbd67cea625b23d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Noir & Bleu,5lGaaRdiImolGH1nfX1i8s,Bekar,6wjkiUBMMYSIx5UBTp7eKC,Noir & Bleu,0LAdHR1iZsAlSejIjRneu7,44,https://p.scdn.co/mp3-preview/fb7c88a8bd6af935c055c078b3a52769354d0c24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,La vraie vie,3OJ4epaVBzDyKDuGLcUcJ2,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,La vraie vie,5UlVqWNUFMxF7vtiF8uTdZ,0,not available
39,60 années,3mqq0Z92V15UZX4veTK1C3,Damso,2UwqpfQtNuhBwviIC0f2ie,Lithopédion,7JJ1Zqwc0m0cDyXXodXCqb,55,not available
40,Djinn Amoureux,0bUjBGUbrywJA4jckFPWQC,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,Djinn Amoureux,1ysygCDN0gSBbdcdyoWKaU,51,https://p.scdn.co/mp3-preview/02182f6696483380445d143b7a14c7c7a732167b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Rétro,4AMF9s5sYpdlPNvymgibuf,Demi Portion,3xQiLcsmj0KCiFtconY6Dz,Rétro,1yUHmOocxupqYKPzF8vyK9,41,not available
42,A chaque jour...,0Vi7aOPdOU683VUfZ79c0d,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Vidalo$$a,3w42GJy0SkFff2r82sSFLm,63,not available
43,Dark Sky,5lPry2mW24xIJqlhZ3PUtO,Falcko,0U4UrgHYuU5CiuJoMZf4fl,Dark Sky,2RBV10XigClanc1d5yCXng,42,https://p.scdn.co/mp3-preview/dc6f1d364c9ce0b071dd0138c718d528d8306d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Les étoiles vagabondes,1FN3Bo2tGTBxvEb5b83vFV,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes,5eLZYtCXkFIsOmpVc7vrI2,37,not available
45,L'intrigue,5suw9aem6Uap2wvNud5anj,James Baker,0enzx5Bq2F7Rq5BN9kWXJl,L'intrigue,70RMsSrbuBE4WH92UofYcP,44,https://p.scdn.co/mp3-preview/1b6ea3b73732f4dbfe841c36c686451da5bbb257?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,HRTBRK #3,0SPr59RmZAk6wNuWfUgruO,Kaza,4MRRW42s9ymwa5zu4xTKJh,HRTBRK #3,5s9roLtlWkRGaqf4j4mhXB,62,https://p.scdn.co/mp3-preview/539d37990f8cc79dd2f444c10178fe1afbbee507?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ma dernière chanson triste,4mtjfzEig3HWkXegZ5lejc,Lonepsi,5iu7PzNW2d8xKOE8IsXgef,Ma dernière chanson triste,24YEpSV9X8ONMawmuz5ZcZ,52,https://p.scdn.co/mp3-preview/a59b8ae834d9844e702e7203475a5442c84fa0de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Jusqu'à ce qu'elle m'aime,2gRfMjmWNXbb46FC3ObkwY,Sultan,5gdrTDqKDcfO1Dkc5a9ppZ,Jusqu'à ce qu'elle m'aime,7mYeOOYtwd8L6LESwxznDw,51,https://p.scdn.co/mp3-preview/4a9a5d8921284fa14d8459beacfeca7e5d8f79a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,A qui la faute,6CjCgvpjrQvEwS1dOpmAqr,Kery James,5ydAcIK2KdpBIbL0yGFJle,A qui la faute,4qkaujaaXObr7pvQePRM5Y,58,not available
50,Le temps (bonus track),4lIe1ZAtlgsrYz1OkVSPPB,Irvin,1dlgawRlfLMsNMhlK0F7K2,L'impasse,4kjYbJnpz3cdFsBryQFRaf,36,https://p.scdn.co/mp3-preview/89c8ff8c1312b935726107ca43d5b18544f27913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
