Electro Chill,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
31,Le temps est bon,0xh5kFdNkx6h7K1z7XpDqX,Bon Entendeur,2lwjwKfYZCuPEJOo8t32CD,Aller-retour,4wZDcd3YCzbJ62B4ejoevw,62,https://p.scdn.co/mp3-preview/2212fb1bc5dd44d32fd728975e9e0fdea8ec81a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Snstvty,0BUqmsbdo6NNrxrkw14e5g,Louis La Roche,0a03X57i18eG1yBzpmhZAs,Sleepless Nights,1vthABfWJn3lH5AsU9vxgG,53,https://p.scdn.co/mp3-preview/6f46c8a8db37d1863d84e3a384948fc2d7be9b2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Always - Alle Farben Remix,5rAudXT5pi2yRkpWXBN7kc,Gavin James,25tMQOrIU4LlUo6Sv8v5SE,Always - Remix EP,5xhwNKZkuwyhIAu5bsD3Jf,45,https://p.scdn.co/mp3-preview/2c5d536521701f66242193c51c0dbc7540016185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Take You Home,2Y1nYcVwVnPOn1FHZ0dc5L,Dido,2mpeljBig2IXLXRAFO9AAs,Still on My Mind,5AR3jURU3vmoJiGzpjY4Xn,59,https://p.scdn.co/mp3-preview/0f1ecd9a4e8ef2c82c1c4deffbd1a461afd11484?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Rue des Abbesses,4mE0n5TFMOjumdKEuuvs7H,L.B. One,42D00VQsIgAb68LZK0zWYS,Rue des Abbesses,3OCjJ4QS6QdhuMFAudGak8,50,https://p.scdn.co/mp3-preview/e4ea10d17c165036b1d0c2d6f25f1012098165df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Only Love,7DSBxP0sGTuEb249LMJSLY,Deepend,0uGApGjjFXKwUOAqYBeX7B,Only Love,5GrmSxhxJWCJupxzW69PTe,67,https://p.scdn.co/mp3-preview/977298191bd7d3647f650b95266b4558730ccfcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Cruise,6mc2ATpo0M1MKZD1Q4IBsI,Clément Leroux,3MttWEEoyq7W9MjHEBaKhG,Cruise,0ZGSvMZ4LZP4oP7ztL5v4U,52,https://p.scdn.co/mp3-preview/7b2b37689c28154b02655a408037241577c97f51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Let You Know,7p0tz5SeCrSxTLSvwR8W3D,Flume,6nxWCVXbOlEVRexSbLsTer,Let You Know,0JWZvxiJLvRQwqKL2IhcD0,72,https://p.scdn.co/mp3-preview/8a3b514dcde999454a20c4793b423da945456d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Heaven,09wrW4mdaoBrOFY6KSR94h,The Blaze,1Dt1UKLtrJIW1xxRBejjos,Dancehall,6WbMZYQ1SAU8HrgZSuH0xJ,64,https://p.scdn.co/mp3-preview/9fe0c1fa129810b6df903006a7621c5af5e292bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sensation,3nKxX6zfFneRwrQtC8mshP,PLÜM,4NTnwCK3RqTBH7TFIQrkfL,Sensation,51m5jQ1x5Mrpnx5IrMMee1,53,https://p.scdn.co/mp3-preview/e40a62e6e2e1142a68be54f56f0bd6b7485854b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Back 2 U,45HmeBTEso5TsTxbeTdllI,Like Mike,4pwXiI7Z5ZStkgKowZyoKi,Back 2 U,1RjchcetS9QNoniBJfWeze,10,not available
42,When In Rome,1ysP0xeOMwpdaPvYbZtBN5,GATTÜSO,3PlRvQnVE3XAbtHUNc4nic,When In Rome,3daubnhKaUTkjWO1DO310f,62,https://p.scdn.co/mp3-preview/f7800f0d04f03ad1f20645b474587773b3fc472d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,19,3TG3YdxmHvlpotBkGFvj4M,Lazy Weekends,1UxXVm3Hqcusvyo6TtYMWs,19,796gffDIyefdCn9ljIGgA7,52,https://p.scdn.co/mp3-preview/802e04cb56fdac0e4cd9e8f151101b868e87e502?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Bali,5Z9CifahteXT4xCPvUdRvc,Petit Navire,6BDW7vvisKbeM6jOioCcU8,Bali,4yn238Q3KMXiuK8Or3TGNj,49,https://p.scdn.co/mp3-preview/2fa689750ba8718d74756ebff86f2dac90bbf8ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,All My Friends,7sGTH1fber0bhncNMfNxmt,Madeon,4pb4rqWSoGUgxm63xmJ8xc,All My Friends,30X5rD2J07BzYmd3CKzZTa,67,https://p.scdn.co/mp3-preview/f5a1481b348f81ee3dfa85e6e4b5e64652e229cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Can't Even Be,3ng3FALSXYaZH2W6ksKjKn,Fabich,1mwP5J1kB8clYx0SoNL0uh,Can't Even Be,4w0zZS2U6Xh9oQcJVFaIdc,52,https://p.scdn.co/mp3-preview/91f62a3a1db1faec9426746b73f7c0910ce92d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Anymore,0oF71eV4S2WBkG2E9y6LRH,Mosimann,7sAqpkrQBaOkddsv1Tz1XK,Anymore,7q32uxXYwlANVrJlXZ1yY9,52,https://p.scdn.co/mp3-preview/a3b0513cc5443893aae6987bb3a094f8aa09d20b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Sober,6trgIUhEMwQXNGgH8CIEzw,Nick Peters,4Rm7UAexBAJqL3LHAUepbw,Sober,4mBZqJAaWlaBlhLKbikS24,52,https://p.scdn.co/mp3-preview/258176bc705994bf7c7af4cb53338dee2a949ec5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Want From U,3BB3VMWJqRqNyt5rplAN0g,Gil Glaze,6pNzdcgIaKQKsYNS5agP4V,Want From U,4UeFDj9k6sOeYfvjiEO090,51,https://p.scdn.co/mp3-preview/9f679508f41fe632198acb83132b2dfa23f11aa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Nausicaa,13ARZVj5BZAJCPfa0rOvYv,Fakear,4eFImh8D3F15dtZk0JQlpT,Nausicaa,0IBxXvX3x2SVTqpwkUZfZQ,57,not available
