Génération 80,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
47,Morgane de toi,3v6ClatJ2nG0TIpfL3HwY1,Renaud,15uNxh8omvRvH71kcdIe2r,Morgane De Toi (Remastered),0kXYiKUznqm9ZyFxhuOvBE,51,not available
48,Hélène,1CgOx7wQjNc3J4PDWpMKV2,Roch Voisine,77xlFule9mFzOWT9Uk80xY,Helene,17j0upE3twGFyKzhXzqrHV,49,https://p.scdn.co/mp3-preview/6a5932ed7d08b1c7da7dc5a190296a354745989f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Le géant de papier - Version originale 1985,3ytDpbRg7dyb0OuR9CRjwh,Jean-Jacques Lafon,49W0Ck5ChOQBRUW3rofZNB,Club Music 80 (Le meilleur des années 80),0I1py3jowAshmDjLxJkfDJ,37,https://p.scdn.co/mp3-preview/2886b729521ed281a09d3631f892c53dc9a2c666?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Casser La Voix,6GKfnB8wQhmCqsHmgDAkN4,Patrick Bruel,0vmrFTWCwK3gFGDzeUzeMg,Alors regarde,2BPmd6BmvLHEz9ieEJBSNt,39,https://p.scdn.co/mp3-preview/0b6ddd2bf234c2b14622b81c219ec18fd3b52775?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Mon mec à moi,1UZGVlCoNGQ6ps64QDvydQ,Patricia Kaas,4JQHNk6teUNYxC27Bg0UPI,Mademoiselle Chante,2I1n984xfOozMfDA1TGvo7,48,not available
52,Mise au point - Version originale 1983,5f8lRFlj2v46cFtIYxM2zj,Jakie Quartz,5wGprTHwvhRJpnN4vWlLDT,Best of Jakie Quartz (Le meilleur des années 80),7wNDJbcyCLy26KpmgUjnWG,38,https://p.scdn.co/mp3-preview/afb20554f72d7d97fd238c6c1b385e83abd05d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Laura,62QHmI9sZxej2o0ZUNePlz,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,Gang,68rZh6SfrK9JeYsJhTwDjg,49,not available
54,C'est la ouate - Radio Edit Original Version 1987,2dgbgBcWg5iKQ0jmChAb3l,Caroline Loeb,4zYAaouXzmn3A6XTC2Uqlm,C'est la ouate,3yiq55M0qGXWFzv56C8cXb,46,https://p.scdn.co/mp3-preview/28e61f21226175b939ec410c0c0e1fb73a7c42f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Pourvu Qu'Elles Soient Douces,2gNyCHDGyHrw3lCpT9LqlY,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Ainsi Soit Je,69x2VirNYhaRWQDxV1EX7F,49,not available
56,En l'an 2001,4Lv1Xqqu5vvl3jjiyhGn4j,Pierre Bachelet,473XDcWSxnSaxptauf6fg4,Le Meilleur De,5JFBGYglZem8jUTB5QOGSN,41,https://p.scdn.co/mp3-preview/2be5bed661ce929ae972906d8bb3fa71600aa5eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Les brunes comptent pas pour des prunes,0m3nRJ6mqWIY4LRvuy98n7,Lio,48sZWxnqspohWtxJNg7OsI,Pop Model,3wkTAR7eZXOmh7TZcpJzD5,44,https://p.scdn.co/mp3-preview/c9082f594945e215d2520bad44c6d505319d3a20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Les divas du dancing,5oKu1Ey6XNDXv5B3LG7kn9,Philippe Cataldo,587bioqEnZzulBqENkQNSO,Les divas du dancing,4S94Rg2UJeu1MvMBPtz8UU,42,https://p.scdn.co/mp3-preview/ba62accaf14d0ac0a14460de547429701b2ffd4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Maîtresse,6UT5PGqkKoUbEEgSJEdtqY,Images,6BGRCwCR7pQWXqWNhBE2vf,L'album,0h7NQszOFKKgJ1jacUpxb0,38,https://p.scdn.co/mp3-preview/c0af9780b8066c6825efd655049d441abfda806b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Evidemment - Remasterisé,1kYi6X7VMmU3rCiE2aWjV1,France Gall,22HVxZPA6UhBp8wahxDA6I,Babacar ( Remasterisé),4vYag01Wn4UHjtlWbz0Nn0,53,https://p.scdn.co/mp3-preview/4518edad9518d5875e805c7e0425ea314206dbc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
