The Pop List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
38,Mama,6BE3AlZoAVj6vmCxYANCtt,Ella Eyre,66TrUkUZ3RM29dqeDQRgyA,Mama,3Fsq7nbDz6DR3D6O4hV0C3,44,not available
39,Don't Leave Me Lonely (feat. YEBBA),68e673a92s9HYTeZQD3sBX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Late Night Feelings,6vdLdzihSWxV8FgWU2GSvA,62,https://p.scdn.co/mp3-preview/7493df16c5a41731ab01505466d0bcfd15c1740d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,London Boy,1LLXZFeAHK9R4xUramtUKw,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,83,not available
42,Wild West,3UqQUExRt3YlS4PNo5Thtq,Dennis Lloyd,3EOEK57CV77D4ovYVcmiyt,Wild West,3rOY8x33we7f3fUaFXmJig,67,https://p.scdn.co/mp3-preview/c88a633bda8832072188b9043f02d655e68e141c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,66,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Warm (feat. HAIM),6iW5pbOAevzr1h2JfdJYpn,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Warm (feat. HAIM),508n1on6AP7aJADtdndtpW,66,https://p.scdn.co/mp3-preview/09e6d9d504e151668e42a3b8251677550dab8d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Keeping It In The Dark - From 13 Reasons Why - Season 3 Soundtrack,2XtL4VAqehOQulLpf1sFVF,Daya,6Dd3NScHWwnW6obMFbl1BH,Keeping It In The Dark (From 13 Reasons Why - Season 3 Soundtrack),34kdsqSo8eVjo29lNLBCRl,70,not available
46,smiling when i die,7yCyhsU75MYdbeqRLhLY51,Sasha Sloan,4xnihxcoXWK3UqryOSnbw5,smiling when i die,5bHqzyMbrdJTLui0HQdRG0,70,https://p.scdn.co/mp3-preview/3da66e1004253e1ad83b53a16f59bc5628c55010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ooh Girl (feat. A Boogie Wit da Hoodie),1mKNyZCNDueEASgBgZuLdA,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,Ooh Girl (feat. A Boogie Wit da Hoodie),3wXCIYqdw64MOR8pJtKvPQ,73,https://p.scdn.co/mp3-preview/f8ee78c14d60018786ffc64ce86b4272bcb9802c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
