Who We Be,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Xpensive Habits,3lo6d7DEg5HJ4qbx1EQ2Nl,One Acen,16plk1BhihSieDutGFbLt8,Xpensive Habits,0Iw87aaJAypyQsAHM0w6Ax,64,https://p.scdn.co/mp3-preview/64dca6e9b406e138ea596af58b983b2b6f6e6389?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,HIT ME up,1ajFGbYanaAd90DsmoOIEo,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,HIT ME up,37531UdIIwuG696phWtXB1,64,not available
47,not available,not available,not available,not available,not available,not available,0,not available
48,Likin (Fastlane Wez feat. Geko & Yungen),2d60EEYYwqVyUmZRReYAuu,Fastlane Wez,5vSRVhH9sCTDwCGSV674Kt,Likin (Fastlane Wez feat. Geko & Yungen),0uZkLa2FMJfEWZrnrrTsNl,56,not available
49,Teardrops,4quLFynhSUFOO3em1GOMvO,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,61,https://p.scdn.co/mp3-preview/66085265556a5be01e5b2c4cf3affbb8d7ebf7ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Swerve (feat. Stefflon Don & NAV),6hPivJztvhis2q4nDVSePO,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Music x Road,6J41exElcUa6rK5SJmjV6S,62,https://p.scdn.co/mp3-preview/ebdf28a2868ecfe9490563b73628a74e4f84bd3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Wave Time 2 (feat. Chip & Nafe Smallz),2qDIUqozjOR5TkRQfw9TXV,Mastermind,7cebmXLpLp4Rk2eFI00ppV,Wave Time 2 (feat. Chip & Nafe Smallz),3rqnRIXXZ1FMZu0sUDw0da,64,https://p.scdn.co/mp3-preview/0a133204d120119d3189be5024254b879838bbc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Shots,5E4FppbOK38v0dE4YDSsnq,Jubilee,2J0nrQnGGAgPlgQz4hj7iK,Shots,39BK9hKZ2UKKbEMEiZ8qda,46,https://p.scdn.co/mp3-preview/2358bd03ee640e6f93de2125de935aefbb249843?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,That's My Bro,15yu9T2WQMY3xgQRTKzoJa,Chris Cash,1kD6jFU7bXAP1G4VBawHk9,That's My Bro,6NV9yZatsdHQT3YkcJcr15,46,not available
54,God's Eye,0iv8ymjzm36TvKGsy5fZEQ,Dave,6Ip8FS7vWT1uKkJSweANQK,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,63,https://p.scdn.co/mp3-preview/78f35d279e6db229074d6e9192ef2fac3f1b27a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Hard To Believe,2pQvgkGz5RTvdZN6pwPnDY,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/53459c7f24df26945311b4b6f6952c062d09b6aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Good Youtes Walk Amongst Evil,0o8cO4zo0P4UEpz5VTtV0U,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,58,https://p.scdn.co/mp3-preview/a25736a34329dcbfd8f7cf760d33d4191e23c9e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Flute,6MDdCYUPUdCkLqR8B81tly,808INK,1eSFjbv86usit5ZF5ywtLf,Noisy Neighbours,29meQXtN2qFiDGHJDgEawG,41,https://p.scdn.co/mp3-preview/5723ba4022b5c1d8a66374e2bd963748e1520f2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,Won't Be Late (feat. Drake),4v0FSMsulZqfi28KIdwDfb,83,not available
59,So High (feat. Fredo),5aubXDnDNVKA5pS7EnR0mp,MIST,63X1WKthLQidtqxxO2sgeq,So High (feat. Fredo),7lzPfE5rJUzW1OL1ZEVvJe,79,https://p.scdn.co/mp3-preview/67e3f4b22edcd274f2c33c710d6862fc4054d6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,"Lights, Camera, Passion (feat. Miraa May)",4MzwvXBPzWjTHPWN3nsYPV,WSTRN,5nSAh3wlH7VaqpnkiMjzDs,"WSTRN Season, Vol. 2",2WCm5J9l6jLoEYArfVxOsZ,53,https://p.scdn.co/mp3-preview/f26cd1079566000da4ea0e148b4248ad1973d360?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,I Spy (feat. Headie One & K-Trap),0TJxxb5DmfwwAJndnAuzEn,Krept & Konan,31lnFZEM6ysvjOx59VyxRE,I Spy (feat. Headie One & K-Trap),5TlLwAmk28kv24iqYE3A8B,70,not available
62,Already (feat. Tyreezy),4y90aFUvxkibo5m3XUzaBd,Aitch,2PJEagPIxaBugeMjIyKVXF,AitcH2O,4lyOYAUAPXImW4OCQT2wiP,66,https://p.scdn.co/mp3-preview/632f18e0d312965093d84df5b128d774519c7186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Pantha,6jJtDzgOclUxvKDVto29sy,Dappy,4q6hTJmeYXCwp0ivdtoSWA,Pantha,4FTOYw6jyIBknIhPHmDJTc,59,https://p.scdn.co/mp3-preview/0e728ad6539f7410cc1395686033983c22cdb41d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,88,not available
65,I Like (feat. WizKid),5s7j77zpP6e9uz2Q1DU851,Kojo Funds,2o9hRZ3xI27UQpHT61A4Mm,I Like (feat. WizKid),7b57oWMZmdG8wjwjtRiKSO,69,https://p.scdn.co/mp3-preview/79c2c194926a5a4eff309d89cd47d9e9f010b731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,not available,not available,not available,not available,not available,not available,0,not available
67,Let's Go (feat. Rv & Krept & Konan),1GGetsB4xUWR6FQxYaOkTa,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Music x Road,6J41exElcUa6rK5SJmjV6S,59,https://p.scdn.co/mp3-preview/529a3dc41d8c3bb0d892f014017dcbaff3323270?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Patterned,2QVV5GuwyXMgx5dzDlRGVK,Big Tobz,5mJzAPLj72Ifm4MdYS08uK,Patterned,27pMZXXPScP62nIV5qn6eX,53,https://p.scdn.co/mp3-preview/336ea6d69ac7d189f6bc894fc437c5a06cef8fc9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,88,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Only Right,0oAKuclBJkDaK8Ec8py3lU,Ambush Buzzworl,7fpQ6NCdteN7GLIpdFXaKV,Only Right,3t1hPdfuA8MRvYFcoSjpIY,56,https://p.scdn.co/mp3-preview/e5b2c155e4e7cb158432eaeb21403b769647bb51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Ladbroke Grove,7b4ky1LlQLFhXHmhZkFgqV,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,AJ Tracey,0vrKGjXSGcTsxNGxQdXT5p,83,https://p.scdn.co/mp3-preview/d9f524a216cfdbee1ebfc063a7d3ecf09caf224b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Mojo Jojo,1vpsl4k9UHfJ4af4RpuAMG,Swarmz,2yPprAQlrIQWu60g09B9MZ,Mojo Jojo,1tgAtVii6Jx8N1onZDolTe,62,https://p.scdn.co/mp3-preview/582c7f7d62fb9c0dee9e2201c009e6f16372ed14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Stay Dreamin - Remix,62Eme3EQpCHnhHgqs17ZWz,Wauve,6iJTgr51htiTuj3r1cFSFO,Stay Dreamin (Remix),6bIU5FUjg4HqKQn1C3dpbY,53,not available
74,Bounce (feat. Wiley),2Izg3XBcqquXR9Vy4MVdKX,Kida Kudz,4wrFUdBKN4RBMtC3ZoLVdw,Bounce (feat. Wiley),1YztCjxD6b7SVojahJ628E,58,https://p.scdn.co/mp3-preview/02efcecb917cc84ce97263229057f583a27bf8ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Night & Day,0ky8IwhR9d0xR9VkZeujuR,WSTRN,5nSAh3wlH7VaqpnkiMjzDs,Night & Day,7JmeP76cKO4MGqidKUjdWE,56,https://p.scdn.co/mp3-preview/3c31b305c3e35eb036c5f62ccaae7a2f02ec2a6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2Xqs4kJBrZAHN1XVqy9QOK,87,https://p.scdn.co/mp3-preview/dd347607f1db8efba0a312403853ac07ba412ff2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,86,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Grinder,59mJHRLdVDqY17qwO51Cnm,Johnny,6XdjRQXdgODOO9ZhOWsow6,Grinder,2CHRwwi6SHZMGjQjv9QKvn,43,https://p.scdn.co/mp3-preview/f446a1f5ba755900a7e029d005617e8e348192da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Juicy,7qvsl2pYzrsYgPeFBN5jxp,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,4gr1eiDfKDgoXT9HX2EdNT,78,https://p.scdn.co/mp3-preview/ea22758b8b6aecceb7a2c30b9b2c0807a81d362a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Drama (Mae Muller x Ms Banks x Caitlyn Scarlett),1hpjq4Mq6fyCZBkZZhNemr,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,Drama (Mae Muller x Ms Banks x Caitlyn Scarlett),7HiOmZ4LiV5O32mF7BaFyN,50,not available
