Roadtrip To France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
45,Main dans la main,4v7uhE2htIC0nlYDDQKkWx,Elli & Jacno,2SLSx5dDC74YTL45mzFJOx,Tout Va Sauter,0u0d5bXO1Gudh5EHY5QmEY,29,https://p.scdn.co/mp3-preview/6f22217c52c8ab28ec0066ac7be2195ddd5e2cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Tous Les Garcons Et Les Filles,2jyPWk2fiiYPyHl4zv0YK7,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Introducing.....Françoise,1oLs8kkhMAzvb6bgIAzKql,14,https://p.scdn.co/mp3-preview/2153a60190dba7cafbc67db104293f44c582aef5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Poupee De Cire Poupee De Son,6hHbNqaJeMLX3EbRErFtrA,France Gall,22HVxZPA6UhBp8wahxDA6I,Solo Ellas…,44AEXmvh7koWs9puxTXa2N,4,not available
48,"On nous cache tout, on nous dit rien",12XVQntifdwWoFuG7wAOCz,Jacques Dutronc,3ayds6VIVBx3CU5NSNCDbq,En Vogue,2nGL73TqdduRKepdcwJvdm,27,https://p.scdn.co/mp3-preview/1c06e40c312a704124c5e183a74dbf8c6ad900c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Madame Robert,1e7cBZdHkOy0zGVgSEqCue,Nino Ferrer,3THqHCN7gq2Z9hLleof9uv,Satanée Mirza,4aApwgo9T2Q7I7Yyhz0NhM,0,not available
50,La poupée qui fait non,3OqYJWnF2v4B88YHEPuOmD,Michel Polnareff,7aKldvGENbL4bj8TCWHuhT,Love Me Please Love Me,4V5xtW0tFqjJUlAWHHv1Rg,5,not available
51,L'anamour,5V97gYbdOoulA0hNx6GeRS,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,Double Best Of - Comme Un Boomerang,3ikheuf2MSfLP17Gd3wjfu,5,not available
52,Le Matin Des Magiciens,2hiokz4SLaCubWIjoc8fnO,Martin Circus,0pNjQDSNKLgvRkFO99TNHC,Story,3PbUcUMUeBOGQmJxXtTVZr,5,https://p.scdn.co/mp3-preview/af5e08e614f763ac0b2197616dcf4d035377190b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Love Song,6C5eKXBl50VX9yG8Uh46Fm,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,Love Songs,7rsSJjq7Cfwbax29K8UpnJ,35,not available
54,Les sucettes,4m2hTNedVd8FcWwvMBr9vZ,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,Gainsbourg For Ever,146YcBZelupmCektKSw6dj,0,not available
55,Elle a les yeux revolver,16N214ST5alMeUrpp5wk2o,Marc Lavoine,3K8EYZ4Ltg6ythgGZzrFXf,L'essentiel,3iHQMGMjWkWlWZ29jaTJPu,9,not available
56,Rimini,4p0cmtj9DqpNZIZbE1epTr,Les Wampas,2nsGWZA0LtO7istBNsyNTE,Rimini,6HC0CN2B3AvxL1S3zepOIq,19,not available
57,Toi + Moi,5KCCzP4xKWoWN6k6iVCYQM,Grégoire,1WycOcJCIRAH5xyzHXtp1E,Toi + Moi,2ZxIpsfgIZDByVBjdJK8Rz,3,not available
58,Ainsi soit-il,0QyZr2HXSVJgTci0DPfcB9,Louis Chedid,2rBb2WwvpcIHNiofmw22vn,Ainsi soit-il,16vClA3h0HIZSy6O0H5yyU,35,https://p.scdn.co/mp3-preview/aecb1518543eaab9b21177aa1a1f108d1b80d083?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Comme des enfants,3xuGzgRYAXHmj0dT1EOtzv,Cœur De Pirate,2eRNMtoi82UZUuaL6naDjA,Cœur De Pirate,71fry0hY8cte1dlWqIhPM3,55,not available
60,Sous les jupes des filles,1ExhtZAbfCTheNNrbdZxBy,Alain Souchon,5LVp2pGNzmOQqXzziBBR5x,C'est déja ça,2aZRmXEvD458ZCk1C0Wdu5,41,https://p.scdn.co/mp3-preview/3cc8008f43572e5f5b5a204e8ae062d5f3c15ca1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Duel au soleil,5aU8bI52mta2qx6Je2w3se,Étienne Daho,5aDKJuLDczfmHfRSOmHCJk,Best Of - Daho Singles,0LuDyLoFAq64pK3gQClJVc,0,not available
62,Mirza,09KIsSrfka411liNgOj3df,Nino Ferrer,3THqHCN7gq2Z9hLleof9uv,Les 50 Plus Belles Chansons,1UI2YC6F7ElJVYvKfW2Yh6,0,not available
63,Le Temps De L'Amour,3UGd0HqXTlE4s63oxNUGiT,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Francoise Hardy The Birth Of A French Icon - The Early Recordings,49PhNzXrgfZTHMtgeGvFTy,31,https://p.scdn.co/mp3-preview/dadb081809bbf0cc5a5c7b1a3a7f0caf1e8db5e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Diabolo Menthe - Version 1979,59Ku6F8WsnBvqOtuHtiYks,Yves Simon,5mO8Od69mGuyF05i5ynaSE,French Classics,1s5iGDd8mIwaLmd6rJtmcl,0,not available
65,Elle est d'ailleurs,17jqKcsnznw38YtAiGG3S5,Pierre Bachelet,473XDcWSxnSaxptauf6fg4,Le Meilleur De,5JFBGYglZem8jUTB5QOGSN,40,https://p.scdn.co/mp3-preview/1ed624d261293e6e8399387d4fe3dfd71b292012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,La Vérité,6a0sOrzpggtehWD6r56aCb,Frànçois & The Atlas Mountains,1mHTS3stAYCszPZ2PRa8QU,La Vérité,0PTbMUuTjkohV5vzFgZACk,0,not available
67,Moi je joue,1eC8rNNzn2TXQ6zF2VtCYU,Brigitte Bardot,1q24xIsAD7JZuVkTLR9TJy,BB 64,4ZS2PROQSiGW7c5Uq78oHj,24,not available
68,7 Heures du Matin,1S3YjMgKItd4QFkx1OMCkm,Jacqueline Taieb,2gaXk926O69Od01e5CSFdH,The Shangri-Las & The '60s Girl Group Garage Sound,2msSx9fkpIBtgddk44cJ0Y,0,not available
69,Betty et Zorg,1UBgCHVZ8EXNDSne890hZ5,Gabriel Yared,6quKdQHmx2x7FBJwLhmpmB,37°2 Le Matin (Original Motion Picture Soundtrack),49B8Fzq6YJcSYJsbYkVSR0,0,not available
70,"C'est le vent, Betty",6lIpXITYgsdw1HEC5iAzFD,Gabriel Yared,6quKdQHmx2x7FBJwLhmpmB,37°2 Le Matin (Original Motion Picture Soundtrack),49B8Fzq6YJcSYJsbYkVSR0,0,not available
71,Bélinda,1jA7QLC5cFedeKOlLyAdEX,Claude François,0P2p1bqVyP2EgqubwjTBUJ,Les Plus Belles Chansons De Claude François,6ee87DJAkjCghFeSVSCnx5,34,https://p.scdn.co/mp3-preview/e4dbf55c780c6f2ca9511b4ee3a2c1582f35b90d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Pour faire le portrait d'un oiseau,6an7mu4La5Npu236M2t41Q,Yves Montand,5ru2x3pjrNn67D22BRwlFP,Hôtel Costes,0X6blR03hiu6gMITFGSptL,1,not available
73,Un petit poisson un petit oiseau,3uW9IEZDNsFPX477BHFqD0,Juliette Gréco,7j237zyOedtfrugnWFJKOJ,Deshabillez-Moi,2xh7wLwWqXcFWPWEA4Vitg,2,not available
74,Zou bisou bisou,4qqf1avpzRUnVowNQd1jFw,Gillian Hills,3uA9RwNUL7HZKroYyVlUuL,"Twistin’ The Rock, Vol. 9",0MSicRahv1o4WgJ6pXjUkg,51,not available
75,Sans avoir rien donné,5osrxP3wFQ8LcfzoRwwA7E,Anne Kern,2aNyTq7lpxuT3oLdJMFtOg,La Belle Epoque - EMI's French Girls 1965-68,5etrwdUj5I4qj9rlGNPJR1,17,https://p.scdn.co/mp3-preview/f86962293d262881d8363dc9ea6e674eb9ccb354?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Les Mains dans les poches - Véronique Sanson et Les Roche Martin,7JSpm7ohbWQ3TO1ga0IoVt,Les Roche Martin,5529h4HoxiXDqDOwAZbcL9,La Belle Epoque - EMI's French Girls 1965-68,5etrwdUj5I4qj9rlGNPJR1,17,https://p.scdn.co/mp3-preview/e15934638675296200241f2250bae5fa54fe04b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Robot Rock,7LL40F6YdZgeiQ6en1c7Lk,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Human After All,2T7DdrOvsqOqU9bGTkjBYu,57,https://p.scdn.co/mp3-preview/9ec3a52390ff23aeb2ce125591839ef16be18abb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
