New Pop Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,85,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,like u do,2RcgebJEH4jPjGbhNRzdCP,Marian Hill,1xHQO9GJIW9OXHxGBISYc5,like u do,5FovovKyR2586SMPZvC2H0,17,https://p.scdn.co/mp3-preview/24ea8bbf4e9ae69df991799aff1b3473c11822ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Don't Say,6rHC7eMaQDDpbm29WuuJbe,Robinson,38CvLGTsjtoloDgv3OKQp8,Don't Say,6yYmVFP4TaBffBvA604Ney,60,https://p.scdn.co/mp3-preview/2f5c14b5904434f0bf26cf1fb0bf0a7384d7df5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,waste my time,0W3mgC3fJr3f2Bl635yyNP,Silver Sphere,4xjJOu0MWVWuaDVZOy0Dx2,waste my time,4lFFEk5py2EmudYrAqxx3j,50,https://p.scdn.co/mp3-preview/7675caf1bec9c07ee7339152b0c22a72dbdf70f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Fingers Crossed,15sorfdMGuiCbMeTyXJEDF,GRACEY,7xBGi7Eign0fX7jGQj5KlJ,Imposter Syndrome,6iUoY4khlqLoEH9hEOf8kO,42,not available
38,Easier as Friends,360avnWXoE7hNv6SBf8IY8,Lucian,5CVsjwjuzUOrlEc2OJbUg4,Easier as Friends,5FhCnvZ9Nnpk3VMXUU7PNR,40,https://p.scdn.co/mp3-preview/f49f91e4ff5e6381db72f72c6f528c9cdba80084?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,It's Not Over,3D1vvDHxq2mS8MWQvamrjz,Kellimarie,2K01x5K9fEiK56aUxlPsbC,It's Not Over,6mmlizz9XGrUbA3Ptr6J89,1,https://p.scdn.co/mp3-preview/916d79e1fb8c4e3cde2c5e4c99cd54ee1a90dbf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Fresh Laundry,58wvg3uUCrYjvkyoOPLXOa,Allie X,0wnYgCeP013HkKoOyC5V32,Fresh Laundry,7kkOLHIC9Nmi6YUyc4khGP,56,https://p.scdn.co/mp3-preview/59bad4750058cfae93965219e0998ae07e75438d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ride This Train,1QdkFhpTWdljqw70xgyRwU,Millie Turner,53GC8IrnkJXGO7znOiv4tD,Ride This Train,6e99XopnLYiSeDY0F5g8DK,46,https://p.scdn.co/mp3-preview/fa9566e4c2e70fdfe46e9ec28517a08b4bbbcd93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,City Sun,7x6ezaY86qlE7y281DxplA,New Atlas,6lb9K0zUav7keOMsR6GZ8Z,City Sun,46QQ5UCqoN3RH2XXpOgZeL,38,https://p.scdn.co/mp3-preview/98409d506e211f70c36490150ed0c9f0fba7ba50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Paranoia,5gSDNRb0J4gSmfim4bNywi,HEX,2XfxJqzWxfNSBNIdmVeNLI,Paranoia,5lA38SAhahK1wtuMwJ8Cw1,50,https://p.scdn.co/mp3-preview/04d245161cc75fcdc292d412cb9bab84d7844207?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Stay Happy,7tuV9cleysQqDPQ66Z5FpR,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Stay Happy,2gzQDEHz4p1iJ93QY0ZIYj,58,https://p.scdn.co/mp3-preview/0ce3f64fae8ecd13ccd8e92b27f28209edb2943e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Boys Will Be Boys,70exbZDzS34CgTHZv4GMZK,bülow,5vBrKGOjN10BMwB0cJADj4,Boys Will Be Boys,2rX8Den6I6W43KO8FaNL1L,64,not available
47,A Little Too Late,3RyIkTTXNBgFlRfjmPGAcw,Jimmy & Verona,3yrdcQ7nUq5SxJZG3hcDZh,A Little Too Late,42jZzUyWw7WskXj95py2RR,0,https://p.scdn.co/mp3-preview/d50ca54a1db3b142a7089c4781e20849614f317c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Talk Nice,5GZ4TWUVuQeA3xhSkTf5qH,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,5McUs3kD5JytbY7H39Ori0,34,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,@thebackoftheparty,6O823D6FtOPFOcNiZZybAq,push baby,42TwJzIZt9eGsG1njt7wET,@thebackoftheparty,2T9HQ9E4ZxAbHPUmCDqGpQ,49,not available
50,Love U Like a Human,6XDuiaa0YOu4yAiwcmlDo3,Dirty Nice,4MGA6AM4iZ2HYc6b77og9g,Love U Like a Human,05AW1P2tLxOALTjpN9ZaLo,35,https://p.scdn.co/mp3-preview/f9921a358cd72709521f41590546be7c6486dcff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
