Women of the Blues,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Outskirts Of Memphis,062xegh1dDwl3JutgSY5EI,Shakura S'Aida,1k7Twp5a4e1lULiRJy6BXw,Brown Sugar,4zy98NQMSj1pRXkF3qhNd5,35,https://p.scdn.co/mp3-preview/d0a44d60031fc001c387a1589b3b64055da3ffac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Spare Some Love,7lYWr6C3mvaj8jMUPAhABP,Cassie Taylor,3rHAg1yXbyNq0mnPgsVahe,Out Of My Mind,7CJW9YnB3go0zg4oKYc3sD,27,https://p.scdn.co/mp3-preview/3a0e0ca49b16e8c4e83c59ceba8f5caa02a31cd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Open Eyes,27Hps0EsBwR2ImKIiJfC95,Carolyn Wonderland,0XhsEmCqMW2k9yMl4o8t4n,Moon Goes Missing,3HTWMRiLGpWPb0YYNAHprh,36,https://p.scdn.co/mp3-preview/424656a9edc93b14b76499ee7f03e4ed9c3476e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Back to Blue,5zptfX3tZMcCcM4VXaCPLZ,Janiva Magness,3igRFmvurYBLvQ4aYliwXg,Love Is an Army,4uFhns7SLmcnhf6xHCUI18,2,not available
14,Fish Outta Water,0otTCVBZRpLduHl1ogOJ0y,Karen Lovely,33PWKu9VjoLVGC9j7xT2I5,Fish Outta Water,52Hy5Ucrx8mbkOAyH9P1Qg,35,https://p.scdn.co/mp3-preview/b3df78fe53faa29a1cd016597ebf2d3cc99d8d08?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Now You Want Me Back,5dd769kGy644G8xYkdJJZt,Ina Forsman,6YVaWx92qxstwulKJXqN2b,Ina Forsman,2jlehXrLv0Ry0QaugJYx6Y,36,https://p.scdn.co/mp3-preview/baf0b0e32a346c99236c7ee13f481983b451971b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Stay with Me,3ZFwoOTjcVzVOcFM08NsjG,Laurie Morvan,2ONUJ0UH3CbpcWMzIFiveG,Gravity,398jxHU1B54yCJGOq4Iiyb,33,https://p.scdn.co/mp3-preview/6e0b8eb75abd05de9a1dcb79975955933fe5f0c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Falling,30h268bCKmGWxFleXGYATy,Dani Wilde,75Fysjl73jB4dHfN0Yb1iB,Juice Me Up,6YbtdgILdYRkOVFNK2PPha,36,https://p.scdn.co/mp3-preview/8c8f6e3d636c4ada67fbb87d62e043b0d9c368b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Gemini Heart,3gP6wL0DFyrJr4DzGgLhBq,Layla Zoe,1vbOVLkD5jGOkMKyYBqzwU,The Lily,1SvBVlFYgpG2VmbTqCs5h8,37,https://p.scdn.co/mp3-preview/864b753d8cf676c6a03e74bdc6322fa150eb3982?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,They Never Pay Me,4I7exgZnKPQeLgzRAsx77r,Gina Sicilia,5G7a5hIfomqVuXlk4D3WfQ,Tug of War,2rc0kuRCruGFP5osvkZp2S,2,not available
20,No Riders,0NHW16lrKx7ra3ix9xKqxh,Shannon Curfman,2sn2g4lNGlsAoJm15MOM7x,"Loud Guitars, Big Suspicions",31YVnDFP920mK7VVqU3Fyp,34,https://p.scdn.co/mp3-preview/e3f456f1a9cfac2e2a112b9cff028a6685ed40b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Heart Of The Blues,24aLYdNnFAmHVDxlKxLTbW,Joanna Connor,0MJGyEl8BgJbBTv3xeeFeB,Big Girl Blues,6o42YZYRQstrSAFSmUlLHv,35,https://p.scdn.co/mp3-preview/4f0de5d502d361588e1edeecc1ddca405466919a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Life Of The Party,6wILqRslB1r6SWtEj4senP,Debbie Davies,21OcU2kzq3Oqkl8XxsEli7,Love Spin,5wSnSMk4dLaP00nRpIZrfp,24,not available
23,The Ice Queen,2M7woNFwYlW6EnSAREYKoC,Sue Foley,6bp17u6Ya0RGnEobNVGvwS,The Ice Queen,0MWBpIU28RJ4Su4ENnXbC8,1,not available
24,Heavy Hearts Hard Fists,4VNNhbYDAt5SjXN5RERGiC,Nikki Hill,28Vn4HKpcOqzagc7tiAxNz,Heavy Hearts Hard Fists,3MyVNL91Apamtu9fUEQ9nO,23,not available
25,Salt In My Wounds,0fnALehX0CnAZYD6Lerc8a,Shemekia Copeland,4CNjyWtO59j6Ih6S0n73ee,Turn The Heat Up,1ISxqujnZ2NLb6LOYY92qK,4,not available
26,You Need Love,4I5G1RoD0LbJ8q5VG5YdIs,Candye Kane,70svT4F0xhbyQ5lQx6UE4b,Superhero,3aEHMc4YNu1XKfFqboal8C,33,https://p.scdn.co/mp3-preview/07d84d3fa0c32e15de68260b4215830c40f65dad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Things Have Changed,08aZMbV00fxoxzosGLr3cq,Bettye LaVette,55U998XxmxjicLMKDSz6R3,Things Have Changed,5WptPw9D94BfcayWYtk76T,32,not available
28,Love Gangster,7HzWmedWsusc3bpWKZYbu5,Beth Hart,30TrHDLNCKQVTYWOn9QqOC,Fire on the Floor,2lsOrtqnpScvxYvOrqQcl3,27,https://p.scdn.co/mp3-preview/012cfd9cb23bc05416db764305e8d34c4400271d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Down To The Bottom,5jddjli3YTIxueb3xFdLaA,Dorothy,6IOvhXyk5edbA2DVaeP9Up,Down To The Bottom,6QRQuIulSyoqOlNGJGLkmG,56,not available
30,This Is My Will,6LOo0imVNkr9CFr6Cg6dkD,Meena,7sntqdL07LSVjtlbVJgoui,Tell Me,4XSyd1dqmvO4SX4xh7tvru,32,https://p.scdn.co/mp3-preview/dc82b785666e3cae8fff60c2bf763e0789f8316c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Back To The River,2DMnCy43xnMVX2eglYtn6R,Susan Tedeschi,5Ws3s6lSP4Un8kQf8CrAta,Back To The River,2VRGI6aGaoCALCJyk0dGdc,38,not available
32,Call On God,6S2WRQBK9uKW2J6RTJXY6N,Sharon Jones & The Dap-Kings,6LufpoVlIYKQCu9Gjpk8B7,Call on God - Single,4H7Zk2z3wYfj5UuwoPIoPl,37,https://p.scdn.co/mp3-preview/cec9f3c7cbde7182e4a5a898c413703625321c40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Seems I’m Never Tired Lovin’ You,7vCfPnxfZstgS5QUlWV7aY,Lizz Wright,3K0BfjMh2dS8WITuiMuGGW,Seems I’m Never Tired Lovin’ You,026ZioCze6KbxDpunugdId,3,not available
34,Tricky Thing,7bpJJDFOR7CQMA2Ssm1yka,Jessy Martens and Band,4kJMG0aB4UYiKfHA9esWDt,Tricky Thing,4aPtimYS5kIEl8d03ToDUz,35,https://p.scdn.co/mp3-preview/699d1896ff8cb665014f2568c8216eca332ee9b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Leave Me Alone,4pvtn6rUZEL9hranwiaZ5d,Eden Brent,3yRjVn43SpJMjXqt4U2USx,Ain't Got No Troubles,6JEnQsmFamUPoYEWn3HW8x,31,https://p.scdn.co/mp3-preview/3e2d2c701dcfa15fba93ded57b6e1f36feddcc8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,You Ain't My Dog No More,054MF2HfHcqygtR0ikyOPq,Eliza Neals,48XgWMevIvFi72xQFN2qqb,"10,000 Feet Below",6qGoljg8VssC15xzOsr0C5,32,https://p.scdn.co/mp3-preview/99cabcb0637f0953667878c55f7118a08061be8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,It Ain't Easy,2e58JCJzmWLtlLt0320MVp,Muddy Magnolias,1t7mdRbvflM5966YVfyk1X,Broken People,3MIBce2g1BNk3mUuj10Ylr,36,https://p.scdn.co/mp3-preview/969dc28729975c0f2d1855ba1ea9e2ce5177be99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Unintended Consequence Of Love,0DSob5ze3sstCI5FFpCRwj,Bonnie Raitt,4KDyYWR7IpxZ7xrdYbKrqY,Dig In Deep,5vN4mU8RJ1rllLYGlIuOKR,40,https://p.scdn.co/mp3-preview/b477ebe8b633b73ca1d9baf1ca3a41edcd764b67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,John the Revelator,069SjLinBiqtpSzTeAoJMx,Larkin Poe,7d10VF1J4LqW7vrpPOngzm,Peach,1BchdTJQL4jjKTf5Po1nls,4,not available
40,Gonna Be a Storm,5gdWCjZpDODJduaw5agwSf,Heather Gillis Band,6LJWIY4kBCuthjluN36dij,Heather Gillis Band - EP,5X8WrXqqqR6eJxW533QHW0,31,https://p.scdn.co/mp3-preview/44a8a6e1772ad9da9992c7bbeea3faf12e3e2126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Don't Give Up,1RDlm1UEyvBynCXBmbGsgM,Southern Avenue,4HfoncnCuBS7D4xU4VDosQ,Southern Avenue,2bP8zitRYEmT1mISjibQfL,42,not available
42,Singing the Blues,6IevgQPwNyD73SMi8nLWb1,Ruthie Foster,2lL4ckeM1A2Qo2Fe64dP0F,Promise of a Brand New Day,18QNLSpGZgj4aePM9STq2q,36,https://p.scdn.co/mp3-preview/ae58cfafbd3a9493ae6dc480232381a730a8a3bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Blood Red Blues,6tUaoQubP95G9YseowN2Fc,Cee Cee James,6Y21yqal00z7As840atRpD,Blood Red Blues,6AmwjavjuaLjqA9II7pLDO,31,https://p.scdn.co/mp3-preview/de6db8949971ddeb21ac871f73c8f98e93766d2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,It Hurts Me Too,7EFUJYLscAMh62ZkSUhZyc,Erja Lyytinen,73i095FtGSlyCoudRYl6MD,The Sky Is Crying,3mQMXVI0HCbJ6yamBHpcBU,33,https://p.scdn.co/mp3-preview/32fc8292f5e582342f58fcfd0435e6a293719f1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,If You See Him,1nPXV1tU2TwxWCcGEI2NR3,Kyla Brox,2PhZS7xGMEpgT6xdNgrm42,Throw Away Your Blues,6o0oOQJLcdw8v65RwBohCe,31,https://p.scdn.co/mp3-preview/3a00c70ec1284ce87098e6a287b8a374977c47e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Good Love Had To Die,3waUNDqqEcv8GFLr6w3YNz,Gráinne Duffy,6Uz1iG3enjltFOqqwAhQ2Y,Out Of The Dark,00EueLV9XQ46OWV5EnOPlt,31,https://p.scdn.co/mp3-preview/eb26afc1ade295a81c9c9d339c4dfcaa4c8cf8f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,If Trouble Was Money,5C7R3FWg4eG04eAdmu5XNv,Sena Ehrhardt,4I2MGRZw35d0HkoOad38tg,Live My Life,7iK2ce3jz7brShoDM4I9Dp,32,https://p.scdn.co/mp3-preview/01e06a235ad7d6ddcc2b10ab39e04f873de82971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Love's Truly Blind,6Sm45PLFiplvxlQuLnMUMC,Anni Piper,3piOtc3OX0x7Z4rtdDuNBo,Texas Hold 'Em,2fUmLqaNyVUIRuIqUFFHui,32,https://p.scdn.co/mp3-preview/d4efdd4b39b3ee5d9dbdb627efb1cb6455070881?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,My Man Called Me,2FqLyyGqLM5KWRkWs4c39D,Heather Crosse,0OdyBBQn3J8hwZN1oMSEQT,Groovin' at the Crosse Roads,0cTXGsOEadB2wpKMtIzhN0,31,https://p.scdn.co/mp3-preview/a1b012e7ef09cc8cb5a6ad019f419f321a96d104?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Later On,2GnsJUt8AcHJDrt0zxcQAk,Jane Lee Hooker,1fFEQ9r3l2ApZ1EOEcwreH,Spiritus,6HSLZoEk44as8CH9vG8O1g,31,https://p.scdn.co/mp3-preview/38cf58c516139adbd25ca3087db0a4de63b6c362?cid=fa83a2fec7c440b7a2795d600d6b2c7e
