NME's songs of the year 2018,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,Tints (feat. Kendrick Lamar),1gnwGVoG7V08vMX3hyr90x,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,Tints (feat. Kendrick Lamar),2MdTsQBOs71AZuqETMyLY2,64,https://p.scdn.co/mp3-preview/2039bbc54b5ae30b411ea6cc4d9074919d96fa8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Talking Straight,7zfzFbRc07YsbFef5xnz9h,Rolling Blackouts Coastal Fever,65mMkD9WW39U9Yadv0dWUF,Hope Downs,2sIj0XFYhXv3GDSIv9IXn6,48,https://p.scdn.co/mp3-preview/01f6a715b98933c2ba7a4b7c591840758ed368ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,If You Know You Know,6bGwKHXHNLmTy6yt147FPh,Pusha T,0ONHkAv9pCAFxb0zJwDNTy,DAYTONA,07bIdDDe3I3hhWpxU6tuBp,66,not available
17,MANTRA,7dRj3sTBYkNbEx5kdNHriv,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,MANTRA,5V4SjUDKVzGxIJDxIHfOZ3,65,https://p.scdn.co/mp3-preview/870465f2ffd3b194a2aadaac1712ff1d1faf7da8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Danny Nedelko,44TyGuyg0xVt5Ngq4CCnxD,IDLES,75mafsNqNE1WSEVxIKuY5C,Joy as an Act of Resistance.,27NYgZQHcapoSAs5bWAxRI,58,https://p.scdn.co/mp3-preview/f172d7b5548a8724ba84c642c2e81bfe859037ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Nobody,6bTn1ovliI0OkjUNkiMBJq,Mitski,2uYWxilOVlUdk4oV9DvwqK,Be the Cowboy,653wRjqO0GOZPQPcXpeAXD,66,https://p.scdn.co/mp3-preview/67ffd05d2e0c5dcf4cee6127782198bafa63b7b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Freeee (Ghost Town Pt. 2),7GRTrWsP3yo2Fx8umJfA1X,KIDS SEE GHOSTS,2hPgGN4uhvXAxiXQBIXOmE,KIDS SEE GHOSTS,6pwuKxMUkNg673KETsXPUV,63,not available
21,Greatest Comedian,2D0the6JBRyOpMeBkPFkGY,Matt Maltese,12j6dJrPXanCBwY599pZxf,Bad Contestant,6TQBSDaY7mVEjwK3QxQUfA,33,https://p.scdn.co/mp3-preview/492c1c2008541e1321f3986b52eb7d8b1ba6d77a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fast Slow Disco,6Xk5AaN4n4SnW71473GI7A,St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,Fast Slow Disco,1uuB4aCSbe5h5ga0wKUi3q,59,not available
23,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,TESTING,3MATDdrpHmQCmuOcozZjDa,83,https://p.scdn.co/mp3-preview/2cfefc8f262be77650db96a60e2f879fa436ee1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Friction,1Kx7v0fl7Lz7pApb8QHNS1,Shame,4IeWU3NYBI9mISFVhzXG8f,Songs of Praise,3A1kutvBmC6czSsSv7aR5E,39,https://p.scdn.co/mp3-preview/b4f7fa98758c4265869e15d731226ba15662f515?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Get The Fuck Off My Dick,2jdAqci2mLt0Njv8euSZWS,Vince Staples,68kEuyFKyqrdQQLLsmiatm,Get The Fuck Off My Dick,0wF7e3QCjqx2eACY1eMP0Z,51,not available
26,Everybody's Coming To My House,05eGgfS1empJmZDTDY6U7t,David Byrne,20vuBdFblWUo2FCOvUzusB,American Utopia,3layBPHhaedgV3ezVSR7AV,32,https://p.scdn.co/mp3-preview/f1621451cd745aec215254619aab278d36af93b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,1998 TRUMAN,0ToC28lLiwEKyQdN4FXypS,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,1998 TRUMAN,6tTJbJAS6kJpKRz0gZIWMU,59,https://p.scdn.co/mp3-preview/01202d242467b19ece31abef634d357273d7a52b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
