66 Skin-Crawling Halloween Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,"Ghostbusters - from the Original Motion Picture ""Ghostbusters""",300zfRaCgTmEm5Eqe3HqZZ,"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK,Arista Heritage Series: Ray Parker,1Fq1oCtmlSQabl1zIdoWCg,67,https://p.scdn.co/mp3-preview/fc919929a10a7d712f76c36566321e2048f7daa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Raining Blood,4Yx9Tw9dTgQ8eGCq3PRDyn,Slayer,1IQ2e1buppatiN1bxUVkrk,Reign In Blood (Expanded),4EKODboelaOmS0gt7hbTHN,9,not available
38,Burn The Witch,5mDA2REjyAxzEJZAFtiBSI,Queens of the Stone Age,4pejUc4iciQfgdX6OKulQn,Lullabies To Paralyze,68ZycIjwlQ0fvtaxVXmgn8,41,not available
39,Time Warp,1esIh49tNEGrXEHorSTHZ1,The Rocky Horror Show Original Cast,4qTigJFPrrmWX5jiACPg7B,The Rocky Horror Show Original London Cast Recording,7saga4RnJcM0WV4hv8baAC,34,https://p.scdn.co/mp3-preview/11b0082caf0d7efa98dba9582492b52873fcd897?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,You've Seen the Butcher,6bTYzB2sOs8z3aXLzsqd2x,Deftones,6Ghvu1VvMGScGpOUJBAHNH,You've Seen The Butcher,30uagLrZpBTFNmBH9HULDN,14,https://p.scdn.co/mp3-preview/8154d7438c49a50f4e8b78edb2ea40cb49d7b45a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Monster Hospital,0PDCiIDeffoVA1y5BA2am1,Metric,1rCIEwPp5OnXW0ornlSsRl,Live It Out,4IDluINiUIjZno3EB6CErB,10,https://p.scdn.co/mp3-preview/62ddbb5797ca7d05900333cd7beb24840e8d7275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Red Right Hand - 2011 Remastered Version,0qHeP8zt2WWef7EWCs1ECj,Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Let Love In (2011 Remastered Version),0Ewp4PEIzkcAyrC463a5xF,64,https://p.scdn.co/mp3-preview/998fee9164a88873850f73637b3da109bebe24fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Boogieman,4bi5U6SaYNurproZMe66d7,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,"""Awaken, My Love!""",0jR6E4KQGrVLbnG6Fw3pe9,0,not available
44,Hunting for Witches,0ZXCTJS5QaNQcYK4PgTvYl,Bloc Party,3MM8mtgFzaEJsqbjZBSsHJ,A Weekend In the City,3OiE2agv6jj4K0vh6wOh7y,51,https://p.scdn.co/mp3-preview/ca7be1596d9f30bdfcdf723c9294431d5b575479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Batdance,4DbUk1qwcz9KKcUY4t8f8u,Prince,5a2EaR3hamoenG9rDuVn8j,Batman,2FwzHgJ4XaPhC19Y0uL6SK,47,https://p.scdn.co/mp3-preview/2a6e683b5a6aa2744d06afafad44dd37235b9a22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Zombie,5tbZBnWJAw72ZRjmMsrh0D,Jamie T,3Rsr4Z96O6U3lToOiV3zBh,Carry On The Grudge,3dvHXz1aCtrPvvpIMDJFfs,6,not available
47,Run to the Hills - 1998 Remastered Version,2JS1iE5A5RHvUPH5Zl9jlF,Iron Maiden,6mdiAmATAx73kdxrNrnlao,The Number Of The Beast (1998 Remastered Edition),6q5MEna6Fg46powSoeZJe3,18,not available
48,A Nightmare on My Street,1ugkqjRKTAX3kExAR4QgQz,DJ Jazzy Jeff & The Fresh Prince,1mG23iQeR29Ojhq89D5gbh,Greatest Hits,5XLCFog0qr2dw0877zzypG,50,https://p.scdn.co/mp3-preview/1813d1ee3a55ce6bf4c341f53735a43eec03c6d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Black Magic Woman,4nmne9J3YCEdhvjTzwiAgu,Santana,6GI52t8N5F02MxU0g5U69P,Ultimate Santana,6FbFvnlSfEoNhwz5MdK0Dx,62,https://p.scdn.co/mp3-preview/6ba9b626bb0d823e7fb4cbb24a0411d0a445790d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Sympathy For The Devil,4sFbojhVXQv7dBC9PVCcRn,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Beggars Banquet,5WZFtmADuJUZPtt0NER0Qi,20,not available
51,Drakula (Hey Man!),5uBdg3GQsVx5xzjpTuszdo,Richard Swift,7fSjnDr8tBO37Xbb2UXuYr,Walt Wolfman,4EICXUhIEKWXvbldhJ2WtN,0,not available
52,My Beloved Monster,7cnzMdmMgxua5LA0isNTVR,Eels,3zunDAtRDg7kflREzWAhxl,Meet The EELS: Essential EELS 1996-2006 Vol. 1,7jqtzIfRUWRb1INiPvXF2U,0,not available
53,Dracula,5P0yCN34eDqbDdDFEICseA,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,G-Sides,6z8arLj8lWDoxk99ayMYlz,31,https://p.scdn.co/mp3-preview/55ec2e78c7d68356a407f56f94d79aa1b8b5074e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Teenage Witch,3v5DbJH0ySJa5yk78U5Jc1,Suzi Wu,0AZ01mYEHgw7ZwKIbgEjBi,Teenage Witch,4m7ZIl9EoVpBUKkCdI7ElG,0,not available
55,Anyone’s Ghost,5CYhQp2uyIk5uYVoe49EGC,The National,2cCUtGK9sDU2EoElnk0GNB,High Violet,6k54ZuG2Z49HQRbJdO65b5,40,https://p.scdn.co/mp3-preview/c39d535ffcf4c9c6ba342879a7750a1fe23ac22a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Monster Mash,6GmL39a9OazWtyMkAbJz7v,"Bobby ""Boris"" Pickett",42MRYPhQfcEXqb18dl5ERX,Monster Mash,4t1p121vxYXR1qJfoOwtHQ,54,https://p.scdn.co/mp3-preview/00a3d5fce7abb5310c69ccc6c1027dfbcbdf44ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Pet Semetary,3RH1TN087QyX1C0RXJucxp,Ramones,1co4F2pPNH8JjTutZkmgSm,Best of The EMI Years,2N17pFoSzj1J5MBdp4SY8v,20,https://p.scdn.co/mp3-preview/8e270f4e1abd9c952851ec545dca41e00be95636?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Charger (feat. Grace Jones),2CJ6CRzuRQd46asE1ucuVD,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,Humanz (Deluxe),0NvirtaDCaZU5PAW1O5FDE,56,https://p.scdn.co/mp3-preview/d447401cbba80dfd44d597deb1eb43acc062ed49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,The Devil,2E87RH7tcP5b57ZefK1O6P,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,White Chalk (UK VERSION),106vtxTNaWJ6zCi1nIe48M,0,not available
60,Heads Will Roll,3zvHOVC4jikl6jORSr6OLE,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,It's Blitz!,5HBmdEPIzWtcWwH2JSv7go,14,not available
61,Cruella Deville,5g3ER8mhyQMav1PPU5OpTR,The Replacements,4WPY0N74T3KUja57xMQTZ3,All For Nothing/Nothing For All,6Ji98nFSXLcGcPfEyNCAIP,16,https://p.scdn.co/mp3-preview/7f46bc02bacc187fd30f139457d124c56a9b9279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,The Hexx,2UzLG0oBvOtOgFwuteYYsL,Pavement,3inCNiUr4R6XQ3W43s9Aqi,Terror Twilight,3Ics4K0qyGPKrbl4fIpPTl,0,not available
63,The Witching Hour,3x3KyoU4Tslcl7Du6pRF7y,Wild Nothing,6NrkINd80slV25wkBu9mEB,Gemini,2UoAYpQzSNLuW47goFJE5x,31,https://p.scdn.co/mp3-preview/ee5c1399627f8a0ac4d0e4c291a98ce133777b4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Cannibal,0rLUQX6lhtoXWr1WnVe2m3,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,That Iron Taste,1HBTigeKszgy2KJPna3hND,23,https://p.scdn.co/mp3-preview/fc446a5bcccd36faf9fe05feb86486f621cf1ed3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Tokyo Witch,0wHmiVSmYLPvOWBWBo3xW2,Beach House,56ZTgzPBDge0OvCGgMO3OY,Beach House,60yL8hj7Vsgx30XhlR0V14,0,not available
66,Halloween,3DN3nPW5VDyGa48ELeXPU0,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Bad Moon Rising,5qZwFWvjfQF6uqrtMaCbO6,40,https://p.scdn.co/mp3-preview/1106b22b59b808a6741e4b46597b6bacb4ae15fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,A Wolf At The Door,4rx2oTUacRCjzVL1FT4Ndb,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Hail To The Thief (Collector's Edition),5GcgkRjhWDxrOTDk0TJQK8,0,not available
68,Ghosts (Single Edit),4iFtqSrMXVqr8ozx7jIQEi,Ladytron,0ucLPotcQNI7AViFytdhBz,Best of 00-10,1fB6uvxM3bijxw3F5zmBIj,0,not available
