NME's Best New Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Spring,0jTPjP9WuUcNMhgfwdK9np,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,All Mirrors,0RedX0LZkGUFoRwFntAaI0,57,https://p.scdn.co/mp3-preview/261dbd47c70eaa60f6355471eca0ea651b3ce35f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,uknowhatimsayin¿,2sBClvs8a18rHtJTGtuEAJ,Danny Brown,7aA592KWirLsnfb5ulGWvU,uknowhatimsayin¿,4G3BRVsGEpWzUdplFJ1VBl,60,https://p.scdn.co/mp3-preview/1a20ca9037c916bbd53425fe5d8308cb9017c71f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Seven,0JnWDODEEVdGmnI13Ec4CO,Just Mustard,0wXaC3fHGVXbhwn5iLZMMi,Seven,3cNyfPEag1LgOHneSsMTlV,36,https://p.scdn.co/mp3-preview/27619588aa35d21fdba2bbd951ddb4c67f22d947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Bottom Bitch,0TFkU9aroYAmxCxhOTd0yj,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Bottom Bitch,3twUycUjOnQC6BQSDdm3Uj,53,https://p.scdn.co/mp3-preview/ecc0114f5892f83d153a00176777067f662c253b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sugar Honey Iced Tea (S.H.I.T.),3HoUNL9JuiS183RkLn8qDh,Princess Nokia,6lay1nwbE6hTx1jivysUAL,Sugar Honey Iced Tea (S.H.I.T.),1FoWeLNQPaBc9h9OnM0U7Q,65,https://p.scdn.co/mp3-preview/660be09d0c88ecd2c043ab36408ac57b620309b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Best Life,7Eh6MPpRNIFzaFZywrHDMD,Danny Brown,7aA592KWirLsnfb5ulGWvU,Best Life,2tAHWLDYBRxDqFM4d3Dns1,62,https://p.scdn.co/mp3-preview/53b5a2029189806e2fbccdf784b9f58ff8e57c80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Stop Selling Her Drugs (feat. Dominic Fike),4uBQDAzZ881KYZvW7ZInUn,Bakar,3K2Srho6NCF3o9MswGR76H,Will You Be My Yellow?,12nH1R4NqEtaOQ5M7RA63p,56,https://p.scdn.co/mp3-preview/2cd2bc8bfd062d5ea9752f3db0a3b10e8845199b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sweettalk my Heart,69UPGUyRwXsAEaaOZP9yRh,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Sweettalk my Heart,6BLifYKjswTEsL4KXylO5p,65,not available
20,Blankenship,2zzpa4MjaTFEAveQL64aYT,DIIV,4OrizGCKhOrW6iDDJHN9xd,Blankenship,3jk7rwdXGIbwLYhNTgEPyu,54,https://p.scdn.co/mp3-preview/93ae971865b312f14d5b46b85fc75074d0daa1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,lucy,0api41GfHCbdAsDyO3R7TL,Soccer Mommy,4wXchxfTTggLtzkoUhO86Q,lucy,1Q0MRKHYaHJiZqa1JdswCA,56,not available
22,I Wish I Was Stephen Malkmus,0MXwuLvZU9cauIEXlMZcdC,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,I Wish I Was Stephen Malkmus,75TCL3IpDAOclMk0PveSNM,56,https://p.scdn.co/mp3-preview/6503a9db3ce7a76e7309a6b2fdbcf3e536cbc6af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A Thing You Call Joy,6BVMPM8cIdCcuIzE9eaQlm,Sinead O Brien,0Nron4wq7uF2TwLodaVRHr,A Thing You Call Joy,3Sk4sce4BbWf39FqTG1ANk,31,https://p.scdn.co/mp3-preview/29d03f943966904c2f4868745b3b9a6566ecfd37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Psycho,0GSCAqCsmp7OVUWwC6sSgT,slowthai,3r1XkJ7vCs8kHBSzGvPLdP,Psycho,0kWahEXdUersaxWrukioH2,67,https://p.scdn.co/mp3-preview/6177b23f8a205ed3b4ef58deb46e68b17e69290c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,10/10,0tByDZgQzoNfFFmpgleB0s,Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,10/10,1dIQCUmv1flCLWByivrbxQ,76,https://p.scdn.co/mp3-preview/c4c347185ae8a5646fb7ab3f8b17a9f34a18d248?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
27,Official,38ybr0LS9XLUcqg8Yo62Wj,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Charli,386IqvSuljaZsMjwDGGdLj,62,https://p.scdn.co/mp3-preview/75db0aeb57f107501d8c50dbc899ceed5c6402c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Elastic,2pTgfhkctFTK9wyvPeCIzK,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/b4b31e11213a4353ad497bebbc95affb94e14a24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Insecurity,6SN2BDBPcvKg5VdBltYJba,Metronomy,54QMjE4toDfiCryzYWCpXX,Metronomy Forever,7IzNAyOsxeWhKPyNNz1urS,58,https://p.scdn.co/mp3-preview/c05e59f76bfe7c314ce5feaf079297b29e158ab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Oh Mama,13DbxCSqTGBlrrV3YRloJl,Twin Peaks,1xD85sp0kecIVuMwUHShxs,Lookout Low,37VSh8Ug3lCkXB7fuPfHKJ,37,not available
31,Father of All...,4r59yc67nric1MZQ2igkhx,Green Day,7oPftvlwr6VrsViSDV7fJY,Father of All...,33eDyKXqDYRHeu8cq8ToRl,72,https://p.scdn.co/mp3-preview/b16f8b71d4c25172e9dc53b2e578a597544b76b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lark,6IyPPX0nh83mzx4oZ9g7pB,Angel Olsen,6mKqFxGMS5TGDZI3XkT5Rt,Lark,5SLUS8RN72mb0uak9ys6CU,60,https://p.scdn.co/mp3-preview/40a4ea769597868e69d64f725b3ad79d22967741?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Your Light,6vYRwtuNmaQJg7SlcrMdPs,The Big Moon,0KU55rzxAihPhi27MAuz9O,Your Light,08Ry44RWNOnXiw7gZlBXkg,57,not available
34,In My Arms,0HB3y02c3bNEaT5b8a90IW,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,House of Sugar,2kCDZ3gCr5hXFgbFsPMcxP,56,https://p.scdn.co/mp3-preview/d710bd76a398f42459ed328862b3a35c6a6a6a48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Violence,1AL43xNYEG5KSoqf9Yd6Cr,Grimes,053q0ukIDRgzwTr4vNSwab,Violence,1BUgR3IIl0oNNhr7oWlN21,71,https://p.scdn.co/mp3-preview/8f969b28868a2714cd79298218b1703e5b856819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,The Runner,0AWYvdcS6N463VlsbrzijH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,The Runner,7CwnnH6mZCAKwKLgwrLWRU,66,https://p.scdn.co/mp3-preview/c5d8e1f2a045d2e5917e4eab92352a31852aa399?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Dirty Laundry,0iAI4Nv50sU0LGRKmF555Z,Danny Brown,7aA592KWirLsnfb5ulGWvU,Dirty Laundry,44qTyEwDulRyxbQz3LtZvq,62,https://p.scdn.co/mp3-preview/d5b8e055fe6ed772c91e47f05e262123f6db7017?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Take What You Want (feat. Ozzy Osbourne & Travis Scott),44pxxRrhiDGuHYP5HjadGF,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3hcYCR2lbgpayA1Tjz7Q0c,71,not available
39,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,92,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Ain't Together,4jvtuOFXhwTJG1sQHkT1bs,King Princess,6beUvFUlKliUYJdLOXNj9C,Ain't Together,1eMuzrmQ6CNhwcTA4eSsdN,62,https://p.scdn.co/mp3-preview/a75ee4295c52f512edb7960b3613704c394d60f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Mesablanca,2v0iCYud9l8g2Iv07CrnwN,O'Flynn,7LTSTQkL7iK7zndjFQgHQo,Mesablanca,0b0TN4D4pVTWqInix2feks,31,https://p.scdn.co/mp3-preview/a5cd96179e9e79f807dcbafcab03e23ea85fad3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,What You Did (feat. Ella Mai),6aNdjlgzu6bJeRBFFXiVNu,Mahalia,16rCzZOMQX7P8Kmn5YKexI,What You Did (feat. Ella Mai),5r5yJUmRenfljPMdeQ6kFC,69,https://p.scdn.co/mp3-preview/66fd92a5d15e2ea822e7990639f4ada5ca9a0a25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,When I Get My Braces Off,2W5BqUeVE42TSFnIQ2naKY,Mallrat,4OSArit7O2Jaj4mgf3YN7A,Driving Music,51zDBsYFzLwVSMVgRqyhkd,47,https://p.scdn.co/mp3-preview/e9ccb256064ead144e498edc9f6dbebb6186f7d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Buss Down (feat. ZieZie),0kfp6rRddGkoyAhosSeZLS,Aitch,2PJEagPIxaBugeMjIyKVXF,Buss Down (feat. ZieZie),3GXahpmgm1UzAxyeL9CDdc,68,https://p.scdn.co/mp3-preview/1bb18698f8304f6a2ad120d2b50a65b09254aedc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Gone,1bRoUsfLiWWLGZ03rih6yQ,Romare,6d1HqiWNEKV9zFqQM9WeYo,Gone,0TDeX7IUSTHyUpnkWMNTC1,50,https://p.scdn.co/mp3-preview/572b4e932f6cd47aa4d64bce11586d8aab21162e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,The Next Best American Record,7vRfxLcDDwgYW2WTrtEgUV,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Norman Fucking Rockwell!,5XpEKORZ4y6OrCZSKsi46A,75,not available
47,Match Bet,5EdXE7FknapGSFzfqWYb73,Squid,685XjGzGztyivfR3fAjoxo,Match Bet,5r93p5X2wWr6RbnKy9VMXI,43,https://p.scdn.co/mp3-preview/a13b511426299660f31a66b609d8d37e51a61aed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
49,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
50,Can't Hold We Down (feat. Popcaan),78aWIBZMTcqg4mvPpUdhss,Kano,50nN8IFD4xA67fI4jYbLV4,Hoodies All Summer,0N6HQ1sWJTf4QJxipeEazS,59,https://p.scdn.co/mp3-preview/7ad7f464fca0a221e7bb814fa8fd737b2f3544ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Going Norway,1QNtbQSNUomgpdH59Fi4Wa,Girl Band,7IdPmzvB3PugXieZE9vS4S,Going Norway,5QCdMl20GRVC2IbV2X0hY8,39,https://p.scdn.co/mp3-preview/e0b58275425b83608e77ac8bc2e6409e98e0e5bc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Stuff,7gx3Aj8s7iToPbbclnyVyw,Sløtface,5sCDleuvB5bBwbSGsp9Bwh,Stuff,6U2ZIxEGjfGkdOJuD6l9Fd,36,https://p.scdn.co/mp3-preview/7eac5dcf603798ddde07173950a356ac0e0f1ce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Heavenly,0M6TLjxixptslrmQpWbRoR,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,3cgFq282Yi9czapuam0DwB,69,https://p.scdn.co/mp3-preview/8baa84e848e637d9a4326e2a43f978af7e430a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Circles,4VginDwYTP2eaHJzO0QMjG,Post Malone,246dkjvS1zLTtiykXe5h60,Circles,75n7rjlC1fxezRtoMQmtL5,84,not available
55,She Plays Bass,52zzYSu7RUsSFn8cZlVjWp,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,She Plays Bass,6aSy1zAuCiFQxUFITf3ymw,60,https://p.scdn.co/mp3-preview/d248a101bdc51b9dcad2209c7e167b38c8dbe135?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Easy Peeler,4Ye6Wy3vHdUicAjfoReFkN,Phoebe Green,5qt7yk11uFzsBUC3CgbyNP,Easy Peeler,02L1gwIjuIYaZYWFQmuhLn,45,https://p.scdn.co/mp3-preview/68a9c0eb50afb1ae4a962b1f0e822d645547366c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,People,39sJbSgJmIrB9J1pkRbpaX,The 1975,3mIj9lX2MWuHmhNCA7LSCW,People,4CqlHgip2WIdvtqJ8BXMhW,70,not available
58,Warm (feat. HAIM),6iW5pbOAevzr1h2JfdJYpn,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Warm (feat. HAIM),508n1on6AP7aJADtdndtpW,66,https://p.scdn.co/mp3-preview/09e6d9d504e151668e42a3b8251677550dab8d3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Southern Sky,3ijBnsYKZ71OuUOEkrEXbl,(Sandy) Alex G,6lcwlkAjBPSKnFBZjjZFJs,Southern Sky,08T5CUnlygrwS5M7AWcn4C,53,https://p.scdn.co/mp3-preview/f2f369ed443393fe5a035c65d4132b4c7f3fb2d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,BOY BYE,0VqC8QZDK6mkEmfcwX77Xe,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,BOY BYE,4lRiXGum7cZNDDFLebNjoj,67,https://p.scdn.co/mp3-preview/ae90f58dda6d9bb5be13588f38988a8395024fa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Raw Power,3vfYZXwb9BfjcXefiignTX,Channel Tres,4cUkGQyhLFqKHBtL58HYVp,Black Moses,2hjwNhw4NYrEgcEHeAyEPj,49,https://p.scdn.co/mp3-preview/1df15e97f2e07ef3dc714ebef962345145f279fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Both,15nKLSvslk7jntDkxIdYmq,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Both,3FuJaKGB7K7TVU5vdNXMbQ,75,https://p.scdn.co/mp3-preview/b29a54252d425b73b59c117dd65a1d722e477e62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Shiny New Model,6zAlZjnKltHjg1EHl0PrPS,BODEGA,3lnWfdMG9U0oVMC15SEbB5,Shiny New Model,37fwdORFndvAp6KHmhEHNd,38,https://p.scdn.co/mp3-preview/d36779d10c21edd0f1f3503a0b09010ee846e851?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Playing Games,5WGgVeqKNZ70ynPooQjCQc,Anna of the North,1mSJCvDX0W7Dn7S9C6vmvI,Playing Games,5Cq4adPbTsSlDessVaWwNj,57,https://p.scdn.co/mp3-preview/d3df757e04e8a7334b2222772c963b0a97ce5f38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,side effects,2W5ci6DNvHKzevFOzmlSBJ,Shura,1qpR5mURxk3d8f6mww6uKT,forevher,336iT9Zlon2t5PozcmH8Hu,56,https://p.scdn.co/mp3-preview/edbdde1e489ec7f022975b5b337181f8e057266c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
