Merge Records TransLoc Rider Tunes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Anything You Want,3nitZCvnTwDu8uXbwvUxvV,Spoon,0K1q0nXQ8is36PzOKAMbNe,Girls Can Tell,1hUGL6I8U1hYzsapYlG5b8,34,not available
11,Confession,3yyHxMckkoEaBAqkwMKCOJ,M. Ward,6nXSnNEdLuKTzAQozRtqiI,Confession,1gS2JQOqMNwSQB4hiO2hds,12,https://p.scdn.co/mp3-preview/d8e1bd7b900072a77ca74ec1e9123413b251c6c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lucia,7sxtXUyoGK6wAKIoPf49eG,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Lateness of Dancers,5K7VYgm2UUdIdis8H3zMhA,33,https://p.scdn.co/mp3-preview/f75b81db1373530b195f8aa70dcdb185df83f4a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Mercy,2E6v47RKOiWSqgY879pcS2,Eric Bachmann,27CXUHv5mekE9LNdC1KEqb,Mercy,5kwjDZyxFKztS8ToFMj54z,2,https://p.scdn.co/mp3-preview/8dc1c9cf21e86ba7e39e10716ee7e487c37a4d58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Holland, 1945",4iwMhMvcTqukn1n3NVjb2N,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,In the Aeroplane Over the Sea,5COXoP5kj2DWfCDg0vxi4F,60,https://p.scdn.co/mp3-preview/2fb219e97172ece695e9069bfd629ea1d0168c97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Anna,3TUBv3sVwjUol3Ji3kUpy3,Will Butler,1POwuKLQ9xhMZzIYElNtWp,Policy (Deluxe Version),0vQ671QsneNp0OF7xl0c1p,24,https://p.scdn.co/mp3-preview/091ecb7fd1c4039f406bac6baa98071578720c52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Logic of Color,7nOJAQVh6fmrSd8uyeFodh,Wye Oak,5SjNVG3L9mgWQPsfp1sFDB,Shriek (Deluxe Version),09sdJjMX4JGdAj6VmC6LLv,19,https://p.scdn.co/mp3-preview/ee0c8f9699febd7ae2a83cd033b33b41aab0a875?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Voices in My Head,2GGrU1O64nyrthS9i4TeNz,Bob Mould,0fWvSXbvztkeHEnEuYvU2A,Voices in My Head,7oXrLj8riB9m116IFAZ0Le,9,https://p.scdn.co/mp3-preview/a3fd7870459b52ea4b03c5ffc418ecf961b4e440?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Low F,29kZDKEz9SCLs8S9dOskcS,Superchunk,7lmde7T1WJPFwv1eR6melP,I Hate Music,4072OBrg1UpM1fQlHHrKR3,18,https://p.scdn.co/mp3-preview/b06540d023dabe8c06193068404f27a2727b9ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Dimed Out,1oTSNSx3Afa5gO9G7RX2hL,Titus Andronicus,5lJ4XQ2hlPlxACN7q3xKL1,The Most Lamentable Tragedy,6tcFu0TqSurn0s4unYDXSO,31,https://p.scdn.co/mp3-preview/f52a2cf971743f44ac65d8a0f781c1ab6366d803?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,When the Open Road Is Closing In,7oujl9w4BAwpjzK7bbOsjy,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Charm of the Highway Strip,2cq9mEApEY5EFb1M7jJblT,21,https://p.scdn.co/mp3-preview/86b02967a822921e6738ba80eacbc3605ab06612?cid=fa83a2fec7c440b7a2795d600d6b2c7e
