Matador Picks: boygenius,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Appointments,46Vogr8UvzcVPAgDvBpDIr,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,53,https://p.scdn.co/mp3-preview/ffe52a764e5f26aa5c4a547cc6e78d0c6d3b0048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Smoke Signals,5g97GAdru7XfeJyJhViIll,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,61,https://p.scdn.co/mp3-preview/0415154af2c8a9039279b8abdc34c077e6aad6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Addictions,5qG98CKl8EzK0ljRJzgOAF,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,47,https://p.scdn.co/mp3-preview/5815468848c527be7cf6fde91e572f2571949585?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sour Breath,7CdNO4YnJgoaWAJOiqb9kQ,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,44,https://p.scdn.co/mp3-preview/3910f27eebf572306b5cb1065e345e4e3cf8e87b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Would You Rather,4ctEt5qumxA8RuzdeQagkk,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,46,https://p.scdn.co/mp3-preview/2dd74acfb002f89b0e1b6fe2e4ed4c725efe1f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,I Don't Wanna Be Funny Anymore,0kwBATkVUAG7JRMEosNUUs,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,57,https://p.scdn.co/mp3-preview/956c8b58aba8433f800f42b04be0a63e57b564d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Something,1aoBqoZBJ2xuBoWnqV1XVt,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,45,https://p.scdn.co/mp3-preview/866431cae39d5ba9ab65eb4ec4ba3feef3ebab81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Georgia,09HK1zEnwMK5Ql2WVXczgk,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,50,https://p.scdn.co/mp3-preview/607452ac4fc334edc165532a0d97113a637df6f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,...Familiar Place,0lp0bQqzyLmNNHHFYRaaJf,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,58,https://p.scdn.co/mp3-preview/fc936acfac94c4d705ebff9f84e807d57ae1e106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Everybody Does,5h9NOj6ug1uB4LkT5FrFrm,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Sprained Ankle,4dRzxZm69k9s0nzKmKb8Gj,40,https://p.scdn.co/mp3-preview/e058f7cd6d3ef80c260fa3aad9dfb0f494a2dbdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Motion Sickness,6LxcPUqx6noURdA5qc4BAT,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,67,https://p.scdn.co/mp3-preview/977109b82c57341e274dd9465e144a4794a965d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Troublemaker Doppelgänger,2BzYdX5VGhnPowrqorZRk7,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,No Burden,6Ru52lwXvbPaAMSdyPOFsL,49,https://p.scdn.co/mp3-preview/0efe8cd860126d6f4bc1794ef954cfa4414984f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
