Culture Tubes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
15,Moi aimer Toi,0mbT71B8hMCbdKEf3Q1kh8,Vianney,4Nrd0CtP8txoQhnnlRA6V6,Vianney,3sb3TaTkw7pdVD2V5cSBGi,10,not available
16,Longtemps,4vk2zvKk95mnDvPfsPRrkz,Amir,6rl53MP8HSoiugpqzA50Zh,Longtemps,4LRFZ6BWbmh5t41nMju67G,7,not available
17,Tu donnes,7fCYB4aKLTc8Yrrg491Ji6,Jérémy Frerot,4lhtlpMg6j1absrQvXYlRK,Matriochka,4lXTDTBv4geOKHRh9O8lPv,57,https://p.scdn.co/mp3-preview/7f834aed0cbac72f82d8a2c6e38e80334a75f74b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Si t'étais là,0NtPpJFWj9bTxouuSSYSbc,Louane,7wjeXCtRND2ZdKfMJFu6JC,Louane,3rweXuc2BDiqrF2RnrK2SO,9,not available
19,Miami Vice,3avRj6FLMKyYZ1bedGMuLM,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire (Transcendance),1YXFTSMHY8kqwiJDDuOIrH,54,https://p.scdn.co/mp3-preview/6d641fca78cd2261e02e9d6355fd4b2660accb87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Coco Câline,5aBjQSOYDaH9EWA1jPQHE3,Julien Doré,6jStlKLflTMUN6BajxrNlj,Coco Câline,73MQfdbOZP0GJRGV5JFoHg,45,https://p.scdn.co/mp3-preview/1d37be672ead04d6cf2e9e74709d96d197225552?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Les planètes,5MYDvUdIBOCX3a42L85kM3,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,4SGj2EwogAMqiN2imHvJSb,65,https://p.scdn.co/mp3-preview/a5cca9f8cfcb31af96936ae2c62ab8f4284851ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Fête de trop,1oA8AW7eM5qyEllIs65Uyg,Eddy de Pretto,7rFugkk9ZvVB1zXHg8h0rj,Kid,4ai05ilCNq5nPN32hRwQTi,7,not available
23,Je me dis que toi aussi,2y3rs8IJvHngaj6Gi8dR2Z,Boulevard des Airs,6px2zTzjQAPLkuea5qQ2Gx,Je me dis que toi aussi,4XhhZdOOMpvrvSVckfOUEq,56,https://p.scdn.co/mp3-preview/78062e6e92be82e6ce93ccb31f0cbe9803471f79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,1987,56tfg3H8mcJ8eIKuyCWamX,Calogero,5Nq9MbzweBc5oL4WzsECx4,Liberté chérie,7lxtIDOmhph5iuna24OZHC,59,not available
25,Mercy,06GLoUz0gyKp3jQWTXiv0P,Madame Monsieur,1tQn5gWbo3ee6n2Z52ogY5,Vu d'ici,3H5FPrQarfnRRKb0Ss7Y5O,47,https://p.scdn.co/mp3-preview/834ae72c57eb6c71deaf9d40695eca7557aba5af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,On trace - Version radio,1N2SkG0JkiiVYPtKktVq0w,Les Enfoirés,1OCpqnXexjxrakYtmur3rN,On trace (Version radio),2yA3HpkVfY69drKCrpuEKO,57,https://p.scdn.co/mp3-preview/3bb4694d14625317f4fe13ee6e107394dbdade25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pour oublier,3wyQDkVQ4ZyV6TbnUxMbiU,Kendji Girac,4IS4EyXNmiI2w5SRCjMtEF,Amigo,29ct57rVIi3MIFyKJYUWrZ,61,not available
28,La vie est belle,42z3DqNB88hUKzbTQxklxR,Indochine,7knmbOGe07k85GmK50vACB,13,5NFN9HK3cvDaYnEtmHUVbo,56,https://p.scdn.co/mp3-preview/a1b738b0a49ab37790fd4ac18ee4e94df8ee19b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Reine,1bxP4M9ICllcg7mel8kH89,Dadju,4sbXXFzEWJY2zsZjelerjX,Gentleman 2.0,71uxNnvLeDpn3vEHqdY1Mv,66,not available
30,À la vie à l'amour,7fYn7uKgBW6oeHZ0EmW9Y1,Soprano,2RJBv9wXbW6m539q9NOfW1,À la vie à l'amour,3rQIc3AwMyj2GTLrPP0dH1,15,https://p.scdn.co/mp3-preview/38692b5d5d841d73a838a7a7de317aba7986f751?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Caméléon,1aZwu6M7UXQxaxpTLCMyhB,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire,3Ivl72MtrJqHqzla3ar7fG,53,https://p.scdn.co/mp3-preview/ccbc08034c8d1d4fccec6848b1e1d872981a72b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Get Up (feat. Léa Paci) - French Edit,4Bq5KUeuSkOCkm6Os8R0h4,Diva Faune,39l75cUNbVMpHgykQLyOUT,Dancing With Moonshine,4W86D6tUVXPS9lgQTD45yV,55,https://p.scdn.co/mp3-preview/2b8c3c7dfb40ccd2643da118d35bf8abf6ca9ea4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
