Génération 2000,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Parce qu'on vient de loin,1wthYeOSBWfUYeCqhYcGt0,Corneille,2GBDOaCl73BVUs2RerIme7,Parce qu'on vient de loin,5VMa7BgPzwjGfEPiGaJSPv,53,https://p.scdn.co/mp3-preview/5bde8575c009a3bd17a7a1b2bafbdd5325515ce2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,"Mon Coeur, Mon Amour",0oWAz88alrwkNvnfaRokhn,Anaïs,6uwKWDKLDlM0PXvXQ97sRT,The Cheap Show,3JnzpVc0Wx4c46enGLAHi7,43,not available
38,A la faveur de l'automne,5XCeCprrLZHLHHmKxYOXq1,Tété,0eykNIBJy8E8Cyd00Y5fqx,A la faveur de l'automne,0EOK4Nqc012P7YPnIE1xot,48,https://p.scdn.co/mp3-preview/d78cd1583936f8039e81229c50fc5f484f889316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,A fleur de toi,6cMXbrUW0HozWG3y3Rm0iO,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,A Fleur De Toi,5vxD40WbhbRzuly0guWweO,3,not available
40,Seul,7MRyru6giOwdtFYL5KQEVq,Garou,1oXtLNYfNMQLxWsatCTCCn,Seul,6t0eIKq8adhPxIWP6TWhgP,51,https://p.scdn.co/mp3-preview/91ab37741c9dd44251029888d64ce4b90ca07208?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,J'traine des pieds,5ULVP3ZRM9gQYlySFmrGFL,Olivia Ruiz,12OSqKGORygb2C6H36qKuj,La femme chocolat,2s7Ajk85HeHsrB0rSzcKJM,46,not available
42,Divine Idylle,0gpXeyth12BXqwHFzfNR2S,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,Divinidylle,0Sh8ciS5EVvzbBMyA1373p,49,not available
43,Hasta la Vista,4J6SkLsDpuN7R52TokaDQk,Mc Solaar,3nU8TSIICYDbUqRpJISTRE,Cinquième as,66cBrPU0JGuYNV4fhoDA2C,48,https://p.scdn.co/mp3-preview/13883bd367882b50e9655696c9700bb30f7441a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Qui de nous deux,0PZiPbrDCdORrSW6IIICRG,-M-,6soPpJHlCtN6SY8pWlfbC6,qui de nous deux,4RGGnIevJw3BObQqMPffAc,53,https://p.scdn.co/mp3-preview/4ce07f4ba4f68054c47660efd932de807dc03f3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Je serai (ta meilleure amie),5VQw18tYjbltQWFYmI3CPw,Lorie,2ixb8I8BVdLRywPPklssgM,Près De Toi,0x6tOGxJBDdB7sfBYGaLus,43,https://p.scdn.co/mp3-preview/ebcd273577ac9d0e9d7b905326f32dc39cc472ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Ulysse,6OPNvqvtQf9QT5zPh8wDk7,Ridan,3SsER7gGsy3a9LlfQ62oxz,L'Ange De Mon Démon,37lOShWdQxr7gTVjKZm6v0,51,https://p.scdn.co/mp3-preview/75b3f1576b0f072d0f557e6857a89d8976b9a2c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Il y a trop de gens qui t'aiment,1fxXW27caC5yWWt1vFTqnF,Hélène Ségara,4jqOuZDAtFnB3uGEnNxlvX,Au Nom D'Une Femme,3uaw8NfCYdRLPLpslvQMzu,46,not available
48,A ma place,4xDGY7Tm3burLInzkhlfTi,Axel Bauer,7H9BHRpRnP55YwZpFLAVmd,Personne N'Est Parfait,6HUlhuwOCeV4Vu9Ad1iFzO,4,not available
49,C'est une belle journée,5S7mQHUAKFYsEQOrtTKMth,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Les mots,5Rc8dzu798sibwLHrk8oDB,46,not available
50,Avec classe,4vhPC6yiqkeQG1aF8WSn8r,Corneille,2GBDOaCl73BVUs2RerIme7,Parce qu'on vient de loin,5VMa7BgPzwjGfEPiGaJSPv,48,https://p.scdn.co/mp3-preview/dcc162947eff8428d940f81e48d8bfd14ba6e7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
