Rap Diggers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,WeLaRue 3 - Vilain,21osrWiNJxpILjR6vLlp0r,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,WeLaRue 3 (Vilain),5hQUz6wgRotkm9cRJg7m7Y,63,https://p.scdn.co/mp3-preview/858aa0e8ef99eb24aaf789d44f790aea54e1beba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ça dit quoi les mecs - Freestyle,0xmex8XZtGd4aeSlG9BkqO,Lasco,3dJuPTbC8aP88uCs6qB3Ra,Ça dit quoi les mecs (Freestyle),6AQ1k6uU11M6P577ilVMSK,38,https://p.scdn.co/mp3-preview/87fcc751b03f8ab9be77560112a6c802dffdc2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Bikini Botoom,7ck3Zp1I5j7Aw7ppz6oTuc,Chily,0mnNM5o7vtxo3ivC7Tmoah,En attendant...,72LJ9w3gICvghgBYf2i9px,49,https://p.scdn.co/mp3-preview/c38dc90c2d0f6e412605938d6a813cd3c33efca5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Boss #2,6zMfM0GSsllbGz45imr8PE,Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,Boss #2 - Single,0sl2It191SiMxVF26sW6Hc,56,https://p.scdn.co/mp3-preview/07e9d7bebb49737383464195acb2dc24ec0a9e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,G.C,6uvWbvcRxkqvHMdFQ9zE4e,Ismo Z17,2flTkRWXExICi9z6DFL2nf,"Terrain, vol. 1",2Yzk1gEIjbDo7Z58yz5DT6,19,https://p.scdn.co/mp3-preview/46be078b8bf2fc810630c2538d13d084d6254735?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Programme,7v3zaoMRPpVZE970po4l0X,Infinit',5y2Ny3eOPrhtb5uQFl30vq,Programme,6eTA9sjsOt0dIQM5i5Aoan,45,not available
16,NSM,0tNLhlXO0DQsfdvaIbpuCY,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,NSM,5DSzmezv6AQb8ODjA5gmWH,54,not available
17,100K Freestyle,3KbmSdtanlBKWpxWpE3rMp,BLC,4QniN4lafAPGFZnZB00IMk,100K Freestyle,2KWHpRIUM7fELZjlrlxA3n,20,https://p.scdn.co/mp3-preview/2ef3aca7bf8f90165143a0ac01ad2233db78746f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Hé oh,1bWafkUCOp6luXRs1cm3w9,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Hé oh,7slaJRxjUJ5PtKOLGClvRb,82,https://p.scdn.co/mp3-preview/73034dfaaebae7acba1fc7186e6575561876c6f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Vacuité (Rendez-vous avec la mort),0u3Xty2RAANQGwWALgbFFC,Les Alchimistes,0gSfn3eLtKQUtBZkJkmTzu,Vacuité (Rendez-vous avec la mort),4xBx25qKWxoMbI344qwsjE,32,not available
20,Spliff (feat. Leto (PSO Thug) & Patron DRG),2IX0ZwjrlcGnVRpsJPNXuT,Sese Kepler,1g6Hs3pSerBl61R9AKUeHr,XVII Teudy Volume 3,7hx5on7LTByzDqo7nfDoCM,30,https://p.scdn.co/mp3-preview/794398eeec85d90e071a8750e35dda7eaf1c75ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,LVG,7uT6PZ14Erk0GhSCB9QLVZ,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,500 Key,7JtdWmHI28ofy7nxrNk6DM,45,not available
22,Beatles,1F1qebfYF2rvc1Q0CpM5hf,Larry,0YqeL4iGLLNiwRXZvew1TM,Beatles,6ayNZ4DPR3ipeAGs4jjTzJ,62,https://p.scdn.co/mp3-preview/ea54c7cfd51c7d512e03400b166b7fcd90403924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Guitare,3ND6bmXJwI4VhsHNPGndmY,Fartas,18Vnxd3FnH3IuIeg3ahgvt,Guitare,4q82lnutHeQlBwRH6y4eG4,49,https://p.scdn.co/mp3-preview/d6d545095049bd30959b75c62088fcaf8e4d457d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,TLT #3,3nZBJDm5lNJdWx30iyA7Xe,Koer,2CSEdTkfSem2kT4OGP6y36,TLT #3,1cZzbx0KUk8yVPppPAEGnr,46,https://p.scdn.co/mp3-preview/bbd27ba8536cca11af5f12e28166ee3ae78d7705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Première Salass,3zDQDeq68XHcEXLbnRTg66,CG6,3i3yb6Daaf3z6OLKvMFqlK,Première Salass,2UNTdkftjiuP5YGDkaf0v8,55,https://p.scdn.co/mp3-preview/61cb88efcfad1da5ba1124b01d5f615289e8907b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,A tout à l'heure,01g9lWUzCJssGSMUU2Tpmh,Chily,0mnNM5o7vtxo3ivC7Tmoah,A tout à l'heure,3OOIzFrf4Nn9pBprKCI9Jb,59,https://p.scdn.co/mp3-preview/bbe2e3a40170c92c24bc2f3a2882446e2fbfcce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Fin de couplet #5,6saDyFM7pMyj5eYf6iSIyO,Nahir,3x3gsBtmPOSQVqdBzO7N5E,Fin de couplet #5,176oA8hZTnSp5Fyb0RBBoL,36,https://p.scdn.co/mp3-preview/52cd4ead22d94f38ecb4c9619397ca98ea233c1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Deux coups,58jDWcJMnd2ydWZLalftT0,Tiitof,0lCzbSVa8RZoPsuDM9YBJS,Deux coups,2RPcGURJ9IUZlqzIGm2uQq,42,https://p.scdn.co/mp3-preview/645df1a11b6e216dad4f15e8f7398b64f10a28a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Moment,4siJ1buD1La1VylTuvekAF,Aladin 135,2q8BTMaWesmxIXCB817C9I,Moment,1ubKgKQZIQEzF32GEFczGR,46,https://p.scdn.co/mp3-preview/7705dbb9e9a1344d11b8c50fc42d9785f7842153?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Benef (feat. Leto),2o7ExoqLuR89DoBhli5zTZ,Dinor rdt,3RJNCnIkqvVwEicgGo2nqJ,Benef (feat. Leto),0N5elCdys39dgyA5gJMSVp,49,https://p.scdn.co/mp3-preview/232397ce1b2e1469198e887cb49193246ed67d8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Désolé,7eGPlWkQGgAB0SUjvtLJYy,Cacahouete,2T79lGzrw1hs2VuidQQ1pi,"Terrain, vol. 1",2Yzk1gEIjbDo7Z58yz5DT6,16,https://p.scdn.co/mp3-preview/b2de82233c888b3e43ff4cc1827614657bbb6b43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Courir,54YLSTLYRujlNJtKEW9pjV,SKG,4dZzpakTDlQy33Iwvf3reB,Courir,6OoUC2MUTUmQ7eYd3hvoUG,35,https://p.scdn.co/mp3-preview/d22f0e00d4ab877a42f4d824d517c6789c20f36b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Gaz,1WGwJjUy1WabQaWxzRTqIK,Larry,0YqeL4iGLLNiwRXZvew1TM,Gaz,2jnJcsLhk8kUR0FQaX5UT2,52,https://p.scdn.co/mp3-preview/1ce5db9578d873c70625becd7479cdb5fc8366b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Gen-ar,0PwyBYJIeEUE6JXUPeJqzZ,Jack Mess,2yB21R4iRNcgXmLABW33T5,"Terrain, vol. 1",2Yzk1gEIjbDo7Z58yz5DT6,16,https://p.scdn.co/mp3-preview/7d0ac8e06377800597b0c4ef1dd6d2a77cd3214f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,GTA#3,0mghwnWJcqCrrzPLonD1KY,DINOR,5XlYnxW59BCChXAYPZ5IaH,GTA#3,0QvTJwtqjnkGBEYMcuWsNh,40,https://p.scdn.co/mp3-preview/d012313aa9a03d777a8aab649de7848ba84d1188?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Wow (Freestyle),0V73uKKZcnvKp908pwbGzC,Shotas,626MEj1uIFt7eZMSroO01a,Wow (Freestyle),3bAqXTNe7VGghVO6Q3qGDm,43,not available
37,Plein la tête - Épisode 1,7irjlZensURHMB2ENGWc04,Vh Gang,2AUWb1MM73jlRDXNh31FA0,Plein la tête (Épisode 1),0BX3VF7cNlSQkUGCuoIWYx,37,https://p.scdn.co/mp3-preview/8d04f6f4136ca30812f18f932b2cbd6eadb977e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Liberta,0axdQVg4YwpZFukbwUiUZB,L'Allemand,3BX2N7cc1OrBUJQiiei3On,Liberta,4o0zNQJa7yuFlI6ui8VBRX,55,https://p.scdn.co/mp3-preview/12512ccab9853e80beee6371c98737f4ee6c9b3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,J’voulais,4eNbJVp14BEwK5IuKE13T5,Mous-K,3Gcn7eKPiTv6jwqoyIhVMO,La Quicka,0zsrrL4e8bfzhllmpwYeol,31,https://p.scdn.co/mp3-preview/85e0a41687e0f25a26d3b5dc9052e96d9698780b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,J'dégaine,7uEtnwNtuq9is8odiHV0MJ,Dinor rdt,3RJNCnIkqvVwEicgGo2nqJ,J'dégaine,2kvFJfpghAQ36yyu0PA2FG,49,https://p.scdn.co/mp3-preview/5a9525b3a142dc5e6e52bf6147e6f9a784c43fe1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Blocage #4,5Hs4WzpKiuiUflNk79GHZm,Deeloc,4zL74Vyz5oIdgMtWyO4aUt,Blocage #4,7yJJJfgZo0zkk8us4dFBes,38,https://p.scdn.co/mp3-preview/fbcb75f2be19045f2123868759457a0ad0c9412c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Marabout,1hXVJHCfjccdW1WXwf9ueE,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,Marabout,4NPl3EqhFZOAqogxF5tV51,58,not available
43,Acharné 7 - Bâtiment,4H3OMvUtviw1g0y0uKsu6i,ISK,1HH5TlkjRt2FG8dpkWNm5j,Acharné 7 (Bâtiment),0tMWRXaIjWdrsAGURE29G9,51,not available
44,Blocage #6,2Yp6xTAEsIVukFcXWO3LIj,Deeloc,4zL74Vyz5oIdgMtWyO4aUt,Blocage #6,34yg8mwZYhznCnzIVpocm3,42,not available
45,Que Faire,3YekFrhnb9g2hlSFQnvKpq,Cécé,7hMewGo1OdGo6PWWWf6SfC,Striker,1ysP9Mlmyua3zCFlgYav8l,43,https://p.scdn.co/mp3-preview/5394f297580fd42990034a38261a0dcb77b49b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Freestyle Grigny Wood,7qPitZ1jCqV6C2MAtEkmee,DENZO,1pQtc9O0CKJYhvaICw39z9,Freestyle Grigny Wood,4mLgNBKJi1Jp00BYI8u1ai,49,https://p.scdn.co/mp3-preview/c4d867bdc5fa1150c48bbab0a6de1b0b5dc0d150?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Raikkonen,0t47Z5KILzX2puLAk3JXrB,LMB,3EwKGrg1Y5dAF8frDO6mLS,Raikkonen,4TInZkXMfxqYAhPKeFOgiz,54,not available
48,Pinocchio (feat. Leto),0PiC0aj0SGkvvUcXJPu5L8,Ismo Z17,2flTkRWXExICi9z6DFL2nf,Pinocchio (feat. Leto),1YYOaSYXZnup32y3ecL8C5,39,https://p.scdn.co/mp3-preview/bc87bc7528f4cebda027f96687be98c78fb5564e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Le crime chante,1i4TkAve16lcpvvm1YFYXb,Captaine Roshi,4bDcCV0zjPsVs2GxtduYry,Le crime chante,5mBILVF8qZ5Q2GgKM4SF19,48,not available
50,En morse,4beAnRFb41pfsIGogsUkD5,Djalito,27LbkIauxECwrPlkcG4tFs,En morse,1DdTE271Nq9TYqQ0oKkpLF,30,https://p.scdn.co/mp3-preview/b3e574d56b4c20690d59734162b4ce4d5b707e63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
