Pop Collection,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
51,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2Foc5Q5nqNiosCNqttzHof,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2ePFIvZKMe8zefATp9ofFA,77,https://p.scdn.co/mp3-preview/92d40a2ae211cceb264e9ee1e67fe05f4d788200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Sugar,2iuZJX9X9P0GKaE93xcPjk,Maroon 5,04gDigrS5kc9YWfZHwBETP,V,2Auw0pTT6EcQdvHNimhLQI,80,not available
53,Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Viva La Vida or Death and All His Friends,1CEODgTmTwLyabvwd7HBty,80,https://p.scdn.co/mp3-preview/bb0a310830636ebf8e5f6a1fa03d129a9724f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Break Free,3rWbIR3rJIT0Rpu3iR9ZXg,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,My Everything (Deluxe),6dYDqMHA4COCFC0TfCiUCj,48,not available
55,Blurred Lines,0XzkemXSiXJa7VgDFPfU4S,Robin Thicke,0ZrpamOxcZybMHGg1AYtHP,Blurred Lines,2160bNuBZNQmpeBn99Dmis,17,not available
56,We Are Never Ever Getting Back Together,1F6oGPF75u9RuHH4BGx9Bf,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red,5FerdPFXSHSnCVq4OBy4Ey,14,not available
57,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",1jYiIOC5d6soxkJP81fxq2,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,Grateful,3HhZbSJdhOqMSaRbEt3gtw,71,https://p.scdn.co/mp3-preview/f6fdecfbaae1ed54bcfbae1bc2b088e8807c9783?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Don't You Worry Child (Radio Edit) [feat. John Martin],1oF75Qbv8UvOBm1imUAE51,Swedish House Mafia,1h6Cn3P4NGzXbaXidqURXs,Don't You Worry Child (Radio Edit) [feat. John Martin],4ckmncQnT2rkPww9XdT54u,13,not available
59,FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,FourFiveSeconds,7yBl4uFyJzH48Vy6tPieXL,80,not available
60,Somebody That I Used To Know,1qDrWA6lyx8cLECdZE7TV7,Gotye,2AsusXITU8P25dlRNhcAbG,Making Mirrors,4G2rJNhsKOE6iHgtUqZ0Ye,76,not available
