Fresh Variété,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Cause toujours,6EHLB5dwUSppb973UKJ9VI,Gabriella,1WA3tuuJI10x4j7SB1XXf7,Cause toujours - Single,5jlU9gKzNzrm9wPQdM7r86,25,https://p.scdn.co/mp3-preview/c4b560718798a7c55355614cbf638eddf08fed8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Lassitude,3zfzJuuzux0orSeHOKtHGQ,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Lassitude,5FtGKny7qWpDx7NAydxXRW,44,not available
23,A fleur de toi,5gD6QshjeBZdV5mhTe1ZeD,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,A fleur de toi,2p9QsQJwroRc7MzYjLyTYU,52,not available
24,Les gens heureux,0rnzdEmt9qBlVIfzHuOjx8,Bilal Hassani,1eoyu9uAivE7Jwak40J1MW,Kingdom (Réédition),75bbpHqUiKAOACxSBZPtzJ,23,https://p.scdn.co/mp3-preview/ffc542801e16125a8acff5befa81400855edfef3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,On va rfr le monde,0xF03QGNIo8DOMEuRIdHP5,Silvàn Areg,4A4VF3t15bxwPrQTyCG3w8,Sur le fil,7m1aA93kFNqJo13NoscfSK,42,https://p.scdn.co/mp3-preview/3c8055854307789a859d087da32c62c47d69d0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,T'es beau comme t'es,1KhlOTzXlfRKhxymhosyqj,Alice on the roof,4M07FSqpxgqLfCOaX1WUei,MADAME,74FHhSeHS8Epvqa2OUAloj,23,https://p.scdn.co/mp3-preview/8ab60c24ea88468045db48eff6e022768829e7e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,La mélo,0cL50rqAT6gnhqs2N96Zbq,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Bonheur indigo,36xACzPzOHOvwVGbCUClPF,43,https://p.scdn.co/mp3-preview/74e02f89b9098462ce6e1324302149ff519becda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Carrousel,2XJIhWia7PAnGSIScf6rTg,Eli Rose,6RBs2gBQlEgSAITbC9wB6h,Carrousel,4mVeizjCI2mwMDDvsDxn77,45,not available
29,Reste un peu,4Ais6oNUThXKcNVRPrYlZz,Tom Frager,1N9Xy6x2jTaxMU75aFshoq,Reste un peu,7iBX95L4myf7XxRhSfFuE8,40,https://p.scdn.co/mp3-preview/95592610d79a24c3ebae926125ca339b3c63bbb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,100 pas,70dgebZERfohrg8uFG5FjZ,Dixon,44ga4npdjaqD4WGUt8oXXV,100 pas,5reDRFM4PJ0VhiEOB0i6MB,44,not available
31,Soldat,7JLz24ZQtl7tIb0ePwlBfI,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,4D27Q5VjZPoGzq0Ls7KbXS,73,https://p.scdn.co/mp3-preview/aabc389c6a7ec04c3d4d0444d5e246add031b7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Quand tu es là,2YpyHHOOROp36FxtKwXbs0,Eko Eko,3cxkXrcBFcbFgTmrvG6rOY,Quand tu es là,2sibxnIMnT95V8WSSS7GXf,28,https://p.scdn.co/mp3-preview/5453d1c034efba8ad7c7efdd77e19427b32cf0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Seul à seul,4c9wvZVMi9EMFt74d1HX6B,Aöme,2ylIlV0oukLVNOjsqv6HI8,Seul à seul,6rtBa84tIPrC9TXo8BnsAn,44,https://p.scdn.co/mp3-preview/ffd7438e9c812d1dac701b99935e4d2d75092efc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,"Aïe, aïe, aïe",74lcz21IGFN3MS7W8IU9Fv,Dante,2yQRRlgeqpxxZvRXt1ahSV,"Aïe, aïe, aïe",5b6iagpsetdrocHuPoDUkC,1,not available
35,Âme seule,7wcskNulK2ebwNwgE4YgvT,Florina,36A47jBnn8HIAks5zKr5Wy,Âme seule,6N7WVz7zna86r7oFrgAgdq,42,not available
36,Nos belles heures,0dFfq10zNnDbrkMzP5h1Pp,La Deryves,2Xy5B4VG3Q1w10EODepWUk,Nos belles heures,1Jll8I6aQPYhO4rQuaPPyj,38,not available
37,Les fous,49ZSxyXGpZgN5Xbgg5ais4,YUN,3ubqH7KHuudR4dSQ8P2nmE,Yunatic,6IWgy73BAJbNlXP6TCS9gj,38,https://p.scdn.co/mp3-preview/ceea9f436ee1aba1f6aa27e230046bc218c86678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Ils me demandent,1EU3KDtcev2vLZqPBM08Gw,Silvàn Areg,4qniyusDz0bXAwut1gisoY,Sur le fil,2KjOvauaKZeWd0nkoOXiZ1,28,https://p.scdn.co/mp3-preview/b53562e8d4a32bfabb52d5a35f1ce17e0916733f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Devant,4I55xBtAfR3NOhALMExxJB,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Devant,6xScSMyFtH9S0A8xtditoO,40,https://p.scdn.co/mp3-preview/bbae36366516460845f646725f89cf07e7a7be65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Si tu dis oui,3nRcYaDWq2n3A1D5NGueTT,Hugo Nogam,3A08xhQd902eJmnI5U0bJe,Si tu dis oui,1oWyYnXd6nEEOxDPuxtH6U,27,https://p.scdn.co/mp3-preview/a6e79440c96143bbed0f0a591c6e082fbf9688b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Pour y croire,6pH8AqDkoTMS6oJskD36tI,Emma Vander,3mRmeXEm2js0XTfHFVahuD,Pour y croire,3qt5rhXczvtnq4G376FfZk,34,https://p.scdn.co/mp3-preview/e139958e5a7faeb95d2a5d5fb59cecef446be07f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,ENTRE NOUS,3l7PJfcoz50JeaC2Qgr1Ye,Maxime Seclin,1kB5eqBVho1AHOBfpxGmms,ENTRE NOUS,03KH9zJSTi8S10FNy5OS5A,34,https://p.scdn.co/mp3-preview/adfd741f4b4e2b6396e9364cb45e5420423fb027?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Le cœur en mille,1ylGNIWYNCSwKurWlGNzBO,Anne Sila,0GejADUuCXsh3pOsfTqHv5,Fruit défendu,6f62ETVFse6Q7waMUno5UB,36,not available
44,Jaimalé,6Oun8ZZ4HVEr78Xksp9W4M,Andriamad,48TEPWuSU7KRr5sFpafo5q,Jaimalé,7cqZhfd431XSZwk91fcbtz,39,https://p.scdn.co/mp3-preview/2e60bee344954268f38931d41581b2d8276138b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Todo Esta Bien,5L7PVxJvF5TzOKhQpZMonD,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Todo Esta Bien,15wzYJV6GdxykdNKqnLytG,31,not available
46,Le pianiste des gares,5o88iVbNVJCHpRfpf0jYad,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,Le pianiste des gares,4UQUBAhsyDZglozeNA5Bgi,44,not available
47,La fête,5U1AsaskYI09rgYx0MO4Q8,Amel Bent,15jZ8OLtnGATWHlQkltG7f,Demain,2bGhNhs2tNNEPTQkFksRbu,44,not available
48,Sans amour on n'est rien,5E2hyZhNZiuljQ8azLruN9,New Gypsies,5n36QCKo80IWOm6EDB6OBo,Sans amour on n'est rien,7zWNcCfGGHWlI1YINA5BiS,44,https://p.scdn.co/mp3-preview/2cb10991640b4aada277ffffa4cde18afa827f16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Origami,4hOZoo0MPTryIYAGzBNdKI,Amoure,5q8R9nh6p2UmgIo45lZnCk,Origami,4Q4H2eYKmBEFwHG8ernWiW,35,not available
50,Il est où le SAV ?,5ixvb6gROIBE3BtqP9WtEC,Suzane,00CTomLgA78xvwEwL0woWx,Il est où le SAV ?,0jbPbbw9f6txppGbD5niHV,39,https://p.scdn.co/mp3-preview/48559d57b1589b9304d5381a2f666039946c8213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
