R&B FR à l'ancienne,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Ma philosophie,1HOtCYTuOCISpTn9cW6fcz,Amel Bent,15jZ8OLtnGATWHlQkltG7f,Un Jour D'été,6MFXFliONetu0nByEb7d4w,60,https://p.scdn.co/mp3-preview/6999c99d4ce5eee7e16946913c34a481a3089421?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Le Droit A L'Erreur,3QpiAq5rWOANWM0tfPvvAD,Amel Bent,15jZ8OLtnGATWHlQkltG7f,Un Jour D'été,6MFXFliONetu0nByEb7d4w,36,https://p.scdn.co/mp3-preview/7b3759e1a72766b6e4ddb91c6c01fa6a6b2d461f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,C'est chelou,3wIoQubsIhvsIBHskw6u0w,Zaho,0vN920jukdAbErvjo2OJ2o,Dima,2NkZFxHFAQZ8uTvCaKCHv8,51,https://p.scdn.co/mp3-preview/f4ab252662c12e582fc2adac48f09b080fc948d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Sexy pour moi ! - Mix 2,0E2ckO3QKtQ8dAUDNNec6a,Tragédie,6EysjvvcafloXNdLkwuGLm,Tragédie,7DzrujJilgfRg4dIrf56I2,50,https://p.scdn.co/mp3-preview/c31beaadd053d76589058c501ee1a1834dcb0bfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Kif'n'dir,0e8fRA4hsivzWeFbn3b21P,Zaho,0vN920jukdAbErvjo2OJ2o,Dima,2NkZFxHFAQZ8uTvCaKCHv8,41,https://p.scdn.co/mp3-preview/8ed43055fa8e67a1313afe1e9cc1b631f2dcbb75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Parle moi,2rXROCKPA9IHn6zMILU7aX,Nâdiya,51Ynjynt1xi7KBXCXHNdyN,16/9,53CZGpxCw6x0Ug2CYBAp4n,42,https://p.scdn.co/mp3-preview/9f11eb5a8fba80d2fd602e3818281e290c1b8a1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Je te promets,0i7cDSYYTqUWQIcswtRFWA,Zaho,0vN920jukdAbErvjo2OJ2o,Dima,2NkZFxHFAQZ8uTvCaKCHv8,53,https://p.scdn.co/mp3-preview/fa28ccf15bd1b9438883fd97956012ff99e1e3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,A fleur de toi,6cMXbrUW0HozWG3y3Rm0iO,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,A Fleur De Toi,5vxD40WbhbRzuly0guWweO,3,not available
24,Elle te rend dingue - poom poom short radio edit,6Qku7tQdLiYsh31kFbTtId,Nuttea,65LSKdbofg1NdWkaLSVXKc,Elle Te Rend Dingue,71rIAc8OBcGtpf5OfOmBd4,52,https://p.scdn.co/mp3-preview/06353679ef011293f41d2c67c9c612e9a0ca4899?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Pense À Moi,1gS2KQkvunhUNnG5iX2zqh,Gage,0t2zcDFqWBe9E8AOv5opyj,Soul Rebel (Nouvelle édition),56SWPDM7PXVMWcF1FkVkKo,0,not available
26,Jeune demoiselle,42apdJFDH65Ew9RVuldbrb,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,55,https://p.scdn.co/mp3-preview/3cee58ef94d01c04e7a116394ddc65415c31897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Boom Boom,1dWkL98h8GwGFkonK191p9,Factor X,4k372FsddQPYU3BLXqBL7g,Entretien avec un empire,1gSn3PtadYVSkrJeFBpWuq,38,https://p.scdn.co/mp3-preview/2a34fe0f28fcb46cb2ef6c011ba7e3e1355bb9d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Cendrillon Du Ghetto,6SJwOqt1zNH3BmfSkeelDh,Matt,6ElYQTPVqau3RR3D8Xd2Nl,R&B 2 Rue,5oSt99FmZrQjLaFoKJRTdW,1,not available
29,Celle Qui A Dit Non,4NLZJcCIIUtDOWo2tPrHuB,Wallen,2mKRkeMQIuHBV0oaXuil4S,A Force De Vivre,7bN63BRSnarmGPYsYS8kCO,43,not available
30,Elle est à toi,3kqcuCxwH2wySUtEh7E9Eh,Assia,0WKc7pYKaii63dISJolHAQ,chercheuse d'or,1e8JLQ09FOvkZjEJ6CxHBK,43,https://p.scdn.co/mp3-preview/07d718ee65a8fe3178ee0af07d264e75e4d9a445?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Femme de couleur,4kpF8J1HTTnO7VS7cAvOMv,Shy'm,3nXQmlliJxvfXOm3naZf3B,Mes Fantaisies,21LYH3Fwe0zplUBO0NWhEu,12,not available
32,Juste une photo de toi,7AxPQQgyi45H6pxCJPrAWj,M. Pokora,6euPnGzBlDysAC5ecVguNZ,Mise à jour [nouvelle version 2.0],0kKXWYJxD601o9ljAZjLrP,53,https://p.scdn.co/mp3-preview/fab69e5f660586a0c9873c3f4e3aa61273d6f40c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Avec classe,4vhPC6yiqkeQG1aF8WSn8r,Corneille,2GBDOaCl73BVUs2RerIme7,Parce qu'on vient de loin,5VMa7BgPzwjGfEPiGaJSPv,48,https://p.scdn.co/mp3-preview/dcc162947eff8428d940f81e48d8bfd14ba6e7f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,L'Olivier,4IqFzZ9jXIC9Mq5Qd1RkDw,Wallen,2mKRkeMQIuHBV0oaXuil4S,Avoir La Vie Devant Soi,4Pn0AwVLweBB9j9xH5lSzv,43,not available
35,quand une fille est love,7nKdiQqIvS9C0LtjRkADCh,Kayliah,5vUkpDxDVZIggZLIdDKTNN,On A Tous Besoin De Croire,6hJWXCcdDF0GF5jn5FuPwh,40,https://p.scdn.co/mp3-preview/8e8a06437219bc5d4a86c7e9a74ca0eec7737405?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Remind Me (Teardrops),2ZtvlVEk6ue5loEfT1epnX,Tribal Jam,6rkgANevmopDTA5V4ftRqu,Demarre le show,5tAxnYemHrn9eRUJl2z2OU,38,https://p.scdn.co/mp3-preview/bbdf744c91e27aa85798283324453d1fbb8d9d8e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Il avait les mots,2GHprNPynt33XoCHfEDKxD,Sheryfa Luna,5BPQfQJaq5Hx0636gwk4uA,Sheryfa Luna,1s0BomZpgzyfAjQESNcMTA,5,not available
38,Ensemble,2Skc0ShbY2IynQesiODGry,Corneille,2GBDOaCl73BVUs2RerIme7,Parce qu'on vient de loin,5VMa7BgPzwjGfEPiGaJSPv,41,https://p.scdn.co/mp3-preview/266c5910de5cb62439e9f07d2ac0e9c2cd7e5094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Au coeur de la rue,3fZxU7yluTfDCa6zmyrdhf,Kenza Farah,6WBf0WXqyBkCCYAEPUeDxn,Avec le coeur,5sh3X0H8oXPaUcnNcLaNCK,0,not available
40,Confidence,6ysfHzbSm6gaGsvQR3tMWu,Sarah Riani,4mDezsKB29m26Hud095mA8,Banlieue 13 Ultimatum (Bande originale du film),3LttutkC3cDDcluKKQr3oE,38,https://p.scdn.co/mp3-preview/f7b3ee0175939f0fc6e0c3001878fafd7e955a9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Belly Dance,3486Lr8wG9lwDDImcHMR6f,Kayliah - Pegguy Tabu,7ns7JrajKlW9QBxlxWNDal,Hostile Super Stars,79cZ8yOZSSNGE8ukAKFJpo,0,not available
42,Les poèmes de Michelle,01ZhThhYhykTkJ6065qg0B,Teri Moise,3E0D2fyt1NbcmBP1QpKkUL,Teri Moïse,4REQZ4hEndYGjzxmg3uymG,46,https://p.scdn.co/mp3-preview/cc7746c1c00a28ea389579ffa8d56ea0b645effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,No Blaggadda,5U3fWtXtjbmj9XLmrssXO6,Vibe,0ZrPyHGPWRiOphFxml3rFO,Confessions Version 2,6bjO17lkSqnG5O4rnEERmh,35,not available
44,Elle Me Contrôle,27kV1kvGUacbiRpf1VsQWe,M. Pokora,6euPnGzBlDysAC5ecVguNZ,M. Pokora,6JidpQNfJzopxZjqbak9TG,46,not available
45,Dans La Peau D'Un Dealer,4HeBzaonyX7D3P1stz7N92,Matt,6ElYQTPVqau3RR3D8Xd2Nl,R&B 2 Rue,5oSt99FmZrQjLaFoKJRTdW,0,not available
46,Je veux que tu me mentes,4ALOFfNcLUWKtsenEyveYo,Lynnsha,4qcYL0Da42tSXX3GREpvFl,Je veux que tu me mentes,4HAcet1391rAemk0uz0uRr,40,https://p.scdn.co/mp3-preview/00fcf266297be24602fe29f0e649effab35ad199?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Qu'est-c'tu fous cette nuit?,0KjgyGr6EVDApW23QcGkvb,Humphrey,2RTeAMXtT5IZA4HndoFSNq,Qu'est-c'tu fous cette nuit?,49fqcsXoBDMUNXXAXC8Q7j,36,https://p.scdn.co/mp3-preview/e094c6462fb1f6fd18c41fa0255ebfc0d791c47d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"Femmes (Cette Fois, Je Sais...)",5yZ0KIiVY6Bl5YLlGNF6Cn,Jalane,25xKorpgkTtDOYjMNHBNFu,Jalane,14bw15bQ9aL0Iw5SIcLq1v,34,https://p.scdn.co/mp3-preview/895e7c29d7eb1847ce34093860f1f00c7e068e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Trop Fresh,3y3qu5YJSxwtdn2NaQKwEr,Gage,0t2zcDFqWBe9E8AOv5opyj,Soul Rebel (Nouvelle édition),56SWPDM7PXVMWcF1FkVkKo,0,not available
50,Ghir dini,21w46DrCmNWtUSK4Ev1056,Assia,0WKc7pYKaii63dISJolHAQ,chercheuse d'or,1e8JLQ09FOvkZjEJ6CxHBK,35,https://p.scdn.co/mp3-preview/cca0232b5ec86fb444a45292d1fa939e245a5db5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Nous aurions pu,63uWP6TCBYeaFMFu823YRJ,Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,Le cactus de Sibérie,7bZPRr97z7jI73FGNzZ4vS,0,not available
52,Toi + Moi,1y38VbNctXLnnqAbKIa4SK,Afrodiziac,4kb5hcDKr0k4NGNTP6xwhn,Ad Honores,6F4D9pAe966U9LdzdiIQqc,31,https://p.scdn.co/mp3-preview/e7c1db8789af3181bab53405dcb412d5edf84fd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,A Force De Vivre,7fjVwAYvbsgbKwGKiA7Voz,Wallen,2mKRkeMQIuHBV0oaXuil4S,A Force De Vivre,7bN63BRSnarmGPYsYS8kCO,37,not available
54,L'homme qu'il te faut,7tTSSirNwG5TiYGnketM4j,Willy Denzey,1Fji4YKhqgzROcDJI15iNZ,L'homme qu'il te faut,7H87ZAfH3mYHTkU3ZsUOHc,32,https://p.scdn.co/mp3-preview/57f18ef06e3b95e33e75a9ad3a698228208db0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Parti Trop Tôt,1VnNO1FWkLTYTgCF5RE5ER,M. Pokora,6euPnGzBlDysAC5ecVguNZ,Pas Sans Toi,7xSOgaTKVIeaK0c5S49ZhM,33,not available
